,run,convergenceIndicator,exploratoryNumber,smoothingNumber
0,USemwKEc8eFAOrFQRx5C,-7066094.63554438,3572,1000
1,YSjR7QQAIJdR2NisT5Iw,-7023513.78825207,5430,1000
2,awSKX9QLNNWc5p0BtAaw,-7116769.65860196,2947,1000
3,TeDoFRxLv7aycawQagNR,-7051441.27561871,6443,1000
4,j7hYKf8cjRQozE5zPHwo,-7112765.17814975,3526,1000
5,PLmB7oXsmWzAS1nKRUAA,-7087442.18518209,5566,1000
6,NJrRAqCEXzDVBwYATW3l,-7048471.14842473,1973,1000
7,ohaai9vEKjb8gcZoP9sU,-7084779.31902791,1987,1000
8,Pfj82wCWpIALBsoHrSrH,-7041044.4225568,4716,1000
9,UouaISZmZe5rBZWV0ScW,-6789129.27063677,6712,1000
10,DHJ013145sex2MBWeTrg,-7128663.91990641,3461,1000
11,o6zBx88V1eQNVMuA6pWm,-7023070.87413869,6264,1000
12,2hPFMPyjj5pMsTLKsIa9,-7028314.7573893,6305,1000
13,UaXQ0mDEgO4nAl2hmXv0,-7055617.39397588,3742,1000
14,8epWTsonDCykNs42POTi,-7061625.51779185,5097,1000
15,hZM3KT9Kft2XAIahBzXc,-7022771.53239881,5131,1000
16,gY4OE1nTnKVCQl8I6DzS,-7073485.96144346,4034,1000
17,cJiCStHuBTvWyqqnDRcx,-7008501.9252333,5072,1000
18,J8iuE2c1mRMlTUnrJcHF,-7080573.61761352,4267,1000
19,MUJ6iedCaTfhiN5DTpQS,-7045655.03260765,6594,1000
20,DMmlejeKSqVTeXwWjUZF,-6932073.28190831,8450,1000
21,ThmWsLKQLss2Fz3a51bg,-7058325.30390922,5893,1000
22,2E1CrSs5xtjQjshatNVj,-7059317.06475337,4583,1000
23,lDHEdQf90hlj3OihJDic,-6859930.6928644,9411,1000
24,H0jaRavZ66erIwvCSTBt,-6820075.15706613,10000,1000
25,BtUGQZsR2HDT0jU3fh96,-7016335.29241204,8422,1000
26,wagsXjic4oLubyvbsRyu,-7043577.73022112,3684,1000
27,n5bVqZfMUVYgEiaF9CyD,-6967452.12384729,3386,1000
28,xLRs8xz6HnGgSYvnzmA7,-6994582.4019538,5127,1000
29,hnWXwSX7Ew1fOZZ0J2Md,-7054362.43723332,4222,1000
30,oAX6rW4JDWb6AsrDVoEP,-7101780.08816478,4096,1000
31,LnoUXGec1blEA5nur5Ll,-6987494.23620947,4778,1000
32,pIYw7KyUarKYcaecjzMZ,-7075680.94679041,5126,1000
33,Lp76F1Le7fLR6oWiqSmP,-7105831.78119482,3364,1000
34,YE58JMbvU9pRinRryPZu,-7108918.07853146,2022,1000
35,kzYqcreyFSlvpJNf9eGC,-6967201.93966808,5969,1000
36,cs9OgvF10z1b5YYWGGyj,-6930761.16271685,4035,1000
37,e7qOHrSnjN25r8oFLXPG,-7100803.48151123,4219,1000
38,nY5IeV8jgAvLJM5soq5w,-6920878.13457304,9674,1000
39,kq73CJ68BUhxp2ZECaZJ,-6981449.39743865,6215,1000
40,PKBIaOrBUxiFh7OBo7Yz,-7066979.27178681,4905,1000
41,DcJ1tgm8HUocnHDGgafW,-7061081.23461208,5988,1000
42,99SZt6266biNquEae59m,-7079254.69269736,2892,1000
43,pxcEdJQeQUumU7TA9Z55,-7096223.9391875,4737,1000
44,y1KEasNlj4lwNXc5sH6J,-6993549.44170368,7974,1000
45,BCuNOMz2qr9RiDRY2LMQ,-7101073.27484583,4510,1000
46,q6LNZMu1r62vIgaRFSeY,-7030370.04908582,4586,1000
47,lGNWoT4R5gibmV45SzEa,-6842253.6785979,4333,1000
48,OIkshXnkmhzfixB4qT4v,-7098513.67525008,4766,1000
49,SQjBnrx3MyDLDdok6F3Q,-6829857.85706564,6890,1000
50,Fh7WDVlZkxh3Q0jZBK60,-7063345.80683517,6462,1000
51,LRLn96S4BndHwhXzdSta,-7000780.44791548,5055,1000
52,hdd263pHBT4QHOWTiaHY,-6992093.33481005,8395,1000
