,run_USemwKEc8eFAOrFQRx5C,run_YSjR7QQAIJdR2NisT5Iw,run_awSKX9QLNNWc5p0BtAaw,run_TeDoFRxLv7aycawQagNR,run_j7hYKf8cjRQozE5zPHwo,run_PLmB7oXsmWzAS1nKRUAA,run_NJrRAqCEXzDVBwYATW3l,run_ohaai9vEKjb8gcZoP9sU,run_Pfj82wCWpIALBsoHrSrH,run_UouaISZmZe5rBZWV0ScW,run_DHJ013145sex2MBWeTrg,run_o6zBx88V1eQNVMuA6pWm,run_2hPFMPyjj5pMsTLKsIa9,run_UaXQ0mDEgO4nAl2hmXv0,run_8epWTsonDCykNs42POTi,run_hZM3KT9Kft2XAIahBzXc,run_gY4OE1nTnKVCQl8I6DzS,run_cJiCStHuBTvWyqqnDRcx,run_J8iuE2c1mRMlTUnrJcHF,run_MUJ6iedCaTfhiN5DTpQS,run_DMmlejeKSqVTeXwWjUZF,run_ThmWsLKQLss2Fz3a51bg,run_2E1CrSs5xtjQjshatNVj,run_lDHEdQf90hlj3OihJDic,run_H0jaRavZ66erIwvCSTBt,run_BtUGQZsR2HDT0jU3fh96,run_wagsXjic4oLubyvbsRyu,run_n5bVqZfMUVYgEiaF9CyD,run_xLRs8xz6HnGgSYvnzmA7,run_hnWXwSX7Ew1fOZZ0J2Md,run_oAX6rW4JDWb6AsrDVoEP,run_LnoUXGec1blEA5nur5Ll,run_pIYw7KyUarKYcaecjzMZ,run_Lp76F1Le7fLR6oWiqSmP,run_YE58JMbvU9pRinRryPZu,run_kzYqcreyFSlvpJNf9eGC,run_cs9OgvF10z1b5YYWGGyj,run_e7qOHrSnjN25r8oFLXPG,run_nY5IeV8jgAvLJM5soq5w,run_kq73CJ68BUhxp2ZECaZJ,run_PKBIaOrBUxiFh7OBo7Yz,run_DcJ1tgm8HUocnHDGgafW,run_99SZt6266biNquEae59m,run_pxcEdJQeQUumU7TA9Z55,run_y1KEasNlj4lwNXc5sH6J,run_BCuNOMz2qr9RiDRY2LMQ,run_q6LNZMu1r62vIgaRFSeY,run_lGNWoT4R5gibmV45SzEa,run_OIkshXnkmhzfixB4qT4v,run_SQjBnrx3MyDLDdok6F3Q,run_Fh7WDVlZkxh3Q0jZBK60,run_LRLn96S4BndHwhXzdSta,run_hdd263pHBT4QHOWTiaHY
delta1m0_pop,0.0076951341727604,0.0086270503484914,0.0070766400122512,0.0073676857335107,0.0072445530839651,0.0078809694068615,0.0086024090195133,0.0071913627153835,0.0081657590222107,0.0128769373413413,0.0076114226268791,0.0069620529818736,0.0072448104994037,0.0076720281002189,0.0075885553022306,0.0079019612273307,0.0071577611812942,0.0081963575752386,0.0081961599009904,0.0079579149172074,0.0081855483559764,0.0078807785078052,0.0089712002066209,0.0073305691727548,0.0110313496473124,0.0087221424845007,0.0080266287471362,0.0076269871329771,0.0091890356560135,0.0076204617292627,0.0075947573491852,0.0110443687146493,0.0077100594531615,0.0081652240458968,0.0072423456265337,0.0081766525096922,0.0122458775072813,0.0077885295328137,0.0081510368691141,0.0081165725354141,0.0075478887211288,0.0081222559906612,0.0082857029134117,0.0077107634085797,0.0086220176716329,0.0073388051197337,0.0072358886126973,0.0131249208426269,0.0074820670276951,0.0107142856691813,0.0085669057169669,0.0090318281681927,0.0089347491415388
delta2_pop,0.0078019134234394,0.0082513214402693,0.0092094414911338,0.0052637340633818,0.0308982544945628,0.0063531308917422,0.0097988849674543,0.0068821320006788,0.0102819855763559,0.0118842437074213,0.0098552407344283,0.0149973719886257,0.01725205299333,0.0099384222289963,0.0081366836807123,0.0103730277083834,0.0072727770668664,0.004694987395169,0.0169749329508076,0.0047980679267617,0.0059374308962788,0.0142066668003994,0.0098074085568871,0.0130406570685764,0.0065937086261352,0.0069985920150135,0.008874319616222,0.0083374725572873,0.008044179325606,0.005582058778675,0.0051865109643324,0.012462755436824,0.0108072412012718,0.0135410933407585,0.0095444033898919,0.0064557014090169,0.0228346813405816,0.0079751247052973,0.0163876268795694,0.0097408548399298,0.0515470807369065,0.0102386034578998,0.0097074465373635,0.0073061543151476,0.0112348895200626,0.0094766934127623,0.0238506907356145,0.0112331075235535,0.0049670654293332,0.0110525526392643,0.0108707091494599,0.0105613849430415,0.0067775743876088
e0_m0_pop,0.0101829044054114,0.0112324428501613,0.0097817094473241,0.0117141573303828,0.0101110119334532,0.0116351400108651,0.0105741652804405,0.0088466510450102,0.0104564244483071,0.0131657356638896,0.0099313143009367,0.0103861619000324,0.0112078469530448,0.0098859546007798,0.0098876289223597,0.0105376953688213,0.0097189701385552,0.0101663196932608,0.0110223681757889,0.0113497913150195,0.0119831391945803,0.0111618638225913,0.0113448337392779,0.0114993568117324,0.0122966679232406,0.0107326462727933,0.0102699932306418,0.0087789800815145,0.011009774329887,0.0108912569183434,0.0096517190877057,0.0117646495745704,0.0104651842396324,0.0107799984748022,0.0094611203744586,0.0123742835747581,0.0129020445440125,0.0101928182076114,0.0118120977823004,0.0111790644358787,0.0115737053126162,0.0112747109688877,0.0107216789544681,0.0094767514512724,0.0130177984804952,0.0097441401135562,0.0110229183837476,0.0123655744463401,0.0107307869213603,0.0126381682176716,0.0115011197590114,0.0106303156532692,0.0109665545327795
k2m0scale_pop,0.0109598302483671,0.0101619322144976,0.0111280013560938,0.0112059539669583,0.0105368487110377,0.0111929513094769,0.0110559676483866,0.0106309493796851,0.0103897134434769,0.0113622222027593,0.0106587810269352,0.0113254908702628,0.0107978974563256,0.0106941203093522,0.0101466375072242,0.0111298374033572,0.0113522235866872,0.0102832945596392,0.0104641008393142,0.0112441335206671,0.0116032943246816,0.0106190464683609,0.0114431180059648,0.0103820769263912,0.0103774209657027,0.0105971814483396,0.0107633766805309,0.0099851018508216,0.0113370603331538,0.0114042132555366,0.0107436954907668,0.0116535306106955,0.0109460893594306,0.0108358653181865,0.0108119069306767,0.0117789707156501,0.0125978539510923,0.0102307817492637,0.0113048934424857,0.01165208668716,0.0106135146439679,0.0113832642582242,0.0116697549562705,0.0109888869839805,0.0109956006962343,0.0101131969893483,0.0108988803101429,0.0114370265184429,0.0110007690711183,0.0113137164580485,0.0104642283231819,0.0108229402417137,0.010492416833748
k2_pop,0.0069377108036585,0.0076981749462418,0.0064461535120399,0.0064067902655052,0.0091562252534247,0.007946464662579,0.0076435247110931,0.006587936713758,0.0069987123863726,0.0118592822041791,0.0077314514186312,0.0091277622450119,0.0098618410033446,0.007084766834208,0.0067458863101152,0.0090496573264403,0.0061543343040636,0.0159220599365348,0.007597432071151,0.0075926464724018,0.0079503288964677,0.0092950160394817,0.0073968881266828,0.0123026590816353,0.0080496607536704,0.0078308504743946,0.0152211098149444,0.0073867837723994,0.007769319240841,0.0070782524080481,0.0090196221504741,0.0117281155934288,0.007446920007691,0.0089072312489134,0.0066753125144027,0.0247224738531865,0.0140448136836859,0.0069318671878274,0.0100515690277624,0.0070806562119085,0.0101033560383478,0.0080945064009703,0.0080234514085968,0.0067919113623478,0.0074986996810749,0.0067731857471219,0.0100529664759172,0.0223996974192278,0.0123951747053037,0.0225994587560023,0.0080286754393189,0.0085846338600475,0.0079809536703354
k1m0_pop,0.0103188983277495,0.0109103563434557,0.0096622710234454,0.0125905172697883,0.0098629864497674,0.0116087648490874,0.0110679497567412,0.0110976283864326,0.0108100017974214,0.0113728182109669,0.0108596196565288,0.0108687266906456,0.0105567228778447,0.0106988609301294,0.0117686717150595,0.0101779642478479,0.0104438501554977,0.0113638484683068,0.0101577656381814,0.0123500013581352,0.0164548666486152,0.01061750136899,0.0103652204976507,0.0103266067436229,0.0126174952310219,0.0117898585419072,0.0124441854287975,0.012114411690806,0.0107717463250654,0.0113509608527919,0.0109517814252452,0.0141062032987638,0.0103114255348265,0.010971489806365,0.0098829040307156,0.0129838245586783,0.0146083874133393,0.0108027666598275,0.011778957848024,0.0122323458133517,0.010034038027154,0.0107357561573332,0.0102872527025307,0.0109347247536574,0.01227207897729,0.0114760012736097,0.0099354440127825,0.0124130140129836,0.0113858572611143,0.0123934577363698,0.0112761553097992,0.009691450049328,0.0119460359020768
r0_m0_pop,0.0108121717979079,0.0102527792011566,0.0104180630985997,0.0104675533144257,0.010029783550631,0.010690754792026,0.0106204712980168,0.0102208301148975,0.0097588283933045,0.0109671835058864,0.010378436226824,0.0106477669044853,0.0103666789002438,0.0104207588297688,0.0096964894619043,0.010894437036261,0.0109424138676091,0.0101665890080779,0.0102272919373315,0.0108349269845285,0.0108389297267975,0.0101997594327656,0.010943057966447,0.0100783078235311,0.0103160893414452,0.010239675920813,0.0101381531762368,0.0098124380317246,0.0106750346892133,0.010877016655239,0.01019585374451,0.0112348600098832,0.0105777267936239,0.0105370718165786,0.0104875979762345,0.0114491156948711,0.0123436654659234,0.0100716936153856,0.0108300969200914,0.0112304819981895,0.0102628698196028,0.0109579457701028,0.0109758309571445,0.0106078670774921,0.0107917241423896,0.0098421143085476,0.0104523262551815,0.0111953512844236,0.0102371065674612,0.0110200229226806,0.010184106749559,0.0103295170306962,0.0104455830971913
gamma_pop,0.0349927208083869,0.033455332381973,0.0355416492450953,0.0380555313140769,0.045256022061977,0.0354234165324445,0.0327440180326738,0.0291999991977098,0.0314079302037589,0.0578953885561008,0.0360831290763723,0.0437050990067989,0.0454105579826614,0.0372819933347356,0.0289823621161596,0.0394379069273083,0.0370741320383478,0.0468855744371698,0.0359090525073514,0.0366474582822686,0.0443333168548552,0.0410997204683342,0.041439343177367,0.0406622045317237,0.0280943416819105,0.0309421466016717,0.0450850250060366,0.0251583615704344,0.0416914544247136,0.0352590250270246,0.0377690830681002,0.0467799786706449,0.0371020671933826,0.0459881174512295,0.0360985010902248,0.0648917378738066,0.0531863415929958,0.0334355675945338,0.0501361435132185,0.0402565018413717,0.0490401005002991,0.0389731419705887,0.0388803162702966,0.0310430283407974,0.0382554687887019,0.0301240669052688,0.0496672769824302,0.0584347623070883,0.045408147470196,0.0631679097048404,0.0353868584122282,0.0478087634293234,0.0299775086264244
tBegin_pop,0.0068972113186454,0.0069608219725377,0.006886572094068,0.0067993063370836,0.006903896214944,0.0069319364670953,0.0069767601941237,0.0069515362093522,0.0069705910747989,0.0068148782606245,0.0069695352633178,0.0068002521749882,0.0068556353084142,0.0069328285381777,0.0070087820759832,0.0068697623355125,0.0068266691084235,0.0069726327179049,0.0069391107078732,0.0068119590233411,0.0067169934741086,0.0068769718490099,0.0068825700919783,0.0067575940490159,0.0069628209380291,0.006965881366386,0.0069887498020337,0.0070718031727433,0.0068485829820947,0.0068175656403968,0.0069324794923862,0.0070178128053262,0.0068924194459815,0.0069223159395255,0.0069107621777666,0.0068961829243481,0.0070203467507302,0.0069638810265254,0.0067503280025216,0.0068121070451809,0.0068734510685233,0.0068621918386149,0.0069253591826822,0.0069700679132058,0.0068070247271963,0.007011023448475,0.0068141350314003,0.0069132111957406,0.0069217177462262,0.0068611987756305,0.0069515417918932,0.0068571793857672,0.0069637782095585
offset_pop,0.0001435842505611,0.0002718290624498,0.0001103260765205,0.0002110984150734,8.14550733480235e-05,0.0001254486204354,0.0001150592285581,0.0001027487538183,0.0001371385711579,0.0002887771591595,5.1717085181457e-05,0.0001812989064987,0.0001861787785869,0.0002259529689103,7.58601069673082e-05,0.0001672766888874,0.0001692550207401,0.0001447081749302,0.0001443911811119,0.0001913108226825,0.0003026814956074,0.0001587655441136,0.0001359405876104,0.0003162501431147,0.0002289434090327,0.0001508623434848,3.62516571305221e-05,9.62392946477387e-05,0.0002302824605757,0.0001914434585733,8.96675596443763e-05,2.30475665210857e-05,0.0001516125629061,9.1554777526287e-05,0.0001213084846352,0.0001616726309627,0.0001096645315262,0.0001053946876249,0.0002473928780972,0.0003210121825709,0.0001398701746826,0.0001576944293899,6.1033061785374e-05,4.44171276026661e-05,0.0002298908952357,3.80052190931827e-05,0.0001866382087308,0.0001211606706915,7.71653675892378e-05,0.0002100453994798,0.000141689856245,0.0001913043494422,0.0001694937373267
