,run_eM7xfxjOhAnseGpnrDnK,run_NUaQDcnXtbe5Br1sCbi4,run_b43NpBOpXaG8jAxebmlG,run_8FCzH5b3RRLbSb7hEVV4,run_yDcprRcDZJ1pAFxFCoVt,run_8tuNcVMek4INasEtHIxS,run_SsAGTA4rwjzQqCgqpVfr,run_1mNm1gFIlJPUpQJeHvFq,run_JepPMA1LHmWYEqPMNbG3,run_mHpM8GLK9NCyAhWIo3zn,run_f8owUGGCMp0AbdZ2HIKS,run_c00AScsQZR5lIOmYZfvJ,run_OEATIxJB6qEbwlXkBo9k,run_rEYlY6wAFyp7yYXGEROI,run_kc4A6j0a8ZhVXdPHSYB4,run_rAEdUNWQvRKcYTnKsySh,run_dD24RCrpfS1wmlGSw3CS,run_7At8c7toRU5jTOvAUyyG,run_cK051P6ghpug8Aq0MHVV,run_Oxzk2Pru1nlOFzUZYkyx,run_3AhFhWBWCtJqVrIxstd8,run_OjilPMhMqf2e8UJ4vZNI,run_6SK4Rj0PfAK7ipJaGNbs,run_ncn84EAe31GT8TSjBN9A,run_ZtJxfZ4zXWglXbwCPuaT,run_0vrrlOSfp176OD5HVGIm,run_pGzI0ydQ4bQ6dQNayO3U,run_5QJiynhkaBhKY6Muy7kR,run_2zlllx4iRjBb6Gj9mIN4,run_EJ3Oj9Oz63G6zycvqL9a,run_q9WmDQejlDgR7OdVxKIk,run_gbQ8ef5PGjDmvRsgA4la,run_WpPZrrDyKUq3nr7rnO3p,run_scZ1xQnG7cFMhIVVxYCX,run_53gBmwIMhCfdpsX2jSDf,run_0ffFPldleS4HngMVoAGX,run_0mz4VSuWG9SC0Rsxml6c,run_ZleiGtRy6jLdWpoLwfaw,run_BJiVE3wo9WDDUjDXgAyb,run_TyxcfM0mX2s21ZF1hi3n,run_UUlbDGAG42WurmMSj5Ta,run_1xHqoqQnDOzlCHTC0U6W,run_VEOtarSa52PWw4pYKaf8,run_ePpgllm1t0O4oUblsDFK,run_aoIoFl6Akm0REvgcm8Z0,run_k5jtj1eigUY0cYYiNhgW,run_tj1Kx3VCNX5MhkaYeLpP,run_Myt6jpI9e1INBMSj4BCp,run_aO331DkXUiRKlTcVRUPT,run_lgO6WDARAsk0U6sjpZDw,run_o22n7jkymYIpnV154anI,run_VEH2cm88PRvebnKDChB2,run_St5u6gnD6fZ0rUn6aMkU,run_B3KS6VSy4O2CQ4KxZ3on,run_VNHXbkJHXM2VNfas9bCF,run_mJVsGpBqRyg0aK6iIzPM,run_icAcPLAJS7uzcXRDR9PV,run_8d3hATpWG4ywEiEDuAaP,run_AI5afZ1YJcUYNBhJEjB9,run_0uOeDDGr4DmPvuVKEAJz,run_oOTiQ9cAUPnPfc1vrOCF,run_P7pMnhN48LmabKRTmnJC,run_uOqcQRaQcoCibKmp4PC7,run_7VuqZScYWiBqUbkD349H,run_vj4uAEdylIGLmh61sjKb,run_oBs5jjJeDEnvvDQC5hWM,run_eLDwaP9lPQraoNMW6p7w,run_oD9EsEAyfzAGd7sxHFJi,run_ZCD8rLo8S84j3osbbLiz,run_RaZGbTcKqTW46oL8UNLJ,run_dGu0d7zxsfnJOAfy2cGo,run_U56cJoJpYu3v02dDHNId,run_SQbxl1bde7EtFtIJcAPa,run_eivfqiy7lpusMx4MF6XV,run_atEb7eL0qyHi8o3gjRTK
delta1m0_pop,0.0158106273217175,0.013353219397616,0.0116232719932993,0.0122411296193739,0.0117003766522875,0.0115921180270798,0.0111187931801558,0.013426013133309,0.0103727083259148,0.0115057255756965,0.0107525450186012,0.0118747689170652,0.013167068550253,0.011999751951886,0.0104508641025652,0.0111820557228215,0.0122583770778039,0.0104224236972953,0.0127588954827437,0.0117238482945248,0.0103189236359703,0.015719042307129,0.0103746535707757,0.0112241126534264,0.0112966687798138,0.0118329650447546,0.0118419297348047,0.0114055515773192,0.0101627697726948,0.0153384484403935,0.0103836730372584,0.0124101201168785,0.0114271089596007,0.0122937144614539,0.0110349453779605,0.0107859054377402,0.0126745751392666,0.0110699641152941,0.0122388654834679,0.0114323813786362,0.0152448223331596,0.0115443325806466,0.0100667093984127,0.0118570506103679,0.0125060373250021,0.0112086332907414,0.0116289573725957,0.0119886575206151,0.0211169082656415,0.0107680382506426,0.0106473542507967,0.0118244267228141,0.0109000352796462,0.0128754909003812,0.0124859840391629,0.0123262189303914,0.0130363713122787,0.0113921902762753,0.0138241325135978,0.0105931886682666,0.0116230278568806,0.0120916279751368,0.0122977003212489,0.0119804279604628,0.0109799789624706,0.010692807760243,0.0112428826394001,0.0131222554091391,0.0112904011364899,0.0472529566465128,0.0108287316873354,0.0114323032753501,0.0110916900171249,0.0113347439969682,0.0118266081364934
delta2_pop,0.0083753747754588,0.0130110908277004,0.0137641333260907,0.0163857696036981,0.0110206376551739,0.0089517624143483,0.0099934408745703,0.0109051997712152,0.0117509712676046,0.012070545627956,0.0135200489300646,0.0114385472436216,0.0129716840343543,0.0077200213886122,0.0189721302830331,0.0114708603480642,0.0075529096203371,0.0094636611688551,0.0072443576496978,0.0083663042203956,0.0086139809257032,0.0144091862582967,0.0229099578131297,0.0098084308322926,0.0152687482973336,0.0103217160472435,0.0081042806231112,0.0193995947248457,0.0183723606748682,0.0161013531961321,0.0119890658194227,0.0092542493221586,0.0119717869685968,0.0285717893211356,0.0109800698090267,0.010677026514636,0.0074347827645605,0.0202650941492473,0.0117593914291023,0.009799905750101,0.0432772729303887,0.014331216193935,0.014158568518825,0.0138082137186171,0.015942935567248,0.0125106478702424,0.0350404202061559,0.0125537131185165,0.0225379323681293,0.0146871012968531,0.0192305023014903,0.0152287184597664,0.0126811745421745,0.0166011496065117,0.019663171733296,0.0193063323477593,0.0167219978082906,0.0097787902266612,0.0181150680681396,0.0153201693289234,0.0226849168001314,0.0202546991830811,0.0382690952245889,0.0138143422883033,0.0112929926756209,0.0116011782255634,0.0101450691362669,0.0116910147281842,0.0116409258933846,0.0848321836414668,0.0075393480970329,0.0156605662377772,0.0152745662284397,0.0112499477732917,0.0082529761197554
e0_m0_pop,0.017893183897549,0.0169358733552711,0.014737200696322,0.0161358049390878,0.0151527804143279,0.0152116238036364,0.0140661877695971,0.0162103749852767,0.013090162171175,0.013893372473459,0.0149829450469773,0.0163899074118332,0.0170313827388233,0.0156232266374918,0.0140847154765229,0.0140390573727134,0.0168786593993626,0.0135269347063299,0.0159300856009856,0.0148207830724662,0.0137093360466773,0.0160055664923439,0.0142280465616364,0.0168101298112811,0.0139587699939579,0.0143466196196424,0.0154890211439091,0.0166514019466172,0.0134445788039725,0.0160730349502384,0.0137473020274913,0.014713555686633,0.0146368626403636,0.0131676298973271,0.0160260870171262,0.0145026861597483,0.0180028259919284,0.0149232062751167,0.0153321452936487,0.0138298710678133,0.0162060410158913,0.0169851564189727,0.0138673665957092,0.0148672315182155,0.0153460512734442,0.0141223141184819,0.0160890351865076,0.0147920878393841,0.0188167283798309,0.0146891029009766,0.0141953640055762,0.0162175799624574,0.0133742789631169,0.0155622925436266,0.0159857968010898,0.0151160602777999,0.015528846719049,0.0154737963478964,0.0171483239234743,0.0136276589256879,0.014669070984341,0.0190414881671774,0.0139629300022984,0.0150210585012243,0.0137019223503116,0.0148333878655452,0.0162218004840114,0.0144624936077264,0.0152954757751869,0.020017323232415,0.0148321530374087,0.0137318672420225,0.0153727046444308,0.0137461245100138,0.0156430518519641
k2m0scale_pop,0.0152293268585086,0.0144595915996038,0.0154097356348163,0.0160868943003458,0.0150291875307344,0.0164279824069527,0.0156964645744526,0.0166404800595825,0.0163292005723877,0.015641360030899,0.0152203637219943,0.0154395603669372,0.0151859585318658,0.015753750035502,0.0148660113273042,0.0148198638712397,0.0153759544809154,0.015530620083852,0.0150534422126186,0.0149808515168756,0.0156349800015043,0.0163957113064132,0.0161489202417761,0.0155368736370566,0.0146408506927229,0.0146804547692068,0.0148525535277737,0.015948784341223,0.0157733710427717,0.0152986599248733,0.0145035015026142,0.0161857181668852,0.0155961018111565,0.0152068412513408,0.0163105978495244,0.0153177598266474,0.0156294204104956,0.015723165003689,0.0142843165332294,0.0160489413847624,0.0154629803827606,0.0164508648258977,0.0165461287005792,0.0150017671933686,0.0147013125361327,0.0150970617444756,0.0149166438508661,0.0146400276760051,0.0168027703278273,0.0163187113182695,0.016072066666707,0.0153202566257176,0.0150297723152332,0.0152408349727677,0.0151099507741989,0.0157820214528031,0.0160555878021027,0.0151452512697743,0.0158392558496901,0.0147855553621992,0.0151482692361731,0.0160153667314757,0.0146267146128953,0.0147481405777498,0.0153354201128994,0.0155310723938618,0.0155940440943272,0.0161967352131673,0.0149777057767833,0.0172961772797968,0.0153137200017141,0.0152591876259859,0.0147601965366721,0.0151457943270185,0.0160228669052143
k2_pop,0.0182808785160718,0.0114306101848101,0.0117373076170489,0.0114436232837515,0.010884855378285,0.0121416721005236,0.0095426619399297,0.0147283119154054,0.0087976311118014,0.0101864187518176,0.0094255977826503,0.0091469622379379,0.0106387547273991,0.0146206253466375,0.0119396592224198,0.0109477997389956,0.0110930946968326,0.0088806935791504,0.0085641177540174,0.0120757542371993,0.0088050495033979,0.0129979925702577,0.0107128815029693,0.0100725060806304,0.0112881256827623,0.0100619620516502,0.0098268561523178,0.0114895149324482,0.0102725682931848,0.0164764550906703,0.0111602203665243,0.0098259457377567,0.011130588435664,0.014046033617254,0.0115062321115608,0.0094929261942484,0.0089141721857333,0.0114691332949304,0.0105477923471108,0.0091263982035454,0.0187045696386859,0.0108542678232129,0.0093192789828746,0.0119493509605546,0.0118245204558072,0.0118284909546915,0.0149801942630807,0.0120480593789707,0.016166599020263,0.0104678846182163,0.0098366444656473,0.0131008199254601,0.0105688872519663,0.0127823820949893,0.0096026944662888,0.0134454250543538,0.0116400061796989,0.0092297853079484,0.0148651701668322,0.0116919098478465,0.0117675639199293,0.015824848559418,0.0139370269072335,0.0120844137249489,0.0096294986567838,0.009394203893243,0.0096227999925802,0.0123627510672604,0.0098240634840902,0.0202062101332028,0.0086416285536354,0.0111459294646896,0.0111716137218804,0.0105925819826723,0.015630705660267
k1m0_pop,0.0176573332718165,0.0156963267326209,0.0161457761671218,0.0165316623536915,0.0148269129142028,0.0149298665280961,0.0164540115003399,0.0160403266131479,0.0146233684348891,0.0147028018695214,0.0149685830338511,0.014313442788694,0.0152916296163892,0.016589700536327,0.0155147502964352,0.0166363717720289,0.0153066930574691,0.0139958549169768,0.0144497422175364,0.0172171823332215,0.0148466373970219,0.0166520839456151,0.0137057337916383,0.0143382433599177,0.0147595179574133,0.0157257919418853,0.0150707544147167,0.0158921401607001,0.0137577714751483,0.0152092367358754,0.0142402108721908,0.0146658046127779,0.0181971048455829,0.0168948975639126,0.0160017054911909,0.0142593842601761,0.0141797663528296,0.0154471753879426,0.0155304539353783,0.0148609762780831,0.0178705315518137,0.0157285514716178,0.0139577309607374,0.0153779932003909,0.0180414027524992,0.0147746553096731,0.0168182045903877,0.0164298179768772,0.0164459926913962,0.0172389228091823,0.0146985201440001,0.0161943808575312,0.0167943991062535,0.0155843189653867,0.0161357818905243,0.0180504744166341,0.0144990648220997,0.0149526979758521,0.0150666341116962,0.0147051152173072,0.0171049638789705,0.0263178720712567,0.0178028117809197,0.0166999084708253,0.0151110955946101,0.0148800231311283,0.0167805244946272,0.0141454248500255,0.0144699893753726,0.0143534705059735,0.0146372376831649,0.0179649377199871,0.0156237517387822,0.0151259589236159,0.0182582829292472
r0_m0_pop,0.0145746234065411,0.0139575032077282,0.0145436853594543,0.0156891382411623,0.0143823309057965,0.0153346789139394,0.0148891206121586,0.0156386582349817,0.0158958224246995,0.0144440267558206,0.0144695846424349,0.0147246054578782,0.0144810651249303,0.0147864666013036,0.0139098703522308,0.0143348642567345,0.0146438498528217,0.0154980333438982,0.014724302740192,0.0142080206438419,0.0143811200684748,0.0150520455842266,0.0159579342207772,0.0148388642105799,0.0139483968117034,0.0140564812802244,0.01384280412609,0.015312924398186,0.0148021618019717,0.0147610180744532,0.0138690490589985,0.0161173466293086,0.0144388470077671,0.0148747613873769,0.0162438040804276,0.0144442919882515,0.0151739873415409,0.0148402107380893,0.0139369695701663,0.014946310445264,0.0151631740242733,0.0161013825286539,0.0154178393734155,0.0141804400476661,0.0138083403109876,0.0146339115207873,0.0143014917936544,0.0136024087292482,0.0161245206594121,0.0151550724689672,0.0149135038630662,0.0149994158895683,0.0136352700018525,0.0143926235816081,0.0144301757236043,0.0154007586186433,0.0150447858165196,0.0143159043841278,0.0150367257501547,0.0138558634268633,0.0145936966574975,0.0154334550037614,0.014208256581444,0.01384327948963,0.0151796724555958,0.0148100724029122,0.0146677512793051,0.01533717349185,0.0143211440384383,0.0168044473324498,0.0139114228474263,0.0145046768103818,0.0141751282252052,0.0143754916999945,0.0149196941051661
gamma_pop,0.0519473677108071,0.0447745267928493,0.0485566174155688,0.0455033810140822,0.0464873751046304,0.0538947210763522,0.0380014378136771,0.0671217210619038,0.0498182767994038,0.0499337734231921,0.0426120386992679,0.0439572603601917,0.0478659837671159,0.0511200350972291,0.0613484914466942,0.0471816910094531,0.0506805943466996,0.0450648983167447,0.0406641790135735,0.0432760912371173,0.0416763708590477,0.0722386885699204,0.0559738525241307,0.0483495634360132,0.054277171477148,0.0409993147167054,0.0441182194396339,0.0525463656615297,0.058350662962942,0.0680988566463557,0.0453773282046992,0.0425345629958422,0.0395797875656683,0.0386063610851566,0.049148989198009,0.0464463764519908,0.0483746391160394,0.0520641026210042,0.0432357929635939,0.0424813120197562,0.054440406939712,0.0489080756553207,0.0536234655708547,0.0519021622410018,0.0402821415867267,0.0477995263365613,0.0526680489088534,0.0400838978484431,0.0929533876446392,0.0629663114628291,0.0499496224705702,0.0492881006096216,0.0406257434876269,0.0681777985499303,0.0413721475194815,0.0543665453509806,0.0670946533850078,0.0440690031659876,0.0758592479491965,0.0520010048664587,0.0400672976749185,0.0609717679449296,0.0405334113798949,0.0419677167172752,0.0417097827779716,0.0436337202470105,0.0525551680006783,0.0601085047566716,0.0463789705962555,0.0724238153783308,0.0435417552609405,0.0340320172134093,0.0464731292420167,0.0471585398495235,0.0491791721505523
tBegin_pop,0.0097540275735448,0.0097416637237326,0.0097936472627985,0.0097809310045361,0.009564153058976,0.0095957688281122,0.0097204805138677,0.0095638802241712,0.0095442470180688,0.0096772341361904,0.0097152828802024,0.0096448415401328,0.0096330105985797,0.0096719796752466,0.009727156766281,0.0098433461146627,0.0096309718666586,0.0096912035039286,0.0096634902785137,0.0098144487817756,0.0097187819824985,0.0094723303369973,0.0096598719857794,0.0096749420055693,0.0097017953992228,0.0097936542988891,0.0096264896379669,0.0096487941740664,0.009698479885288,0.0097136016593493,0.0096840566144538,0.0096691009620571,0.0098675344662995,0.0099862324001723,0.0097066314714546,0.0096054265855284,0.0096592575516781,0.0097795403705442,0.0097987743117187,0.0096673740550374,0.0098805079669936,0.0096651821817959,0.009552503312093,0.0097589939976761,0.0098460401554464,0.0097191238558936,0.009759482138435,0.0098794837745122,0.009547187128016,0.0094974484703727,0.0097456295262653,0.0097058965370265,0.0098577625557943,0.0097043755684047,0.0097881900855382,0.0098203254076886,0.0096739216861541,0.0096617579605483,0.0095846331152067,0.0096915808749664,0.0098973363220754,0.0092902948126945,0.0099235206658647,0.0098894901127377,0.0097484065683407,0.0096932473829302,0.0095151499331624,0.0095886162008859,0.009684839585551,0.0098451357482552,0.0096828535152256,0.0099901105429771,0.0097759156052843,0.0096980131142845,0.0098003890035448
offset_pop,0.0003089612397374,0.0002525856661616,4.25061597719975e-05,0.0001580167113531,0.0002398235526838,0.0002374845459274,0.0001903782396182,0.0002739502963623,0.0002672275045859,0.0002181823550059,0.0001837133649616,0.0002689748499514,0.0002571183171911,0.0001627516236613,9.47284403563471e-05,0.0001370253608774,0.0002736126782126,0.0001528846683415,0.0002896102947106,0.0001659864663204,0.0001360069323545,0.0003637848951883,0.0001354807110576,0.0001968310425552,0.0001684665796898,0.0002186997793591,0.0002399279945359,0.0001264941124979,0.0001210425121166,0.0001994793734162,0.000177163079086,0.0003884880690008,0.00015752989427,6.66406944268189e-05,0.0001720130054016,0.0002317988965609,0.0002555272947411,0.0004388329843683,0.0002280913954414,0.0001770361518927,0.0001494204620838,0.0001102593943945,0.0002054366745133,8.94803262805535e-05,0.0002602455651642,0.0002511936658561,0.0001936405351177,0.0002179701944711,0.0010459119393925,0.0003574661280787,7.91921582451987e-05,0.0002219781902654,6.10890540961864e-05,0.0002202107481939,0.0002122675394694,0.0001592766901019,0.000187975899157,0.0002151857736172,0.0003163143413961,0.000204911063652,0.0002077318274595,0.0006337433360235,8.67438238646894e-05,0.000181522319689,0.0001303292953886,0.0001677981084547,0.0003138435717833,0.0002295629478333,0.0002234564146987,0.0002022233187769,0.0001997218346547,0.0001042666753418,0.0001984668207097,0.0001167144911882,0.0001024605595823
