Unnamed: 0,run,convergenceIndicator,exploratoryNumber,smoothingNumber
1,FjvLxpBb1uk2hpDJTUtt,-355198.310340714,925,1000
39,gqe3EgUunhcEqSKOJMgb,-354431.231185448,2168,1000
27,tvenfm1inVG2qXtxYPF0,-353858.535211333,1171,1000
20,tGSsidyLYdhK7kuOhwCv,-353710.967652294,1474,1000
49,fZQLKsCu1m9RX4ecAlom,-353470.825983839,1372,1000
4,DbrOFX9Q21iip3YH6kJy,-353460.438282954,937,1000
32,vjb389OsAxp0uedXW6cV,-353405.633120951,1678,1000
23,yvOtXgCdKkxD7pJeiTBo,-353009.369988438,1338,1000
6,zelLtaup6IROyUYw0nDj,-352861.281279699,1801,1000
28,uos3LcAXaiVmu7bsFH7v,-352730.958006274,1408,1000
52,q2ndD2U0iU0obl0o62GO,-352504.473301227,1408,1000
51,wKVfkn05sXMayPDQr3Vu,-352281.113704072,2000,1000
35,GJ1F6y6usx3TOHchWRlj,-352088.316733028,1406,1000
61,Q5YCbfZgEP6QjT6Iz11T,-351885.054173829,1168,1000
47,lC1agIr8XJHDttkEixko,-351883.88755432,1166,1000
42,fybrMIoSPeOOeuWOxcyj,-351850.652428464,1412,1000
0,9GJwK6hRCHsVEJwcbE2f,-351797.184385224,1754,1000
24,xOeHg9ZwqN8jSBLsHnUV,-351741.793806479,989,1000
21,hrrLVSMDXOWBa8BTfVZd,-351640.55414298,1841,1000
57,eIG6oWTxJWkt2Hfuvok7,-351511.666108915,1878,1000
56,G7vdmg98MYzFhhJgN1MP,-351405.435269571,2246,1000
58,AePho731rGsdYzH7fUxs,-351144.490693961,1312,1000
12,HYaDDuMX7N6XZL3WrxzF,-351094.498641929,1249,1000
17,K5C4Rhu2Z7y9skDemDT4,-351011.789766276,1487,1000
48,ILahr6LpKKpF544i73L5,-350774.508361793,1122,1000
40,s03fnBvs31LptesnqpAK,-350616.412138043,1507,1000
31,AKSUNQTBluxQ8pMfpJpH,-350154.756081394,1850,1000
60,PeYjZggSDATtgA8KXXMV,-350086.221138234,1509,1000
13,oBNO5DXtrG2IUvJeLxQF,-349900.300454127,1406,1000
53,MYQzpMwdve1ELfPRgURp,-349662.722233926,1752,1000
45,Cy9liSNmt1AwxgDsjkdo,-349655.42142313,2502,1000
5,sbWIDBgJ461mO3mMfnTN,-349644.003454236,1820,1000
14,Nn7S5qc4WJgR3VA996sO,-349583.461228672,1407,1000
29,4tXmgZWRc3Tm1CNqkf07,-349505.987230339,1369,1000
33,lwgdTk00ry1pOf8e3vUU,-349478.673944823,1338,1000
22,KQ0KCCbUQ1gsoVyF0LgF,-349359.745051348,1752,1000
7,wGTHcPD8gBUrdTXoam3g,-349357.132006626,1036,1000
16,cutJQpDK0PjCBjV9Fhx4,-349291.948996353,1407,1000
10,uxGSLmP7MlBTKwBLSA3r,-348777.522104517,1527,1000
19,V7vIFoimeqIULbh4fLCi,-348649.756194105,1407,1000
18,2qBh1R5bX5qkehmqMylw,-348503.477643216,2639,1000
59,EfISe62YXQxt4XQG56N3,-348351.158678806,2171,1000
41,w3FhJLTqOkSPdQJCugar,-347942.726028843,1178,1000
8,IS2uCzTNQhskKcKlQzMA,-347757.21386762,2003,1000
36,ExjPkQ3BYNMp2Nw6Bwzd,-347660.935145297,3396,1000
15,Mt4Dw2Cc8chy9IwpPzZe,-347259.924925873,2639,1000
37,41LP6vXRfdr1XGkAAUf0,-346883.124035174,2359,1000
9,eVGZK6CGYQ55kNFcj99A,-346312.564762,2100,1000
43,kkS4GGn3pXDEazelVVX5,-345853.411165983,4588,1000
38,MLLz127eF3j1xP6flZs6,-345491.701786286,1349,1000
34,5n06mH9TPb76RiFz0tiY,-345475.208460937,1438,1000
54,GfDTvQLtK9gRBmbbozFs,-344577.550221825,1869,1000
55,wsZKnMwpYpqWTfORag9r,-343911.949667328,1514,1000
50,6HBERm5NjlucoMOIsTnz,-342963.358567236,2176,1000
46,rVbkp0YM9tGofr8h3R9i,-342367.453880181,2709,1000
44,4L14lFvCuwRBwuuNWrHG,-341218.705476775,1392,1000
11,7TMDjJDHQ3Tl4QuTgIuY,-341000.364242017,3086,1000
3,UUzM26caYP06kbYpShKl,-340368.651075139,2219,1000
2,atYWl7XTTB2VG3COkh5f,-339873.003747292,3216,1000
26,hBmSwm6l5nOlPf57cizd,-337251.368163698,3012,1000
25,8IFt1oxzIDlTbIdMpkY2,-334849.773746894,3747,1000
30,tTnSX82G8cbhbHyil1pT,-333083.892728107,3213,1000
