Unnamed: 0,run,convergenceIndicator,exploratoryNumber,smoothingNumber
86,a1DCIUAGHsCTIS9ldqKq,-35890.648934022,727,1000
19,OtTK4qp6OwyjMI0Ix3ic,-35866.2630114976,944,1000
52,1NpOlRu8mYexQhkvWeEq,-35852.4100486864,1049,895
12,YEB9C6mj6w2eAYADDl19,-35834.8125527147,739,1000
82,S8p1odHUPiKvC3GHz9ZZ,-35804.7335184578,727,1000
89,wZycanVTfNfVfYKLfOCN,-35797.7225575002,729,1000
67,UiCsl4MY4bVIOXMUyIUz,-35783.9601739086,808,1000
20,Cx14YvzaLM1m7BBYlOsr,-35717.9774556559,717,1000
11,bMZJEGqIC9CVm1Ysql43,-35698.4871005117,943,1000
31,PNySZK1B2BEmldyNTAqS,-35663.4626852515,970,1000
49,zLRgDA9yGMuN1D8LMvUn,-35587.7389290969,1078,1000
54,p3G9y4AB1Osqq5JY9CN4,-35541.755187158,1003,1000
45,q4xXDesvbzXFa0vOWfFi,-35539.9177834645,942,1000
46,SIASsZ4nKFFfRx3vP7GM,-35538.389111061,1049,1000
50,wFQPWhTEWMSiG0Q2uwe5,-35515.6875206189,1058,1000
68,H3VGS7DiD0dq6i7oPVCk,-35511.3012596307,928,1000
27,kki7eqDrCLR0MV6gpy2j,-35479.0871374749,1054,1000
0,tveqIaYt9ZVkzfZwmhWv,-35471.4196659227,815,1000
72,m5diDOXeAFEKZoZGZEQJ,-35470.1700094335,941,1000
58,S4VRFK91ObB0LWJpppYH,-35417.324341297,1429,1000
43,Ms7AWU1VHwX0GSJGlsTZ,-35413.6206675231,746,1000
61,2WkZC98MogT6JwiWYTpY,-35408.5421291725,679,1000
29,zeTmVR4erOKRzubBErpz,-35378.7453973793,659,1000
91,ZqLog7Wk8kDiWamfBXPB,-35355.1406946721,1066,1000
63,YHaTZXimtbby8aLdGFX5,-35350.110183181,1172,1000
30,apJCZkIQl3twXS2kbCLF,-35324.1504908306,560,1000
84,6fEFJGiBIE12dIF1jLCg,-35310.4708500658,697,1000
77,GuD0n54bOFjfvIG2DkAC,-35304.8401190234,1053,1000
7,MVrPVa3nYGKaSUfZvNjy,-35269.3073730535,1171,1000
24,494HHXh1eGHtSvFEUcgW,-35266.0166757081,811,1000
78,HCZSQIPJZp91AzMLrLx5,-35261.7804554716,684,1000
79,zrphtJyHiZrZNIERKX0m,-35251.2179689526,1472,1000
57,U6TkadpFXVmWRkRx0A35,-35234.7964216528,888,1000
13,3ZJMHEmZkJK7A3qKYmgo,-35231.3288810207,869,1000
88,LOZCpdlTnQn1WU5ae2zq,-35215.7952173837,1032,1000
70,daClttmnoUVcEWtP9mu1,-35212.066412509,729,1000
73,sID0geyXm4CD2YTJ30f7,-35211.6263167895,739,1000
