,saem,cond,mode,se,ll,run
0,177053.073660135,,,2135.81079220772,1486.40767192841,USemwKEc8eFAOrFQRx5C
1,234137.696451902,,,2073.82770371437,1469.43156290054,YSjR7QQAIJdR2NisT5Iw
2,149281.115507603,,,2007.17971658707,4862.34451270103,awSKX9QLNNWc5p0BtAaw
3,283124.704568386,,,1720.83523130417,1488.02559709549,TeDoFRxLv7aycawQagNR
4,125048.816332102,,,1302.72330951691,355610.55914402,j7hYKf8cjRQozE5zPHwo
5,223858.344851255,,,1791.85898113251,368144.365485191,PLmB7oXsmWzAS1nKRUAA
6,117722.453588247,,,2123.3952050209,1449.20727443695,NJrRAqCEXzDVBwYATW3l
7,115654.392597198,,,2366.49426293373,1452.5128159523,ohaai9vEKjb8gcZoP9sU
8,157469.789887428,,,1564.23073983192,333534.206130028,Pfj82wCWpIALBsoHrSrH
9,363218.804817438,,,2388.34075927734,1463.19006586075,UouaISZmZe5rBZWV0ScW
10,151523.698577404,,,1861.92982244492,11451.1344428062,DHJ013145sex2MBWeTrg
11,274265.619118452,,,1832.2976603508,1473.35489320755,o6zBx88V1eQNVMuA6pWm
12,272458.947414398,,,1829.81382465363,1438.60028958321,2hPFMPyjj5pMsTLKsIa9
13,181211.95638895,,,2046.72553396225,1440.22393584251,UaXQ0mDEgO4nAl2hmXv0
14,183361.839691877,,,1728.64579057693,341715.432403564,8epWTsonDCykNs42POTi
15,265450.286265612,,,2250.73918318748,1430.89077615738,hZM3KT9Kft2XAIahBzXc
16,214698.393160582,,,2237.57125067711,1431.67899417877,gY4OE1nTnKVCQl8I6DzS
17,236970.130574942,,,2222.25514602661,353934.079179525,cJiCStHuBTvWyqqnDRcx
18,149268.013387203,,,1501.77468156815,332355.772676945,J8iuE2c1mRMlTUnrJcHF
19,382677.720119476,,,2503.41867852211,1455.46476459503,MUJ6iedCaTfhiN5DTpQS
20,468624.201795816,,,12571.1912987232,1431.49552464485,DMmlejeKSqVTeXwWjUZF
21,246908.255429983,,,1838.30445170403,1437.32568001747,ThmWsLKQLss2Fz3a51bg
22,242320.358995438,,,2205.58215308189,1432.25076079369,2E1CrSs5xtjQjshatNVj
23,584448.085132599,,,2259.10110998154,1470.06930780411,lDHEdQf90hlj3OihJDic
24,439020.364672661,,,2577.91474103928,1480.93448066711,H0jaRavZ66erIwvCSTBt
25,362789.939922571,,,2279.73397397995,1467.23896074295,BtUGQZsR2HDT0jU3fh96
26,155722.093753815,,,1860.81479883194,1703.61187624931,wagsXjic4oLubyvbsRyu
27,142957.001469612,,,1972.3437128067,380134.301944256,n5bVqZfMUVYgEiaF9CyD
28,303339.771087885,,,2486.16342043877,1445.96003603935,xLRs8xz6HnGgSYvnzmA7
29,230096.234398365,,,2289.0645544529,1429.45490121841,hnWXwSX7Ew1fOZZ0J2Md
30,219952.891952038,,,2453.3473880291,1449.50770688057,oAX6rW4JDWb6AsrDVoEP
31,211870.798712254,,,1946.11003541946,1441.65271759033,LnoUXGec1blEA5nur5Ll
32,215128.133038044,,,1795.46706008911,1448.86375832558,pIYw7KyUarKYcaecjzMZ
33,137827.777760744,,,1794.90387010574,1472.37263631821,Lp76F1Le7fLR6oWiqSmP
34,114557.511693478,,,2031.44037103653,7783.56140732765,YE58JMbvU9pRinRryPZu
35,261071.482910633,,,1987.76680636406,1847.52808737755,kzYqcreyFSlvpJNf9eGC
36,150616.076998234,,,1591.88423728943,1442.36660766602,cs9OgvF10z1b5YYWGGyj
37,181484.361278772,,,1962.64289093018,207471.237518549,e7qOHrSnjN25r8oFLXPG
38,434384.066824436,,,1898.09558963776,1486.94568681717,nY5IeV8jgAvLJM5soq5w
39,308573.611995697,,,2133.72581601143,1471.30524921417,kq73CJ68BUhxp2ZECaZJ
40,169726.384777784,,,1420.40791678429,1453.49786520004,PKBIaOrBUxiFh7OBo7Yz
41,277497.949751616,,,2073.57458114624,1440.73378872871,DcJ1tgm8HUocnHDGgafW
42,157338.427761316,,,2122.69283461571,1440.30051088333,99SZt6266biNquEae59m
43,233525.902234554,,,2362.47771596909,1437.41235518456,pxcEdJQeQUumU7TA9Z55
44,291300.192777634,,,1587.3245382309,1431.3231086731,y1KEasNlj4lwNXc5sH6J
45,169251.485118389,,,1745.14257144928,342176.49769783,BCuNOMz2qr9RiDRY2LMQ
46,181134.222629309,,,1591.25463271141,1442.90972757339,q6LNZMu1r62vIgaRFSeY
47,204504.39700532,,,2097.21006679535,1444.06278681755,lGNWoT4R5gibmV45SzEa
48,232385.872519016,,,2087.82328152657,2228.43783211708,OIkshXnkmhzfixB4qT4v
49,306641.971436501,,,17732.1048891544,1431.02347970009,SQjBnrx3MyDLDdok6F3Q
50,241700.519316673,,,1755.86128973961,6015.02042579651,Fh7WDVlZkxh3Q0jZBK60
51,291562.891283751,,,2460.89741873741,1448.93903827667,LRLn96S4BndHwhXzdSta
52,405644.824645042,,,2388.21159958839,1442.21855401993,hdd263pHBT4QHOWTiaHY
