Unnamed: 0,OFV,AIC,BIC,BICc,run
848,-141217.943144369,-141195.943144369,-141159.661653337,-141128.503912232,1674396385_32808
233,-141158.756267248,-141136.756267248,-141100.474776216,-141069.31703511,1674416138_67304
349,-141137.79921942,-141115.79921942,-141079.517728388,-141048.359987282,1674307710_96484
754,-141110.121944434,-141088.121944434,-141051.840453402,-141020.682712297,1674314210_18626
305,-141106.742763776,-141084.742763776,-141048.461272744,-141017.303531638,1674294937_98319
27,-141101.69752218,-141079.69752218,-141043.416031148,-141012.258290043,1674406814_76871
17,-141090.686481472,-141068.686481472,-141032.40499044,-141001.247249335,1674404072_67825
222,-141088.322266512,-141066.322266512,-141030.04077548,-140998.883034375,1674412947_51687
227,-141084.636510261,-141062.636510261,-141026.355019229,-140995.197278123,1674414659_45423
631,-141077.818967867,-141055.818967867,-141019.537476835,-140988.37973573,1674361535_64161
290,-141065.675920418,-141043.675920418,-141007.394429386,-140976.236688281,1674433432_73038
613,-141062.130274088,-141040.130274088,-141003.848783056,-140972.69104195,1674356503_2204
655,-141058.563209305,-141036.563209305,-141000.281718273,-140969.123977167,1674369131_00808
888,-141056.331794756,-141034.331794756,-140998.050303724,-140966.892562618,1674429988_07282
720,-141051.048076668,-141029.048076668,-140992.766585636,-140961.60884453,1674302338_57322
388,-141045.523462488,-141023.523462488,-140987.241971456,-140956.084230351,1674319783_82453
516,-141041.663706322,-141019.663706322,-140983.38221529,-140952.224474185,1674373725_80022
403,-141041.354491622,-141019.354491622,-140983.07300059,-140951.915259485,1674324170_07657
654,-141037.20514664,-141015.20514664,-140978.923655608,-140947.765914503,1674368867_20041
127,-141033.396849123,-141011.396849123,-140975.115358091,-140943.957616986,1674342129_69408
380,-141028.598567003,-141006.598567003,-140970.317075971,-140939.159334866,1674317485_4253
712,-141027.836361292,-141005.836361292,-140969.55487026,-140938.397129154,1674298897_70664
309,-141027.625468503,-141005.625468503,-140969.343977471,-140938.186236366,1674295939_55127
228,-141018.141735275,-140996.141735275,-140959.860244243,-140928.702503138,1674414979_82473
364,-141009.482331745,-140987.482331745,-140951.200840713,-140920.043099608,1674312363_80003
331,-141002.405541595,-140980.405541595,-140944.124050563,-140912.966309457,1674302267_57784
147,-141001.661157245,-140979.661157245,-140943.379666213,-140912.221925108,1674349107_41307
661,-140996.119391893,-140974.119391893,-140937.837900861,-140906.680159755,1674370903_84293
568,-140995.494491886,-140973.494491886,-140937.213000854,-140906.055259748,1674388808_51684
540,-140992.975762353,-140970.975762353,-140934.694271321,-140903.536530215,1674380444_79976
335,-140984.403810652,-140962.403810652,-140926.12231962,-140894.964578515,1674303263_29995
468,-140981.476384508,-140959.476384508,-140923.194893476,-140892.037152371,1674343361_89721
327,-140972.015061529,-140950.015061529,-140913.733570497,-140882.575829391,1674301123_57137
162,-140968.135365133,-140946.135365133,-140909.853874101,-140878.696132996,1674354692_2523
284,-140963.708529056,-140941.708529056,-140905.427038024,-140874.269296919,1674431787_66859
745,-140963.144845098,-140941.144845098,-140904.863354066,-140873.705612961,1674311167_97645
418,-140954.991815271,-140932.991815271,-140896.710324239,-140865.552583134,1674328699_91959
399,-140952.050822452,-140930.050822452,-140893.76933142,-140862.611590315,1674323159_53642
495,-140944.68797994,-140922.68797994,-140886.406488908,-140855.248747803,1674351320_41859
407,-140940.227020549,-140918.227020549,-140881.945529517,-140850.787788412,1674325359_71404
668,-140928.792593928,-140906.792593928,-140870.511102896,-140839.353361791,1674373226_91192
769,-140927.696208416,-140905.696208416,-140869.414717384,-140838.256976278,1674319648_85255
23,-140924.253304235,-140902.253304235,-140865.971813203,-140834.814072098,1674405660_28302
175,-140918.05767674,-140896.05767674,-140859.776185708,-140828.618444602,1674359415_9997
856,-140916.829704986,-140894.829704986,-140858.548213954,-140827.390472849,1674398783_7363
896,-140915.705935016,-140893.705935016,-140857.424443984,-140826.266702878,1674432304_58694
481,-140915.323953448,-140893.323953448,-140857.042462416,-140825.884721311,1674347639_17832
98,-140912.202693945,-140890.202693945,-140853.921202913,-140822.763461808,1674427885_46235
617,-140905.096897685,-140883.096897685,-140846.815406653,-140815.657665547,1674357256_53525
699,-140905.005379909,-140883.005379909,-140846.723888877,-140815.566147771,1674381952_97261
34,-140900.735467757,-140878.735467757,-140842.453976725,-140811.29623562,1674408956_65318
146,-140899.729089512,-140877.729089512,-140841.44759848,-140810.289857375,1674348873_8819
662,-140896.208425024,-140874.208425024,-140837.926933992,-140806.769192887,1674371093_53028
73,-140894.926586494,-140872.926586494,-140836.645095462,-140805.487354356,1674420751_05079
361,-140894.556546671,-140872.556546671,-140836.275055639,-140805.117314534,1674311577_39393
333,-140889.702773779,-140867.702773779,-140831.421282747,-140800.263541642,1674302774_39878
86,-140889.462888841,-140867.462888841,-140831.181397809,-140800.023656703,1674424651_79947
357,-140887.037701642,-140865.037701642,-140828.75621061,-140797.598469504,1674310256_59
615,-140884.367796015,-140862.367796015,-140826.086304983,-140794.928563878,1674356910_52043
607,-140883.028949539,-140861.028949539,-140824.747458507,-140793.589717401,1674354613_15538
279,-140875.847932867,-140853.847932867,-140817.566441835,-140786.40870073,1674430137_4563
430,-140875.763324636,-140853.763324636,-140817.481833603,-140786.324092498,1674332491_32659
709,-140873.578132382,-140851.578132382,-140815.29664135,-140784.138900244,1674297484_64595
751,-140872.768804297,-140850.768804297,-140814.487313265,-140783.32957216,1674313286_41303
41,-140872.662073484,-140850.662073484,-140814.380582452,-140783.222841347,1674410625_19835
332,-140871.879670437,-140849.879670437,-140813.598179405,-140782.440438299,1674302566_04105
894,-140871.872523681,-140849.872523681,-140813.591032649,-140782.433291543,1674431802_73864
591,-140870.649649694,-140848.649649694,-140812.368158662,-140781.210417557,1674396154_27514
26,-140869.992771972,-140847.992771972,-140811.71128094,-140780.553539835,1674406580_76624
108,-140869.958129121,-140847.958129121,-140811.676638089,-140780.518896983,1674334357_53479
267,-140864.139711867,-140842.139711867,-140805.858220835,-140774.700479729,1674426406_59328
107,-140862.74099224,-140840.74099224,-140804.459501208,-140773.301760103,1674334155_57786
628,-140858.473624647,-140836.473624647,-140800.192133615,-140769.034392509,1674360717_78178
44,-140849.220333381,-140827.220333381,-140790.938842349,-140759.781101243,1674411518_96435
694,-140848.227155786,-140826.227155786,-140789.945664754,-140758.787923649,1674380454_38063
884,-140846.134699589,-140824.134699589,-140787.853208557,-140756.695467451,1674428527_71684
528,-140845.072815005,-140823.072815005,-140786.791323973,-140755.633582867,1674377084_75407
362,-140842.504495903,-140820.504495903,-140784.223004871,-140753.065263766,1674311769_76989
316,-140837.761901625,-140815.761901625,-140779.480410593,-140748.322669487,1674298057_51213
530,-140837.619118691,-140815.619118691,-140779.337627659,-140748.179886554,1674377542_73784
804,-140830.885505855,-140808.885505855,-140772.604014823,-140741.446273718,1674383405_02868
104,-140828.408981605,-140806.408981605,-140770.127490573,-140738.969749468,1674333069_303
785,-140827.868435444,-140805.868435444,-140769.586944412,-140738.429203307,1674326171_91421
692,-140824.891363821,-140802.891363821,-140766.609872789,-140735.452131684,1674379872_75965
