X,OFV,AIC,BIC,BICc,chosenDegree,standardError,run
4,1256.18504257048,1296.18504257048,1333.18799460468,1358.95140316216,5,0.606398311897568,1711287170_77755
9,1256.64508209429,1296.64508209429,1333.64803412849,1359.41144268597,5,0.532163676241988,1711315283_94952
4,1256.82916385334,1296.82916385334,1333.83211588754,1359.59552444502,5,0.587751617910638,1711288962_04249
1,1256.87450990376,1296.87450990376,1333.87746193796,1359.64087049544,5,0.598774917171635,1711296960_48587
5,1256.92457450113,1296.92457450113,1333.92752653533,1359.6909350928,5,0.446853662647188,1711288401_19546
5,1257.0779716358,1297.0779716358,1334.08092367001,1359.84433222748,5,0.506483327480112,1711318353_87488
4,1257.17309878828,1297.17309878828,1334.17605082248,1359.93945937996,5,0.468653044088075,1711332034_96173
4,1257.26662686416,1297.26662686416,1334.26957889836,1360.03298745583,5,0.452228894877545,1711301731_96602
3,1257.29336989519,1297.29336989519,1334.29632192939,1360.05973048687,5,0.501083844626376,1711298114_70195
10,1257.75187155567,1297.75187155567,1334.75482358987,1360.51823214735,5,0.614166466672319,1711302154_34483
4,1257.76048302893,1297.76048302893,1334.76343506313,1360.52684362061,5,0.599466445489407,1711313869_16762
4,1257.84732247077,1297.84732247077,1334.85027450497,1360.61368306245,5,0.576567921017069,1711294409_34047
3,1258.07336111083,1298.07336111083,1335.07631314503,1360.83972170251,5,0.458740051117396,1711330903_81433
1,1258.07410216546,1298.07410216546,1335.07705419966,1360.84046275714,5,0.445444709797525,1711284070_74856
1,1258.15577463584,1298.15577463584,1335.15872667004,1360.92213522752,5,0.499826534641003,1711336407_26369
7,1258.1559067488,1298.1559067488,1335.158858783,1360.92226734047,5,0.465268972516133,1711296274_78721
8,1258.21537503467,1298.21537503467,1335.21832706887,1360.98173562635,5,0.472413547749177,1711326889_44636
1,1258.21981330991,1298.21981330991,1335.22276534411,1360.98617390158,5,0.464833730905405,1711284207_74155
7,1258.29486667997,1298.29486667997,1335.29781871417,1361.06122727164,5,0.441791387557219,1711333083_95677
1,1258.33600934124,1298.33600934124,1335.33896137544,1361.10236993292,5,0.588446525371515,1711311966_55816
1,1258.34164794513,1298.34164794513,1335.34459997933,1361.10800853681,5,0.545449927644275,1711298757_49741
9,1258.35582775064,1298.35582775064,1335.35877978484,1361.12218834232,5,0.596445797163815,1711307143_72085
6,1258.46546880977,1298.46546880977,1335.46842084397,1361.23182940144,5,0.531825554572004,1711303905_35741
4,1258.46752687222,1298.46752687222,1335.47047890642,1361.2338874639,5,0.528305693397657,1711300142_06698
7,1258.47036555866,1298.47036555866,1335.47331759286,1361.23672615034,5,0.633398842017086,1711314212_10322
8,1258.49499241164,1298.49499241164,1335.49794444584,1361.26135300331,5,0.492424088075781,1711341130_88399
4,1258.55418125514,1298.55418125514,1335.55713328934,1361.32054184681,5,0.445951354189498,1711330544_82371
8,1258.55511525394,1298.55511525394,1335.55806728815,1361.32147584562,5,0.538647564712399,1711316676_01666
2,1258.60625069492,1298.60625069492,1335.60920272912,1361.3726112866,5,0.484254503481051,1711284935_35543
4,1258.70459434929,1298.70459434929,1335.7075463835,1361.47095494097,5,0.482018577548344,1711338841_50515
5,1258.70649842873,1298.70649842873,1335.70945046293,1361.47285902041,5,0.428885462202689,1711315164_04538
6,1258.7424601044,1298.7424601044,1335.7454121386,1361.50882069608,5,0.501084377679226,1711304405_77453
