X,saem,cond,mode,se,ll,run
4,702.11133146286,,,260.864954471588,267.385298967361,1711287170_77755
9,326.510889530182,,,154.988203287125,153.486114501953,1711315283_94952
4,388.693101644516,,,162.123072862625,160.02517914772,1711288962_04249
1,386.062490701675,,,160.297035694122,158.771865129471,1711296960_48587
5,531.686650514603,,,261.225059986115,266.24046254158,1711288401_19546
5,326.352211952209,,,156.368214607239,152.365216493607,1711318353_87488
4,582.124765634537,,,277.579089164734,285.40550494194,1711332034_96173
4,527.855164289474,,,264.473441362381,268.328504562378,1711301731_96602
3,285.11819767952,,,161.820426702499,160.958669424057,1711298114_70195
10,312.528981208801,,,164.185439348221,160.186268806458,1711302154_34483
4,721.853366136551,,,283.278262615204,289.675549030304,1711313869_16762
4,377.749579668045,,,160.340873003006,157.528687953949,1711294409_34047
3,569.041848897934,,,278.11278796196,283.906579494476,1711330903_81433
1,542.230751037598,,,240.213356971741,241.586028814316,1711284070_74856
1,589.143984079361,,,247.239742040634,223.315021038055,1711336407_26369
7,311.985246419907,,,156.46611738205,154.297657251358,1711296274_78721
8,523.727051734924,,,275.215279579163,282.961829185486,1711326889_44636
1,420.985489845276,,,167.902925729752,166.168000936508,1711284207_74155
7,451.362209558487,,,255.303638458252,227.636024713516,1711333083_95677
1,369.676098823547,,,170.138699531555,168.003927946091,1711311966_55816
1,634.221575260162,,,250.033028125763,257.561991930008,1711298757_49741
9,382.013957738876,,,163.121826410294,160.00474023819,1711307143_72085
6,552.908063173294,,,260.196764469147,267.00413775444,1711303905_35741
4,342.444158315659,,,160.042431116104,158.416588068008,1711300142_06698
7,311.084314346313,,,157.967537641525,154.176974773407,1711314212_10322
8,702.529875516891,,,281.598680019379,291.766440629959,1711341130_88399
4,443.501267433167,,,249.904770612717,232.830225944519,1711330544_82371
8,543.157425880432,,,235.317943334579,221.221923589706,1711316676_01666
2,562.76958990097,,,264.604291915894,270.378784418106,1711284935_35543
4,566.526572704315,,,257.420432329178,232.102022409439,1711338841_50515
5,585.840680360794,,,269.73962020874,278.625459671021,1711315164_04538
6,381.449903011322,,,158.106386184692,154.654843091965,1711304405_77453
2,497.500172138214,,,241.977998495102,247.732925891876,1711285094_83222
5,459.919324159622,,,245.27564573288,244.974454879761,1711294125_41651
6,472.412911176682,,,231.230703353882,221.500102996826,1711314758_45181
6,382.022958278656,,,159.292365074158,156.997442483902,1711295576_4064
3,383.826278209686,,,165.19850063324,162.912447214127,1711291447_64137
1,449.035454273224,,,165.49259185791,164.03163599968,1711290208_6337
5,488.32609629631,,,254.190491437912,238.13134765625,1711300645_52331
7,534.229262590408,,,235.289863824844,222.708804368973,1711315683_6956
7,457.134669065475,,,234.880741596222,226.508794546127,1711322656_33535
10,425.822434663773,,,246.768894910812,228.43554186821,1711343948_84567
9,675.588394403458,,,284.285046339035,290.405254602432,1711342406_91617
1,296.875508546829,,,163.181821107864,159.278787851334,1711284207_8209
6,727.947928905487,,,274.895892381668,283.564828395844,1711316298_3236
6,287.370766878128,,,160.314348936081,158.129321813583,1711299897_85049
6,463.234586238861,,,252.664816856384,227.648459672928,1711340593_41485
2,394.199196815491,,,161.77077960968,159.003392219543,1711308318_93108
3,460.442475318909,,,235.053543329239,224.197414159775,1711308112_4101
1,660.175240755081,,,247.41722035408,233.785587787628,1711306294_71781
7,575.408265352249,,,274.488503456116,281.465484619141,1711325757_98831
3,466.38139462471,,,167.732339382172,165.353573083878,1711313370_96487
7,573.260581731796,,,239.186383008957,239.184436798096,1711295837_53855
5,342.258138895035,,,158.9534304142,157.014091730118,1711289672_93312
1,303.231281995773,,,161.367921829224,158.582959890366,1711315928_36216
8,340.422676086426,,,164.970788478851,162.711688995361,1711308289_76912
3,562.87631726265,,,253.872986316681,236.483998298645,1711296436_01435
8,381.008641958237,,,161.731326580048,157.274822473526,1711296897_59456
8,267.956929922104,,,167.365384340286,167.002138614655,1711288288_92563
8,380.726613521576,,,167.089293003082,163.551604270935,1711317341_62185
5,442.797530174255,,,249.826403856277,235.813885688782,1711331471_23581
2,609.41866517067,,,241.064066886902,244.237580537796,1711299899_38327
6,516.790331840515,,,261.452218770981,268.309169530869,1711289460_39938
6,401.0940117836,,,159.639880180359,159.973266363144,1711290331_2139
9,422.879293680191,,,166.885416269302,164.747539997101,1711308957_94365
9,261.181446790695,,,163.997722864151,164.798912763596,1711295659_75394
3,307.635145187378,,,156.230345964432,153.76588344574,1711316993_4125
6,342.94944691658,,,165.84244966507,161.853390216827,1711287135_78451
5,581.764747858047,,,263.803350448608,267.055787086487,1711302792_67817
7,377.452522993088,,,160.126213550568,157.726212024689,1711300503_71848
2,356.876514911652,,,171.293010473251,168.285595655441,1711312674_4398
10,505.966760396957,,,164.368791103363,161.199558258057,1711289367_63357
9,325.615428924561,,,157.832141399384,153.787941932678,1711297597_68308
8,514.562304973602,,,265.066178560257,270.44890332222,1711291643_53145
6,332.975831508636,,,164.259680509567,161.961024284363,1711293563_53472
9,657.60397195816,,,275.772763967514,280.740046024323,1711306633_12691
9,344.096117734909,,,158.577461481094,155.254141569138,1711321007_34055
7,520.501287698746,,,247.428655862808,225.074127674103,1711341537_07221
4,324.771527051926,,,164.103737592697,161.325640916824,1711292159_69842
5,385.870704889297,,,158.789842605591,156.832004547119,1711300803_0283
6,404.822408914566,,,165.542782068253,163.683007240295,1711307081_40483
3,342.160999298096,,,159.369055509567,155.890359401703,1711293751_85411
7,400.782867193222,,,164.569897651672,161.404150724411,1711294222_80003
7,604.899981021881,,,263.394954204559,268.170031309128,1711290507_00761
4,292.031242609024,,,167.902191877365,166.520235300064,1711285971_54286
4,570.444536685944,,,240.620095014572,241.905814886093,1711287360_15485
8,378.148313522339,,,167.56058049202,164.344377994537,1711294949_62519
5,379.188929080963,,,159.272398948669,157.59471988678,1711309964_31111
7,637.169882774353,,,284.780025720596,288.982569217682,1711339919_82597
5,423.748771905899,,,166.018597602844,163.734318733215,1711292809_96183
7,337.498000144958,,,161.176892995834,159.114627599716,1711291051_97367
8,302.187685728073,,,161.27484369278,159.246336698532,1711306520_96065
1,535.120408058167,,,253.780488014221,236.958105325699,1711294700_17352
10,368.215174436569,,,168.636811733246,164.281560659409,1711296249_8065
8,606.607882499695,,,238.356074810028,239.335960865021,1711296889_2219
4,429.870426416397,,,157.909334659576,154.892822980881,1711317611_14315
6,470.469388723373,,,236.03066277504,229.073142051697,1711301626_2622
1,483.939710140228,,,241.156522989273,231.210078001022,1711317690_10587
5,1855.737885952,,,1.55974078178406,255.682031393051,1711309784_79878
5,365.038043737411,,,158.212731599808,155.540280818939,1711299218_98211
3,566.074641942978,,,231.790044546127,218.52588891983,1711319330_51833
5,247.546899557114,,,143.13688826561,146.982804536819,1711286598_05213
