model,1 = K12  Absorption rate constant,2 = V2  Central volume of distribution of sunitinib,3 = QH  Hepatic blood flow,4 = CLP  Clearance of sunitinib,5 = CLM  Clearance of SU12662,6 = V3  Central volume of distribution of SU12662,7 = Q34  Inter-compartmental clearance of SU12662,8 = V4  Peripheral volumes of distribution of SU12662,9 = FM  Fraction of sunitinib converted to SU12662,10 = Q25  Inter-compartmental clearance of Sunitinib,11 = V5  Peripheral volumes of distribution of Sunitinib,12 =  Prop. Error Suni,13 = Prop. Error Metab,1 IIV V2,"OMEGA(2,1)",2 IIV V3,"OMEGA(3,1)","OMEGA(3,2)",3 IIV CLP,"OMEGA(4,1)","OMEGA(4,2)","OMEGA(4,3)",4 IIV FM,Proportional error sunitinib,Proportional error SU12662,ofv,minimization.successful,covariance_step_run,minimization_successful,covariance_step_successful,covariance_step_warnings,estimate_near_boundary,rounding_errors,zero_gradients,final_zero_gradients,hessian_reset,s_matrix_singular,significant_digits,CPU-time [s],subprob_est_time,subprob_cov_time
1,0.136387987,1555.718358,80,28.31141731,14.04973107,566.621488,2.946963078,360.1015126,0.21,0.473515447,588,-0.366637,-0.281007,0.058335218,0.03091386,0.152521091,0,-0.0613107,0.09899098,0,0,-0.042057,0.133331792,1,1,-501.0759101,1,1,1,1,0,0,0,0,0,1,0,2.1,320.563,93.97,159.9
2,0.134620852,1181.220113,80,34.99436905,17.57216427,537.4708767,3.698563445,712.6373109,0.21,0.306522452,588,-0.366637,-0.281007,0.046885587,0.062805491,0.215848819,0,-0.0613107,0.097727934,0,0,-0.042057,0.133294371,1,1,-501.0771655,1,1,1,1,0,0,0,0,0,0,0,2.4,294.094,154.94,173.46
3,0.132437928,2308.627384,80,28.07081689,18.82349847,559.1581988,4.152759514,787.428728,0.21,0.365834412,588,-0.366637,-0.281007,0.065305785,0.058458914,0.192385411,0,-0.0613107,0.069572338,0,0,-0.042057,0.073440703,1,1,-501.0736252,1,1,1,1,0,0,0,0,0,0,0,2.1,308.156,134.64,165.79
4,0.100853414,1634.393894,80,34.54361341,22.61259712,915.0226241,2.848126059,1000.731026,0.21,0.460245622,588,-0.366637,-0.281007,0.062157643,0.081950273,0.194210778,0,-0.0613107,0.099726889,0,0,-0.042057,0.111885446,1,1,-501.0772306,1,1,1,1,0,0,0,0,0,0,0,2.1,344.469,145.69,169.43
5,0.153423109,1404.428657,80,46.29203727,16.94652694,792.1610494,3.014158487,505.9004787,0.21,0.371275409,588,-0.366637,-0.281007,0.076113201,0.049604562,0.245316918,0,-0.0613107,0.073819096,0,0,-0.042057,0.144049697,1,1,-501.0772302,1,1,1,1,0,0,0,0,0,0,0,2.3,302.219,177.23,175.64
6,0.128909733,1649.664517,80,44.29391819,18.86783946,980.8068985,3.228000013,594.955053,0.21,0.336124401,588,-0.366637,-0.281007,0.050125486,0.044537288,0.238173204,0,-0.0613107,0.061754594,0,0,-0.042057,0.0984957,1,1,-501.0769396,1,1,1,1,0,0,0,0,0,0,0,2.3,375.984,153.97,155.28
7,0.149849262,1824.70341,80,70.84752242,24.10900082,486.5609049,2.312875424,456.9537079,0.21,0.423604432,588,-0.366637,-0.281007,0.071839882,0.045219525,0.133240436,0,-0.0613107,0.132475048,0,0,-0.042057,0.125413098,1,1,-501.0769106,1,1,1,1,0,0,0,0,0,0,0,2.3,323.234,213.77,168.82
8,0.148016885,1444.545551,80,39.57189819,16.40055188,788.8541987,3.245274641,684.0684096,0.21,0.341843204,588,-0.366637,-0.281007,0.045851448,0.060308233,0.130400206,0,-0.0613107,0.088816702,0,0,-0.042057,0.147107316,1,1,-501.0772384,1,1,1,1,0,0,0,0,0,0,0,2.4,,164.83,160.96
9,0.154175082,2021.644306,80,30.0269831,15.52923328,1159.364567,2.902882612,665.2446558,0.21,0.411906256,588,-0.366637,-0.281007,0.060028291,0.058950242,0.170768288,0,-0.0613107,0.074485803,0,0,-0.042057,0.14004046,1,1,-501.0772498,1,1,1,1,0,0,0,0,0,0,0,2.9,,143.18,157.95
10,0.13793304,2092.468402,80,23.71686623,20.12258335,2034.974922,3.093094274,513.5716849,0.21,0.358893613,588,-0.366637,-0.281007,0.073370044,0.02836842,0.206220982,0,-0.0613107,0.089149916,0,0,-0.042057,0.092969183,1,1,-501.0772344,1,1,1,1,0,0,0,0,0,0,0,2.5,,196.34,169.84
