X,OFV,AIC,BIC,BICc,chosenDegree,standardError,run
4,-322716.863274972,-322674.863274972,-322586.356504905,-322529.233979545,5,269.405311949363,1703622326_29596
2,-322594.73562296,-322552.73562296,-322464.228852893,-322407.106327533,5,311.012292949742,1703700064_52748
4,-322309.67770068,-322267.67770068,-322179.170930613,-322122.048405253,5,762.651487184327,1703326199_19178
1,-322030.622030609,-321988.622030609,-321900.115260542,-321842.992735182,5,4842.39074739219,1703574098_73867
3,-321861.583980399,-321819.583980399,-321731.077210332,-321673.954684972,5,313.278734379187,1703833580_96
5,-321294.401941253,-321252.401941253,-321163.895171186,-321106.772645827,5,289.037099853942,1703845654_16089
2,-321244.416948835,-321202.416948835,-321113.910178768,-321056.787653408,5,374.991710074005,1704037856_86827
5,-321204.754649821,-321162.754649821,-321074.247879754,-321017.125354394,5,249.872489461082,1704098311_70792
11,-321158.551178741,-321116.551178741,-321028.044408674,-320970.921883314,5,441.344378929039,1701021494_18584
7,-321023.538782464,-320981.538782464,-320893.032012397,-320835.909487037,5,287.630462096493,1700948947_46843
4,-320973.333594429,-320931.333594429,-320842.826824362,-320785.704299002,5,245.834816056819,1703718463_37505
5,-320640.280106257,-320598.280106257,-320509.77333619,-320452.65081083,5,291.804455242288,1703661520_21394
4,-320337.932943721,-320295.932943721,-320207.426173654,-320150.303648294,5,282.064179628489,1703747706_3387
4,-320109.772491737,-320067.772491737,-319979.26572167,-319922.14319631,5,441.905126490414,1703427601_95023
2,-320067.162741792,-320025.162741792,-319936.655971725,-319879.533446365,5,373.666093370293,1702077257_8336
5,-320004.034181203,-319962.034181203,-319873.527411137,-319816.404885777,5,581.463298544365,1703348599_58448
13,-319835.959599671,-319793.959599671,-319705.452829604,-319648.330304244,5,505.860881803411,1701064248_42509
2,-319373.935876966,-319331.935876966,-319243.429106899,-319186.306581539,5,259.931198467282,1703885890_87837
2,-319341.944204497,-319299.944204497,-319211.43743443,-319154.31490907,5,236.612897807936,1703289713_867
3,-319254.159216199,-319212.159216199,-319123.652446132,-319066.529920772,5,2646.21589154796,1703698962_8867
2,-319049.04240709,-319007.04240709,-318918.535637023,-318861.413111664,5,283.017702910128,1703183524_08838
5,-318694.426314782,-318652.426314782,-318563.919544715,-318506.797019355,5,264.749010405149,1703956488_52979
1,-318664.971190869,-318622.971190869,-318534.464420802,-318477.341895442,5,336.366944601864,1704017375_84244
3,-318506.069052347,-318464.069052347,-318375.562282281,-318318.439756921,5,321.792086369678,1704058007_6318
5,-318403.748047397,-318361.748047397,-318273.24127733,-318216.11875197,5,759.711338994693,1703639901_93189
9,-318139.760500579,-318097.760500579,-318009.253730512,-317952.131205152,5,944.413279852719,1700986542_53526
4,-317871.865552295,-317829.865552295,-317741.358782228,-317684.236256869,5,277.955724594784,1700892784_51286
1,-317826.040258242,-317784.040258242,-317695.533488175,-317638.410962815,5,1340.71896249328,1703964391_65108
1,-317460.555424052,-317418.555424052,-317330.048653985,-317272.926128625,5,331.372790886797,1703658022_59098
2,-317125.063212301,-317083.063212301,-316994.556442234,-316937.433916875,5,294.991663667786,1703698828_5216
6,-317066.717648454,-317024.717648454,-316936.210878387,-316879.088353027,5,296.454743878892,1700930231_70351
12,-316975.663207538,-316933.663207538,-316845.156437471,-316788.033912111,5,294.035965433745,1701046801_77654
5,-316952.875272834,-316910.875272834,-316822.368502768,-316765.245977408,5,349.786156513337,1703875158_95509
13,-316809.216062969,-316767.216062969,-316678.709292902,-316621.586767542,5,270.079571279799,1701060236_92795
1,-316618.562666062,-316576.562666062,-316488.055895995,-316430.933370635,5,564.973479056937,1703680610_66198
4,-316416.626538206,-316374.626538206,-316286.11976814,-316228.99724278,5,313.530924474044,1702117396_46464
4,-316224.865552097,-316182.865552097,-316094.35878203,-316037.236256671,5,461.958589496015,1704091192_46883
1,-315446.157864825,-315404.157864825,-315315.651094758,-315258.528569398,5,301.122563878422,1704009989_465
1,-315282.723293655,-315240.723293655,-315152.216523588,-315095.093998228,5,302.237206250426,1703273015_56169
4,-315000.213084587,-314958.213084587,-314869.706314521,-314812.583789161,5,623.59557268299,1703531485_91867
3,-314961.571080571,-314919.571080571,-314831.064310504,-314773.941785144,5,416.588526944502,1703904033_42655
3,-314958.733939106,-314916.733939106,-314828.227169039,-314771.10464368,5,4782.31648211234,1703605467_00189
4,-314914.201682205,-314872.201682205,-314783.694912138,-314726.572386778,5,800.41734467011,1702119199_0635
2,-314605.782198871,-314563.782198871,-314475.275428804,-314418.152903445,5,372.578588379376,1703929683_7626
5,-314586.907450982,-314544.907450982,-314456.400680915,-314399.278155555,5,628.045250667407,1703767414_54177
3,-314351.667669826,-314309.667669826,-314221.160899759,-314164.038374399,5,302.210395128776,1703305847_09301
1,-314337.646298514,-314295.646298514,-314207.139528447,-314150.017003087,5,2326.59759849753,1700838043_48774
2,-314134.978565723,-314092.978565723,-314004.471795656,-313947.349270296,5,271.186377758158,1703285033_94559
3,-314010.734404822,-313968.734404822,-313880.227634755,-313823.105109395,5,406.168312280195,1700873746_0922
