run,a,delta1m0_pop,delta2_pop,e0_m0_pop,gamma_pop,k1m0_pop,k2_pop,k2m0scale_pop,offset_pop,omega_delta1m0,omega_delta2,omega_e0_m0,omega_gamma,omega_k1m0,omega_k2,omega_k2m0scale,omega_offset,omega_r0_m0,omega_tBegin,r0_m0_pop,tBegin_pop
1703622326_29596,0.0339858721625534,1.32611330222124,-0.139366658722586,-1.47477934938792,-3.84899134294387,0.492969611607852,-0.749381190894553,11.2351420769033,2.13861545712598,2.90828897472037,3.05907491287275,1.66641453448946,2.6310401187742,1.52409222723589,1.6551346070043,1.18431950012553,0.416679573810241,1.59831624201727,0.70542406375259,-0.364434191415963,-0.368112168704614
1703700064_52748,0.0340083380171443,0.281037807965764,1.15796439814235,-1.11096399979737,-3.1178136448936,1.09528783468829,-1.62600776032029,11.3848228936677,2.13904612426893,3.37129732840936,3.75283090299346,2.57891129903847,2.2316292253505,1.22768006952381,1.68123516844372,1.13534987960496,0.41663529270346,1.57662052444264,0.697267374893144,-1.14423574103838,-0.364146728265316
1703326199_19178,0.0338827310837759,-1.62660953605138,1.29875772593877,0.479466032792811,-4.22535529985266,-0.0144953940101618,-0.49731352636159,13.0943537698861,2.13776968442892,2.69879610100068,3.8639142617171,2.13464312269004,2.56412402782306,2.0276254583469,1.6591184082772,1.14123322559163,0.4172645816636,1.84940869636147,0.716021691806295,-1.88897413985769,-0.377588882672959
1703574098_73867,0.0344536859446312,2.27485898786439,0.343910738948144,-1.2006694404752,-4.04696397989056,1.58260357761503,-1.87706994777631,12.8713395417089,2.13886575860161,2.70407147620922,2.7710791299685,1.53070694953988,2.45350502287008,1.2205081587682,1.77459879748079,1.10189729778635,0.416520435196599,1.67434064965802,0.692305634097326,-2.8800761155805,-0.356228381079661
1703833580_96,0.0338325724494337,1.09604243916234,0.0845640761127961,-2.04229323246887,-2.73435475409867,0.498837757254744,-1.16321801160001,11.4274002433718,2.13815552374316,3.04179494455805,3.63091754810774,2.02737130892831,2.41562099453264,1.60707192217119,1.81774034215576,1.15828923057114,0.416944766014562,1.61806608596878,0.711371910430785,-0.652682963139168,-0.373735667384121
1703845654_16089,0.0336965267331461,0.837134137028551,2.91529031964074,-2.07454742667428,-4.57380936286044,0.650220459441122,-0.069626181641093,13.8511767960568,2.13787232527014,3.18113342341259,3.53455577741152,2.57958664677699,2.72189504311159,1.76161020748778,1.52456492359155,1.2044193525917,0.41705311190257,1.65097963211628,0.706709157879345,-3.21570173846899,-0.370590333553815
1704037856_86827,0.0337494907234767,-0.72774686380169,-0.221749993084224,-1.15004436199337,-2.89772563126512,0.552301211023938,-0.248086884271957,13.4626750120136,2.13832229791923,2.58261787093154,5.99263306277343,1.8955936043398,2.35881058878228,1.62485705765076,1.61006037255121,1.25819188311488,0.417049048602671,1.67524607772554,0.706974154591968,-2.7849679340802,-0.371933483458196
1704098311_70792,0.03395021552744,-4.64232086189177,-3.37026598565579,2.26966695227719,-2.78536275109679,1.08991938840358,-0.966979542251581,13.3885813893903,2.13769174533459,2.69572735450221,6.45211262092411,2.11783006778877,2.29543768495109,1.49277819018702,1.6590600419793,1.25015474426204,0.417154197362283,1.55295878760714,0.725937611141456,-3.22373202502671,-0.3811298996142
1701021494_18584,0.0345374975876735,1.86232853099181,4.20030316987218,-3.84271917317106,-2.17854940075886,0.756779693097397,-1.72779366195763,12.5116576499145,2.1383990862325,2.67994712223958,3.23518737836245,2.00813354742642,2.49414003999908,1.9162637145933,2.2081965857151,1.26687936649934,0.416978890072293,1.51856369325949,0.712187000358315,-1.95684220601911,-0.372416831131778
1700948947_46843,0.0337900963433933,2.46033154645403,2.5173314232716,-2.14019432077329,-5.09404949721737,0.918893576543483,-0.558218002159525,12.6788797226386,2.13869605965878,3.41227086390673,3.22324780195092,2.22308965189498,2.4089222667756,1.62573232406659,1.57490854998382,1.1957829595968,0.416880472742381,1.80635776614672,0.707502559571163,-2.17860645586766,-0.366093972332422
