X,OFV,AIC,BIC,BICc,run
51,-705124.127194784,-705102.127194784,-705048.141886716,-705016.98414561,lbtSouL643wwVBktAVq8
15,-705028.957657464,-705006.957657464,-704952.972349395,-704921.81460829,tx381zRidxWOs2useJz5
3,-704954.626696682,-704932.626696682,-704878.641388613,-704847.483647508,YuIHaW8xH0Pxt32JSou5
33,-704478.717852372,-704456.717852372,-704402.732544303,-704371.574803198,uITkL59SNsmghSMDp6CH
21,-703713.260343885,-703691.260343885,-703637.275035816,-703606.117294711,b8lq1m6jwDwRcCyjr45l
26,-703683.542046855,-703661.542046855,-703607.556738787,-703576.398997681,RwJESUrFQtmN3tePPNaw
45,-703628.372369362,-703606.372369362,-703552.387061293,-703521.229320188,kD325x6LdgeATkYKjX0q
4,-703568.771768378,-703546.771768378,-703492.786460309,-703461.628719203,nWpldaeol3zXAHqMeqmU
75,-703551.706189483,-703529.706189483,-703475.720881414,-703444.563140309,IwD57s3G4E9jvGRFHQuV
57,-703434.627758372,-703412.627758372,-703358.642450304,-703327.484709198,T0WbMy3gt7fk84XkzUEE
77,-703209.993785331,-703187.993785331,-703134.008477262,-703102.850736157,4o5ZYgNXffA6CVAxgjxS
14,-703178.317839184,-703156.317839184,-703102.332531115,-703071.17479001,CYkd8GbrDzZAfYaX3Aa3
98,-703126.720868866,-703104.720868866,-703050.735560797,-703019.577819692,oSokNEuMeTXxZTEt9Rdy
30,-702507.118382613,-702485.118382613,-702431.133074544,-702399.975333439,UjNcaCL8wkxjOJO4THs7
89,-702416.358071761,-702394.358071761,-702340.372763693,-702309.215022587,lGKuEpwDI0kcT9XEvBAQ
23,-702394.004663135,-702372.004663135,-702318.019355066,-702286.861613961,jw4VOqX0vTcs8kmq5Mtf
73,-702370.677190678,-702348.677190678,-702294.691882609,-702263.534141504,arANAIrCd0s3aC6cCvNl
72,-702327.0977628,-702305.0977628,-702251.112454731,-702219.954713626,Zq3pr1468E3kmSeXLRtT
43,-701977.175332006,-701955.175332006,-701901.190023937,-701870.032282832,fDSnw29Lr2zY9RBN6gXg
70,-701879.112522925,-701857.112522925,-701803.127214857,-701771.969473751,fJRZa0WqFe5ZyUPXCjax
85,-701873.582117054,-701851.582117054,-701797.596808985,-701766.43906788,jjVlw2bqWFrot1RJO9OZ
2,-701654.695213226,-701632.695213226,-701578.709905158,-701547.552164052,G6WuKug2WKzc1AYnR1N0
24,-701593.221343929,-701571.221343929,-701517.23603586,-701486.078294755,1rEeHSFHTMcYXvdSiXQ1
44,-701552.257256851,-701530.257256851,-701476.271948782,-701445.114207677,0dATCyYXzi6T3ydB5enK
78,-701500.096490796,-701478.096490796,-701424.111182728,-701392.953441622,jkPQZVfnKOnjiRuPlrSD
37,-701289.519028175,-701267.519028175,-701213.533720106,-701182.375979001,3wlbkI6L1VrLnpCiYJIJ
39,-701276.001740228,-701254.001740228,-701200.016432159,-701168.858691054,oinFdBdGAgPfICI0JBsW
13,-700997.47413484,-700975.47413484,-700921.488826772,-700890.331085666,fn7jhr5Lfy61dCKORCPQ
58,-700851.255311559,-700829.255311559,-700775.27000349,-700744.112262385,8nand6wPOUoNzolCXofj
91,-700849.015546529,-700827.015546529,-700773.03023846,-700741.872497354,2wOL8I51h1ZlZkiUVa6j
92,-700769.231086991,-700747.231086991,-700693.245778923,-700662.088037817,GQHdgSNFqu3E9cyLvVgZ
97,-700732.646006575,-700710.646006575,-700656.660698506,-700625.502957401,T5gynIlowgezBqpSp73n
65,-700649.047741785,-700627.047741785,-700573.062433716,-700541.904692611,mis2poXrUQbHBq050Ah2
100,-700640.740880392,-700618.740880392,-700564.755572323,-700533.597831218,XOinsXJTYWq51dGL6095
34,-700638.982264045,-700616.982264045,-700562.996955976,-700531.839214871,0LUIq1ZjiUAbAVYVqKSC
41,-700574.088847743,-700552.088847743,-700498.103539674,-700466.945798569,28JSf2pBSwPjwclhkBTA
87,-700491.021704097,-700469.021704097,-700415.036396028,-700383.878654923,ktfcD0MUZH6RoVzcEyy3
53,-700231.534552759,-700209.534552759,-700155.549244691,-700124.391503585,no5Jyu4iCQKHZ3hDGcD5
6,-700186.57267685,-700164.57267685,-700110.587368781,-700079.429627676,4HTuilV3cNkbecSJLud8
5,-700143.201160981,-700121.201160981,-700067.215852912,-700036.058111807,XGWj0JwwzoIxRCIMY012
74,-700114.247678717,-700092.247678717,-700038.262370648,-700007.104629542,sKScjaazfc7LL444C2l9
56,-700086.801275544,-700064.801275544,-700010.815967476,-699979.65822637,M9RUdJi97O6kNWBLrCwS
10,-699882.436842086,-699860.436842086,-699806.451534017,-699775.293792912,SH3MrLQnqmrD7v1Rcp24
99,-699822.994875171,-699800.994875171,-699747.009567102,-699715.851825997,BxpHjxcmgEgBh1IpqFKy
11,-699818.890639765,-699796.890639765,-699742.905331696,-699711.747590591,klBYKKLqKzFIUPGTUqDz
22,-699792.628424525,-699770.628424525,-699716.643116457,-699685.485375351,iSGHiAt0PaD6f9UzqmkS
52,-699752.75733864,-699730.75733864,-699676.772030571,-699645.614289466,zkkJVactfQzmmf5Cg6FX
76,-699714.027049808,-699692.027049808,-699638.041741739,-699606.884000634,veQlzFNTI4VAC3osccnI
42,-699660.070714032,-699638.070714032,-699584.085405963,-699552.927664858,jkidIKQRUnQCqAtMxQrM
38,-699567.294785729,-699545.294785729,-699491.30947766,-699460.151736555,uXZ6P3fF2He8yT1reSAz
29,-699516.102891778,-699494.102891778,-699440.117583709,-699408.959842604,iUC6JiXiU4i2PImHQgNY
18,-699515.693070708,-699493.693070708,-699439.70776264,-699408.550021534,9OnbtZmHTWwWrbGdqqCw
27,-699481.985645874,-699459.985645874,-699406.000337806,-699374.8425967,mc9Ot7VsP1LbgXmlLuta
93,-699428.987624659,-699406.987624659,-699353.00231659,-699321.844575485,KY4grxD9bLtb3pv5AmQc
16,-699340.417546243,-699318.417546243,-699264.432238174,-699233.274497069,aZOgubZtPjIh1ickLRbd
96,-699249.479635816,-699227.479635816,-699173.494327747,-699142.336586642,nfcdClqpmUQG5v5I3Jtr
19,-699153.255239173,-699131.255239173,-699077.269931105,-699046.112189999,qdqEmMtp7F4KbKCAXLjW
35,-698984.208482439,-698962.208482439,-698908.22317437,-698877.065433265,48HQzPR8EOffc9VmOZFE
25,-698867.423348421,-698845.423348421,-698791.438040353,-698760.280299247,EnRswEb7FBeVc5mRHysJ
7,-698731.11230884,-698709.11230884,-698655.127000771,-698623.969259666,cWJhAiv6sKaxGhRmCvc0
1,-698496.759850428,-698474.759850428,-698420.774542359,-698389.616801254,77tADYwVkHPmpfi2bqUZ
36,-698495.412257293,-698473.412257293,-698419.426949225,-698388.269208119,hQuA1TIFRo6q5xHvdDFv
84,-698421.666755273,-698399.666755273,-698345.681447204,-698314.523706099,IFa9V0SqCtSCgJGe0U0s
46,-698148.055836427,-698126.055836427,-698072.070528358,-698040.912787252,ppGjR4ICEhCzhWKgGNgI
90,-697815.4635332,-697793.4635332,-697739.478225131,-697708.320484026,MtqP8haJHSwiSxNKXmPH
12,-697588.369770938,-697566.369770938,-697512.384462869,-697481.226721764,Ut3BKbzfNBh97fJADlmp
64,-697523.687658074,-697501.687658074,-697447.702350005,-697416.5446089,X5HZFFtehUcz58VzEQ4W
95,-696894.425640077,-696872.425640077,-696818.440332009,-696787.282590903,l9IMIbLrpBqrrb1wLEPx
71,-696810.501075545,-696788.501075545,-696734.515767476,-696703.358026371,fMnOHJVlHESMi9MHLt2g
47,-696793.18054849,-696771.18054849,-696717.195240421,-696686.037499316,bHlN0Y0406LXFOIY0qXL
54,-696689.719700505,-696667.719700505,-696613.734392436,-696582.576651331,Fg9VlUy8mMQ2QW5aL5EG
49,-696425.207426874,-696403.207426874,-696349.222118806,-696318.0643777,ID4vpd5tNdAPsV7HNZyr
9,-696039.670804137,-696017.670804137,-695963.685496068,-695932.527754963,r3B3Ul4xlsxzTSGrD64z
69,-695828.002034501,-695806.002034501,-695752.016726433,-695720.858985327,bXH2EVhCvkZlatMEqcfR
31,-695448.974316472,-695426.974316472,-695372.989008403,-695341.831267298,mPE01AREsFx9hLlqOVM1
8,-695047.233339614,-695025.233339614,-694971.248031545,-694940.09029044,A2Sa6FqNLtjdYHwgyc5k
82,-694430.966745178,-694408.966745178,-694354.981437109,-694323.823696004,NQpZ98bj4CdeFOTokDwh
48,-694399.314150903,-694377.314150903,-694323.328842834,-694292.171101729,zPHiczy7fmCnwhpazVyy
88,-694199.568565966,-694177.568565966,-694123.583257898,-694092.425516792,eN79Bv3NHfh4BP13UZ2C
83,-693814.999673337,-693792.999673337,-693739.014365269,-693707.856624163,smqHN5KfiijLhDxkhhL5
81,-693434.260074927,-693412.260074927,-693358.274766858,-693327.117025753,iKoFkhvx0dR31ksgo3My
50,-693023.083208073,-693001.083208073,-692947.097900004,-692915.940158899,zVrGB0g5kaSuUI300GhM
20,-692260.714934759,-692238.714934759,-692184.72962669,-692153.571885585,vZ2fqXwQB6TuugOWNzRC
