run,delta_pop,gamma_pop,km0scale_pop,tBegin_pop,offset_pop,omega_delta,omega_gamma,omega_km0scale,omega_tBegin,omega_offset,a
1674416138_67304,-0.835790701581602,-7.39059485043731,6.21969260054499,-0.184990147434119,2.07897084971698,0.962902705033427,2.86159872360867,0.0662032252299913,0.325465678734257,0.0035911809305563,0.0315229006711971
1674412947_51687,-0.923683070211343,-7.26838990829756,6.21911636411714,-0.185092148668727,2.07914184536369,1.1616727784185,2.96404430370846,0.0653772452425803,0.325490142325263,0.0039653857615309,0.0315044080482374
1674414659_45423,-0.921452191299431,-7.22064744963613,6.22267408361468,-0.184639323839027,2.07960689025541,1.2085332571374,2.91022675477009,0.0826963321653832,0.325712034526797,0.004972632595175,0.0315233570805249
1674433432_73038,-0.93729931884161,-7.25371957431009,6.21962904612118,-0.184940756426241,2.07970593404864,1.25021975590547,2.98394105335926,0.0660740449101341,0.325501684736498,0.0060323228128266,0.0315154410933109
1674414979_82473,-0.964452651716208,-7.24373835902722,6.21999552514195,-0.184893354433734,2.07894057663291,1.27480213051063,3.07003290909448,0.0676813482236861,0.325462652857592,0.004705174545431,0.031521607939055
1674431787_66859,-0.984573176390376,-7.35491488648152,6.22031012427652,-0.184903946391803,2.07936667539405,1.25552954272816,3.26852346503134,0.0687827021872481,0.32550322423376,0.0046816521815354,0.0315346567481348
1674430137_4563,-0.931127924754213,-7.36237879369182,6.22213521827512,-0.184811983996642,2.07935860997922,1.19564192233697,3.09832694269208,0.0898565871564195,0.325799756688451,0.004376555864988,0.0315684531092326
1674426406_59328,-1.22608432404737,-7.02098186987784,6.21837791176785,-0.185072284822498,2.07940141773505,1.68434776925339,3.49044770176578,0.0662351288057096,0.325400411474705,0.0057668645509232,0.031535536234529
1674429867_7323,-1.16579298530301,-7.07022303045255,6.22044129125377,-0.184834111524306,2.08004271343302,1.67464962264633,3.32709398169153,0.0660008808330858,0.325502213228581,0.0053289282745748,0.0315083361160051
1674432398_04736,-1.30731001377748,-6.81650039555765,6.21859019776124,-0.185110207937605,2.07953474185087,1.87194671885985,3.42282794920652,0.0673109665392125,0.325561818695285,0.0048121529805759,0.0315216127824939
1674414399_28688,-1.28687420402168,-6.92087195964162,6.21860047732351,-0.185045201706522,2.08004220201542,1.79774366166359,3.48902400804733,0.0677688568187931,0.325466155511532,0.0032670379151701,0.031540275927055
1674417509_90313,-1.43042801420807,-6.95129305666143,6.21943131893485,-0.184931808167994,2.07941555018621,1.93199978336483,3.82627448334491,0.0651461152063883,0.32529316629321,0.0055125381374544,0.0315113163937481
1674424765_86559,-1.49227840201122,-6.65888346902287,6.21798604199163,-0.1850080425803,2.07929737445547,2.06053570679878,3.57740619414598,0.0653014434234234,0.324947281354676,0.0058396082236316,0.0315240904214235
1674421144_47758,-1.31857685307761,-6.91266061422329,6.21865752579827,-0.185163331926702,2.0795008887217,1.80142184247858,3.61101221408056,0.0717250557501342,0.325680065942837,0.0046080379680437,0.0316731964181884
1674423040_04401,-1.65865729543365,-6.47657469316358,6.21876214120753,-0.185114945938084,2.0795034957284,2.2238719727028,3.73774973755709,0.0643752352085298,0.325476747332314,0.0038493056802163,0.0315373570622465
1674420217_1928,-1.53617277678068,-6.7401348704048,6.21808316086368,-0.185273681192371,2.07878852636971,2.02967884933021,3.8399451408123,0.0662571122513552,0.325758939071938,0.0037589390690386,0.0315110906779335
1674414016_08684,-1.00196293524279,-7.30739078009756,6.22870129849607,-0.1844711668098,2.0802219555875,1.27256503979286,3.24955413557301,0.130953968480815,0.325782086221219,0.00432185775738,0.0316537493138941
1674421844_54352,-1.57409143189637,-6.67998042977608,6.22142573315732,-0.184876603817183,2.08018668412153,2.08709173294861,3.84172231268263,0.106555323163465,0.325374279392526,0.004942488745126,0.0315663878314665
1674430458_74732,-1.94520572262309,-6.09297776283405,6.21835238059767,-0.185149333176804,2.07940201959819,2.50305486822471,3.81786017076565,0.0655835870888272,0.325518383830381,0.0044424443150627,0.0315106489670047
1674436157_18086,-1.68679201554038,-6.51847192998378,6.21840007383114,-0.185147120201503,2.07984784904189,2.23162442670973,3.8565817094868,0.0644060863938917,0.325375892678987,0.0049145537814456,0.031516303687116
