"X","se_run_1700838034_71271","se_run_1700841394_69504","se_run_1700845165_21486","se_run_1700848166_14722","se_run_1700851457_42836","se_run_1700854316_30864","se_run_1700857219_11719","se_run_1700860532_27996","se_run_1700864499_97542","se_run_1700867652_73645","se_run_1700870934_75099","se_run_1700873694_14193","se_run_1700876345_96234","se_run_1700879351_07321","se_run_1700882874_61082","se_run_1700886404_6002","se_run_1700889516_71666","se_run_1700893468_57449","se_run_1700897399_32176","se_run_1700900134_51258","se_run_1700904890_48136","se_run_1700908050_05588","se_run_1700912492_51123","se_run_1700915881_46774","se_run_1700919090_34126","se_run_1700922755_74132","se_run_1700926150_2312","se_run_1700929216_67468","se_run_1700932955_63878","se_run_1700936306_93298","se_run_1700939993_73471","se_run_1700943069_0623","se_run_1700946297_50475","se_run_1700950108_6738","se_run_1700953401_57241","se_run_1700956267_9281","se_run_1700959672_32049","se_run_1700962952_42409","se_run_1700968955_40898","se_run_1700972677_35535","se_run_1700976868_72503","se_run_1700980296_90523","se_run_1700983647_40761","se_run_1700987296_65127","se_run_1700990543_65859","se_run_1700993389_36723","se_run_1700996524_79803","se_run_1701000790_02091","se_run_1701007386_02697","se_run_1701011574_21669","se_run_1700838034_71293","se_run_1700841155_76071","se_run_1700844328_08705","se_run_1700847900_87948","se_run_1700851025_48997","se_run_1700854090_37388","se_run_1700857156_30919","se_run_1700860417_5334","se_run_1700864355_27781","se_run_1700867908_31912","se_run_1700871247_57832","se_run_1700875488_57763","se_run_1700878979_28199","se_run_1700881723_60041","se_run_1700884433_26178","se_run_1700887362_60681","se_run_1700890121_9242","se_run_1700893669_29685","se_run_1700896953_78311","se_run_1700900034_90703","se_run_1700903223_95885","se_run_1700906244_3726","se_run_1700909397_65769","se_run_1700912537_31353","se_run_1700919981_71514","se_run_1700923227_11996","se_run_1700927094_45633","se_run_1700930227_40854","se_run_1700933461_60817","se_run_1700936687_30819","se_run_1700942646_14737","se_run_1700946370_62709","se_run_1700950061_71081","se_run_1700954020_38054","se_run_1700957378_97745","se_run_1700961033_70806","se_run_1700965941_1738","se_run_1700969325_12273","se_run_1700972490_03701","se_run_1700975541_033","se_run_1700981441_10965","se_run_1700985390_97928","se_run_1700988146_91112","se_run_1700991808_25689","se_run_1700994560_77725","se_run_1700997384_18434","se_run_1701001070_48527","se_run_1701004637_68622","se_run_1701007908_68193","se_run_1701011174_35908"
"a",0.000131168289675753,0.000146711938877138,0.000139636243455858,0.000131137511847243,0.000134610558004842,0.000126239340228255,0.000131649830434368,0.000183807108270029,0.000128856947483649,0.000643906606070033,0.000138591420182966,0.000132293023960088,0.000136711544269499,0.000132520869098721,0.000140123504261116,0.000144255215182514,0.000140435685558484,0.000163054328652145,0.000178558229936908,0.000158597861163967,0.000137263664502937,0.000200199201762396,0.000139936320947082,0.000133901511989207,0.000173288987561778,0.000134697581577532,0.000133996750655412,0.00019432942508965,0.000145156481996923,0.000175632695454547,0.000131534291291318,0.000171605949994488,0.000170058678582058,0.000148129871418192,0.000130310933190669,0.000132304911010294,0.000146427087706889,0.000132830620366591,0.000184163346663833,0.000133961949203326,0.000191395436989472,0.00013602975584097,0.00014421783786351,0.000134148295463758,0.000137361149119684,0.000142391823862196,0.00017598162733784,0.000199394194135484,0.00012930559077687,0.000134006325585656,0.000128452342991054,0.000135775537408269,0.000215387952542671,0.000134919733860417,0.000179791362677995,0.000143701908256569,0.000138859105796296,0.000668909923882885,0.000228773723675437,0.000132996801018782,0.000129954886614132,0.000131880469438364,0.000134729709372487,0.000139194762925077,0.000149729822773032,0.000130277725999495,0.000133264655424118,0.000135632701181633,0.000158230118362218,0.00013672371899371,0.000130807331079636,0.000170521777350732,0.000129102513786911,0.000188105323910502,0.000162298282416985,0.000148586598947023,0.000147034703792104,0.000143123831006431,0.000150944922170224,0.000163110919309457,0.000144755602888295,0.000131294508127553,0.000131780957509927,0.000145527019219237,NA,0.000160070224243637,0.000131416655127479,0.000131829635535754,0.000155630109709981,0.000140335212569441,0.000156629138671632,0.000337326365383302,0.000129370653273808,0.000137549597385645,0.000128482702201089,0.000142969262919933,0.000144779506896127,0.000136105410796169,0.000136608823560531,0.000190830038363326
"delta1m0_pop",0.185398947795378,0.247860926318886,0.186686050483076,0.207242652348248,0.221757160028361,0.149365547046728,0.244054548117911,0.220655281796658,0.215620632187254,0.200882271883581,0.176275002093921,0.223208159284842,0.21332481724038,0.227337920256387,0.233309880856142,0.235991778335157,0.241113294533254,0.255405348591048,0.245556181557588,0.287045157164531,0.230601503245679,0.313283358316745,0.180912545732929,0.195588391246484,0.233011958943825,0.232935290480196,0.210190359934695,0.318504140014115,0.261267025420666,0.286941671725177,0.231916620879422,0.247351644620208,0.303351131276554,0.279140159978338,0.180395210531085,0.218442370235321,0.250646907765184,0.324100869973031,0.32177592766169,0.218508367945738,0.190979718263379,0.266149019854463,0.272659629783234,0.2596539152044,0.233689307430866,0.23170863463071,0.253310668593661,0.344975575498217,0.293451661513124,0.19077240384124,0.16217120294024,0.290778909753397,0.281304989536438,0.218182925836139,0.198216952166429,0.206452052164167,0.222058169845426,0.211466518625159,0.228806240108492,0.274208674715503,0.258536893121512,0.208547041568811,0.207875116471158,0.184740756348857,0.234670637944526,0.226089466356969,0.270440793238608,0.213696604030456,0.2536910009742,0.211852449365879,0.208801686838893,0.274175692743675,0.186059876974979,0.297054129911106,0.238178706210797,0.244533465373764,0.201561555596722,0.203444442781324,0.206746084344834,0.300458706122161,0.278161373663277,0.278117032796192,0.244078262780337,0.204811003552875,0.224736258320883,0.285176298464797,0.257247880309847,0.189336806775734,0.239750348940731,0.315045555373528,0.273970435518635,0.200488153221737,0.182146917350042,0.236205907435428,0.174074987760759,0.282458178899605,0.226681685349904,0.230099352114752,0.220923660759009,0.274454727572055
"delta2_pop",0.342308002253073,0.446277373206274,0.300140534724731,0.418596898478522,0.161524325865825,0.326838416884832,0.334403492784442,0.130729599352127,0.323313769008064,0.263061192906969,0.437855281735254,0.591355041352618,0.144546400701898,0.220526039675322,0.16761426054669,0.181941866379742,0.399878216064987,0.281138094779266,0.24019041227841,0.267167638090926,0.380417882579968,0.301838047624913,0.220669021049067,0.203412495008244,0.12322711563966,0.335847154400752,0.359725195832799,0.192736527139824,0.360078258463489,0.311000322613532,0.189276639287584,0.114825711988664,0.32533407629213,0.294628132060894,1.97525081051449,0.316028607704466,0.611095393713864,0.210780323647858,0.25103865542614,0.264372562010159,1.00067316224168,0.258359933825653,0.271621926075952,0.251497116267171,0.270588097487299,0.212814901824536,0.241888389829344,0.374240472292044,0.177296210877554,0.489029368277044,0.452679964602088,0.338624459906817,0.23731671550304,0.287933850192756,0.52910396065147,0.154793624944056,0.457871769818788,0.27846525226002,0.269776512348174,0.263205758192799,0.183561443784072,0.23381168167271,0.274036264528966,0.190840445579564,0.208078722548345,0.456344666774134,0.225728474227822,0.461707266457437,0.255147477300066,0.400341152221602,0.348465676708036,0.321791981527931,0.409286171233607,0.222230520673912,0.241239645576779,0.382094904271263,0.244640263678715,0.205006916358227,0.332905222598326,0.154615815790416,0.365991090318008,0.185366108755999,0.241190418156052,0.392498484476296,0.26731945163124,0.166648455979179,0.186396869883412,0.2693555234669,0.494416202605196,0.248500788255133,0.257408237452213,0.21457220185774,0.379736632151478,0.272864980692345,0.335954901195868,0.296342927462878,0.224093580751246,0.206796699895851,0.217727824170082,0.206968039559015
"e0_m0_pop",0.106349887292702,0.125613943687906,0.121095114695074,0.167474650456136,0.166742375779272,0.121617546844353,0.136645101806161,0.129837092945502,0.154097717220073,0.102576542973252,0.156259653255313,0.147712689473297,0.135581898984402,0.124716280111592,0.115633774137756,0.135061649140587,0.151688802064051,0.137580652950425,0.117337851280406,0.140418253674077,0.118933992971264,0.187751749474348,0.11589008488451,0.146353543432177,0.166092916569057,0.137827466448647,0.122168233355656,0.120563503351974,0.142539061627924,0.158691454291694,0.139636487096198,0.101460020193549,0.139406902598997,0.132441256292342,0.153016725779033,0.139597128986066,0.149927041442509,0.170220350093446,0.13581855015557,0.106342119995313,0.162594810403877,0.133179036653744,0.0907619515393588,0.137977497026101,0.107957832658627,0.130857748432036,0.109679142654237,0.16429617339521,0.1122718969721,0.14095285820156,0.118465130816786,0.178148875514603,0.14870896872062,0.124842072661356,0.140579017970041,0.15304224607874,0.157416672162177,0.122219918580119,0.130009531932605,0.157600909327396,0.119670922565284,0.144567884294752,0.138727414453339,0.123588735623174,0.117100724008471,0.143371102269768,0.138567172699585,0.165131623662495,0.154117726126148,0.170644721494154,0.149753854625956,0.150324530791837,0.159403690015894,0.109726234512496,0.101470643115591,0.126997826895063,0.111604491978754,0.100690939285984,0.117658927154145,0.117505253956735,0.161604465055524,0.156911004832387,0.13117356356465,0.117595890071329,0.123217816725525,0.127746653406365,0.116799295206604,0.107366783822701,0.127362424315648,0.11063528861131,0.132658358138982,0.149869833842048,0.139959443968486,0.159638283581647,0.172067591996411,0.14756633656166,0.129405162072734,0.127338920241377,0.123385075615417,0.138993471388422
"gamma_pop",0.195347809488029,0.175027016995582,0.150881105680877,0.143285161853589,0.147956618817654,0.162953047349729,0.163728753323536,0.203959094907616,0.147984028522636,0.177856221804676,0.14956409928433,0.14536804006664,0.146494769433637,0.165424620996815,0.189869911490877,0.167302434678966,0.156832080264083,0.124794991895522,0.11641535454376,0.218784728143173,0.185465905515193,0.182699311373257,0.155979369081444,0.153002528604136,0.160418815316247,0.197529373998703,0.177994871750583,0.156912783099213,0.170304911281476,0.167424119344969,0.155233320920979,0.148513743123285,0.233950651286857,0.161179687016024,0.134395274982114,0.200557565579274,0.186339759487977,0.167717798782421,0.182087957039294,0.147337573384598,0.14147424618964,0.223072042082179,0.211346597441047,0.184109780144255,0.17834746023951,0.203877959599123,0.184003057466132,0.172179460022061,0.16945926503836,0.13835320625658,0.161588355183656,0.156224132206524,0.0947656976515696,0.152354334475225,0.142033028507202,0.143541689722925,0.12936266660322,0.202823668329448,0.195283170425351,0.166401011273278,0.17216214643101,0.165718066637012,0.135446323036422,0.171643220342436,0.174971467733812,0.159566294080418,0.184503056024404,0.16768998703345,0.139440549370512,0.155676861860354,0.186638819461583,0.154619695496652,0.179606936728317,0.204895263808921,0.225462107290739,0.160542377279531,0.213165345641311,0.137353691522901,0.184602013872078,0.212388565790246,0.209632965900792,0.194265112937786,0.24271253531687,0.162942874937994,0.148553601021962,0.145501804270087,0.17234947307657,0.153832808069022,0.165024123155348,0.217242633285132,0.14694591893079,0.184375187472698,0.173460900246229,0.148712966709625,0.161660838290535,0.183604817645649,0.151836188061616,0.201450307079563,0.195646740456886,0.1732392488273
"k1m0_pop",0.165809685229401,0.145781730930568,0.148322914193773,0.126362534354472,0.128138525220064,0.0772068955882628,0.164744816991935,0.207306731317135,0.116566178989749,0.128017749746431,0.121092288814916,0.127512456973579,0.139824845475903,0.130161475148119,0.137964481590123,0.158064304770143,0.143792708819964,0.126686049386336,0.125855356290272,0.14923469916705,0.13241554620325,0.247554754652129,0.124164342300966,0.125160703541611,0.192538307473342,0.146616093508608,0.147594952484323,0.160744624713818,0.148450598802287,0.154727112384419,0.105802517829795,0.156261087425315,0.163403731652639,0.15208359561247,0.101281684626377,0.141295452984262,0.185552145608044,0.183616108004517,0.155146219935412,0.114130887750016,0.167393858060449,0.169050933405562,0.163906359665694,0.146435447727049,0.171448080933893,0.134963331702787,0.163167063120792,0.210435263474301,0.176173979486335,0.112251891620102,0.126411436779792,0.164229613375929,0.139065660517332,0.112466901818584,0.151653338434386,0.120545869723296,0.11969392327701,0.143243266330025,0.189824438902849,0.154888383695577,0.134776132562606,0.126918506040348,0.112237118058159,0.116268937979218,0.134481425512575,0.153036973711281,0.175449011638576,0.159298173271787,0.1381008237678,0.102794629975738,0.135192147122794,0.215425690399609,0.0990862443596483,0.249490186321764,0.138004871303141,0.123603514798142,0.127783917916894,0.120714570496121,0.127313284954881,0.245740846445517,0.156534801386691,0.118436503541474,0.129948184229491,0.136977198286207,0.131037645626211,0.156772243296617,0.125860670022157,0.124481309559448,0.13627883160254,0.166981073783318,0.11898905431575,0.123701639084962,0.116049076407696,0.116534977321124,0.080742370957056,0.145844849425793,0.139748948004537,0.121247304999141,0.10792058120761,0.154230604960021
"k2_pop",0.148262776759079,0.148792413893813,0.125300314622697,0.114516649637109,0.0978579649599729,0.145818944242493,0.153147647491485,0.177281469969112,0.128518346380537,0.145224463868764,0.0954854880963368,0.153918661187524,0.0967435916308424,0.0969146176590216,0.162749140096814,0.139952749774206,0.126220204448253,0.11550010076861,0.132836842979245,0.196096494853273,0.150599839941899,0.164615720894728,0.10465779855369,0.12511131687335,0.154551376722135,0.136653280948353,0.137666818880559,0.126349707921445,0.131036677295422,0.13809985467577,0.110681775674624,0.130862279526756,0.227928086923817,0.174992961065748,0.111821217248502,0.158128834742514,0.14820952820729,0.242151696198714,0.216790050293425,0.116915148612688,0.198677538186292,0.177775697899388,0.222588855742507,0.133964129459488,0.154207901386209,0.145164698540412,0.14164904237605,0.112883818547844,0.190396133663812,0.117992644414365,0.118902344552153,0.124078961000754,0.102255567809164,0.16873581176686,0.184499270248762,0.120037543517011,0.137673626780829,0.151919170389605,0.193309154049015,0.152258805029492,0.146316894523849,0.122854624903679,0.117317605645139,0.134670267586937,0.134048263354373,0.138791696449992,0.186722777808937,0.157734164166792,0.16414286645948,0.155065949671145,0.139708823448157,0.160041786628605,0.118964703514177,0.181052149621184,0.152159595870103,0.149696813112961,0.158374456457766,0.1213128197384,0.14836271648587,0.196408805658184,0.19613871402739,0.141624243822146,0.106099414051764,0.174151656719439,0.128771766236129,0.148683538821743,0.132626902004172,0.114187344225115,0.131160978215791,0.191816253903887,0.114192056598363,0.16058306148746,0.134145719762524,0.125525490159257,0.103222774340974,0.130445029664492,0.12683521691082,0.144640626367973,0.108488861516131,0.127784099968379
"k2m0scale_pop",0.105458973978132,0.0982335931085231,0.0826450228873827,0.0793925197233518,0.0797999097128245,0.0962144664722047,0.103235221960643,0.0894226411826797,0.101439266331975,0.0736153981552015,0.0667199446568393,0.0881801167492632,0.089090036526397,0.0784578132407271,0.0701779513955647,0.0900586088322462,0.0773501674118824,0.0841323546868729,0.073555440116919,0.0906393348077349,0.0899784444808091,0.100751101099828,0.0879249616034661,0.0854791608280032,0.0890236603037757,0.090964480773585,0.0902176938383432,0.0855363048166267,0.0897869352361605,0.09376940606375,0.0818600306920797,0.0845596678000646,0.0985373092429613,0.0883856104467655,0.0875258207676382,0.0900739893579327,0.103765635707241,0.1300396919112,0.0858650932988128,0.0751488026930179,0.0936698562640303,0.105037944097647,0.10684672323984,0.0885114598928485,0.103322232037061,0.0840591070795727,0.0903687628285181,0.100352749087649,0.110991235255603,0.0782460009275161,0.0837308549212791,0.102384130781296,0.0895129187678845,0.0796973646711067,0.0813803177141303,0.0840693835466518,0.0903284265226601,0.0905662553161802,0.0771089548065436,0.0894695990122583,0.0812311175481308,0.0899008485712498,0.0853444833902591,0.0869784641769156,0.0838967088423642,0.0929842180705538,0.115676162942192,0.114240844508025,0.0936964397200034,0.088885255999209,0.0815715569448903,0.0994728172242146,0.080972857339225,0.116741648835024,0.0857663090445954,0.086706790720441,0.077401970121732,0.0842222322080411,0.0822210495744401,0.0817042528661908,0.102335052975027,0.0793161341186828,0.0765221328669606,0.0840327547267159,0.0754933847333033,0.0832702265160569,0.088532169711054,0.0782994307686533,0.0856432397813711,0.0954541231357431,0.0852009505215606,0.0879773924386547,0.08155355778265,0.0802782348252679,0.0957537160430987,0.081032564183549,0.0787147393044697,0.0796797467741429,0.0756215966523504,0.0872810796996654
"offset_pop",0.0185739013424347,0.0185741986695621,0.0185371566102132,0.018608497750078,0.0185521933715611,0.0185525466829168,0.0186171761057997,0.0189056117754646,0.0185967630868876,0.0186052825013034,0.0185449355061524,0.0185938201725044,0.0185379332098223,0.0185854896135635,0.0185237351257795,0.0185547152780781,0.0185716440465086,0.0186194784234727,0.0185989120481265,0.0185147749726877,0.0187365652742821,0.0187673293117163,0.0187612086278212,0.018592064912592,0.0188773060353587,0.0185416094807135,0.0185873797234461,0.0186735705878796,0.018561609914548,0.0186061837276441,0.0185962421963869,0.0184712076767955,0.018859361322402,0.0187080141117632,0.0186167384749745,0.0185477753812702,0.0184894374155381,0.018592108418652,0.0187129502891643,0.0185625055522392,0.0186406099162734,0.0187490186088794,0.0185351209483217,0.018826037158208,0.0185100873045789,0.018661147259453,0.0185144497774914,0.018477120071031,0.0186093613372042,0.0187564410236831,0.018601107153016,0.0185941031670145,0.0187715074670755,0.0185600965010266,0.0185526806128018,0.0186665120668051,0.0186145116570197,0.0189773525437907,0.0192125916701826,0.0186016718997717,0.018600079991768,0.0185730597580703,0.018569923026272,0.0186374095778696,0.0185379873829566,0.0186696527472167,0.0185337390918914,0.018574154498203,0.0184799431672809,0.0187170713506606,0.018555674232564,0.0184536198579296,0.0186218312957205,0.018535679269789,0.0186137284981516,0.0188634536570676,0.0185457985715521,0.0186759779575267,0.0185582806439816,0.0188361285337527,0.018813299286371,0.0185358540125903,0.0185551148780687,0.0188143267444719,0.0187885549350024,0.0185127416928166,0.018562580091245,0.0185511404720849,0.0184748689372017,0.0185572192925164,0.0185240716725711,0.0186933998124032,0.0185574584162838,0.0185934509669491,0.0185761458600314,0.0185100539462756,0.0185953568644863,0.0185325237487582,0.0185632556359886,0.018866176246126
"omega_delta1m0",0.138633499813506,0.176563581251339,0.13479987697137,0.14182162982421,0.1536471573189,0.109738319825269,0.178201147010921,0.150819443447484,0.158674004900704,0.148222517654346,0.12171216716257,0.156753655799463,0.144891174965394,0.155361869177894,0.172789209406004,0.164060631664459,0.170505412110896,0.18509976761987,0.173653027526255,0.216762114867563,0.177367379718059,0.230163246466531,0.126473051060636,0.13202566478118,0.167530324086085,0.172431000346303,0.156540949318679,0.236917038654831,0.197514092296684,0.214866099462063,0.161146813423071,0.181194329418866,0.234450247988774,0.209905935802605,0.133383026845691,0.169522690326692,0.17631142974063,0.222609862120678,0.24469919662447,0.157381121268535,0.135903193577234,0.193503785519209,0.200197386202153,0.201607036345593,0.17211853367558,0.181544275563456,0.190966912919094,0.243866361580139,0.223457005660104,0.133203128520119,0.118560607922069,0.219838478164268,0.200413873728409,0.172281258961173,0.135462764320317,0.147490128895334,0.163830587608007,0.153652281701581,0.168525309075131,0.212104665980494,0.195055345302328,0.144690060707449,0.144572717726364,0.134490580881849,0.164902078527623,0.162604700720237,0.207196391809248,0.154001961328521,0.188184173470609,0.164260877472008,0.157616500068982,0.198589726680192,0.13522747921169,0.202426903502595,0.184062094028403,0.170476221254433,0.153377100115928,0.157461076171414,0.151352250477239,0.214028479189657,0.224663287433166,0.209505703137641,0.184032330390652,0.152257494993287,0.184451992399607,0.202738882949852,0.210402152712769,0.13903890050723,0.176949659619543,0.251010635553072,0.205499135237296,0.146174253530861,0.131305872674882,0.165947907050186,0.124306358468669,0.204539984059114,0.158514791959595,0.181134563212107,0.16201331147671,0.204264137138805
