"","name","initialValue","method"
"1","delta1m0_pop",-1,"MLE"
"2","delta2_pop",-1,"MLE"
"3","e0_m0_pop",-1,"MLE"
"4","k2m0scale_pop",12,"MLE"
"5","k2_pop",-1,"MLE"
"6","k1m0_pop",1,"MLE"
"7","r0_m0_pop",-1,"MLE"
"8","gamma_pop",-6,"MLE"
"9","tBegin_pop",0,"MLE"
"10","offset_pop",0,"MLE"
"11","omega_delta1m0",5,"MLE"
"12","omega_delta2",5,"MLE"
"13","omega_e0_m0",2,"MLE"
"14","omega_k2m0scale",1,"MLE"
"15","omega_k2",2,"MLE"
"16","omega_k1m0",2,"MLE"
"17","omega_r0_m0",2,"MLE"
"18","omega_gamma",5,"MLE"
"19","omega_tBegin",2,"MLE"
"20","omega_offset",5,"MLE"
"21","a",0.3678794412,"MLE"
