"X","OFV","AIC","BIC","BICc","run"
1,-35235.3018376102,-35213.3018376102,-35192.2695845505,-35161.1118434451,"1674324621_37469"
2,-34999.8450839146,-34977.8450839146,-34956.8128308549,-34925.6550897496,"1674324673_99282"
3,-34216.0893168837,-34194.0893168837,-34173.057063824,-34141.8993227187,"1674324769_04745"
4,-35029.5318207164,-35007.5318207164,-34986.4995676567,-34955.3418265514,"1674324870_21708"
5,-35137.0052188999,-35115.0052188999,-35093.9729658402,-35062.8152247349,"1674324966_91656"
6,-35241.9106202462,-35219.9106202462,-35198.8783671865,-35167.7206260812,"1674325012_85425"
7,-34920.679456675,-34898.679456675,-34877.6472036153,-34846.4894625099,"1674325121_41979"
8,-35166.8453371065,-35144.8453371065,-35123.8130840468,-35092.6553429415,"1674325179_45219"
9,-34982.9504816428,-34960.9504816428,-34939.9182285831,-34908.7604874778,"1674325263_14068"
10,-35061.6920421949,-35039.6920421949,-35018.6597891352,-34987.5020480299,"1674325335_31178"
11,-34984.8982985623,-34962.8982985623,-34941.8660455026,-34910.7083043972,"1674325402_14628"
12,-35077.8352056142,-35055.8352056142,-35034.8029525544,-35003.6452114491,"1674325468_03573"
13,-34970.2513020421,-34948.2513020421,-34927.2190489824,-34896.061307877,"1674325534_43025"
14,-35017.6883241979,-34995.6883241979,-34974.6560711382,-34943.4983300328,"1674325611_9539"
15,-35151.0845689493,-35129.0845689493,-35108.0523158895,-35076.8945747842,"1674325728_00255"
16,-34993.1166043086,-34971.1166043086,-34950.0843512489,-34918.9266101435,"1674325798_30128"
17,-34420.4160143024,-34398.4160143024,-34377.3837612427,-34346.2260201373,"1674325856_35196"
18,-35016.6997565758,-34994.6997565758,-34973.667503516,-34942.5097624107,"1674325921_07934"
19,-35012.1602088337,-34990.1602088337,-34969.127955774,-34937.9702146686,"1674325984_88122"
20,-35017.9558500108,-34995.9558500108,-34974.9235969511,-34943.7658558458,"1674326048_62111"
21,-35238.4726046226,-35216.4726046226,-35195.4403515629,-35164.2826104576,"1674326147_34106"
