X,OFV,AIC,BIC,BICc,chosenDegree,standardError,run
3,-649651.304261902,-649609.304261902,-649506.241401044,-649449.118875684,5,439.048325635613,1704081806_9851
5,-648520.578644626,-648478.578644626,-648375.515783768,-648318.393258408,5,468.973252778564,1703961893_29635
5,-643162.62299267,-643120.62299267,-643017.560131811,-642960.437606452,5,570.874201485555,1704159098_54284
2,-643127.817924958,-643085.817924958,-642982.7550641,-642925.63253874,5,1168.21223975721,1703214461_94854
4,-642280.05384211,-642238.05384211,-642134.990981252,-642077.868455892,5,364.692172465457,1703923193_50425
1,-640835.677357023,-640793.677357023,-640690.614496164,-640633.491970804,5,436.153399730676,1704002042_0229
3,-638844.660465394,-638802.660465394,-638699.597604536,-638642.475079176,5,648.644828178748,1700915211_34287
3,-638374.247074986,-638332.247074986,-638229.184214127,-638172.061688768,5,407.03061614043,1703438547_11381
3,-637482.133740797,-637440.133740797,-637337.070879938,-637279.948354578,5,411.467034587298,1704076255_36942
2,-636541.638607485,-636499.638607485,-636396.575746626,-636339.453221267,5,382.776587689656,1703631287_94513
4,-635544.874896559,-635502.874896559,-635399.812035701,-635342.689510341,5,2463.424830553,1703281468_71079
6,-634975.337682618,-634933.337682618,-634830.274821759,-634773.152296399,5,413.270622223249,1701031557_70982
1,-634469.454750237,-634427.454750237,-634324.391889378,-634267.269364018,5,448.415127681915,1702059636_30365
3,-633752.372248116,-633710.372248116,-633607.309387257,-633550.186861897,5,458.425545273892,1702140237_70958
4,-633518.989539423,-633476.989539423,-633373.926678565,-633316.804153205,5,431.927198476031,1703714097_9238
2,-632911.853521745,-632869.853521745,-632766.790660887,-632709.668135527,5,407.127525271678,1704038066_62683
1,-632842.467247728,-632800.467247728,-632697.404386869,-632640.28186151,5,391.183244854643,1700838044_73318
4,-631871.624428484,-631829.624428484,-631726.561567626,-631669.439042266,5,424.344083065618,1703478568_41519
1,-630870.788634495,-630828.788634495,-630725.725773636,-630668.603248277,5,432.253529285428,1703997833_91412
2,-630696.296260844,-630654.296260844,-630551.233399985,-630494.110874626,5,366.182120293412,1703206036_79362
2,-630422.971100589,-630380.971100589,-630277.908239731,-630220.785714371,5,432.395342179962,1700875268_66656
5,-630357.550540306,-630315.550540306,-630212.487679448,-630155.365154088,5,546.47889318939,1700999539_47222
3,-629644.014271277,-629602.014271277,-629498.951410419,-629441.828885059,5,4763.98620759265,1703243481_30393
4,-629574.223954514,-629532.223954514,-629429.161093655,-629372.038568296,5,449.674170995734,1704119821_12796
3,-628798.886932429,-628756.886932429,-628653.82407157,-628596.70154621,5,442.386652150255,1703455947_87625
5,-628305.959450388,-628263.959450388,-628160.89658953,-628103.77406417,5,367.185035139447,1703760708_73053
2,-628228.137694718,-628186.137694718,-628083.074833859,-628025.9523085,5,1018.91402154303,1703398264_83852
3,-627054.715593891,-627012.715593891,-626909.652733033,-626852.530207673,5,6155.00425510237,1703885318_88291
2,-626191.30781349,-626149.30781349,-626046.244952631,-625989.122427271,5,463.566953253813,1702099240_55893
4,-625417.724283591,-625375.724283591,-625272.661422733,-625215.538897373,5,601.854812455805,1703917771_23488
3,-624897.024129994,-624855.024129994,-624751.961269135,-624694.838743776,5,392.136398306474,1703255365_8632
1,-624848.08029227,-624806.08029227,-624703.017431412,-624645.894906052,5,517.181061346275,1703162690_76417
3,-624334.032690348,-624292.032690348,-624188.969829489,-624131.84730413,5,445.777740530891,1703673579_74266
5,-624168.738628853,-624126.738628853,-624023.675767994,-623966.553242634,5,478.561964733862,1704159400_33307
1,-621916.815356625,-621874.815356625,-621771.752495766,-621714.629970407,5,440.019324513273,1703375851_51596
1,-621342.401946088,-621300.401946088,-621197.339085229,-621140.216559869,5,519.146178526314,1700838044_72516
