run,a,delta1m0_pop,delta2_pop,e0_m0_pop,gamma_pop,k1m0_pop,k2_pop,k2m0scale_pop,offset_pop,omega_delta1m0,omega_delta2,omega_e0_m0,omega_gamma,omega_k1m0,omega_k2,omega_k2m0scale,omega_offset,omega_r0_m0,omega_tBegin,r0_m0_pop,tBegin_pop
1704081806_9851,0.0334022816184397,0.758379856871072,-0.551980584079761,-1.22157139190166,-2.52578228463672,1.24388206443876,-2.32864237869126,11.2453654800044,2.1287018570006,2.84555721198442,3.32940477119433,1.70167328147587,2.14160748537658,1.32273362011709,1.81932513478797,1.28420549765114,0.38396211292325,1.41364556764149,0.692545406051023,-1.0916793776201,-0.363908175176069
1703961893_29635,0.0333098272880849,3.97805679973672,2.08457644467026,-3.50888984496441,-4.50261469601519,1.06396582863223,-0.770599041327473,11.4040731893519,2.12906518651005,2.8653986094752,2.69823170500189,1.76500949156687,2.88676797187256,1.32918897352035,1.61874255367223,1.09896456498745,0.383938739650247,1.52164428903271,0.694628358773156,-1.07394419570137,-0.364784835583405
1704159098_54284,0.0340179729127034,3.21314995128671,0.353257111240612,-3.10644832699023,-1.91229511886441,0.441268992624163,-2.58410236262816,11.0476947933883,2.1288493237222,3.31328323635699,2.66693913440279,1.72345528854286,2.31761886526616,1.90395319123311,2.26718512382339,1.22803991537932,0.383853591017827,1.37794243588047,0.693854776307015,-0.149126633297806,-0.366595331662202
1703214461_94854,0.0342439405259258,4.48009353121125,1.26648992800168,-2.83999599699261,-5.37926485285898,-0.74676093556868,-0.29546256453246,11.087393650152,2.12922812777424,3.00106757279317,2.68575862141707,1.57851390831224,2.78810414673438,1.72733388995671,1.53820962309548,1.15454278762612,0.384032529224831,1.62662972367373,0.703038802707204,0.977587558771145,-0.371016932146271
1703923193_50425,0.0339964254281321,2.59700530895731,1.48498774993776,-2.55794561063206,-3.17514132418275,0.799041994551862,-1.78478151721452,11.4851538458868,2.12947238782684,2.81113642510554,3.41228827906327,1.75598814843355,2.78851632540987,1.70358201804248,2.03461629375712,1.14524376612621,0.384262365112991,1.52976327621572,0.694262657090638,-0.883717609783691,-0.364484963158456
1704002042_0229,0.0339094303958584,0.28052895579922,-0.594510339079308,-1.79095792501728,-2.20164303172564,-0.2931968492123,-0.888794739485677,12.2993256126649,2.12860414609775,2.82018782513063,4.38807737639044,1.62347905878561,2.5589011278311,1.93010472172331,2.0638709847053,1.25085999876068,0.384315637974511,1.60681047568561,0.702295339998535,-0.823639147166638,-0.37557229864884
1700915211_34287,0.0344973991436337,2.68758984846091,-0.0030370345722959,-1.84633108802692,-3.33320346343886,1.50683731152344,-1.88595253497013,11.1555697408642,2.12975849791124,3.51596828956816,2.76582771669407,1.81537391103011,2.51763257137832,1.62269848880425,1.80557750027358,1.23872692903155,0.383710323164277,1.57765607541919,0.687221048855978,-0.94823035055376,-0.353672321294253
1703438547_11381,0.0341671060216987,4.33338032163241,-0.252199401352525,-3.5875807867583,-0.831522920498743,-1.14513708883936,-3.15966233777153,12.0700568745279,2.12895022717353,3.31383468975297,3.13156792264772,1.91202810132624,2.32535520240586,2.4307229785667,3.05457823344691,1.47059938048186,0.384154704920611,1.48149190598187,0.704310420010214,0.346290412933779,-0.373612248535403
1704076255_36942,0.0341599148377002,1.56019669547492,1.12224909424419,-1.06566913809445,-4.47368257629842,0.781361333918373,-1.11126370494049,13.3661336177232,2.12874114507987,2.79951110851111,3.70983072000072,1.72653277277125,2.59159283917384,1.64310910701245,1.71017890473124,1.13761727344309,0.383958688286314,1.5940241647318,0.690825654756584,-2.71030456530851,-0.362752640155078
1703631287_94513,0.03467157744962,-2.58016900500126,-3.29605289051777,0.809965089340836,-1.46947177849199,0.489994838543211,-2.5386200943928,12.9032587103443,2.12919020127533,2.88107369569012,5.36164650414413,1.91420580854,2.1349940689226,1.92246560051206,2.14041448859032,1.23792396819601,0.384716339312515,1.55861809797182,0.692269652379716,-2.1323164526959,-0.368159984349274
1703281468_71079,0.0344907966700648,0.106752657276368,0.746938355378461,-0.520107846658986,-5.2123575354941,-0.108215409402696,0.0150979234009388,12.0845935031319,2.12982196401257,2.69834522844481,2.45556994042036,1.90958300014003,2.282835977465,1.65113657108509,1.37731516087502,1.10612161456261,0.384806773324801,1.57707785661445,0.701135552038209,-0.735526966160526,-0.371370549002304
1701031557_70982,0.0344315725288927,1.40960892532882,0.737658971186796,-2.06779142851024,-4.1729535284532,0.380795917123457,-0.073343040549136,12.0884148082921,2.12928988823445,2.98475202960141,3.57433383333487,1.99084571332398,2.90072296961182,1.74365109852641,1.80825532093869,1.22035634612844,0.384318530141548,1.74425948241575,0.695515048387937,-1.08333541550794,-0.365277504215098
1702059636_30365,0.034598296621976,2.03835997404809,-3.24687905007053,-0.885865764207948,-1.47681896737058,0.619032154821435,-3.34601124155951,12.7167403941869,2.13070349593108,2.51568002471856,3.55879751854045,1.21852496794293,2.10902807554258,2.06010863208299,2.20198622686658,1.35945900865865,0.384089247630407,1.56947800660131,0.695089423773999,-1.73392160601698,-0.360562685366856
1702140237_70958,0.034603501525196,1.88966867553497,-1.16923959631024,-1.54663269889955,-3.00713913482749,0.525242329336947,-1.2788343804955,13.1919804199818,2.12990363789259,2.48252853949013,4.44359903992164,1.39903392163676,2.98878098265456,1.79496515298811,2.26772995531892,1.24705096816532,0.384141253802739,1.61411050990101,0.694560572301899,-2.30646409210125,-0.364536648925882
1703714097_9238,0.0349394302718754,-1.89313030082734,-0.143730987985051,1.46118086331501,-4.9435904352831,1.23546018124022,-0.65415309597614,12.6851424950906,2.13079293320002,2.67208204433097,2.48648146389411,1.94549086096144,2.25073870758132,1.61460853692962,1.35841302990342,1.07799627368714,0.384043897595276,1.63388091041091,0.686971511652043,-2.43947883664911,-0.357677742666476
1704038066_62683,0.0349483395321547,-1.25368689738441,0.453768761056589,0.179450176382944,-3.83656866491024,1.43817147486055,-1.12536448592598,13.1348447699064,2.13047627237501,2.70006534168704,3.79704298294659,1.9418467379086,2.54911496243925,1.33271251677411,1.67559242410663,1.14622480680625,0.384308431491057,1.62596588089382,0.689993369226741,-3.16826167626878,-0.361272136196352
1700838044_73318,0.0352469491938559,-2.54785589190655,-0.201455741080736,0.906634703570959,-4.03453870416875,1.28592363481786,-0.303824867854992,12.7041801586941,2.13036515045632,2.43374675575697,3.68242335685153,1.9543366259736,2.53921905063921,1.41549366156206,1.55538081728889,1.15520027760994,0.383914603395087,1.46335061777272,0.687482968162211,-2.56151290006832,-0.358207431902125
1703478568_41519,0.035260839505587,-0.995567761704478,0.457207812876614,-0.820675027188616,-2.05496743531668,0.420873887822275,-1.74444451469937,12.8389988109219,2.13109163097716,2.88550216421352,5.08689854046155,2.00031158854005,2.50226217605589,2.04084594842792,2.18475174306601,1.3323587524223,0.386575556185891,1.65522501574333,0.702763225885154,-1.98502931037322,-0.371824803750027
1703997833_91412,0.0350693274244822,-0.203929620760009,-2.27793788168243,-0.950904759926292,-2.2737404681179,0.675576898179754,-1.13244668744457,12.2135541232336,2.13058297052669,2.86836992916618,4.75833936141609,1.53528595284358,2.44883861007627,1.98636714934805,2.47508397431186,1.24644475108835,0.38418149848271,1.44878722827905,0.692458189688077,-1.39284506769364,-0.361203315529748
1703206036_79362,0.0349580315855235,-0.957847624958472,-3.29183005734902,-0.0604167995381011,-1.64973773460131,-0.511068844602755,-2.18181295564882,12.1627386675902,2.12984256290345,3.20699816418702,3.93418973745082,1.61796078907577,2.48663157470599,2.17372468687823,2.11973048177694,1.27225502441536,0.384545902432599,1.75903221774933,0.696966807019446,-0.346513576955324,-0.369560421252582
