Unnamed: 0,run,convergenceIndicator,exploratoryNumber,smoothingNumber
62,qoyjKmiSjTOaZ9Kjge0o,-71627.3861062154,1267,1000
5,8ZH6W0i8fpKWhbtZ1tap,-71409.1470619935,1380,1000
29,B4X3hBVDV1Vitej3wowv,-71404.1067783085,962,1000
23,uOcb0qZ3g9EL3iO6FcsP,-71342.2693900997,871,1000
2,TRgBbKjixJsIlz2bQl0m,-71339.2866624574,873,1000
47,5aM3ofGzkYchMbOqDzHg,-71337.6243924963,958,1000
34,ntGk4aFxAzsyIQY5lftO,-71335.6839503219,1136,1000
65,YDCYfk95j5dlrJGbGJuu,-71334.7523117976,902,1000
50,k7ciGn19r3A4PLodT3Rz,-71196.164771679,956,1000
44,4DESU3YYus76UYpIu3XW,-71192.6915450922,1759,1000
28,B1XKPZaUNxxBP3sddIoL,-71157.6630751577,778,1000
61,JWWN02trAoJ7J0gvButu,-71130.2496462271,878,1000
66,ZhgJkW8UEMAsLYBKngCN,-71129.7471780516,970,1000
54,45VCxDFsyKpfefCo1zPQ,-71109.1468397473,1045,1000
71,i54hJkNlW6cY6U4jJ7IB,-71091.3616323402,1076,1000
76,uqVE6k3j4Fb3IGAcLFYs,-71071.7252927832,1253,1000
30,qMXO3Sgz1HUgAJwgcmsN,-70966.5413289642,1079,1000
38,M3wkmi5oDyB4dFqEE1RH,-70891.2272485575,658,1000
26,07ZoPHlXYFoodRBCldCp,-70868.7911473492,965,1000
22,bgDhCjO2aYPQvmA3AH1F,-70838.9421352762,1345,1000
73,86oddRZ6fmqJb4Wlmsxm,-70837.3969532429,922,1000
49,DPcZyVWWzmigwHXcD7IS,-70810.1661801749,838,1000
9,ux8TW62IATuIVUqqZbhE,-70792.8833903225,1234,1000
74,1lrNbUQNToxgPearFIr6,-70670.1461679974,965,1000
0,aeu4ufJQFMTjCIlLYFT2,-70625.1901768692,1250,1000
36,zeq0657bYc6NXd10sObj,-70602.9328349873,1559,1000
52,cKk8abOJ5xb9KycOpCDA,-70595.9912282971,974,1000
42,yLokgYjVvxYN5SGDQgwS,-70529.4794161717,1550,1000
15,tlO4Y0gUqgMjTOYKzpu1,-70529.2182402853,750,1000
7,BszTBRD2tzYB76xYCGRN,-70501.0025353553,1467,1000
32,rsJZk16T3XMziwIWFPMZ,-70477.5113801542,1120,1000
4,SMXr9k2YSw7y9FtNqUbv,-70405.8986091138,700,1000
31,DEO39lZCUvY9Rr8gLOQR,-70385.3871123334,962,1000
67,nIPNpNG2NrWo9hdIB2GJ,-70365.1920704721,904,1000
11,nLT4ngDbpM0TNQxO3Ws3,-70340.0105317698,1469,1000
24,MfRJIRc8PuxqhbXL5MnH,-70331.3587471648,915,1000
59,8KEi3oOyBQg5tL9PM4na,-70303.8873596679,1137,1000
40,SCiUyJsDcyjnE6yuOBqK,-70303.2579286621,912,1000
27,sL112b50AayEVxR1KiSK,-70287.8642448361,1274,1000
10,j4DmPa5bHshdLWbmQRQq,-70271.4523028179,955,1000
63,VOZtUdxxhWLFqMfWI0iB,-70250.3657993586,1328,1000
