,run,convergenceIndicator,exploratoryNumber,smoothingNumber
0,eM7xfxjOhAnseGpnrDnK,-3408293.87575245,10000,1000
1,NUaQDcnXtbe5Br1sCbi4,-3474954.64853766,7215,1000
2,b43NpBOpXaG8jAxebmlG,-3555789.89263077,2959,1000
3,8FCzH5b3RRLbSb7hEVV4,-3520517.48564371,3604,1000
4,yDcprRcDZJ1pAFxFCoVt,-3518416.64768855,5272,1000
5,8tuNcVMek4INasEtHIxS,-3530917.60132955,2521,1000
6,SsAGTA4rwjzQqCgqpVfr,-3514430.55489298,2059,1000
7,1mNm1gFIlJPUpQJeHvFq,-3485287.42690547,3783,1000
8,JepPMA1LHmWYEqPMNbG3,-3525402.64519857,3956,1000
9,mHpM8GLK9NCyAhWIo3zn,-3533299.20556569,1771,1000
10,f8owUGGCMp0AbdZ2HIKS,-3531546.27504987,2600,1000
11,c00AScsQZR5lIOmYZfvJ,-3504484.16671284,4486,1000
12,OEATIxJB6qEbwlXkBo9k,-3490648.7447551,5414,1000
13,rEYlY6wAFyp7yYXGEROI,-3523192.7591152,3201,1000
14,kc4A6j0a8ZhVXdPHSYB4,-3551404.68559829,2837,1000
15,rAEdUNWQvRKcYTnKsySh,-3534896.08496079,2307,1000
16,dD24RCrpfS1wmlGSw3CS,-3517605.87800313,5266,1000
17,7At8c7toRU5jTOvAUyyG,-3557698.25455814,2060,1000
18,cK051P6ghpug8Aq0MHVV,-3494403.78432018,6731,1000
19,Oxzk2Pru1nlOFzUZYkyx,-3518058.0890038,4684,1000
20,3AhFhWBWCtJqVrIxstd8,-3562935.86918174,2992,1000
21,OjilPMhMqf2e8UJ4vZNI,-3436144.52859265,4270,1000
22,6SK4Rj0PfAK7ipJaGNbs,-3553970.49865239,2336,1000
23,ncn84EAe31GT8TSjBN9A,-3552171.85025984,4331,1000
24,ZtJxfZ4zXWglXbwCPuaT,-3532472.87523045,2020,1000
25,0vrrlOSfp176OD5HVGIm,-3510190.09178691,4482,1000
26,pGzI0ydQ4bQ6dQNayO3U,-3504176.61398987,3803,1000
27,5QJiynhkaBhKY6Muy7kR,-3552975.15216281,3165,1000
28,2zlllx4iRjBb6Gj9mIN4,-3555548.15832041,2307,1000
29,EJ3Oj9Oz63G6zycvqL9a,-3498377.70561431,2360,1000
30,q9WmDQejlDgR7OdVxKIk,-3537462.72701106,2722,1000
31,gbQ8ef5PGjDmvRsgA4la,-3278456.07122927,3775,1000
32,WpPZrrDyKUq3nr7rnO3p,-3499904.10792766,4697,1000
33,scZ1xQnG7cFMhIVVxYCX,-3461138.34088822,2037,1000
34,53gBmwIMhCfdpsX2jSDf,-3540339.98392277,2349,1000
35,0ffFPldleS4HngMVoAGX,-3538130.29137112,2981,1000
36,0mz4VSuWG9SC0Rsxml6c,-3522138.66642331,8752,1000
37,ZleiGtRy6jLdWpoLwfaw,-3523032.47404696,2908,1000
38,BJiVE3wo9WDDUjDXgAyb,-3513576.62289794,3913,1000
39,TyxcfM0mX2s21ZF1hi3n,-3535494.08847883,2308,1000
40,UUlbDGAG42WurmMSj5Ta,-3446702.91104716,2087,1000
41,1xHqoqQnDOzlCHTC0U6W,-3540617.98919055,2355,1000
42,VEOtarSa52PWw4pYKaf8,-3551128.87194495,2920,1000
43,ePpgllm1t0O4oUblsDFK,-3551976.84227753,2549,1000
44,aoIoFl6Akm0REvgcm8Z0,-3455441.57749469,8386,1000
45,k5jtj1eigUY0cYYiNhgW,-3504164.1342792,3652,1000
46,tj1Kx3VCNX5MhkaYeLpP,-3501286.75777722,3268,1000
47,Myt6jpI9e1INBMSj4BCp,-3487457.44427599,5822,1000
48,aO331DkXUiRKlTcVRUPT,-3434413.6521027,5436,1000
49,lgO6WDARAsk0U6sjpZDw,-3507597.72382447,5576,1000
50,o22n7jkymYIpnV154anI,-3565881.06997784,2278,1000
51,VEH2cm88PRvebnKDChB2,-3514001.99910754,3314,1000
52,St5u6gnD6fZ0rUn6aMkU,-3530944.95139129,3842,1000
53,B3KS6VSy4O2CQ4KxZ3on,-3504587.3902355,3287,1000
54,VNHXbkJHXM2VNfas9bCF,-3516427.43344375,4690,1000
55,mJVsGpBqRyg0aK6iIzPM,-3516068.01339135,2330,1000
56,icAcPLAJS7uzcXRDR9PV,-3503879.01744912,4001,1000
57,8d3hATpWG4ywEiEDuAaP,-3525857.50024489,3580,1000
58,AI5afZ1YJcUYNBhJEjB9,-3464647.76363532,3788,1000
59,0uOeDDGr4DmPvuVKEAJz,-3531380.95566333,1826,1000
60,oOTiQ9cAUPnPfc1vrOCF,-3481889.00749671,3596,1000
61,P7pMnhN48LmabKRTmnJC,-3357524.65546777,7171,1000
62,uOqcQRaQcoCibKmp4PC7,-3487699.55872333,2097,1000
63,7VuqZScYWiBqUbkD349H,-3506908.93923049,3576,1000
64,vj4uAEdylIGLmh61sjKb,-3543704.64931343,1797,1000
65,oBs5jjJeDEnvvDQC5hWM,-3544225.6367115,2363,1000
66,eLDwaP9lPQraoNMW6p7w,-3512444.72805004,4369,1000
67,oD9EsEAyfzAGd7sxHFJi,-3517697.52795063,2733,1000
68,ZCD8rLo8S84j3osbbLiz,-3541933.59976938,2920,1000
69,RaZGbTcKqTW46oL8UNLJ,-3381951.28224857,2549,1000
