,OFV,AIC,BIC,BICc,chosenDegree,standardError,run
0,-3248500.14409548,-3248458.14409548,-3248321.28303846,-3248264.1605131,5,3432.67425998503,eM7xfxjOhAnseGpnrDnK
1,-3373661.78138259,-3373619.78138259,-3373482.92032557,-3373425.79780021,5,805.777583904836,ePpgllm1t0O4oUblsDFK
2,-3390798.56696001,-3390756.56696001,-3390619.70590299,-3390562.58337763,5,858.693026262497,o22n7jkymYIpnV154anI
3,-3359646.92681116,-3359604.92681116,-3359468.06575414,-3359410.94322878,5,1484.23398718085,VNHXbkJHXM2VNfas9bCF
4,-3314406.70502511,-3314364.70502511,-3314227.84396809,-3314170.72144273,5,2922.2322236622,oOTiQ9cAUPnPfc1vrOCF
5,-3314264.64397872,-3314222.64397872,-3314085.7829217,-3314028.66039634,5,973.680485625141,uOqcQRaQcoCibKmp4PC7
6,-3371637.48927438,-3371595.48927438,-3371458.62821736,-3371401.505692,5,866.572360344789,oBs5jjJeDEnvvDQC5hWM
7,-3378219.2009901,-3378177.2009901,-3378040.33993308,-3377983.21740772,5,3275.4246155564,ZCD8rLo8S84j3osbbLiz
8,-3274633.80336719,-3274591.80336719,-3274454.94231017,-3274397.81978481,5,1053.49306659651,U56cJoJpYu3v02dDHNId
9,-3370287.87191011,-3370245.87191011,-3370109.01085309,-3370051.88832773,5,1937.72779949176,SQbxl1bde7EtFtIJcAPa
