Unnamed: 0,OFV,AIC,BIC,BICc,chosenDegree,standardError,run
5,-34115.5968895663,-34073.5968895663,-34033.4444064523,-33976.3218810925,5,8.15881865628418,YEB9C6mj6w2eAYADDl19
8,-34001.7576828496,-33959.7576828496,-33919.6051997356,-33862.4826743758,5,8.69082024039866,OtTK4qp6OwyjMI0Ix3ic
4,-33882.5282325888,-33840.5282325888,-33800.3757494748,-33743.253224115,5,7.83941573000684,bMZJEGqIC9CVm1Ysql43
0,-33795.7768446087,-33753.7768446087,-33713.6243614947,-33656.5018361349,5,8.07843769579504,tveqIaYt9ZVkzfZwmhWv
14,-33779.6238643034,-33737.6238643034,-33697.4713811894,-33640.3488558296,5,7.32806464946249,PNySZK1B2BEmldyNTAqS
12,-33761.1001067602,-33719.1001067602,-33678.9476236462,-33621.8250982864,5,10.9503018589441,zeTmVR4erOKRzubBErpz
13,-33576.6938002532,-33534.6938002532,-33494.5413171392,-33437.4187917794,5,10.4203135157713,apJCZkIQl3twXS2kbCLF
20,-33433.3187092481,-33391.3187092481,-33351.1662261341,-33294.0437007743,5,10.6050506716064,0e1rc4B390LCzJ8qPfSQ
10,-33425.7417501337,-33383.7417501337,-33343.5892670198,-33286.46674166,5,9.74135228543711,LurTmThpAFUypisBXQYx
15,-33392.7299679846,-33350.7299679846,-33310.5774848706,-33253.4549595108,5,7.19389122711115,1gXxzvFUPsUgvHE45JY2
11,-33388.105244474,-33346.105244474,-33305.9527613601,-33248.8302360003,5,10.6557334410796,CcuLx1vDtu8zPLqKXgUg
9,-33353.896125505,-33311.896125505,-33271.743642391,-33214.6211170312,5,9.91010511385471,uETE7RmylGS1krT9YVRy
2,-33328.3977903928,-33286.3977903928,-33246.2453072788,-33189.122781919,5,9.79217222029978,MgAaBkS8L0SmxDb4coKj
1,-33314.4830496899,-33272.4830496899,-33232.3305665759,-33175.2080412161,5,9.24446254293508,MuNPfHSfb1GC3WrQ6bAK
3,-33239.0816111661,-33197.0816111661,-33156.9291280521,-33099.8066026923,5,9.25804776001406,lx1anlJlNGGb5RrGInuE
7,-33228.6154924354,-33186.6154924354,-33146.4630093214,-33089.3404839616,5,9.74150060276608,6E4U8dhfRCwIOS4KO27Z
16,-33083.7485732374,-33041.7485732374,-33001.5960901234,-32944.4735647636,5,9.46727591208454,LT14Yhb8W1OKnHSaSOnQ
18,-33079.0010863161,-33037.0010863161,-32996.8486032021,-32939.7260778424,5,8.12919315373383,7mADdwqB6x8QeaU0uNqd
19,-32939.3628889663,-32897.3628889663,-32857.2104058523,-32800.0878804925,5,11.0498185168065,xF5bKxRWGZfnxMfELMwy
6,-32870.6760852464,-32828.6760852464,-32788.5236021324,-32731.4010767727,5,8.53080662290349,B28oauUTfG3FzjA0ZjTG
17,-32458.3540263339,-32416.3540263339,-32376.2015432199,-32319.0790178601,5,12.6049619716723,XgB6QtmP8GmAwgOXG8V2
