X,saem,cond,mode,se,ll,run
1,151492.992629051,15901.8000161648,658.200778961182,1054.41157770157,300160.150514126,1702664766_84499
1,145336.88720727,14810.3602001667,522.553485631943,996.508786201477,299548.345771551,1703171247_98414
1,197260.106805563,14396.9197561741,606.002932071686,908.333573818207,272765.418135881,1702059916_72571
1,130028.570051908,11393.4781353474,457.525434732437,767.911415338516,287614.776427984,1703171110_05686
1,115418.401371479,13463.9464027882,481.884641647339,901.717411279678,295029.510030985,1702664766_8798
1,146324.964497805,13275.7619376183,607.54892206192,914.790350914001,271312.890719175,1703665007_07139
1,179843.689176083,12854.3278074265,516.805802345276,864.51687002182,291002.960397243,1703171109_9439
1,127932.750541449,11014.9168093204,473.701493263245,806.088374137878,291023.131481647,1702664766_20488
1,165088.746931791,14795.0522525311,541.701312065125,1047.35709452629,297191.720067263,1702059935_0991
1,103528.393904686,12129.397513628,463.5570936203,826.822919845581,291526.597439289,1702664766_7668
1,174962.041191339,12981.7564339638,506.694335460663,8055.73566246033,291749.890149117,1702059934_89274
1,186690.433059692,15897.9531335831,652.507368564606,1113.23795700073,277811.343171835,1702059916_69504
1,192306.740795374,14074.0234262943,610.582023143768,921.278681516647,271645.979684591,1703634040_65917
1,182085.80826664,14148.0891849995,523.956970930099,942.079149246216,294491.730535984,1703171247_95412
1,169917.822865725,11369.1762363911,491.225366353989,821.051246404648,292694.202792645,1703699471_90805
1,160997.195945978,11719.4844355583,491.13428068161,796.247840166092,292356.662243128,1703672101_84843
1,190484.735854149,12967.1352028847,555.204705476761,919.15154671669,294346.696836233,1703171246_83479
1,199163.247461081,12240.7871646881,615.025433063507,920.326890945435,269182.728627205,1702059916_60624
1,119170.469010592,13414.9896740913,483.070919513702,830.333385705948,290118.307689905,1702664768_22942
1,123916.099884033,14857.8656036854,489.93890786171,826.30500125885,288276.48015666,1703657742_49583
1,172521.105024099,11238.8145422935,509.725253343582,839.395653963089,289630.968813419,1703602913_25172
1,215032.115910769,14231.0457417965,603.308054447174,999.56969332695,295913.260178804,1703171110_28597
1,170518.5866611,12067.8791975975,534.422983407974,879.068489313126,281869.518326044,1702059934_59317
1,336326.212709188,22225.7819857597,967.215425491333,1621.02728271484,302748.883448362,1703148805_81028
