run,1706368528_85787,1706589002_65885,1706521020_88189,1706425612_02369,1706516148_56497,1706467614_70277,1706573780_4423,1674616592_76218,1674579319_25959,1706560453_9273,1706456144_43029,1706407322_50787,1674782044_40446,1706482991_08017,1674548312_3243,1706542337_00222,1674950943_09985,1674406328_34794,1674515001_27996,1674859146_24891,1706504983_75048,1706504435_60608,1674838083_93864,1674637313_87468,1706315437_23838,1706331193_98604,1706425611_47518,1706463056_49297,1706557450_34878,1706299680_49581,1674731677_48785,1706589799_64608,1674439623_63654,1674807652_68649,1706584718_96569,1674472933_96635,1674364158_94625,1706478322_82753,1706425611_22949,1674386008_97938,1706531632_58348,1706562716_29695,1706536633_28573,1674321588_78123,1674513616_87977,1674669643_25911,1674321592_00733,1706557016_95952,1706494013_08131,1706572596_51801,1674694255_03453,1706472854_18117,1706462594_60838,1674981148_09058,1706444622_73645,1674918685_35203,1674439803_93208,1674348672_35229,1674566470_66582,1674473875_15618,1706575857_81426
delta_pop,-0.735618732,-0.776317794,-0.784522371,-0.981465262,-1.18812765,-1.071815706,-1.203000779,-0.942779638,-0.750353949,-1.252499781,-0.903064874,-0.95293655,-1.132196429,-1.002032559,-1.364377543,-1.468380607,-1.652010227,-1.324131703,-2.032814080,-1.778579388,-2.101934075,-2.255085367,-2.223018831,-0.981189719,-2.236640501,-2.82441292,-2.527164252,-1.472863820,-1.859177323,-2.547558764,-6.943063183,-3.0783532098,-3.318819094,-3.592704837,-3.865762559,-4.008122943,-3.323171940,-3.404519724,-6.171606676,-3.200149877,-1.566028056,-3.081254237,-2.946354640,-2.605055795,-0.969978203,-4.60823462,-0.937948156,-4.256509417,-3.126708839,-3.496410400,-4.770334376,-3.140658219,-3.679884861,-4.129340810,-4.080031253,-4.767042292,-3.775621421,-4.753133010,-0.968384919,-1.564958006,-6.72892916
gamma_pop,-6.992648164,-6.954304629,-6.950985304,-6.773750824,-6.59808416,-6.699933844,-6.572994829,-6.827739143,-6.986544835,-6.526375185,-6.866169078,-6.81813435,-6.644065693,-6.785060626,-6.432300855,-6.286557913,-6.126956363,-6.488152833,-5.689687857,-6.013180651,-5.665394606,-5.414555622,-5.438140269,-6.780786358,-5.439035228,-4.81761947,-5.162718046,-6.308530547,-5.866174066,-5.125531008,-0.799884301,-4.6115180181,-4.375522064,-4.089757945,-3.789413100,-3.673166725,-4.335322734,-4.255849800,-1.574251743,-4.465012960,-6.231416153,-4.618920121,-4.757942342,-5.111133838,-6.830913988,-3.02519233,-6.818725373,-3.387782654,-4.601738277,-4.148541101,-2.924578029,-4.551600005,-4.020026589,-3.514506608,-3.602611701,-2.921962663,-3.903600373,-2.926276074,-6.837251326,-6.270663029,-1.08613465
km0scale_pop,6.217034993,6.216803121,6.217485678,6.216790263,6.21656714,6.216482340,6.216892840,6.216848028,6.217477354,6.216537219,6.216925447,6.21689438,6.216761758,6.216733274,6.216703130,6.216271573,6.216778301,6.216578097,6.216668249,6.217085016,6.216981550,6.216361128,6.216003206,6.217232932,6.216537733,6.21639578,6.216441146,6.219239598,6.216328569,6.216884981,6.216961452,6.2165683547,6.216727482,6.216814042,6.216466212,6.216882278,6.216411527,6.216828634,6.216414558,6.216812466,6.217885323,6.217098787,6.218519191,6.216977605,6.221980366,6.21620504,6.221291512,6.216505058,6.217118737,6.216540625,6.217309951,6.218499571,6.220347574,6.216481366,6.220173987,6.219684370,6.226438398,6.219782461,6.236844368,6.228157546,6.25241888
tBegin_pop,-0.167544220,-0.167546481,-0.167520974,-0.167570940,-0.16760676,-0.167617874,-0.167575559,-0.167595960,-0.167526473,-0.167608474,-0.167582418,-0.16757760,-0.167631798,-0.167593012,-0.167603194,-0.167649754,-0.167599380,-0.167619259,-0.167621988,-0.167551132,-0.167535402,-0.167645203,-0.167703351,-0.167550087,-0.167621576,-0.16763549,-0.167648888,-0.167350899,-0.167651951,-0.167584252,-0.167528018,-0.1676071583,-0.167610567,-0.167594042,-0.167626620,-0.167562973,-0.167630610,-0.167587570,-0.167641038,-0.167612410,-0.167503510,-0.167582085,-0.167460665,-0.167565221,-0.167212339,-0.16766683,-0.167311665,-0.167622403,-0.167570216,-0.167622168,-0.167584676,-0.167456615,-0.167285924,-0.167635278,-0.167393166,-0.167445763,-0.167038262,-0.167474335,-0.166524131,-0.166986192,-0.16614216
offset_pop,2.079306464,2.079129312,2.079048891,2.079133579,2.07921943,2.079285393,2.079043934,2.079020797,2.079224908,2.079210528,2.079147542,2.07912009,2.079138404,2.079188550,2.079133220,2.079175710,2.079199572,2.079089677,2.079129890,2.079152504,2.079155764,2.079115627,2.079143491,2.079122794,2.079196771,2.07920128,2.079170312,2.079242786,2.079158749,2.079137803,2.079124986,2.0793071979,2.079188136,2.079084998,2.079033501,2.079265641,2.079066634,2.079078953,2.079155487,2.079054494,2.079282179,2.079134998,2.079093357,2.079245540,2.079161737,2.07925538,2.079201739,2.079180775,2.079091549,2.079181064,2.079091091,2.079051326,2.079286666,2.079018470,2.079096043,2.079177915,2.079291970,2.079111742,2.079180685,2.079188525,2.07930732
omega_delta,1.085400292,1.185938193,1.208801401,1.600023703,1.87166195,1.720069404,1.902737038,1.509306268,1.126798401,1.950522478,1.439517261,1.53348835,1.800384532,1.605613006,2.095771802,2.193757198,2.414953342,2.040725829,2.731572751,2.542248040,2.804445534,2.890148548,2.831632816,1.586152030,2.860107956,3.23193594,3.097778235,2.228599381,2.564640507,3.097542421,2.807820675,3.3947613076,3.556727315,3.647232469,3.738309460,3.771643981,3.506750032,3.555253463,3.620596071,3.481619024,2.324277614,3.428875269,3.384417445,3.160379367,1.578385512,3.83923066,1.524008014,3.805692423,3.479446999,3.582680287,3.890973262,3.483533739,3.679250149,3.783385307,3.802323767,3.879134055,3.723969798,3.871650429,1.616764124,2.348619687,3.32176711
omega_gamma,2.697294116,2.759096997,2.781092256,3.055211624,3.34268666,3.200838140,3.343675231,3.045301020,2.730684720,3.405059839,2.986715930,3.05363011,3.270740500,3.131450525,3.506423101,3.568315613,3.677164150,3.495375674,3.816333198,3.751908266,3.867300280,3.832271074,3.848679931,3.074188114,3.852630808,3.88962328,3.882646615,3.575639641,3.765792644,3.874668815,1.240898342,3.9160027269,3.853404045,3.799848412,3.681243823,3.682676475,3.848614921,3.823153799,2.316189972,3.842297578,3.645435217,3.904369922,3.889291050,3.909961303,3.111703067,3.36982880,3.028795291,3.541136839,3.912888194,3.793323058,3.355983545,3.866955823,3.814312824,3.592643673,3.655032576,3.364250209,3.766534665,3.369738685,3.157299602,3.704767728,1.85909147
omega_km0scale,0.063548906,0.062619480,0.076317248,0.062852855,0.06306951,0.063129144,0.066383363,0.067719924,0.076817153,0.062890586,0.067175112,0.06713659,0.067823265,0.062847682,0.062881587,0.062988060,0.063298151,0.062719118,0.065079744,0.063661871,0.063080541,0.063075082,0.063564556,0.068101253,0.065536905,0.06287946,0.062928350,0.096040595,0.062895752,0.071278393,0.062723966,0.0626635199,0.062929215,0.063636491,0.063849584,0.062740261,0.062708242,0.077249774,0.063835833,0.065293312,0.080801014,0.069834940,0.085686358,0.066238636,0.125086478,0.06284795,0.135682625,0.065720009,0.070506840,0.067060548,0.069564922,0.087790658,0.101291848,0.064654747,0.113362044,0.111249748,0.181164546,0.122098773,0.253943980,0.180371641,0.36122922
omega_tBegin,0.342939946,0.342913234,0.342958963,0.342923879,0.34292404,0.342918114,0.342927366,0.342952737,0.342972261,0.342913899,0.342958734,0.34291333,0.343066953,0.342959558,0.342944814,0.342943585,0.342953739,0.342953728,0.342956473,0.342945561,0.342899170,0.342937841,0.342995506,0.342945094,0.342951817,0.34295315,0.342973071,0.342888443,0.342948937,0.342936653,0.342886997,0.3429221577,0.342966674,0.342954598,0.342932250,0.342933861,0.342931557,0.342839897,0.342945480,0.342973855,0.342981694,0.342970470,0.343013263,0.342972452,0.342803668,0.34295330,0.342938689,0.342958654,0.342988127,0.342948169,0.342982380,0.342911597,0.342859640,0.342944826,0.342987714,0.342979517,0.342899424,0.342997959,0.342704768,0.342821931,0.34296100
omega_offset,0.001909119,0.001133309,0.001472793,0.001570954,0.00150915,0.001608323,0.002140091,0.003223778,0.002234611,0.001493539,0.002779715,0.00668118,0.001447388,0.001673733,0.001583043,0.001568589,0.001667418,0.001348437,0.001403099,0.001321076,0.001546779,0.002289029,0.001701673,0.006923478,0.002166323,0.00128506,0.001933895,0.006003638,0.001500755,0.002157556,0.001363489,0.0007180361,0.001023574,0.001011284,0.001786142,0.001086867,0.001269337,0.001982271,0.002073148,0.002386103,0.001936632,0.001678548,0.002631432,0.002188622,0.004465718,0.00141740,0.005202737,0.001813515,0.002155545,0.001666842,0.001513745,0.001304556,0.002696144,0.001728952,0.002819026,0.001300171,0.004845581,0.002840169,0.007376861,0.007363674,0.00803837
