Unnamed: 0,OFV,AIC,BIC,BICc,run
75,-3520149.08954112,-3520127.08954112,-3520055.40041602,-3520024.24267491,1674886857_75526
42,-3518057.64321102,-3518035.64321102,-3517963.95408591,-3517932.7963448,1674355031_17877
74,-3516734.54563855,-3516712.54563855,-3516640.85651344,-3516609.69877234,1674878065_9159
5,-3516263.7290207,-3516241.7290207,-3516170.03989559,-3516138.88215449,1674375960_26887
30,-3515999.31635868,-3515977.31635868,-3515905.62723357,-3515874.46949246,1674686889_99755
16,-3515751.22536386,-3515729.22536386,-3515657.53623876,-3515626.37849765,1674508994_89958
13,-3514393.98494493,-3514371.98494493,-3514300.29581983,-3514269.13807872,1674470243_60069
19,-3512057.31073579,-3512035.31073579,-3511963.62161069,-3511932.46386958,1674547225_61243
2,-3511858.71070138,-3511836.71070138,-3511765.02157627,-3511733.86383517,1674342593_27439
59,-3511533.58242073,-3511511.58242073,-3511439.89329562,-3511408.73555451,1674649944_50249
0,-3510421.12626954,-3510399.12626954,-3510327.43714444,-3510296.27940333,1674321577_1541
10,-3508927.90552773,-3508905.90552773,-3508834.21640263,-3508803.05866152,1674437458_91463
50,-3508174.2472523,-3508152.2472523,-3508080.5581272,-3508049.40038609,1674480678_69547
3,-3507428.02794218,-3507406.02794218,-3507334.33881707,-3507303.18107597,1674353194_58459
47,-3503432.53308975,-3503410.53308975,-3503338.84396464,-3503307.68622353,1674417855_39486
28,-3503052.59941533,-3503030.59941533,-3502958.91029022,-3502927.75254912,1674663382_20899
40,-3502574.67666495,-3502552.67666495,-3502480.98753984,-3502449.82979874,1674332681_3369
31,-3502530.96262646,-3502508.96262646,-3502437.27350136,-3502406.11576025,1674697071_23942
11,-3502366.80085954,-3502344.80085954,-3502273.11173444,-3502241.95399333,1674449511_72386
36,-3501274.30357665,-3501252.30357665,-3501180.61445155,-3501149.45671044,1674764942_5687
18,-3500664.09484387,-3500642.09484387,-3500570.40571876,-3500539.24797766,1674535998_34833
7,-3500527.73646211,-3500505.73646211,-3500434.047337,-3500402.8895959,1674401290_92559
58,-3500381.33015409,-3500359.33015409,-3500287.64102898,-3500256.48328787,1674631237_9512
20,-3500105.65612927,-3500083.65612927,-3500011.96700416,-3499980.80926306,1674562930_42688
4,-3497668.04187732,-3497646.04187732,-3497574.35275222,-3497543.19501111,1674363267_05724
66,-3496951.46222505,-3496929.46222505,-3496857.77309995,-3496826.61535884,1674768661_34636
69,-3496659.73126472,-3496637.73126472,-3496566.04213962,-3496534.88439851,1674807726_71266
72,-3496286.02692251,-3496264.02692251,-3496192.3377974,-3496161.1800563,1674853660_26001
21,-3495933.51217062,-3495911.51217062,-3495839.82304551,-3495808.66530441,1674575979_67557
57,-3495856.59712416,-3495834.59712416,-3495762.90799906,-3495731.75025795,1674617502_45773
52,-3495763.95214667,-3495741.95214667,-3495670.26302156,-3495639.10528045,1674522216_32424
