saem,cond,mode,se,ll,run
9738.20826673508,,,188.309720993042,9.74074864387512,1674321577_1541
10881.7097992897,,,187.940266609192,9.7425479888916,1674331513_70905
10403.3969464302,,,187.988944530487,9.72420477867126,1674342593_27439
9874.36034202576,,,188.155818223953,9.7308623790741,1674353194_58459
12495.1629161835,,,188.068394184113,9.71001410484314,1674363267_05724
11366.9168593884,,,187.718343257904,9.73192119598389,1674375960_26887
13567.9925045967,,,187.928967237473,9.74531126022339,1674387524_92691
7220.65139913559,,,187.901257038116,9.73434996604919,1674401290_92559
17398.1359541416,,,188.141447544098,9.74952387809753,1674408709_55397
10955.5654094219,,,187.226692676544,9.7253634929657,1674426305_98274
11855.169729948,,,187.4714884758,9.72112226486206,1674437458_91463
9474.46064352989,,,187.731812477112,9.73832726478577,1674449511_72386
10861.6411197186,,,187.594593763351,9.73134183883667,1674459184_12144
11049.858843565,,,188.212277412415,9.72551965713501,1674470243_60069
13526.9075810909,,,188.084109067917,9.73470258712769,1674481491_93332
13579.6793272495,,,187.666218280792,9.70968651771545,1674495217_23514
12892.4079477787,,,188.108826637268,9.74093580245972,1674508994_89958
13714.4848403931,,,187.676233768463,9.7193615436554,1674522085_7989
11029.0854454041,,,187.758970022202,9.7230281829834,1674535998_34833
15506.6522216797,,,187.69788479805,9.72551870346069,1674547225_61243
12851.1154124737,,,187.598841428757,9.70919299125671,1674562930_42688
10835.3808069229,,,187.043034553528,9.71233487129211,1674575979_67557
13005.8392190933,,,187.02495932579,9.71614217758179,1674587012_58369
7383.92383241653,,,187.842678070068,9.71381115913391,1674600215_987
9708.3786752224,,,187.594694137573,9.7305850982666,1674607798_302
18551.1553838253,,,187.870331287384,9.72802829742432,1674617704_87985
9742.78215551376,,,187.595858573914,9.72865414619446,1674636454_57705
16788.31990695,,,187.548604249954,9.72824168205261,1674646395_61913
12581.9933269024,,,186.511905908585,9.67975974082947,1674663382_20899
10531.6366574764,,,186.215197563171,9.64403986930847,1674676161_39852
9983.98286056519,,,186.553416013718,9.66232442855835,1674686889_99755
12133.2652857304,,,186.8322057724,9.65871000289917,1674697071_23942
16660.0638613701,,,186.126258611679,9.66350388526917,1674709402_07786
10326.1408259869,,,186.296428203583,9.68073463439941,1674726259_12675
16458.5346598625,,,186.113859653473,9.63672113418579,1674736782_38407
11307.5098907948,,,186.247138738632,9.666672706604,1674753437_87378
9419.51116752625,,,186.222322702408,9.65725922584534,1674764942_5687
10684.1497449875,,,186.361990451813,9.63109517097473,1674774559_18823
13333.4804942608,,,186.226235389709,9.65627288818359,1674785440_65921
13830.6492278576,,,187.038363695145,9.84775757789612,1674318653_47431
10812.3997097015,,,187.258825778961,9.823073387146,1674332681_3369
11143.6080479622,,,186.67758846283,9.65779304504395,1674343691_03641
10355.6600384712,,,186.800874471664,9.64395713806152,1674355031_17877
16755.8871891499,,,186.446241378784,9.65812206268311,1674365583_50609
10677.1954600811,,,186.039499282837,9.65440082550049,1674382535_77492
11459.5034351349,,,186.057461977005,9.65928959846497,1674393408_95519
12594.2919535637,,,186.586838245392,9.66989946365356,1674405064_49122
20982.9766583443,,,186.739972829819,9.65944218635559,1674417855_39486
15418.5982346535,,,186.068249702454,9.64399886131287,1674439035_17397
25832.8047864437,,,185.83144402504,9.67013716697693,1674454649_90659
14614.0237162113,,,186.01348900795,9.64851641654968,1674480678_69547
26531.50476861,,,185.745142459869,9.65632629394531,1674495488_86732
10972.8125870228,,,185.841498374939,9.66343951225281,1674522216_32424
22491.2282886505,,,186.479543209076,9.6510443687439,1674533385_17286
17607.3125967979,,,186.270502567291,9.64891624450684,1674556073_12956
14461.4956095219,,,186.142164707184,9.63916087150574,1674573876_9813
28771.2774879932,,,185.950841426849,9.62729668617249,1674588534_89408
13538.8229985237,,,186.296409130096,9.62282204627991,1674617502_45773
18510.2541379929,,,185.964478731155,9.61105442047119,1674631237_9512
12550.904270649,,,186.098859548569,9.62499690055847,1674649944_50249
20020.6497011185,,,185.776908636093,9.60656380653381,1674662691_87617
12017.4810466766,,,185.326028347015,9.61493515968323,1674682908_70602
20252.254734993,,,185.388493537903,9.64218163490295,1674695121_9996
22181.8109922409,,,187.789046764374,9.68706703186035,1674715570_14961
19419.1761054993,,,187.414919376373,9.70048642158508,1674737950_3473
10895.5111625195,,,187.58645772934,9.69937610626221,1674757567_62537
15461.5831763744,,,188.036023378372,9.69886422157288,1674768661_34636
10608.7790999413,,,187.419991970062,9.68785548210144,1674784321_63292
12402.4985733032,,,185.029645442963,9.57045316696167,1674795128_51714
8941.38689255714,,,187.743442296982,9.69255590438843,1674807726_71266
22127.781891346,,,187.65221452713,9.70292925834656,1674816866_58545
14268.8309664726,,,187.716052055359,9.70201230049133,1674839192_85647
11390.1449613571,,,187.5608253479,9.78599500656128,1674853660_26001
12618.5626413822,,,187.455596446991,9.6926109790802,1674865248_95459
8593.08888459206,,,187.869336128235,9.67988991737366,1674878065_9159
35794.3870573044,,,187.918883800507,9.71345949172974,1674886857_75526
