,run_1674406328_34794,run_1674439623_63654,run_1674472933_96635,run_1674515001_27996,run_1674548312_3243,run_1674579319_25959,run_1674637313_87468,run_1674669643_25911,run_1674694255_03453,run_1674731677_48785,run_1674782044_40446,run_1674807652_68649,run_1674838083_93864,run_1674859146_24891,run_1674918685_35203,run_1674950943_09985,run_1674981148_09058,run_1674321592_00733,run_1674348672_35229,run_1674321588_78123,run_1674364158_94625,run_1674386008_97938,run_1674439803_93208,run_1674473875_15618,run_1674513616_87977,run_1674566470_66582,run_1674616592_76218
delta_pop,-1.54957648492021,-1.12183019372723,-1.00536998073909,-1.36419165784033,-1.54599278318082,-1.50354575633317,-1.62159869678359,-0.91296153573948,-0.90056516551892,-0.489094402527504,-1.59565197474536,-1.07261481324209,-1.29259058857087,-1.44892474435189,-0.89876337824018,-1.47763267420435,-0.985801052423819,-1.62890940144359,-0.898994866119835,-1.24930722837137,-1.10283571856272,-1.13516889503919,-1.05017865430773,-1.51618470985395,-1.63272908933325,-1.67523910583421,-1.6047946529621
gamma_pop,-0.651069139450788,-0.959002600297999,-1.06425602597883,-0.777571817111056,-0.655140967955338,-0.48122446546177,-0.552053370717142,-1.15802730515789,-1.19254825052269,-1.5538676765243,-0.597062839797099,-1.00447356517572,-0.810111399587219,-0.735226202294319,-1.19815943531261,-0.710299668711557,-1.08031112568336,-0.541882419240543,-1.19773072954685,-0.865327673289836,-0.964807250855717,-0.943124353625726,-1.0379813286544,-0.709912713765214,-0.558474419781556,-0.569374046348754,-0.545563686286772
km0scale_pop,0.0104727266443836,0.010420556618512,0.0103615314960322,0.0108159724866048,0.010495900753985,0.0127141770501548,0.0113375581461564,0.0103505288471979,0.0114090629856523,0.0102330024526068,0.0112862952855645,0.0105229070514764,0.0105690782100868,0.0106017059402527,0.0180436552850843,0.0105493120543824,0.0106586442216816,0.0220548774401803,0.0197724150769179,0.0109704687108883,0.010386662780713,0.0107985758573198,0.0292329434499553,0.0291757092630478,0.0203618467866866,0.0409281104941371,0.0112788947911859
tBegin_pop,-2.04625606993242,-2.04638885688195,-2.04674811201346,-2.0462223138559,-2.04639590211656,-2.04752697628489,-2.04706481471475,-2.0455798255591,-2.04675121980568,-2.04681169708438,-2.04678698255637,-2.04650652286981,-2.04545312355474,-2.04702720810154,-2.04843873304525,-2.0464895536362,-2.04592903831318,-2.04996530833363,-2.04820227561928,-2.04698956471514,-2.04592877313872,-2.04640536888012,-2.05299283795658,-2.053248786671,-2.05037207040838,-2.05826689468929,-2.04654870233726
offset_pop,0.0064039267783899,0.0063555110124848,0.0063527769954912,0.0064061839307035,0.0064356938224113,0.0065897100158044,0.0075702135753244,0.0063915774702164,0.0064062006001813,0.0063621965749463,0.0064341173091601,0.0063497780533165,0.0064553655298946,0.006405640539278,0.0064103387688675,0.0064499682728388,0.0064474894441292,0.0071961065027213,0.0066917864688745,0.0065387121222528,0.0063770051835621,0.0065839340499073,0.0071197819172018,0.0077739727948691,0.0070790993542945,0.0078429136621636,0.0067464620089195
omega_delta,0.713532395480644,0.750101458993556,0.76983285324336,0.723560047637013,0.714598832943428,0.708571194990307,0.710816686809658,0.796125790909009,0.802899938869802,0.906297867261368,0.711409049884759,0.76057175014904,0.723713081739369,0.72136938735263,0.803077372848033,0.718955883075379,0.778455396600763,0.710219447535037,0.802703954979531,0.736097183609826,0.749331329879283,0.747905840317799,0.768201476211532,0.718063770063385,0.711009670392379,0.711056079906914,0.710075022565324
omega_gamma,0.893862159316315,0.787934840775591,0.763933854092986,0.849535667632173,0.888118061762672,0.925738955014831,0.90861241235455,0.746066284897927,0.744835962869768,0.709100520286153,0.901118901731535,0.782058216554279,0.837275125069503,0.865581880343168,0.745886389677787,0.870800746172293,0.761205888986954,0.911280244044816,0.745588563845288,0.825609362475047,0.786160491563497,0.795069896213677,0.77762409346135,0.885776345664953,0.914485916872031,0.920031418231981,0.913322943984886
omega_km0scale,0.757097280236025,0.745997295024086,0.742665633731296,0.750873945053944,0.756740728494217,0.745462932485814,0.753144526382523,0.738862938841185,0.733437569333835,0.726880151273418,0.752467731036413,0.744189201931162,0.751218701408566,0.753530281299234,0.718858365214024,0.754610765846925,0.740151385202782,0.721851290830556,0.71689421842987,0.746285970908909,0.746281188445037,0.744438900714774,0.713219454348179,0.716339411841759,0.723933210032742,0.71324124360138,0.753581281842277
omega_tBegin,0.707260852675618,0.707227418980609,0.707209970821929,0.707249926336086,0.707258778253458,0.707279544960032,0.707271398266273,0.707198989879691,0.707195723510614,0.707153284162658,0.70726672452822,0.707219574218313,0.707243748467279,0.707252931192467,0.707200601129453,0.70725481356333,0.707208947290712,0.70728814089955,0.707202635282899,0.707235855239927,0.707223539483572,0.707224964844944,0.707225626093401,0.707279989746044,0.707285791001279,0.707296951075576,0.707270397713893
omega_offset,41.2168149812149,67.7290622951875,60.2116087432583,38.1767938026136,30.941072351686,17.8679288947954,3.34549757664048,37.2619822945892,33.2328681851221,39.4507909103505,36.3352024179339,68.9176465682158,27.4544003678723,42.672079895799,43.9971073025509,28.4355685826052,26.6303535640839,5.05919819923903,12.2522422272098,18.1827048319621,45.3450111335589,15.9029345686162,5.60941138866819,3.1396521044414,6.3891122140671,3.18306971692026,10.135563829969
