run,a,delta1m0_pop,delta2_pop,e0_m0_pop,gamma_pop,k1m0_pop,k2_pop,k2m0scale_pop,offset_pop,omega_delta1m0,omega_delta2,omega_e0_m0,omega_gamma,omega_k1m0,omega_k2,omega_k2m0scale,omega_offset,omega_r0_m0,omega_tBegin,r0_m0_pop,tBegin_pop
1705547119_35522,0.0335350626904087,1.48491046347863,1.74750716113194,-1.93825741003225,-4.92624478101816,0.853115598624164,-0.305840154168675,12.0691512233218,2.11671386347797,2.82983822806829,2.98764108751569,2.10260572446303,2.72433452498194,1.52499027942442,1.46300171570774,1.23426055098615,0.352328959359566,1.67558826582907,0.694220846351375,-1.5294309101972,-0.339705114527309
1702664766_84499,0.0335579243164531,5.16047730507821,2.32686821982075,-3.5401789516009,-5.13441026763067,0.580105264147279,-0.807079374770408,10.9648768083969,2.11663046445756,3.07125604883114,2.66033132951008,1.75949975450212,2.72715374831727,1.50454812185398,1.61752569648232,1.21611657796684,0.352199164624696,1.56425618600008,0.692179218486976,-0.104544458657543,-0.338067138348803
1705547119_44309,0.0335868747476048,-0.569471418475604,0.130930796029823,-0.79780852763614,-4.50277590082824,0.520110470699111,0.260236463986261,13.0615425962792,2.11671646644637,2.79632163229899,4.05456611698995,2.08610048768919,2.84588555899413,1.64962796212147,1.29517335447369,1.08339195161281,0.352301654179526,1.56641555781941,0.698036050791552,-2.25453478285365,-0.343287845896653
1705968209_59992,0.0339277353056935,1.15846023429519,-0.409464221255424,-2.00355089189876,-2.95015710845888,0.98603580110487,-0.939125240942546,11.9305113845422,2.11773258920559,2.48428611215708,4.49125251312267,1.71535930938756,2.62328285332597,1.61318577178348,2.11810820514901,1.12622619769581,0.352530088706335,1.4612439984316,0.693877906891348,-1.44508574084357,-0.337540329455252
1703171247_98414,0.0338793495031079,2.09270220633526,1.03973152072634,-2.29584121378499,-2.36981294961963,0.790655542555869,-2.411253282557,12.4553860824461,2.11607745083518,2.62341814846507,4.86368675802938,1.94365042973183,2.4301202565854,1.92194232949515,2.35123213686103,1.27010768552555,0.352080591429888,1.66312902850415,0.698441472528379,-1.83910665301693,-0.342913381787917
1706075329_9641,0.0340319675316259,0.406505180908065,-0.158133580209423,-0.45837873705649,-5.28746069036337,1.1031166398999,-0.250637391766641,11.991091261414,2.1178750210249,2.77492533169897,2.19576177182689,1.78264355245867,2.50928122166368,1.42030336076587,1.33182180020857,1.08776620952451,0.352646180408295,1.52934434004265,0.689297852595269,-1.5480116313099,-0.332996340843545
1705547119_47364,0.0340843781851839,0.762262193890451,-1.98647230844095,-1.21902070835562,-1.55286584009688,0.259328836348051,-2.69153112508343,11.9983649212397,2.11637090195229,2.99820959841558,3.4896821217152,1.63948431824322,2.32725126127817,2.29113489961194,2.36594662944291,1.446321016977,0.352127273523782,1.48998778589152,0.697965848042927,-0.848849509059631,-0.342730402276389
1702059916_72571,0.0342262165791307,-0.151829520185927,0.73144417325898,-0.53315398256284,-5.25966770359042,1.41220036244969,-0.0382306949421706,12.3537733177597,2.11862327533508,2.81109674917435,2.45827143807003,2.1722818649438,2.58070403124846,1.53491187294029,1.32002681745519,1.08871985314614,0.352815439245011,1.51764468298523,0.687332405363126,-2.17201861388223,-0.329845877176113
1703171110_05686,0.0342537817575479,-2.77110819264282,-0.916364505398014,1.6783379136179,-3.96731476548475,0.770390631961441,-0.894396249912484,11.7040104439962,2.11623162055524,2.75038458036549,2.27800649953783,2.10588597611487,2.40348298935723,1.45387572136423,1.55310788475008,1.14255491446489,0.352154639715184,1.56848528819407,0.698154864720669,-1.13985734547345,-0.343688138180762
1702664766_8798,0.0339689438474001,0.204444436004672,0.780430841159696,-1.70917599963095,-2.45619278140862,-0.50856772952918,-1.19068649646425,12.4072057793088,2.11526452727395,2.89674589542296,4.96885375310064,1.90622407241884,2.75161446540723,2.12357026900229,2.23454073555539,1.2473364261488,0.35212720065234,1.71000012932706,0.707143941378104,-0.703200250479215,-0.353371436475024
1703665007_07139,0.034125468904566,1.28424770701172,-2.9245000739744,-0.685740004739343,-1.96630111598013,0.474552752546709,-2.82713172164817,12.1668980092578,2.11672192605952,2.75053371806446,3.56951433403249,1.38605656121873,2.4244815198041,2.07675334942152,2.25384057949403,1.36566063213625,0.352081746051718,1.52183058790583,0.695967403311279,-1.10933987388581,-0.338715269380911
1706010122_26331,0.0342823833094328,2.48200502071248,1.421251886897,-2.212949082659,-4.60777755198113,0.0135800824709014,-0.642048820069225,11.1983372904047,2.11680184661937,3.04132070377959,3.18797531502499,1.85064819548055,2.91516499674651,1.63859134312471,1.75408236380606,1.16115209756835,0.352178718771005,1.55898707995468,0.697620792502752,0.181560008176285,-0.34228373110409
1705547119_32935,0.0343133866331906,-1.00994913765782,-3.70629799450798,-0.203097367671533,-1.50905995837603,-0.485957744029346,-2.16836763834513,12.1190332939198,2.11534010404763,3.08980031773297,3.71795325073992,1.59540018215337,2.33090043967431,2.2698921066781,2.22327217608805,1.3782464709362,0.352093734504736,1.61789571306896,0.705347124914674,-0.359233261337893,-0.350195803155772
1705547121_67204,0.0342432540090896,-0.837166698570781,-0.453185079026809,0.202499513581397,-3.10854244004416,0.581401667493147,-1.9535842475666,12.1896524706328,2.11613999848387,2.79676121173074,4.44450414955776,1.99966627995728,2.53123602354773,1.88371669936608,2.09384746181672,1.16398615407516,0.352328370002111,1.6768899652444,0.699467444404169,-1.40890303510369,-0.344128969128308
1705547121_51127,0.0343996361362747,2.02808974727938,0.929897992723825,-1.64331481268754,-4.87250522112667,0.929286428531576,-0.67670003484902,11.7613964456623,2.11753197196154,2.86623756894339,2.98264481254051,1.83388600189469,2.75820661442427,1.55122135826832,1.63079940406055,1.12828250204679,0.35224851115307,1.58401092328435,0.691830704586417,-1.11931047747674,-0.334319969804419
1703171109_9439,0.0342631824954385,1.20878646753605,-1.02966382389572,-0.584330755938517,-4.37081389942981,1.39869412228879,-1.16313417938264,12.2188384199923,2.11774486081211,2.7773628088811,3.09471591917923,1.52445179776514,2.72829011945069,1.49875077548086,1.6779982165554,1.07452626230636,0.35227931682281,1.50819278290373,0.687221449541086,-1.9101738005421,-0.329326638005487
1705547119_32913,0.0346247584148505,-0.985716561146683,-0.72303647500848,0.773598739943767,-4.67297109547606,1.65307104298288,-1.03296985973415,12.6443226165301,2.11799835872744,2.59198227596415,2.89766497228648,1.82264720020353,2.44352317587055,1.44415376080758,1.46250946692216,1.12613332107867,0.35249007593847,1.52730191362084,0.686104340230548,-2.66184895606419,-0.328381549238305
1702664766_20488,0.0347176394599771,-3.07744581831902,-0.0346007973352249,1.48506646625476,-4.02212914456374,-0.246651770068573,-0.255746738564225,13.2599240344286,2.11612923982191,2.91069755623935,3.46646677248007,2.12348567156657,2.66035632277542,1.88915131967236,1.72872830317155,1.12904715881087,0.352207440282446,1.66896716461664,0.703878438417822,-1.78051996572874,-0.349905389854045
1702059935_0991,0.0348607058907849,0.781562292789853,0.885051369203523,-1.23165431490806,-4.69288021820311,1.52040390084886,-0.333104661937847,13.9275461368435,2.11834022595334,2.55163049747007,4.15070206922499,1.82035740295837,2.87419694779474,1.69888548215863,1.80636678897261,1.28494019236919,0.352494336489447,1.66911390474698,0.687206188186071,-3.77631752155668,-0.328792916956131
1702664766_7668,0.0349422299872419,-3.570101894555,-0.958043156429729,0.750884673328529,-2.10166249123403,-0.749604230497802,-0.839541841698752,12.5883301516381,2.11542134075088,2.94526791924268,4.88663033538242,2.1544593891789,2.55660014383011,2.16916665380004,1.98442438546313,1.27521576469438,0.352119930929867,1.71747823741596,0.708676912211298,-0.68066901342903,-0.355059615265735
1702059934_89274,0.0351225494110031,-0.649337663543704,-1.21152037776599,0.390026767521586,-4.28365449120282,1.52905753010488,-0.893293402139144,12.3324581884169,2.11827822054137,3.08807755603546,3.31977548588649,2.10530836931338,2.60734935217549,1.62272705312597,1.57112042287811,1.2948209785673,0.352805558145583,1.73455521129168,0.687143266826012,-2.15573256350358,-0.32905113585586
