"run","delta_pop","gamma_pop","km0scale_pop","tBegin_pop","offset_pop","omega_delta","omega_gamma","omega_km0scale","omega_tBegin","omega_offset","a"
"lbtSouL643wwVBktAVq8","-0.70390053","-7.20849468"," 6.21706150","-0.17216778"," 2.07969308"," 0.97098584"," 2.65555978"," 0.06426644"," 0.33524665"," 0.00457033"," 0.03157588"
"tx381zRidxWOs2useJz5","-0.714669009","-7.139935249"," 6.216398296","-0.172249337"," 2.079398407"," 1.012666529"," 2.619932873"," 0.063273834"," 0.335301244"," 0.004187996"," 0.031567284"
"YuIHaW8xH0Pxt32JSou5","-0.704709674","-7.133852784"," 6.216253758","-0.172290626"," 2.079676683"," 0.976711006"," 2.568492972"," 0.064509254"," 0.335275180"," 0.007004631"," 0.031705029"
"uITkL59SNsmghSMDp6CH","-0.720408146","-7.162949862"," 6.219807157","-0.172006558"," 2.079527656"," 1.030797112"," 2.662701059"," 0.106165295"," 0.335161850"," 0.002688072"," 0.031603468"
"b8lq1m6jwDwRcCyjr45l","-0.980856644","-6.928958090"," 6.216517771","-0.172207476"," 2.079438291"," 1.573130916"," 3.063224543"," 0.066409172"," 0.335233945"," 0.003738754"," 0.031596984"
"RwJESUrFQtmN3tePPNaw","-0.976179031","-6.974470618"," 6.216060587","-0.172325000"," 2.079307187"," 1.521561920"," 3.134189263"," 0.062743218"," 0.335354250"," 0.003338216"," 0.031586154"
"kD325x6LdgeATkYKjX0q","-0.981022197","-6.913526347"," 6.215243821","-0.172420330"," 2.079897005"," 1.536975293"," 3.087740417"," 0.062816657"," 0.335302056"," 0.002354906"," 0.031589634"
"nWpldaeol3zXAHqMeqmU","-0.89180901","-7.04999048"," 6.21704615","-0.17217916"," 2.07957677"," 1.40114837"," 2.98428828"," 0.06601511"," 0.33537797"," 0.00535745"," 0.03159081"
"IwD57s3G4E9jvGRFHQuV","-0.957025567","-7.003105393"," 6.217140022","-0.172194750"," 2.079299159"," 1.525022571"," 3.094925736"," 0.070218280"," 0.335309991"," 0.002879534"," 0.031583478"
"T0WbMy3gt7fk84XkzUEE","-1.10618756","-6.87459919"," 6.21597057","-0.17233406"," 2.07944340"," 1.74582600"," 3.30941590"," 0.06245969"," 0.33534604"," 0.00120325"," 0.03158145"
"4o5ZYgNXffA6CVAxgjxS","-1.158330173","-6.836899450"," 6.215636821","-0.172351870"," 2.079754137"," 1.781911972"," 3.422424223"," 0.062667858"," 0.335250074"," 0.002025838"," 0.031590844"
"CYkd8GbrDzZAfYaX3Aa3","-1.172402792","-6.820296366"," 6.215885659","-0.172336325"," 2.079472021"," 1.818780071"," 3.412448412"," 0.062886521"," 0.335308611"," 0.003215504"," 0.031583414"
"oSokNEuMeTXxZTEt9Rdy","-1.17247686","-6.72326069"," 6.21569650","-0.17232796"," 2.07995853"," 1.87110483"," 3.27667655"," 0.06338445"," 0.33528955"," 0.00450449"," 0.03158925"
"UjNcaCL8wkxjOJO4THs7","-0.727645081","-7.181364679"," 6.225244949","-0.171771854"," 2.079479909"," 1.089851178"," 2.716825640"," 0.157455046"," 0.335316970"," 0.003729907"," 0.031805428"
"lGKuEpwDI0kcT9XEvBAQ","-0.825477444","-7.093093147"," 6.215261388","-0.172431232"," 2.079880331"," 1.249455889"," 2.860287460"," 0.064919070"," 0.335189953"," 0.009828724"," 0.031751209"
"jw4VOqX0vTcs8kmq5Mtf","-1.487776978","-6.435807610"," 6.215640154","-0.172372250"," 2.079420240"," 2.196447278"," 3.632750919"," 0.063214485"," 0.335345238"," 0.003239796"," 0.031582943"
