"X","OFV","AIC","BIC","BICc","run"
1,-7042953.65792939,-7042931.65792939,-7042852.3441853,-7042821.18644419,"1706368528_85787"
1,-7040289.3341725,-7040267.3341725,-7040188.02042841,-7040156.86268731,"1706589002_65885"
1,-7027408.71022727,-7027386.71022727,-7027307.39648318,-7027276.23874207,"1706521020_88189"
1,-7026583.12166118,-7026561.12166118,-7026481.80791709,-7026450.65017598,"1706425612_02369"
1,-7025259.82074054,-7025237.82074054,-7025158.50699645,-7025127.34925534,"1706516148_56497"
1,-7025026.30804251,-7025004.30804251,-7024924.99429842,-7024893.83655731,"1706467614_70277"
1,-7024664.17126837,-7024642.17126837,-7024562.85752427,-7024531.69978317,"1706573780_4423"
8,-7024244.08118387,-7024222.08118387,-7024142.76743978,-7024111.60969867,"1674616592_76218"
6,-7024044.71522773,-7024022.71522773,-7023943.40148364,-7023912.24374254,"1674579319_25959"
1,-7023961.3119244,-7023939.3119244,-7023859.99818031,-7023828.84043921,"1706560453_9273"
1,-7023168.66885605,-7023146.66885605,-7023067.35511196,-7023036.19737085,"1706456144_43029"
1,-7022911.17121267,-7022889.17121267,-7022809.85746858,-7022778.69972747,"1706407322_50787"
11,-7021734.9797398,-7021712.9797398,-7021633.66599571,-7021602.50825461,"1674782044_40446"
1,-7020700.58389723,-7020678.58389723,-7020599.27015313,-7020568.11241203,"1706482991_08017"
5,-7020595.42196457,-7020573.42196457,-7020494.10822048,-7020462.95047937,"1674548312_3243"
1,-7016648.47193493,-7016626.47193493,-7016547.15819084,-7016516.00044973,"1706542337_00222"
16,-7014783.46650195,-7014761.46650195,-7014682.15275786,-7014650.99501676,"1674950943_09985"
1,-7012481.00877841,-7012459.00877841,-7012379.69503432,-7012348.53729321,"1674406328_34794"
4,-7011410.72730298,-7011388.72730298,-7011309.41355889,-7011278.25581778,"1674515001_27996"
14,-7011223.53078134,-7011201.53078134,-7011122.21703725,-7011091.05929615,"1674859146_24891"
1,-7008892.89166732,-7008870.89166732,-7008791.57792322,-7008760.42018212,"1706504983_75048"
1,-7004706.05783424,-7004684.05783424,-7004604.74409015,-7004573.58634904,"1706504435_60608"
13,-7004329.02236124,-7004307.02236124,-7004227.70861715,-7004196.55087604,"1674838083_93864"
7,-7003964.58742313,-7003942.58742313,-7003863.27367904,-7003832.11593794,"1674637313_87468"
1,-7003053.22845985,-7003031.22845985,-7002951.91471576,-7002920.75697465,"1706315437_23838"
1,-7002490.47937287,-7002468.47937287,-7002389.16562878,-7002358.00788767,"1706331193_98604"
1,-7002315.13967779,-7002293.13967779,-7002213.8259337,-7002182.6681926,"1706425611_47518"
1,-7000818.69700121,-7000796.69700121,-7000717.38325712,-7000686.22551602,"1706463056_49297"
1,-7000624.82880478,-7000602.82880478,-7000523.51506069,-7000492.35731959,"1706557450_34878"
1,-6999843.96913004,-6999821.96913004,-6999742.65538595,-6999711.49764485,"1706299680_49581"
10,-6999388.50684609,-6999366.50684609,-6999287.193102,-6999256.03536089,"1674731677_48785"
