"run","a","delta_pop","gamma_pop","km0scale_pop","offset_pop","omega_delta","omega_gamma","omega_km0scale","omega_offset","omega_tBegin","tBegin_pop"
"1674580768_47371"," 0.031573204","-0.857488248","-6.981008885"," 6.219131981"," 2.079572273"," 1.219304489"," 2.840167762"," 0.062610600"," 0.005441843"," 0.330760693","-0.171702218"
"1674500524_89096"," 0.031573877","-0.915594467","-6.927195335"," 6.218187097"," 2.079370474"," 1.318995761"," 2.923701514"," 0.063105961"," 0.004912998"," 0.330928729","-0.171835015"
"1674488194_94653"," 0.031570124","-0.921204444","-6.968737535"," 6.218683661"," 2.079327745"," 1.318678118"," 2.976924664"," 0.063243036"," 0.005288875"," 0.330951102","-0.171754332"
"1674499817_872"," 0.031586696","-0.940933220","-6.860408195"," 6.217833904"," 2.079635406"," 1.375405091"," 2.930543405"," 0.063259996"," 0.004021908"," 0.330902042","-0.171906518"
"1674522537_03728"," 0.03157332","-1.01305412","-6.76801201"," 6.21852022"," 2.07954603"," 1.49750237"," 2.99309273"," 0.06348407"," 0.00537237"," 0.33092472","-0.17180153"
"1674544001_71976"," 0.031566531","-1.092266840","-6.808238271"," 6.218253484"," 2.079728260"," 1.605537713"," 3.219498373"," 0.063523318"," 0.004692279"," 0.330924254","-0.171879708"
"1674492253_75516"," 0.031572948","-1.131121442","-6.697819912"," 6.218945817"," 2.079441396"," 1.685511428"," 3.186208274"," 0.063399279"," 0.002210742"," 0.330980240","-0.171758202"
"1674510748_26557"," 0.031624859","-1.200028493","-6.578361456"," 6.218208715"," 2.079585498"," 1.795229297"," 3.216637274"," 0.063287147"," 0.003972157"," 0.330795339","-0.171852176"
"1674532013_36676"," 0.031573595","-1.244755212","-6.598478286"," 6.218934813"," 2.079742212"," 1.867595419"," 3.289848231"," 0.064225741"," 0.002888722"," 0.330820784","-0.171739745"
"1674536666_17372"," 0.031574485","-1.220699591","-6.727950040"," 6.217576990"," 2.079717926"," 1.804214839"," 3.442693096"," 0.063107095"," 0.004669402"," 0.330970063","-0.171958068"
"1674514827_22141"," 0.031570982","-1.334443278","-6.535573873"," 6.218284520"," 2.079162203"," 1.957926331"," 3.432681090"," 0.063905236"," 0.004730074"," 0.330799899","-0.171852297"
"1674545398_53719"," 0.031654523","-0.945619856","-6.862298264"," 6.224058645"," 2.079190799"," 1.370071364"," 2.960610374"," 0.122820542"," 0.004588779"," 0.330881217","-0.171613471"
"1674488872_20646"," 0.031571757","-1.379404104","-6.512443103"," 6.219525346"," 2.079386106"," 2.023395721"," 3.477622191"," 0.070462551"," 0.004877129"," 0.331057521","-0.171749352"
"1674529551_86466"," 0.031670886","-1.074076316","-6.758759185"," 6.223554177"," 2.079718457"," 1.644899460"," 3.114306223"," 0.100917120"," 0.008271768"," 0.329918096","-0.171015212"
"1674542327_9913"," 0.031575584","-1.584216333","-6.163861681"," 6.218079492"," 2.079437000"," 2.262721981"," 3.496903419"," 0.063046152"," 0.004677781"," 0.330905018","-0.171877741"
"1674547885_986"," 0.031686955","-1.315147783","-6.516802719"," 6.223025311"," 2.079679848"," 2.000318381"," 3.335605578"," 0.106650012"," 0.004094057"," 0.331249304","-0.171488391"
