run,delta_pop,gamma_pop,km0scale_pop,tBegin_pop,offset_pop,omega_delta,omega_gamma,omega_km0scale,omega_tBegin,omega_offset,a
1706343453_77936,-0.72136244037487,-7.01304044199404,6.21704345941936,-0.168509670507675,2.07940037073264,1.06341074670621,2.69023663241808,0.0617833801893867,0.341681705301016,0.0016413237656874,0.0316239711399692
1674886857_75526,-0.736071351667546,-6.99278547016844,6.2167204720482,-0.168598581958681,2.07907314972488,1.10047752449645,2.70984258233998,0.0623970329483139,0.341752107078696,0.00151387173416,0.0316233217197786
1674355031_17877,-0.81007346263799,-6.94818745358318,6.21672342914358,-0.168567374747672,2.07933230267163,1.26416330159361,2.85794251930992,0.0624946134739978,0.341701202743144,0.0019799153360612,0.0316255375108878
1674878065_9159,-0.803777765536853,-6.91480734781209,6.21636941638667,-0.168624375070218,2.07928104421509,1.25256973479698,2.80969197679187,0.0623617109637521,0.34176582551264,0.0020582982126745,0.0316283979825241
1674375960_26887,-0.90225490555534,-6.87460033711502,6.21676851450487,-0.168556102636081,2.07936582264331,1.44186147474769,3.0065637826048,0.0619507497851467,0.341700095557195,0.0013478385399947,0.0316277088675928
1674686889_99755,-0.919588783175901,-6.85252718231305,6.21631111506627,-0.168644011379818,2.0792391292381,1.46099478129356,3.03211872225666,0.061957507262142,0.341736667064168,0.0022571212059828,0.031627422212871
1674508994_89958,-0.815104564899409,-6.94773926179652,6.21706061777835,-0.168530935368412,2.07936379446205,1.27229627320128,2.87275625840958,0.0650264848611969,0.341725805489483,0.0032356315007907,0.0316742626766262
1674470243_60069,-0.992099397298309,-6.78948628649387,6.21660961949973,-0.168566598148764,2.07938750396509,1.5972692671744,3.13390429688419,0.0620800872880956,0.341632256177997,0.0017545566170156,0.0316298198442659
1674547225_61243,-1.13296786694748,-6.67327461992635,6.21695310092942,-0.168564069407896,2.07939600807661,1.8200990079559,3.29804799565638,0.0620064833648765,0.341742720677277,0.0014161004321916,0.0316267427213679
1674342593_27439,-0.864033112684635,-6.89654415067506,6.21665600227108,-0.168582519291536,2.079299418274,1.37544902678551,2.93806259234365,0.0617987500435281,0.341683393316693,0.0015905760490635,0.0316295162687291
1674649944_50249,-1.19373958208726,-6.57967420743073,6.21656808874775,-0.168619549611767,2.07939830759736,1.89340224511886,3.34405161305195,0.0623708495591427,0.341746598559244,0.0020611108090826,0.0316291556483437
1706397646_51044,-1.25543597126681,-6.53695754039307,6.21682100612653,-0.168576137431603,2.07922077362279,1.97146017385273,3.42154598117775,0.0628745899318907,0.341692671094308,0.0015483386248421,0.0316310051164159
1674321577_1541,-1.24696257933779,-6.54880552868182,6.21670649155092,-0.168583668291435,2.0793271072382,1.95695940131426,3.41886722590468,0.061820797054999,0.341700695218571,0.0009782980967779,0.0316317764807944
1706494517_5054,-1.44887673007441,-6.37102764328957,6.21651937496661,-0.168617596559313,2.07934181569345,2.20733520402045,3.59476789454892,0.0618266130733508,0.341712694461292,0.0009440513459985,0.0316259857431654
1674437458_91463,-1.44450392297601,-6.33370831901454,6.21676456593277,-0.168586011038796,2.07949592524318,2.20523203616484,3.55318093904101,0.063185743536679,0.341687977009409,0.0018683710086972,0.0316327408699125
1674480678_69547,-1.54708578737639,-6.27323815319693,6.21662968481442,-0.168596268447473,2.07932160833117,2.29557076530962,3.67966406375325,0.0621537580230105,0.341716122074927,0.002969604050461,0.0316258151429991
1674353194_58459,-1.30978820465404,-6.48753782767424,6.21625043618973,-0.168646111879154,2.07923022249885,2.0102555851533,3.49763353734061,0.0621623285570687,0.341746132733181,0.0026038484052993,0.0316333625986885
1706475797_34806,-1.67661487039939,-6.10257755621305,6.21666471373917,-0.168601372443739,2.0794200686261,2.44350227469093,3.695852862285,0.062337704821167,0.341746064226332,0.0027533714945149,0.0316262125968242
1706363350_6049,-1.16974713296441,-6.6039093538052,6.21602989402036,-0.16867263583132,2.07946483452809,1.83897349105877,3.34741279742386,0.0621816187231067,0.341739089580324,0.0019658552907078,0.0316351044793412
1674417855_39486,-1.28906677636808,-6.50031139178402,6.21760688667844,-0.16852666046756,2.07956398140401,2.03198553838536,3.42852744329763,0.0680145240370168,0.341715023008844,0.0018997177525803,0.0316414553172286
