X,saem,cond,mode,se,ll,run
1,19429.017832756,,,193.568397045135,20.1008734703064,1706343453_77936
37,35794.3870573044,,,187.918883800507,9.71345949172974,1674886857_75526
4,10355.6600384712,,,186.800874471664,9.64395713806152,1674355031_17877
36,8593.08888459206,,,187.869336128235,9.67988991737366,1674878065_9159
6,11366.9168593884,,,187.718343257904,9.73192119598389,1674375960_26887
31,9983.98286056519,,,186.553416013718,9.66232442855835,1674686889_99755
17,12892.4079477787,,,188.108826637268,9.74093580245972,1674508994_89958
14,11049.858843565,,,188.212277412415,9.72551965713501,1674470243_60069
20,15506.6522216797,,,187.69788479805,9.72551870346069,1674547225_61243
3,10403.3969464302,,,187.988944530487,9.72420477867126,1674342593_27439
21,12550.904270649,,,186.098859548569,9.62499690055847,1674649944_50249
1,7669.0450322628,,,192.488792896271,19.8612842559814,1706397646_51044
1,9738.20826673508,,,188.309720993042,9.74074864387512,1674321577_1541
1,13277.3157236576,,,189.039481163025,19.7068994045258,1706494517_5054
11,11855.169729948,,,187.4714884758,9.72112226486206,1674437458_91463
12,14614.0237162113,,,186.01348900795,9.64851641654968,1674480678_69547
4,9874.36034202576,,,188.155818223953,9.7308623790741,1674353194_58459
1,9376.57836532593,,,189.363147258759,19.6031723022461,1706475797_34806
1,5575.19171714783,,,193.35617351532,20.3139808177948,1706363350_6049
9,20982.9766583443,,,186.739972829819,9.65944218635559,1674417855_39486
29,12581.9933269024,,,186.511905908585,9.67975974082947,1674663382_20899
2,10812.3997097015,,,187.258825778961,9.823073387146,1674332681_3369
32,12133.2652857304,,,186.8322057724,9.65871000289917,1674697071_23942
12,9474.46064352989,,,187.731812477112,9.73832726478577,1674449511_72386
1,7372.75997376442,,,189.687474012375,19.7740702629089,1706369380_49889
37,9419.51116752625,,,186.222322702408,9.65725922584534,1674764942_5687
19,11029.0854454041,,,187.758970022202,9.7230281829834,1674535998_34833
8,7220.65139913559,,,187.901257038116,9.73434996604919,1674401290_92559
1,5279.6268517971,,,189.700845479965,19.6208052635193,1706470090_81613
20,18510.2541379929,,,185.964478731155,9.61105442047119,1674631237_9512
21,12851.1154124737,,,187.598841428757,9.70919299125671,1674562930_42688
1,6997.30280637741,,,190.869600772858,19.6806893348694,1706437857_72697
5,12495.1629161835,,,188.068394184113,9.71001410484314,1674363267_05724
1,8485.63204169273,,,190.314095258713,19.7371537685394,1706485598_50826
28,15461.5831763744,,,188.036023378372,9.69886422157288,1674768661_34636
31,8941.38689255714,,,187.743442296982,9.69255590438843,1674807726_71266
1,10544.6462008953,,,191.039595127106,19.8699839115143,1706445299_13451
34,11390.1449613571,,,187.5608253479,9.78599500656128,1674853660_26001
22,10835.3808069229,,,187.043034553528,9.71233487129211,1674575979_67557
19,13538.8229985237,,,186.296409130096,9.62282204627991,1674617502_45773
14,10972.8125870228,,,185.841498374939,9.66343951225281,1674522216_32424
30,12402.4985733032,,,185.029645442963,9.57045316696167,1674795128_51714
16,13579.6793272495,,,187.666218280792,9.70968651771545,1674495217_23514
1,9048.48469829559,,,189.110972166061,19.3507406711578,1706388164_40594
23,13005.8392190933,,,187.02495932579,9.71614217758179,1674587012_58369
36,11307.5098907948,,,186.247138738632,9.666672706604,1674753437_87378
35,12618.5626413822,,,187.455596446991,9.6926109790802,1674865248_95459
24,7383.92383241653,,,187.842678070068,9.71381115913391,1674600215_987
15,13526.9075810909,,,188.084109067917,9.73470258712769,1674481491_93332
27,9742.78215551376,,,187.595858573914,9.72865414619446,1674636454_57705
10,10955.5654094219,,,187.226692676544,9.7253634929657,1674426305_98274
8,12594.2919535637,,,186.586838245392,9.66989946365356,1674405064_49122
13,10861.6411197186,,,187.594593763351,9.73134183883667,1674459184_12144
17,14461.4956095219,,,186.142164707184,9.63916087150574,1674573876_9813
1,9965.76638579369,,,194.115566968918,20.2095470428467,1706333041_38918
6,10677.1954600811,,,186.039499282837,9.65440082550049,1674382535_77492
34,10326.1408259869,,,186.296428203583,9.68073463439941,1674726259_12675
1,13830.6492278576,,,187.038363695145,9.84775757789612,1674318653_47431
38,10684.1497449875,,,186.361990451813,9.63109517097473,1674774559_18823
16,17607.3125967979,,,186.270502567291,9.64891624450684,1674556073_12956
25,9708.3786752224,,,187.594694137573,9.7305850982666,1674607798_302
27,10895.5111625195,,,187.58645772934,9.69937610626221,1674757567_62537
1,8243.90839648247,,,147.979490041733,14.8657307624817,1706289009_07432
3,11143.6080479622,,,186.67758846283,9.65779304504395,1674343691_03641
23,12017.4810466766,,,185.326028347015,9.61493515968323,1674682908_70602
35,16458.5346598625,,,186.113859653473,9.63672113418579,1674736782_38407
26,18551.1553838253,,,187.870331287384,9.72802829742432,1674617704_87985
9,17398.1359541416,,,188.141447544098,9.74952387809753,1674408709_55397
1,11400.3545017242,,,191.433717489243,19.9136009216309,1706277166_20293
1,7851.19950819016,,,194.2525806427,19.9743554592133,1706312362_84127
2,10881.7097992897,,,187.940266609192,9.7425479888916,1674331513_70905
30,10531.6366574764,,,186.215197563171,9.64403986930847,1674676161_39852
25,22181.8109922409,,,187.789046764374,9.68706703186035,1674715570_14961
1,11771.8662843704,,,190.226744174957,19.4822955131531,1706524891_91813
18,13714.4848403931,,,187.676233768463,9.7193615436554,1674522085_7989
33,14268.8309664726,,,187.716052055359,9.70201230049133,1674839192_85647
1,8307.43452239037,,,189.533638715744,19.5944449901581,1706429096_2072
22,20020.6497011185,,,185.776908636093,9.60656380653381,1674662691_87617
26,19419.1761054993,,,187.414919376373,9.70048642158508,1674737950_3473
32,22127.781891346,,,187.65221452713,9.70292925834656,1674816866_58545
39,13333.4804942608,,,186.226235389709,9.65627288818359,1674785440_65921
7,13567.9925045967,,,187.928967237473,9.74531126022339,1674387524_92691
1,14265.9161779881,,,194.146396875381,20.0341131687164,1706297627_02467
1,11891.5656163692,,,193.293966293335,20.2580709457397,1706320676_0138
29,10608.7790999413,,,187.419991970062,9.68785548210144,1674784321_63292
33,16660.0638613701,,,186.126258611679,9.66350388526917,1674709402_07786
10,15418.5982346535,,,186.068249702454,9.64399886131287,1674439035_17397
1,13386.0195157528,,,189.399375677109,19.4093978404999,1706456280_99655
5,16755.8871891499,,,186.446241378784,9.65812206268311,1674365583_50609
1,10538.2104868889,,,189.429144382477,19.2673704624176,1706377182_10169
18,28771.2774879932,,,185.950841426849,9.62729668617249,1674588534_89408
15,22491.2282886505,,,186.479543209076,9.6510443687439,1674533385_17286
7,11459.5034351349,,,186.057461977005,9.65928959846497,1674393408_95519
24,20252.254734993,,,185.388493537903,9.64218163490295,1674695121_9996
28,16788.31990695,,,187.548604249954,9.72824168205261,1674646395_61913
1,12381.7347302437,,,188.363471508026,19.4802937507629,1706405750_1938
1,16242.9611992836,,,190.13636636734,19.6782712936401,1706508219_22383
11,25832.8047864437,,,185.83144402504,9.67013716697693,1674454649_90659
13,26531.50476861,,,185.745142459869,9.65632629394531,1674495488_86732
