name,initialValue,method,priorValue,priorSD,distribution,variability,min,max,source
delta1m0_pop,-1,MLE,,,normal,TRUE,0,0,synthetic
delta2_pop,-1,MLE,,,normal,TRUE,0,0,synthetic
e0_m0_pop,-1,MLE,,,normal,TRUE,0,0,synthetic
k2m0scale_pop,12,MLE,,,normal,TRUE,15,15,synthetic
k2_pop,-1,MLE,,,normal,TRUE,0,0,synthetic
k1m0_pop,1,MLE,,,normal,TRUE,1,1,synthetic
r0_m0_pop,-1,MLE,,,normal,TRUE,-5,-5,synthetic
gamma_pop,-6,MLE,,,normal,TRUE,-5,-5,synthetic
tBegin_pop,0,MLE,,,normal,TRUE,0,0,synthetic
offset_pop,0,MLE,,,normal,TRUE,1,1,synthetic
omega_delta1m0,5,MLE,,,,,,,
omega_delta2,5,MLE,,,,,,,
omega_e0_m0,2,MLE,,,,,,,
omega_k2m0scale,1,MLE,,,,,,,
omega_k2,2,MLE,,,,,,,
omega_k1m0,2,MLE,,,,,,,
omega_r0_m0,2,MLE,,,,,,,
omega_gamma,5,MLE,,,,,,,
omega_tBegin,2,MLE,,,,,,,
omega_offset,5,MLE,,,,,,,
a,0.3678794412,MLE,,,,,,,
