"X","se_run_1700838034_46562","se_run_1700839225_21572","se_run_1700840277_86604","se_run_1700841502_19501","se_run_1700842741_4548","se_run_1700843903_37153","se_run_1700844968_87256","se_run_1700846096_47233","se_run_1700847409_36078","se_run_1700848556_23323","se_run_1700850003_70497","se_run_1700851009_41105","se_run_1700852566_23145","se_run_1700853835_67215","se_run_1700855780_25811","se_run_1700857322_81691","se_run_1700858855_91348","se_run_1700859844_0629","se_run_1700861048_19177","se_run_1700862242_06022","se_run_1700863302_76761","se_run_1700864442_21126","se_run_1700865662_76514","se_run_1700866798_03152","se_run_1700868036_73954","se_run_1700869383_99597","se_run_1700871109_07208","se_run_1700872226_59744","se_run_1700873229_02728","se_run_1700874478_38901","se_run_1700875559_75646","se_run_1700876626_13649","se_run_1700877746_82828","se_run_1700879234_36362","se_run_1700880496_76717","se_run_1700881673_79884","se_run_1700882964_69985","se_run_1700884146_69021","se_run_1700885237_55634","se_run_1700886285_92989","se_run_1700887342_12109","se_run_1700888354_91419","se_run_1700889524_00287","se_run_1700891099_06577","se_run_1700892521_9018","se_run_1700893463_91956","se_run_1700895076_69956","se_run_1700896362_12855","se_run_1700897619_03764","se_run_1700899068_32675","se_run_1700838034_5113","se_run_1700839517_43502","se_run_1700840550_44164","se_run_1700841666_89791","se_run_1700843067_37205","se_run_1700844916_85055","se_run_1700846030_44696","se_run_1700847454_51257","se_run_1700848626_56711","se_run_1700850122_46754","se_run_1700851144_28209","se_run_1700852512_89111","se_run_1700853609_94267","se_run_1700854855_29945","se_run_1700856157_7905","se_run_1700857062_99329","se_run_1700858522_26621","se_run_1700859694_48979","se_run_1700860809_06465","se_run_1700862012_05292","se_run_1700863745_1199","se_run_1700864852_05117","se_run_1700865842_38162","se_run_1700866963_85799","se_run_1700868001_1556","se_run_1700869346_36551","se_run_1700870933_15971","se_run_1700871883_06306","se_run_1700873286_55188","se_run_1700874732_35313","se_run_1700876134_7479","se_run_1700877252_99466","se_run_1700878423_48696","se_run_1700879985_45419","se_run_1700881136_41818","se_run_1700882623_59691","se_run_1700883860_29714","se_run_1700885304_06816","se_run_1700886418_04629","se_run_1700887799_57391","se_run_1700889132_99388","se_run_1700890232_1402","se_run_1700891533_07764","se_run_1700892547_16622","se_run_1700893881_26421","se_run_1700895485_92978","se_run_1700896580_19315","se_run_1700898327_74868","se_run_1700899676_61728","se_run_1700900587_46669"
"a",0.00019662437226755,0.00020524776479666,0.000262878958895094,0.000199592344895967,0.000187703918514422,0.000192140583541266,0.000217038988479303,0.000221052091889623,0.000217057601667738,0.000181510181839795,0.000198938342070438,0.00131932863453432,0.000209974163603281,0.000226717142850827,0.000185025487080738,0.000182066142950545,0.000182268894076099,0.000183338007027864,0.000186504200545415,0.000183916126871271,0.000198782112008559,0.000183351289709574,0.000182134148786582,0.000216843542474043,0.000197203249541873,0.000188076566731065,0.000225749021978041,0.000258721737051358,0.000271963196883243,0.000301520506284454,0.000275994952576407,0.000182358191073595,0.000188083003211387,0.000183107041399493,0.000213388302701538,0.000191460571518905,0.000208282870063593,0.000187372277465614,0.00019379069265399,0.000184122685859347,0.000185162906894076,0.000180979622373897,0.000191251757158431,0.000189606432358786,0.000193812699088726,0.000263456875609032,0.000192169490824093,0.00020047683039657,0.000196291730489384,0.000201915512991811,0.000191266738112332,0.00018509314026657,0.000210281553769414,0.000197057457400705,0.000221979473817368,0.0002434725212295,0.000275207676502666,0.000191276604930634,0.000273567541309446,0.000188690904952447,0.000197214900907301,0.000191185990291912,0.000207186017391794,0.000201649278572073,0.000209680464681039,0.000278592021509504,0.000181597119161973,0.00019038503373699,0.000187734197111491,0.000202990080047354,0.000201524639015695,0.000203925459590544,0.000193905521064462,0.000181790667879676,0.000229660797353277,0.000347150182042743,0.000216329837765566,0.000203203772092554,0.000184846178016081,0.000194445862149063,0.000180652616120557,0.000204510217169348,0.000231826043751266,0.000181516759160951,0.000182424860959097,0.000232837871512548,0.000189094965108866,0.00020189768476625,0.000183916350678656,0.000176425905476582,0.000209752799030239,0.000189274868190964,0.000187862149059726,0.000210778810094134,0.00018186242390845,0.000227839793859416,0.000312422439471768,0.00118500168868039,0.000183142184107482,0.00018038059014884
"delta1m0_pop",0.263272881736209,0.267906753966804,0.387288699741076,0.282488875565372,0.394239928878589,0.267994535659749,0.264369795093126,0.383552908267344,0.384570033142824,0.306849334497424,0.318285377792229,0.536174186623335,0.295021753204795,0.384537918056333,0.231450364287624,0.212809338698653,0.249925080075052,0.278053521023396,0.299172064910396,0.273905651731353,0.29489764850701,0.255578073363397,0.355846753279587,0.393552539380502,0.262531847670694,0.285668482674491,0.358547281054155,0.33143734013502,0.34308990216119,0.27770074690246,0.306368908956752,0.305634259353726,0.328956354200925,0.406006693315426,0.309005695011508,0.261282738311723,0.336107542170822,0.308049343287426,0.251808396280678,0.259524229869207,0.327431629298706,0.251056975689255,0.403081134813081,0.321018342325594,0.362693279729854,0.385035864348766,0.279017666736249,0.34075012862187,0.547010124906233,0.350444111865771,0.268016595032507,0.23834190587235,0.308086803313231,0.346355626083437,0.410569051054402,0.266787597960769,0.413036811464001,0.325992071188878,0.320270156865835,0.306962363617828,0.319702157088928,0.301921260345567,0.329051418797017,0.433462581090206,0.293613643703563,0.489654728425954,0.301054686396934,0.27693595759013,0.249346637719428,0.368171674695041,0.393267069989598,0.320369928406921,0.311083967263343,0.274737305490363,0.336876806778255,0.393588335667199,0.331206750226171,0.288295152020621,0.318706787203048,0.265676557941356,0.383483424687262,0.315864509260364,0.327819703408178,0.259270403328172,0.281898118053621,0.419425902983058,0.398117326972156,0.348758005826596,0.301696826688387,0.262130772234521,0.329088587974363,0.269849663617391,0.324662038408003,0.371560313756189,0.44307155317885,0.35863128729024,0.441966562822522,0.392825880520386,0.31001839822935,0.262473132771956
"delta2_pop",0.252688726322842,0.391052711498259,0.287147186164438,0.328245781832676,0.389745464549868,0.344116992942445,0.260028480066817,0.500460438641002,0.507531151698096,0.483899803066297,0.390754896375003,0.263411666530912,0.470719626490155,0.345440240352493,0.439590511644316,1.03850266606172,0.304167867209841,0.269349846835019,0.56203699267085,0.276103755211062,0.360058819670645,0.556440489349755,0.371805249562166,0.493196870000031,0.296631527405512,0.270691591383279,0.440239387644349,0.329311222781137,0.392858942740631,0.334084843871852,0.441186864004862,0.302661762458717,0.241078341554168,0.293674055424773,0.338991613017376,0.52883270845055,0.547718372302912,0.31780073179968,0.759274773195934,0.430842704876811,0.424395171631161,0.325423104257519,0.581478727511284,0.483430637688785,0.280807805973464,0.350621185770354,1.00758124113656,0.469110983962851,0.253559282575722,0.327716269524969,0.759163730524077,0.70003428183095,0.332944009707085,0.341086750086249,0.287447396102609,0.266300532558664,0.41200652952949,0.323553849437023,0.324753070267567,0.582751372502972,0.676588296044339,0.236823603527977,0.297339445188934,0.504202016796774,0.515908306371565,0.344374451037167,0.460072088858099,0.319539214214381,0.715070689943278,0.366765980772171,0.633430921094901,0.501656871910722,0.384910047259008,0.437030406561628,0.297186114349311,0.629671775016187,0.296495606753518,0.313408613225417,0.476546387324894,0.81401910957586,0.329403368411136,0.291358494779114,0.72242926189008,0.464927713488523,0.379456607851822,0.298468032831766,0.274442019118712,0.323930109274477,0.180533265248294,0.657059989427812,0.578952827594193,0.425346786953397,0.378037867513587,0.215499537574354,0.2575216284293,0.327715149720142,0.220385551606253,0.548334558185552,0.321666612813195,0.809951540735345
"e0_m0_pop",0.204901370670661,0.161602268252562,0.219918407833047,0.140254551367089,0.173356330209776,0.230539858269384,0.172770809453341,0.20853982417488,0.178333968246524,0.181383186269643,0.218012828710189,0.239817168715758,0.20310154182193,0.201200064766867,0.200623548584158,0.0864890221474028,0.188827435174135,0.190781240206489,0.175679540724659,0.198992471758434,0.201594629006195,0.165653046865507,0.279635360874525,0.195858955430152,0.190543002260519,0.165468801806907,0.25776202105855,0.206328962883866,0.203226879411608,0.219596391375096,0.189236001303924,0.188607704834398,0.139073323898844,0.24306807628506,0.189514246212993,0.177266626089505,0.256970455741022,0.172135133755426,0.210239172241425,0.161940237858017,0.225132241826057,0.178361961518733,0.275895874302089,0.22188691225738,0.209220123510033,0.19023770216134,0.201746665551186,0.168203250637803,0.374819504813685,0.211643625543314,0.231574695096444,0.181086339240771,0.173303294090307,0.238252213122673,0.201248687722562,0.190146880219928,0.213892274963763,0.211707894915941,0.197805500451555,0.180703841734003,0.271330390367804,0.163502977368909,0.121803930283935,0.184489327955844,0.192040553348912,0.219884740990062,0.228033694623876,0.151592370018021,0.177071743702144,0.148935811442913,0.352081160886661,0.168608128747203,0.225985593970334,0.192423184578516,0.167491567482955,0.179479312163124,0.193954586947254,0.193609000036009,0.17227098819155,0.140487114535984,0.238823685298367,0.203811417464025,0.198895070607893,0.253505395066056,0.21820223417039,0.253923428844717,0.203194329942431,0.248014097719235,0.166317559882312,0.230706097679661,0.268194722414193,0.205290874175207,0.148085761708065,0.171876513228904,0.183405418078875,0.216841498410732,0.253808370019303,0.182128200285274,0.23511098257395,0.220967509267381
"gamma_pop",0.252098437562973,0.19259675577336,0.174004220478195,0.220406214578994,0.246920428214967,0.227275069361256,0.217136245449609,0.22998309077132,0.217864856277055,0.222094613262405,0.238937339942955,0.239366511042611,0.241394756217737,0.266944415510811,0.238937358964959,0.186556077773973,0.286195042002885,0.239174689057808,0.223875075210473,0.288270649438739,0.215730259187714,0.232974389578254,0.219493761198149,0.204513530711418,0.244123061879261,0.290526343381262,0.226648541371886,0.316094620872157,0.200864048115759,0.217201263800165,0.277466119527224,0.25404523724818,0.27936820330415,0.188618356795571,0.203808906178355,0.225048622337037,0.201716640901759,0.260243322909091,0.240463161689544,0.237684786225937,0.219028054839614,0.249360636729139,0.237171168742822,0.25303330877737,0.176375950629978,0.202232583097866,0.256035197620938,0.264784497146394,0.258172384079971,0.25611230624044,0.250727078218457,0.207884886521861,0.179280471651456,0.249234838411749,0.259806032452637,0.291038489608775,0.265731014630435,0.22317567801618,0.234484952391095,0.241058085185161,0.231226884308302,0.196413931994153,0.244703958335638,0.255017972890333,0.210532124937416,0.196729357681537,0.223552450590437,0.292816499236264,0.233158697587889,0.244276017745681,0.199931152514996,0.284994246566137,0.221765722848584,0.226494351983992,0.170209968443158,0.143293489872099,0.197213814624785,0.218586100189512,0.294757368188917,0.209909035812726,0.236228589672757,0.231521640589712,0.20733732805022,0.21669991465267,0.259710951879562,0.205389903522947,0.279123654407998,0.248071902862195,0.316053554864897,0.210083351917384,0.265131341723353,0.285652934579645,0.283650784855437,0.172068651460752,0.235733780313891,0.164572408471418,0.247973885200901,0.119512753851682,0.234672796502975,0.218841451740341
"k1m0_pop",0.173327615270849,0.175436185833966,0.222850340995972,0.147836693305182,0.224078092400919,0.152887891205294,0.196794401320236,0.206471689989097,0.248317302192345,0.159883654653678,0.163169715042409,0.314668730280078,0.151257216486716,0.245523831206601,0.187267023612923,0.161787753678562,0.180355590202367,0.139079015212643,0.173815712361264,0.185467644582397,0.163523019117296,0.152164816741621,0.201735529158793,0.216078133579414,0.190173404576538,0.144261840516003,0.187927377262901,0.218423311673232,0.160906787866743,0.210726541316597,0.189695273904347,0.128641884088075,0.144186349255876,0.155471090646326,0.152204929187104,0.158595904278784,0.175088575823436,0.181248260511585,0.213026944683241,0.210911024108281,0.143270652106032,0.169043723152994,0.226100439934585,0.249465865342485,0.173334850301491,0.226206941056147,0.199186753743508,0.253188520587694,0.255248709357369,0.199691628417067,0.160256364651266,0.144849135955492,0.155075335918237,0.205323385696036,0.229530054208798,0.264041039941166,0.210845924269936,0.167914708143497,0.308688321008311,0.216433159383596,0.227334895631768,0.188290621690189,0.186558951875214,0.234731441943831,0.196984091610024,0.215287719913675,0.133519733236735,0.150987154317164,0.188206371714999,0.156473266937865,0.218567720486287,0.236401415209278,0.194569631675756,0.146072370617466,0.202170818815042,0.193945396488055,0.196422040681047,0.168623874100444,0.233085419752577,0.200246237477755,0.199471386459061,0.147066900098892,0.190832700696999,0.111271061262833,0.219170834568867,0.207345330546043,0.248776493252816,0.192536666297618,0.171329754537549,0.138592938125197,0.20832522224353,0.178925365540426,0.188498791273422,0.145886142640121,0.215558877406477,0.178777668414936,0.248084418703584,0.200099236846498,0.176787384688904,0.123334575418633
"k2_pop",0.232381331856032,0.151957730480303,0.150174564599489,0.163920583741357,0.240285356861596,0.174624323949068,0.193183523011744,0.197908955736859,0.229924303516188,0.183104899528144,0.156814357008559,0.248325028876364,0.172607585360472,0.216852863120172,0.177288755170077,0.209876958877294,0.15336030636075,0.129145111228707,0.242783340135976,0.186833849883564,0.138665417994254,0.167661305052531,0.145955532802221,0.146417540147388,0.16518964569943,0.152609081082159,0.204148176122434,0.243445617435674,0.18200550177546,0.1732400629836,0.164001392918454,0.171351908830556,0.164057645909922,0.183945037866258,0.171178411588708,0.180496545811356,0.194961657625893,0.163315849472511,0.200038474064116,0.178320949244573,0.189774195549236,0.173009652799296,0.272826333620888,0.243102820187144,0.160162733720584,0.202734101056868,0.211593793122467,0.223535336267496,0.308778199739542,0.253880073453701,0.175242930283524,0.176613339023516,0.17473336180839,0.182665878922585,0.211937873472026,0.194582445454627,0.25131788977126,0.148558448101824,0.242790140463135,0.161271610041165,0.174358032791976,0.181111830847588,0.205825332620603,0.3250374116628,0.185924323137768,0.180088452515023,0.203320676200498,0.19160150558948,0.157643642298304,0.184421606354439,0.200482723480218,0.255895015303929,0.187307540458106,0.176402443373137,0.132523014924535,0.227939568039019,0.172731700675015,0.13747546589137,0.27079130453888,0.206703824583073,0.172372532591198,0.14363941222944,0.189123084100108,0.171813360102108,0.20478316075164,0.263634603301505,0.286898487755785,0.21959063333961,0.17054285201466,0.156281678416737,0.247953553133764,0.171333294849184,0.17624096574647,0.13335969510692,0.281059444748456,0.1859458792785,0.270673539612184,0.171832527763024,0.183701715807815,0.136159083925233
"k2m0scale_pop",0.140867684082707,0.110997688094134,0.113323226838493,0.126350269767054,0.128126156444715,0.11766954671809,0.137113707948037,0.134915542163195,0.126826639675003,0.130509469340792,0.107340996836435,0.148035594089311,0.114324572232764,0.133373794049977,0.10793048620988,0.14466327240247,0.126336030828039,0.116908473505732,0.0995156536497876,0.107904449765657,0.118143199776663,0.102788507731091,0.118180721670372,0.113845939972492,0.127464641968319,0.118600532725885,0.145469975965942,0.130522391399372,0.108237406309975,0.119194584146031,0.118915196958514,0.105786012295599,0.110200778652071,0.105298965302344,0.106012791488004,0.111534859214352,0.114687155667329,0.111359676593297,0.135715064649786,0.117483054674811,0.112703746938784,0.127551061423325,0.132976692715923,0.154921942598861,0.109614940543273,0.136254600954848,0.145741396898503,0.1457116369141,0.144400337957636,0.12959534801347,0.119381558752129,0.122584445967671,0.127506392479118,0.110460905276474,0.133903874932816,0.119315104630876,0.12651692251306,0.111877388763216,0.137185052717149,0.113704699116242,0.144198153084848,0.106197000219677,0.119736779778336,0.155851787495841,0.105833533318114,0.12001814528795,0.119117785250726,0.106155946457936,0.142976479650943,0.115693020500176,0.145746901380276,0.122196120430143,0.14255190042844,0.117937605837033,0.116212461464831,0.142031694497461,0.112352563890096,0.106812508473972,0.158592336385736,0.129588308484225,0.122629775747098,0.134706679625929,0.110569669613137,0.113248082351572,0.113643600977306,0.126730401431931,0.155462788316349,0.132521639695677,0.131568386341652,0.119745223753508,0.133198312453851,0.12501903073794,0.125353314706752,0.115924403376766,0.143408004370588,0.104201068062274,0.135329522462438,0.0993897424482966,0.111329840153055,0.102974545634564
"offset_pop",0.0369642609362795,0.0368661664493416,0.0370680512750175,0.0368991891138401,0.0369177133351731,0.036925258649411,0.0369888978475484,0.0368900159227613,0.0367994809763674,0.0370401287195964,0.0370050614327875,0.0372333459950505,0.0372057769068969,0.0369686062525407,0.0369279545622492,0.0371266012427307,0.0370682356374607,0.0369755412328746,0.0370501628429281,0.0369664947081496,0.0368870043660274,0.0369933950830391,0.0371015848215957,0.0368549490169063,0.0369732581457284,0.03702687670161,0.0368548991937344,0.0370321666756816,0.0369927481220862,0.036911960696769,0.0369557506723873,0.0370672464588907,0.0369748544135057,0.037047054249943,0.037209157490041,0.0369651602175429,0.0368549535033173,0.0368807329971327,0.0369792335932512,0.0370155328215164,0.0369478069787762,0.0369430626518893,0.0368690956973212,0.0369226103316812,0.0371088133981636,0.0369490469379027,0.0370706568225261,0.0369464084947471,0.0370448263708434,0.0369436488169335,0.0369930476606191,0.037090367455359,0.0368426517254604,0.0368364716323144,0.0369510835793241,0.0369873562402367,0.0368527455144298,0.0369669323032128,0.0371040614665825,0.0370741866526903,0.0370187041295858,0.0368950730466649,0.0370287458816552,0.0369339850766577,0.036865380474894,0.0369546545905932,0.0369572473110256,0.036913295722705,0.0371318988288801,0.0368518190152212,0.0370049582564206,0.0368817411795145,0.0370062556892712,0.037034816988202,0.036864920338732,0.0372696954111295,0.0368824678053003,0.0369401085215029,0.03697510810783,0.0370070581439255,0.037104952619206,0.0370573738109047,0.036778093092756,0.0369798899133384,0.036950773067757,0.0367699484033728,0.0370937233857172,0.0368572897486968,0.0369250134782789,0.0369821473952197,0.036919733841025,0.0372670883831764,0.0369970248527481,0.0369364622510157,0.0377384867797551,0.0367253615010305,0.0367374333267522,0.0376645755874952,0.0369989018076858,0.037000140375293
"omega_delta1m0",0.184007860945903,0.202057023993762,0.281327558696643,0.202601195474015,0.305465806365651,0.200394192672287,0.204759801109881,0.339487009373921,0.312638213156031,0.249452644006822,0.229345637858306,0.413010320490445,0.238004022018738,0.27836464556579,0.165899381392916,0.145395959019223,0.180436845410957,0.199066874835155,0.210211526666907,0.212223718918365,0.208704695041976,0.187447909847499,0.264291229785703,0.305192169403054,0.185082873481401,0.213982388516083,0.270404128576339,0.235651405834438,0.262067220092199,0.201326753516683,0.22506557315285,0.219977950911252,0.251129088377788,0.275616000149926,0.233868946817128,0.18477194664027,0.228427861898654,0.23886668088234,0.1792602290559,0.194950649791988,0.247886719259438,0.189033846526496,0.308968769642433,0.226240875995691,0.251632926243419,0.267852226157461,0.204520170080925,0.246258509649508,0.387995556144192,0.297940662090446,0.177203459993334,0.169397809088142,0.225342959897481,0.250134067349997,0.308659908982168,0.189929185355342,0.289042840006857,0.240660835260993,0.221186981916991,0.214336259617152,0.241549920375795,0.208179849844477,0.245421462344895,0.314757522739176,0.207598060614552,0.352761960873311,0.203390616718927,0.203260934650774,0.179140519410833,0.266934029813557,0.283169876707897,0.214933204964059,0.23300659934952,0.20171525403554,0.248074147762522,0.276428493859022,0.245194320746071,0.200410763967828,0.244783376093221,0.191981135024572,0.302049806987606,0.22435706036807,0.227538807843199,0.184714254184004,0.207516463426731,0.301327584927863,0.301262738675689,0.266877358148532,0.212264825015962,0.187315192808257,0.225422659247556,0.192823344556841,0.211486670229127,0.282770445397806,0.33847072144233,0.261905945467882,0.358591532443759,0.307267896570476,0.242334472387349,0.191823437673599
