"X","run","convergenceIndicator","exploratoryNumber","smoothingNumber"
1,"1700838044_72516",-642212.161755987,2769,1000
2,"1700874790_04127",-639705.438099907,3322,1000
3,"1700912719_49373",-610803.459463637,3889,1000
4,"1700952806_63357",-646961.724113895,4050,1000
5,"1700993838_5818",-643642.040537435,4998,1000
6,"1701031557_70982",-665310.367054362,4355,1000
7,"1701069585_9826",-645212.821316055,4292,1000
8,"1701106838_71665",-639701.334077051,4626,1000
1,"1700838044_73318",-659746.819530187,3301,1000
2,"1700875268_66656",-660782.625928629,4963,1000
3,"1700915211_34287",-666246.583393671,4321,1000
4,"1700955884_43193",-612956.855533378,4584,1000
5,"1700999539_47222",-657855.494887081,3458,1000
6,"1701035005_32203",-640231.788022609,5072,1000
7,"1701073243_10449",-644208.31678538,3584,1000
8,"1701108943_5089",-613120.848339124,6993,1000
1,"1702059636_30365",-665225.473789899,3622,1000
2,"1702099240_55893",-651182.007074919,5364,1000
3,"1702140237_70958",-663567.098155971,3652,1000
4,"1702180755_12905",-604795.98458573,4336,1000
5,"1702222958_00085",-647276.020280039,3810,1000
1,"1703162690_76417",-651390.000730133,4358,1000
2,"1703206036_79362",-659241.871463607,3143,1000
3,"1703243481_30393",-658648.118559747,3341,1000
4,"1703281468_71079",-667228.521016464,3601,1000
5,"1703319487_87078",-636838.75822805,3768,1000
1,"1703162690_77839",-574261.985441768,10000,1000
2,"1703214461_94854",-668554.520981351,3714,1000
3,"1703255365_8632",-651679.954631546,2073,1000
4,"1703291768_75379",-644224.438035536,6710,1000
5,"1703335030_06916",-638915.941789057,4525,1000
1,"1703358660_24805",-633571.101898253,4371,1000
2,"1703398264_83852",-651743.567039581,3307,1000
3,"1703438547_11381",-666672.723389662,3450,1000
4,"1703478568_41519",-656099.646861161,3084,1000
5,"1703517126_2864",-553141.101639945,9694,1000
1,"1703375851_51596",-649140.794067678,3702,1000
2,"1703416152_67538",-605228.249047267,4092,1000
3,"1703455947_87625",-657275.172746476,4334,1000
4,"1703495204_4147",-599500.392537315,4686,1000
5,"1703540029_62867",-618208.239758913,4221,1000
1,"1703574428_03973",-473401.161602542,4830,1000
2,"1703631287_94513",-662715.313600212,2695,1000
3,"1703668918_42529",-596721.074448799,6158,1000
4,"1703717575_90501",-630787.893838337,3804,1000
5,"1703760708_73053",-656591.611970176,3532,1000
1,"1703581421_7293",-636902.89275894,3715,1000
2,"1703622749_22023",-605667.102150423,8625,1000
3,"1703673579_74266",-652330.635550042,3691,1000
4,"1703714097_9238",-662417.450199867,3129,1000
5,"1703752387_62281",-644459.361920014,4048,1000
1,"1703793486_09125",-638977.945650512,5611,1000
2,"1703836088_05549",-582041.610886338,3991,1000
3,"1703877195_60538",-606227.004987791,4357,1000
4,"1703917771_23488",-654088.308311282,3105,1000
5,"1703957768_40017",-635734.82241615,3924,1000
1,"1703799922_6035",-591416.046758062,5736,1000
2,"1703844077_32421",-642587.798349636,4413,1000
3,"1703885318_88291",-653342.993723763,3106,1000
4,"1703923193_50425",-669944.72331626,3321,1000
5,"1703961893_29635",-679257.78817062,3174,1000
1,"1703997833_91412",-659107.086041425,4417,1000
2,"1704038066_62683",-661119.485163332,2834,1000
3,"1704076255_36942",-669094.690532363,2884,1000
4,"1704114902_6166",-604450.041677165,5751,1000
5,"1704159400_33307",-653811.12073693,2381,1000
1,"1704002042_0229",-670368.551562585,3081,1000
2,"1704040043_74624",-577938.551492458,4198,1000
3,"1704081806_9851",-677666.952015285,3004,1000
4,"1704119821_12796",-661458.844266757,3919,1000
5,"1704159098_54284",-670617.861362304,3152,1000
1,"1706204593_4499",-636629.768773078,3443,1000
2,"1706243968_21786",-654928.100713794,4674,1000
3,"1706284257_93064",-674226.707817905,4166,1000
4,"1706325430_78517",-656789.953668267,4143,1000
5,"1706366294_33494",-655228.110875064,3103,1000
1,"1706403760_1143",-643965.869164638,3922,1000
2,"1706444587_13499",-544828.827506371,4793,1000
3,"1706489215_33234",-650613.928934293,6719,1000
4,"1706536225_67141",-643205.25810518,3700,1000
5,"1706576551_18191",-623321.700583373,4056,1000
1,"1706425184_18316",-660436.362429081,5712,1000
2,"1706467861_03251",-590132.649935699,2846,1000
3,"1706505438_068",-668171.663752521,2497,1000
4,"1706543349_94007",-647984.183667732,3122,1000
5,"1706580637_51947",-582688.51119754,3687,1000
1,"1706425184_25348",-622779.654074356,6767,1000
2,"1706472938_66216",-631451.748636512,4120,1000
3,"1706513042_95204",-663358.764124193,2269,1000
4,"1706548856_02502",-574042.782214536,4526,1000
5,"1706596988_35663",-655185.762845502,3541,1000
1,"1706425184_06588",-657167.483724309,3071,1000
2,"1706461821_98187",-663458.683085355,3541,1000
3,"1706503401_01704",-635896.245307324,6024,1000
4,"1706547604_08296",-661497.380922292,3721,1000
5,"1706585622_5603",-622578.915986998,2834,1000
1,"1706425184_18528",-582911.914744569,4418,1000
2,"1706469604_65286",-646126.956121196,3892,1000
3,"1706511356_45108",-638729.003867031,3927,1000
4,"1706550221_92052",-671873.888355087,3104,1000
