"X","se_run_1700838044_72516","se_run_1700874790_04127","se_run_1700912719_49373","se_run_1700952806_63357","se_run_1700993838_5818","se_run_1701031557_70982","se_run_1700838044_73318","se_run_1700875268_66656","se_run_1700915211_34287","se_run_1700955884_43193","se_run_1700999539_47222","se_run_1701035005_32203","se_run_1702059636_30365","se_run_1702099240_55893","se_run_1702140237_70958","se_run_1702180755_12905","se_run_1702222958_00085","se_run_1703162690_76417","se_run_1703206036_79362","se_run_1703243481_30393","se_run_1703281468_71079","se_run_1703319487_87078","se_run_1703162690_77839","se_run_1703214461_94854","se_run_1703255365_8632","se_run_1703291768_75379","se_run_1703335030_06916","se_run_1703358660_24805","se_run_1703398264_83852","se_run_1703438547_11381","se_run_1703478568_41519","se_run_1703517126_2864","se_run_1703375851_51596","se_run_1703416152_67538","se_run_1703455947_87625","se_run_1703495204_4147","se_run_1703540029_62867","se_run_1703574428_03973","se_run_1703631287_94513","se_run_1703668918_42529","se_run_1703717575_90501","se_run_1703760708_73053","se_run_1703581421_7293","se_run_1703622749_22023","se_run_1703673579_74266","se_run_1703714097_9238","se_run_1703752387_62281","se_run_1703793486_09125","se_run_1703836088_05549","se_run_1703877195_60538","se_run_1703917771_23488","se_run_1703957768_40017","se_run_1703799922_6035","se_run_1703844077_32421","se_run_1703885318_88291","se_run_1703923193_50425","se_run_1703961893_29635","se_run_1703997833_91412","se_run_1704038066_62683","se_run_1704076255_36942","se_run_1704114902_6166","se_run_1704159400_33307","se_run_1704002042_0229","se_run_1704040043_74624","se_run_1704081806_9851","se_run_1704119821_12796","se_run_1704159098_54284","se_run_1706204593_4499","se_run_1706243968_21786","se_run_1706284257_93064","se_run_1706325430_78517","se_run_1706366294_33494","se_run_1706403760_1143","se_run_1706444587_13499","se_run_1706425184_18316","se_run_1706467861_03251","se_run_1706425184_25348","se_run_1706472938_66216","se_run_1706425184_06588","se_run_1706461821_98187","se_run_1706425184_18528","se_run_1706469604_65286","se_run_1706425184_07161","se_run_1706470340_33351","se_run_1706425185_71671","se_run_1706469876_37715","se_run_1706425245_78237","se_run_1706469420_51208","se_run_1706425274_49509","se_run_1706459121_95176"
"a",6.22471762898811e-05,6.31086988780518e-05,6.83548679842651e-05,6.21428326556317e-05,6.20805897788677e-05,5.82167617528074e-05,6.04233479206087e-05,5.92685404376285e-05,6.14229136436853e-05,6.79187261488687e-05,6.05671168458541e-05,6.26724317515906e-05,6.00554501016004e-05,6.09455936241372e-05,6.27462092817343e-05,6.93595277787368e-05,6.13817424343719e-05,7.61607847716623e-05,5.91727251759635e-05,5.99031810266178e-05,5.8367820509285e-05,6.31515872633373e-05,0.00010149656249125,0.000164918272517524,6.07673399564226e-05,6.21985998591363e-05,6.26234425212475e-05,6.52509736663718e-05,6.04640962670485e-05,5.78103061322045e-05,8.67583194893388e-05,0.00015653848211274,6.12872850589139e-05,7.23681823373154e-05,6.06304072014004e-05,6.98132256873352e-05,0.000185120031149305,9.97702356234315e-05,5.87854903100738e-05,7.07747250218053e-05,6.41933850322782e-05,5.97243462809458e-05,0.000320369465221392,7.51023333581276e-05,6.02142652175421e-05,5.91031225943067e-05,6.14290084716024e-05,6.38088243278007e-05,7.63982405222286e-05,0.000145281644498219,6.0557800470453e-05,6.32458112284781e-05,7.42714886620605e-05,7.62549752916372e-05,0.000428406751945271,6.3704339873064e-05,5.63351091975776e-05,6.07537517744256e-05,5.90902813360423e-05,5.79194190758743e-05,7.12820056129992e-05,6.04628893735766e-05,5.7313359879492e-05,7.3904719016388e-05,5.64605386265626e-05,5.84708033779624e-05,5.77858396389563e-05,6.33364392622062e-05,5.99322638578672e-05,5.91111992283679e-05,5.95649425857807e-05,6.03803130491866e-05,6.19876311072084e-05,8.30034827819147e-05,6.02554215042782e-05,7.35586034768605e-05,7.13000021241579e-05,6.66653582917063e-05,7.02855640543992e-05,5.88297550801037e-05,7.64393629042842e-05,0.000304781827655514,7.95683593771427e-05,7.13131110033125e-05,6.83297347079562e-05,6.18157487717114e-05,6.13162358665717e-05,5.83645261282673e-05,5.9836556730582e-05,6.60870314210538e-05
"delta1m0_pop",0.0816970729788466,0.0921282481929983,0.124647199298088,0.0988115389591936,0.11801004221975,0.0951633190512253,0.077241156981052,0.0989378569596563,0.113381551168294,0.129302442134512,0.102067509091779,0.101623379126037,0.0807326457412647,0.107226524868345,0.0796325404589338,0.102827045826405,0.0952060238567901,0.106558277638138,0.10205948612854,0.0978592031795314,0.08544387488307,0.0846705848424855,0.12978248068246,0.0969362814797523,0.090780063542992,0.109008607625701,0.112666790284935,0.106551053518844,0.100224243577127,0.116565993900318,0.092278459268355,0.127990331490556,0.115372561113314,0.0889941800545196,0.0962159674795725,0.126978409760701,0.116865525805515,0.128170566846535,0.0920437712390256,0.124059199309595,0.108082968273608,0.089351156731818,0.0824217286626241,0.124932854528593,0.112124541533459,0.0845884834072901,0.104714419962876,0.104828882903399,0.104911756548899,0.116916111366621,0.11093604972949,0.100967935624855,0.142112416955383,0.0988509667144189,0.105297321758497,0.0903023372544897,0.0922300840003521,0.0915846310834245,0.0857699377580586,0.0889168081750215,0.152252454002849,0.0945050048658071,0.0904654130802874,0.166777714258993,0.0911648024790597,0.0956325694368875,0.109875287308981,0.10616566266111,0.109265129252497,0.0939903808826589,0.0932787382800737,0.090550415855728,0.0935047101506689,0.110798616625828,0.0979324224075141,0.107570411315029,0.106594307866963,0.102761698522215,0.0965208368886901,0.101869108493326,0.130082476204076,0.10894036936293,0.128083971657885,0.115485096296603,0.0962018494532583,0.0886405319076642,0.0805054855895628,0.0957520514948661,0.0927991712025986,0.100005220281499
"delta2_pop",0.319967234475147,0.117360923435768,0.114770823688373,0.080891727492833,0.175820184259177,0.119698699469885,0.153595273614976,0.098713342576123,0.0919795731216598,0.098418594097538,0.125140028944386,0.0973095574892657,0.118840634158459,0.0738905156754163,0.14503206126737,0.146664322931493,0.163452237473067,0.151226223919025,0.156894671932644,0.0775509363608422,0.0842037908325843,0.235530114833591,0.083173381900771,0.0855318084112466,0.154566827493066,0.0681794728817807,0.190079312540089,0.118198825782014,0.153869226280191,0.101423005038486,0.202843533011442,0.062752107235164,0.0926836621039003,0.0709666411527954,0.0737256954389119,0.114264781384733,0.0835840591070581,0.103839388635354,0.242505781415349,0.116861181619201,0.160969672807113,0.211096234627379,0.258834675451311,0.0902156788362643,0.108635211200938,0.101303530130495,0.135771341770723,0.130474848537899,0.166240974310898,0.174903635261849,0.180089498499411,0.124630681642735,0.10353165132363,0.118867431467792,0.130090791882244,0.114697655792518,0.0870688599319872,0.170254465942628,0.147658588858073,0.124029952818579,0.102032977115605,0.140469372599712,0.154031641337367,0.0995049251895846,0.118805313855213,0.144676472670173,0.0889589359265386,0.145268995939287,0.125425344657795,0.0906668435901129,0.128515068474607,0.159861940368887,0.167714414920257,0.150025288938733,0.0664926974380825,0.101409258883571,0.0834428650813533,0.150246469589254,0.094799893083281,0.0981979138553635,0.0890679416974137,0.104080935654121,0.147908024445765,0.11276072766301,0.100312644459573,0.114925266372503,0.246142138227294,0.0960866705379397,0.140982467820481,0.106552485636682
"e0_m0_pop",0.0634721350522956,0.0663814997378364,0.0648368735870777,0.0488201779033181,0.0700960510509513,0.0631215563433135,0.0620281610444675,0.0638186959000502,0.0576903392583874,0.0618219373354932,0.0559619248089427,0.0580577623432161,0.0386949157414301,0.0697085533836396,0.0443827083791425,0.0558339119273004,0.0516511463825716,0.0668302221247891,0.0514496164788057,0.0590217228748656,0.0604597139675465,0.0610309355938573,0.0501649269175103,0.0499900559150341,0.0731516738291476,0.0742127829197777,0.059813071395886,0.0711398595410326,0.0615870154696481,0.0608254604699833,0.0638296127424809,0.0622235624341828,0.0594243882680287,0.067286174232896,0.0693588619770103,0.0653407595881113,0.0539975052211168,0.0641500282630887,0.0611981167497867,0.053873899126282,0.0655052322527067,0.0622183912423301,0.0529545188170772,0.0612710329905303,0.0412490640066188,0.0616219843734513,0.0526673163743634,0.046614262549425,0.0620562121108121,0.0653288526500432,0.0579831455408593,0.0631545076658766,0.0667268947435683,0.033092026989919,0.0543527779887317,0.055828937715509,0.0560232151205965,0.0488873200845348,0.0616469601661182,0.0546904334280947,0.0677743540129525,0.065340080442883,0.0516152653848088,0.0877715171437152,0.0542727288373961,0.0492503480560762,0.0550988827996792,0.0632585749037868,0.0648988376190102,0.0611100180426338,0.0420818140572397,0.0617626425699245,0.0599275871541168,0.063892326622456,0.0653770916639982,0.0666840036033031,0.069345097109846,0.0669073392390536,0.0613734107903671,0.0461800969729728,0.0636160183129995,0.0550433252567305,0.0755103733998387,0.0634872213160666,0.0642506493527035,0.0564716597389708,0.0611439785162861,0.0633234808414471,0.0565354824780545,0.0632709625644002
"gamma_pop",0.0774812120998353,0.0736744508626492,0.09534942932874,0.0744158866886407,0.0877749821257228,0.0927542155721527,0.0808149961358504,0.0903733863525474,0.0798945932954321,0.0811004641866655,0.0889423995186232,0.0771599560395387,0.0667205035073389,0.0794804470694069,0.0949002257615655,0.0787252842624068,0.0843623016320179,0.0968451556616369,0.0786814144664677,0.0757115434153221,0.0737346343214039,0.0739134328122847,0.0988375317647016,0.0912006505288862,0.0780830325873615,0.0818722377988085,0.0959749135950854,0.0680577423812328,0.0777399425049165,0.0735626488685466,0.0792174475643071,0.0922359312200543,0.0965807812646006,0.0835689832002197,0.0775344724792316,0.0866174756294314,0.0819020716417415,0.0564712860825711,0.067531275225354,0.0956035347540518,0.0861027107652257,0.0742156187340398,0.0725018522788656,0.107603893577906,0.0803559622606345,0.0720418055604401,0.091119635436726,0.0931393346572354,0.077757023557656,0.0883390830377578,0.0961120642622033,0.0865599673796905,0.101695667571583,0.0835209798799033,0.0795669266443146,0.0884539347814003,0.0924144027155883,0.0775392155196079,0.0810697834928158,0.0826678404711938,0.0873392082491113,0.0712713363007546,0.0810070512845016,0.0919972462980649,0.0677856784514868,0.0952910710960981,0.0733468440454966,0.0768436963627745,0.0889925072645713,0.100396140664802,0.0855182622427442,0.0675363821237392,0.0673670154440089,0.0695576385103748,0.0812679778487124,0.0649750635535295,0.0856026996958412,0.0872703402862084,0.0800200977423208,0.0831339717986761,0.0677621974237996,0.0847847041478405,0.0985236723709274,0.0624936837354339,0.0795410453574815,0.0919715043998598,0.08085507994385,0.0852304273282854,0.0773181380152047,0.0701029346514711
"k1m0_pop",0.0549500735799302,0.0588143528730421,0.0641755089822257,0.0483596580919378,0.0797916823470322,0.0551522626327533,0.044780109587763,0.0559649453899414,0.0513556721681664,0.0624595620367829,0.0683749812800996,0.0558549578610225,0.0651650781613014,0.0449507725206582,0.0567815423354919,0.0532328573216711,0.0638085181798098,0.0664059377356148,0.0687654082732519,0.0474740225612997,0.0522249990351607,0.0626559190361231,0.056531196025095,0.0546808812470209,0.0479661768055268,0.0543958331587915,0.0710907979041331,0.0554877893639183,0.0636447622890912,0.07688118646713,0.0645487838796004,0.0860151175606951,0.0554153608576203,0.0814990592980785,0.0460091197628902,0.0651242966717118,0.079397724596631,0.0727025568458635,0.0608107383652232,0.0691477580002876,0.0596518181969168,0.047419759679793,0.0569442590755689,0.0714205217899422,0.0722256606650695,0.0510712101468375,0.0664927147682476,0.0629511404131508,0.0692067641764922,0.0697272918657594,0.0718579089410059,0.0645911438428014,0.0824593618366478,0.0682462295746266,0.0576639518631663,0.0538887317200481,0.0420540665681678,0.0628404517589861,0.0421691572829741,0.0519790981412343,0.0845839662987611,0.054725989575151,0.0610466159743459,0.0765552511539717,0.0418512273222606,0.0680511037558895,0.0602343272971195,0.0704229483770011,0.0598247363893947,0.0516918785623717,0.0655852509799043,0.05142298874957,0.0562560548705713,0.0646353438976558,0.0493271880811879,0.0643859535628384,0.060156359060525,0.0577269958223679,0.0479129326863749,0.0440710921757479,0.0665855847376613,0.0562806090729489,0.11016984821982,0.0571039957141503,0.0600215171260917,0.0539807636969458,0.0488802421189315,0.0518019842427374,0.0660994065131328,0.0564032833358604
"k2_pop",0.0641627903281495,0.0481847485018083,0.0753231211977203,0.0509208611704934,0.0745739876928948,0.0572270985083449,0.049244309053641,0.0502859159641092,0.0573176010337,0.0566763957669263,0.0769526597981375,0.057785540031729,0.0702596401281744,0.0446408931066519,0.071851613280709,0.056633336008154,0.0604121897011945,0.0727816413231888,0.0672506190375238,0.0466766605610064,0.0435691902939318,0.0685030888849626,0.0821006172790969,0.0486910332096612,0.0499339262832391,0.0554422701196513,0.0721462175176155,0.0588382015636928,0.0647633856218282,0.0976228275899851,0.0692931111547914,0.0927652607757087,0.0576278281555705,0.0648082010213773,0.0523492368802454,0.0620356604924613,0.10961827188609,0.0548049640441443,0.0679848882103185,0.0687339888396058,0.0654224117952219,0.0505624693412272,0.0668184401523258,0.0926341414426815,0.08681392563656,0.0429959042903303,0.0728080345891161,0.0634620585428124,0.0669489381280916,0.0654509237317468,0.0820507451612183,0.0561932362921868,0.0891637216229716,0.0828161633363081,0.0595042496497245,0.0645238098686309,0.0512427874882189,0.0784519083697167,0.0530675211148035,0.0541496591660215,0.0760260899036497,0.0526878260329703,0.0653363879910294,0.101373105515207,0.0578387596966004,0.0770080937859423,0.0721396321937512,0.0763872723542956,0.0622771939010836,0.0525457412617957,0.0817929902472491,0.0622707189544051,0.0574499967450029,0.0619495671228847,0.0488063184848639,0.0542430124696829,0.0631193984265406,0.0655760736286927,0.049313220241042,0.0605311094657052,0.0650571736147351,0.0565566209677169,0.0971326089627509,0.051036174286745,0.0543141343264013,0.0605086792350308,0.0517740530111174,0.0496513350356963,0.0708943169126177,0.0533847565835269
"k2m0scale_pop",0.0352760402763163,0.0362612714783655,0.0398395261690565,0.0339690455601193,0.0501930232713777,0.0385949054673312,0.0365352988955246,0.0395952693565245,0.0391750828952121,0.0404601111285423,0.0424374648899265,0.0332844548487163,0.0429927375019545,0.0394097096054579,0.0394373794851054,0.0356861664617456,0.0383781394614922,0.0425197263573539,0.0402345828221199,0.034161144220755,0.0349826378555863,0.0397250125011806,0.0326987786513554,0.0365168791980106,0.0339475964639954,0.0401378742196405,0.0426081982385845,0.0420605809235537,0.0425785370074911,0.0465088996453644,0.0421351945732031,0.0408024251564117,0.0386811694560965,0.0348101615146094,0.0396108974862748,0.0392601883992097,0.048234939713749,0.041915913874581,0.0391555008268822,0.0391868118388982,0.0412888258859376,0.0351690925821439,0.0364114759813208,0.0426478608355519,0.048718013473616,0.0340966554850972,0.0411057788679109,0.0368884363867504,0.0385114936712447,0.0410531464586145,0.0436864201354244,0.0384597437195556,0.0481379443412549,0.0441072780696282,0.0377246124732441,0.036217196164745,0.0347562610030088,0.0394199387526232,0.0362515177204852,0.0359792283770696,0.0532444070095047,0.0353401657487069,0.0395618563039283,0.055056419947831,0.0406127040450937,0.0438569369300097,0.0388369964505811,0.0464452266623374,0.0383800195504008,0.0365881588467913,0.0419517351343747,0.0358641508123048,0.0408276352845596,0.0384623968348032,0.0349657713441543,0.034571067406952,0.0339215911358296,0.0391943029127067,0.036132774589021,0.037141953961215,0.0355199170686609,0.0365140348418223,0.0551394570031544,0.0357087966267297,0.0333196813526108,0.0355500889613073,0.0357452312284565,0.0379061707802641,0.0398606661844756,0.0347257812225313
"offset_pop",0.0121680540764487,0.0121932939126867,0.0121959460170734,0.0121775583204948,0.012174927701491,0.0121701119436478,0.0121576066962261,0.0121595617918263,0.0121511280744423,0.0121538029825364,0.0121556089675499,0.0121363991664714,0.0121648914666137,0.0121633203130078,0.0121648940925213,0.012185526442078,0.0121671984536348,0.0121588569736908,0.0121776427281761,0.0121598572740288,0.0121854420356832,0.0121725243802746,0.0123638317264942,0.0121610578992183,0.0121713032034129,0.0122081604922453,0.0121772859354352,0.0121544226716591,0.0121428276836104,0.0121645593420703,0.0122467113965073,0.0123935622557489,0.0121792098277905,0.0121946024818702,0.0121654965793194,0.0121867399251751,0.0123685115691127,0.012282673955219,0.0121828667971032,0.0121545001145785,0.0121815335953991,0.0121556634501075,0.0121572993836445,0.0122500431074372,0.0121556555630175,0.0121616108682539,0.0121542562803912,0.0121826077755252,0.0121349552128846,0.0122689644615588,0.0121603461329146,0.0122661348119701,0.0121653275954589,0.0121662248309908,0.0121696671421715,0.0121685911218814,0.0121569052851012,0.0121672894632218,0.0121701737875946,0.0121583780764564,0.0122489586013786,0.0121752240290119,0.012169320086949,0.0123305406182605,0.0121576248741486,0.0121722117567393,0.0121550142059411,0.0121617136700822,0.0121511879308743,0.0121637750761419,0.0121622876622517,0.0121757991880961,0.0121912430415774,0.0122048608898572,0.0121771069586676,0.0122149521603327,0.0122409255427563,0.012163165477343,0.012147980705569,0.0121451098621606,0.0121849745470497,0.0122384232681037,0.0123852743992256,0.0122586565143298,0.0122009651483114,0.0122005415825335,0.0122193270563496,0.0121743756894462,0.0121657771112481,0.0121728897423999
"omega_delta1m0",0.0574283921481335,0.0665736534426828,0.0909899269029503,0.0729470253113498,0.0844659333501433,0.0688776029883101,0.054430919401218,0.0739585052481563,0.0863109036587708,0.0940665776889169,0.0757333940731764,0.0721175943497492,0.0627601113039749,0.0780795185708237,0.0577696260845127,0.0754961373238092,0.0670284016557296,0.0809409702877253,0.0738491717296988,0.0703464014215104,0.0622203845236312,0.0597998063823112,0.0958717051152889,0.0735544381295894,0.0651695840288494,0.0785490129770573,0.079946022288638,0.0770026961137436,0.0725009750428523,0.0895451386144906,0.0672401410416381,0.0936560563568683,0.0848599248397411,0.0633018267860354,0.0688541999023923,0.0926385749013953,0.0903344275183094,0.0913129909769088,0.0651316756109711,0.0902038137420665,0.0793549334233056,0.0645083229966088,0.0619471733772015,0.0921956938476528,0.0843445337936709,0.0599888348478251,0.0795938104775794,0.0756499161639877,0.077202924044829,0.0849577771215767,0.0828422941251348,0.0744148018475298,0.105071618812383,0.0771133274272824,0.0768293382983136,0.0664064895205238,0.0683828842989786,0.0664065971754908,0.06178165390554,0.0653722864205908,0.110544937675021,0.0673576825102798,0.0666491191328249,0.123377767952954,0.067379034192132,0.0724019650588645,0.084881570642196,0.0783838898836697,0.0784297678929118,0.0694073800783024,0.0683569379171691,0.0633822657404752,0.066304700857709,0.0786756104575945,0.0699191879065091,0.077738832730359,0.0732369627769459,0.0738183735853945,0.0688134428917183,0.0756471566899098,0.0943239603503911,0.0798095344502778,0.09061455118611,0.0830665217658993,0.0689357049778462,0.064472892176286,0.0574768820522418,0.0689872719571517,0.0658496149376699,0.0706042048524644
