"X","saem","cond","mode","se","ll","run"
1,199163.247461081,12240.7871646881,615.025433063507,920.326890945435,269182.728627205,"1702059916_60624"
1,197260.106805563,14396.9197561741,606.002932071686,908.333573818207,272765.418135881,"1702059916_72571"
1,186690.433059692,15897.9531335831,652.507368564606,1113.23795700073,277811.343171835,"1702059916_69504"
1,165088.746931791,14795.0522525311,541.701312065125,1047.35709452629,297191.720067263,"1702059935_0991"
1,174962.041191339,12981.7564339638,506.694335460663,8055.73566246033,291749.890149117,"1702059934_89274"
1,170518.5866611,12067.8791975975,534.422983407974,879.068489313126,281869.518326044,"1702059934_59317"
1,119170.469010592,13414.9896740913,483.070919513702,830.333385705948,290118.307689905,"1702664768_22942"
1,127932.750541449,11014.9168093204,473.701493263245,806.088374137878,291023.131481647,"1702664766_20488"
1,103528.393904686,12129.397513628,463.5570936203,826.822919845581,291526.597439289,"1702664766_7668"
1,115418.401371479,13463.9464027882,481.884641647339,901.717411279678,295029.510030985,"1702664766_8798"
1,151492.992629051,15901.8000161648,658.200778961182,1054.41157770157,300160.150514126,"1702664766_84499"
1,336326.212709188,22225.7819857597,967.215425491333,1621.02728271484,302748.883448362,"1703148805_81028"
1,130028.570051908,11393.4781353474,457.525434732437,767.911415338516,287614.776427984,"1703171110_05686"
1,215032.115910769,14231.0457417965,603.308054447174,999.56969332695,295913.260178804,"1703171110_28597"
1,179843.689176083,12854.3278074265,516.805802345276,864.51687002182,291002.960397243,"1703171109_9439"
1,190484.735854149,12967.1352028847,555.204705476761,919.15154671669,294346.696836233,"1703171246_83479"
1,145336.88720727,14810.3602001667,522.553485631943,996.508786201477,299548.345771551,"1703171247_98414"
1,182085.80826664,14148.0891849995,523.956970930099,942.079149246216,294491.730535984,"1703171247_95412"
1,172521.105024099,11238.8145422935,509.725253343582,839.395653963089,289630.968813419,"1703602913_25172"
1,192306.740795374,14074.0234262943,610.582023143768,921.278681516647,271645.979684591,"1703634040_65917"
1,123916.099884033,14857.8656036854,489.93890786171,826.30500125885,288276.48015666,"1703657742_49583"
1,146324.964497805,13275.7619376183,607.54892206192,914.790350914001,271312.890719175,"1703665007_07139"
1,160997.195945978,11719.4844355583,491.13428068161,796.247840166092,292356.662243128,"1703672101_84843"
1,169917.822865725,11369.1762363911,491.225366353989,821.051246404648,292694.202792645,"1703699471_90805"
1,331177.104284048,21143.090420723,958.15077495575,1729.24735498428,294287.984829426,"1705547120_22329"
1,111436.861797571,12244.6162264347,468.152192354202,780.709305763245,294540.09472847,"1705547119_32935"
1,145786.734114885,12511.7556641102,490.124305725098,817.383462429047,290175.475188255,"1705547119_32913"
1,136133.032295465,13635.2029359341,484.300935268402,901.670184135437,295449.599254608,"1705547119_47364"
1,136173.866679668,13629.0133109093,495.487992525101,848.682261228561,295192.086000681,"1705547119_35522"
1,192839.229236603,12816.595208168,513.192597389221,876.01823925972,297797.289839983,"1705547121_51127"
1,140170.759967089,13120.6222600937,474.559911251068,922.411240577698,295177.483826876,"1705547121_67204"
1,153210.754538059,12524.6026856899,487.298160552979,830.437803268433,294368.601159096,"1705547119_44309"
1,222569.856458426,13687.7355492115,695.96491765976,1105.23098134995,288458.419162989,"1705547120_50355"
1,181206.10234046,13498.2271311283,544.794148921967,898.900919914246,294587.370030165,"1705547120_14799"
1,174330.219460964,12969.2607073784,485.241109848022,840.653470993042,297688.768219948,"1705968209_59992"
1,181711.947267532,13075.8043239117,529.522807121277,887.302459001541,290258.401725054,"1705995090_81253"
1,206065.07183075,11664.9870057106,539.336858034134,903.272740125656,286892.44017458,"1705995419_05629"
1,176407.516372442,12143.6507081985,521.614235162735,864.145288944244,291322.888304472,"1705998480_56991"
1,223554.623528481,16392.0347604752,619.250293016434,1135.22382807732,296155.575794697,"1705998601_31145"
1,141754.428534269,13256.9474368095,531.272527933121,901.090564727783,294432.401184797,"1706010122_26331"
1,192316.655701876,13048.8306558132,560.063903570175,929.28125333786,293059.224611759,"1706039468_2022"
1,284316.286812544,16747.2981541157,701.23296880722,1384.69820427895,309674.21737361,"1706053573_81263"
1,153061.873672485,12690.359719038,491.257639408112,818.396564245224,292860.630354404,"1706075329_9641"
1,248137.135329723,15006.3080742359,730.484057664871,1168.82212495804,283243.384927988,"1706198063_86647"
1,157225.305303335,12205.6430537701,479.034366369247,818.772187709808,292382.072612286,"1706536809_12732"
1,156760.872979879,12627.9767222404,490.214909315109,919.463325738907,293249.411512852,"1706538080_08993"
1,169425.224353313,12673.2363991737,487.303890943527,841.152068376541,291510.103089571,"1706540973_53118"
1,201770.628719091,19230.9329254627,578.886608362198,975.645101547241,298521.609854937,"1707017454_49547"
1,272117.787515402,17412.0207092762,691.949232339859,1386.52880620956,300935.998481274,"1707227310_64059"
1,253117.493473291,17936.5353982449,748.209773302078,1219.26198625565,301561.353867769,"1707832125_52816"
1,205347.884210348,13410.6525800228,616.951797962189,991.691128015518,289635.857828617,"1708095024_62189"
1,178070.413741827,12750.6525251865,510.994084596634,842.475578784943,298029.60081315,"1708099631_62139"
1,174922.877242327,14520.2747759819,493.066781044006,1090.39771771431,298471.987896681,"1708099633_37921"
1,117511.346958876,12941.8872351646,625.537821531296,954.295223474503,272687.37099123,"1708704469_34403"
1,212614.527303219,15434.2450420856,664.744948387146,996.551679134369,276854.383238792,"1709206154_8978"
1,199226.715582609,13727.8981022835,582.403515338898,952.514010667801,280500.84524703,"1709206156_19717"
1,188034.583093882,39704.1865251064,512.154297351837,892.747620820999,283174.847440958,"1709715341_42261"
1,176845.684509277,14255.5859417915,529.367412567139,897.580265283585,298640.903482914,"1710229248_37963"
1,184125.149902582,13534.8357381821,532.990716218948,895.673627853394,289254.106658697,"1710429572_70081"
1,178520.961987257,12433.998903513,507.344014406204,859.173617124557,291572.339151859,"1710429574_19575"
1,219535.796431303,14457.1003050804,630.885097980499,1035.67311859131,294973.358190775,"1710919506_63502"
