"X","se_run_1702059916_60624","se_run_1702059916_72571","se_run_1702059916_69504","se_run_1702059935_0991","se_run_1702059934_89274","se_run_1702059934_59317","se_run_1702664768_22942","se_run_1702664766_20488","se_run_1702664766_7668","se_run_1702664766_8798","se_run_1702664766_84499","se_run_1703148805_81028","se_run_1703171110_05686","se_run_1703171110_28597","se_run_1703171109_9439","se_run_1703171246_83479","se_run_1703171247_98414","se_run_1703171247_95412","se_run_1703602913_25172","se_run_1703634040_65917","se_run_1703657742_49583","se_run_1703665007_07139","se_run_1703672101_84843","se_run_1703699471_90805","se_run_1705547120_22329","se_run_1705547119_32935","se_run_1705547119_32913","se_run_1705547119_47364","se_run_1705547119_35522","se_run_1705547121_51127","se_run_1705547121_67204","se_run_1705547119_44309","se_run_1705547120_50355","se_run_1705547120_14799","se_run_1705968209_59992","se_run_1705995090_81253","se_run_1705995419_05629","se_run_1705998480_56991","se_run_1705998601_31145","se_run_1706010122_26331","se_run_1706039468_2022","se_run_1706053573_81263","se_run_1706075329_9641","se_run_1706198063_86647","se_run_1706536809_12732","se_run_1706538080_08993","se_run_1706540973_53118","se_run_1707017454_49547","se_run_1707227310_64059","se_run_1707832125_52816","se_run_1708095024_62189","se_run_1708099631_62139","se_run_1708099633_37921","se_run_1708704469_34403","se_run_1709206154_8978","se_run_1709206156_19717","se_run_1709715341_42261","se_run_1710229248_37963","se_run_1710429572_70081","se_run_1710429574_19575","se_run_1710919506_63502"
"a",1.99388884332278e-05,1.94860983120242e-05,1.87595141906611e-05,1.93640276778193e-05,3.37600992800152e-05,2.44896601998629e-05,2.38552532442392e-05,2.4157189745356e-05,1.98056243835816e-05,1.81263704087448e-05,1.79942236354959e-05,2.6572500407098e-05,1.84941248116402e-05,2.16438531138496e-05,1.83164420818786e-05,2.00394588029254e-05,1.83897197411219e-05,1.88606314705313e-05,2.22437511705089e-05,1.95180843962902e-05,2.07216238523427e-05,1.82260222359586e-05,1.92386421455827e-05,2.01481771413183e-05,2.03445604544842e-05,1.84567356054074e-05,1.85676321691951e-05,1.89421697885904e-05,2.49245875804861e-05,1.98502152319203e-05,1.82754260723545e-05,1.82367703391664e-05,2.40124238811371e-05,2.37445451092628e-05,1.85621619245243e-05,2.05192162199056e-05,2.38439250802492e-05,2.18786753435083e-05,2.11561368204994e-05,1.83227816335266e-05,2.26622541308034e-05,2.20196347840974e-05,1.89687853484712e-05,1.93257315650165e-05,1.83801077095278e-05,1.90616429346063e-05,1.7726006151081e-05,1.89987485394063e-05,3.05890030249219e-05,2.10103138726736e-05,2.21774944474731e-05,1.8785643146768e-05,1.94172221707341e-05,1.93930257259551e-05,1.88830106797101e-05,3.04526124591595e-05,2.29854869251945e-05,1.86315363809563e-05,2.02816867448285e-05,2.19876933041064e-05,2.01927758563638e-05
"delta1m0_pop",0.031743127389449,0.0281832684409013,0.0332643373816102,0.0256529388429612,0.0310721950376962,0.0319110780745605,0.0325582892635675,0.0291904342435747,0.0297495724105129,0.0293191715972199,0.0312470312349451,0.0394227749319725,0.0276123029917211,0.0383067143043371,0.0278961326130859,0.0286978704683836,0.0267565760065815,0.0363060136768075,0.0372351967206837,0.0277145065104883,0.03576534738079,0.0277680159533317,0.0358854092374413,0.0293672153072756,0.0291984054945481,0.0311589712443208,0.0259914380070239,0.0304775561088502,0.0284320460111766,0.0288206175586703,0.0281229947068385,0.0280677291443711,0.0408104571953294,0.0373190160815039,0.0252358251934824,0.0316403453288371,0.0386896453690478,0.0381555476174318,0.0351841569329034,0.0306537253787744,0.034352223067102,0.0323871869868127,0.0278119871087504,0.0268915834287863,0.0267052996518135,0.0342368357417533,0.0262797108872437,0.0321575487336431,0.0403839839603662,0.0350522259251063,0.0380791060030211,0.0314738046857442,0.029464778926823,0.0291668612667288,0.0287694928828518,0.031175561834399,0.0285654338968351,0.0341805147464311,0.0386176452431361,0.0276454670417021,0.0311534264611095
"delta2_pop",0.0296389960122447,0.0274510517731511,0.0586597750935442,0.0445966394446771,0.0423806767227573,0.0475434511745732,0.0645186683113736,0.0486702897026149,0.0731677263089552,0.0569968809794463,0.0268774833753049,0.0184675901308909,0.0328226351228387,0.0382139498927279,0.0324587520164211,0.0409277458063152,0.0525013877970985,0.0518754796344062,0.0479297492757133,0.0354878638164396,0.0537875042672495,0.0389376247382782,0.0456259149570642,0.0345784612585659,0.0506157145512154,0.0467202162217868,0.0339391244603068,0.0388078082792449,0.0318900968699467,0.0309623411385692,0.0538758556099761,0.045408765370921,0.0315569232410559,0.0337141380321974,0.0482944051293191,0.0284708060665487,0.058096064569769,0.0305725900436415,0.0224273788875852,0.0332551284984002,0.0281014640097593,0.0461537648108875,0.0234009956008851,0.0455799472642373,0.060336395111781,0.0606765633904484,0.03995273296669,0.0386484714595139,0.0380148275592287,0.0323441215552048,0.0406478313981773,0.0357210204868776,0.0791330197175366,0.0544442223757504,0.0344788137214062,0.0548844882138565,0.0569353926016803,0.0404641562973094,0.0304756083891399,0.0357670856082445,0.0363426962108022
"e0_m0_pop",0.0206476958795093,0.0217634674651017,0.0179849144069993,0.0182484760427747,0.0211490354381523,0.0206806237058603,0.024457637134589,0.0213032149565463,0.0217639108617788,0.0191779343645369,0.0176329095414934,0.0214661406620817,0.0211426442415586,0.018719273180702,0.0152849254738825,0.0162932424894662,0.0195614018130943,0.0195918394931388,0.0204273483148577,0.0161294475569675,0.0219658200343939,0.0139161102388722,0.0156118486311858,0.0188187532450172,0.018396299037918,0.0160804686362207,0.0182753757761544,0.0165160152565935,0.0210758363998191,0.0183811038548765,0.0200912584776046,0.0209090423222473,0.0193135361216004,0.0143830676764635,0.017265195114068,0.0184985555595535,0.0235194225680609,0.0209210445078921,0.0192555140051398,0.0185567544580115,0.0188898103352613,0.0180285706829423,0.017854973919649,0.0158813452472106,0.016768418641421,0.0245055522594411,0.0160013170585548,0.0190025925604834,0.019986175083609,0.0142363150684987,0.0230697995805049,0.0130030017098945,0.0208969952720264,0.0222819087008562,0.0168176587341681,0.0163186813621432,0.0213189372502955,0.0176722021849262,0.0227293186504105,0.0226017796842646,0.0159206274680748
"gamma_pop",0.0189500368625421,0.0264231165451218,0.0328054888560171,0.0292106722899161,0.0266613387393474,0.0222465450380951,0.0228085997991878,0.026760870830653,0.0255896007365977,0.0275649808442438,0.0278913568952761,0.0219934107958721,0.0241507964739251,0.0302407947796032,0.0275602722553526,0.0330471826749528,0.0243300358301557,0.0292479149478459,0.0262830254510743,0.0305980022693305,0.0265102903093608,0.02426468000901,0.0264668184856757,0.0245000478908494,0.0277440390018463,0.0233204857930014,0.02471281786131,0.0232838692375861,0.0277262424133572,0.0280628630499595,0.0253762918218962,0.0288397151231562,0.0266659414404364,0.0327518353551722,0.026309358350548,0.0225783864080718,0.0217252673490227,0.0286066442472135,0.0211676819491132,0.02958633787273,0.0309376663443162,0.0201207876364963,0.0256918444589445,0.0315551513265315,0.0270036795542988,0.0277763333795176,0.0287104003511183,0.029547368645681,0.0317590017461105,0.0315959237195397,0.0237959758400188,0.0275973041090498,0.0260533776081615,0.0257827045948296,0.0276073135367081,0.0284864257173041,0.0293889445356322,0.0271936587514307,0.0273088256877794,0.0263954119387375,0.0295077984938107
"k1m0_pop",0.018729142188903,0.015352646251689,0.0212318098950704,0.0169927861098011,0.0162638470469388,0.0237059775123125,0.0274328354683599,0.0188936753884005,0.0216954023192862,0.0212392994731144,0.0150515441375599,0.0280769864564295,0.0145439273415779,0.0253603984028219,0.0149927263155379,0.0191388613851143,0.019224297764356,0.0253580362255009,0.0243021783726604,0.0184966590238838,0.0224606995804736,0.0207731550540862,0.0233174500426582,0.0195978680602158,0.0201659403936048,0.0227044803906582,0.014446166028779,0.0229168743963671,0.0152534354613181,0.0155179505767375,0.0188414847400988,0.0164982415933878,0.0231238071872999,0.0222053118393079,0.0161376739561734,0.0185501366665988,0.02447411605349,0.0212336756278482,0.0207432578412366,0.0163920558352372,0.018691572363403,0.0178391184387672,0.0142064245432459,0.0223348805198208,0.0166962383587538,0.0231103943325986,0.0165571529840894,0.0215272027184,0.0255027063475221,0.0229007032420656,0.0211309844193874,0.0229949686599334,0.025451855462205,0.0204384841137496,0.0162278714764326,0.0216411043017892,0.021758020567565,0.0257628092216073,0.0184435456632323,0.0193607909641203,0.0187242174362411
"k2_pop",0.0168296937581928,0.013207735528811,0.0288813471252707,0.0180777174573061,0.0158057185413147,0.0191962468720903,0.0203415057001467,0.0172950655333683,0.0198661386479679,0.0223824799098988,0.016193676842004,0.01418704148672,0.0155519227535691,0.0250912355780876,0.0168025983591284,0.0213271428170112,0.0236257369519077,0.0306649541951038,0.0220247235615739,0.0220858361952466,0.0206829523757254,0.0226711091989259,0.0262279320749525,0.0179367288708349,0.0218768787029334,0.0223148426708601,0.0146452409367944,0.0238166823304813,0.0146400708206616,0.0163221075197093,0.0209947336570097,0.0129562698386617,0.0206275477842042,0.030779100732664,0.0212169890085463,0.0153806634559548,0.0196151949186075,0.0219931765884274,0.0136410497850358,0.0175602309741486,0.0220097854379429,0.0171481852239813,0.0133270843542092,0.0246510915005804,0.0174313646080985,0.0209682259060267,0.019812486058402,0.0238947443365661,0.0272695620355875,0.0258528131846208,0.0182385169340706,0.0297466827558598,0.0229794765957126,0.0201442640095242,0.0158310130189037,0.0235233426725936,0.0216324542061842,0.0320235808364557,0.0169212045040215,0.0177468580447738,0.0204663768519983
"k2m0scale_pop",0.0112361021860626,0.0108880562991105,0.0136443478848995,0.0128507658048399,0.0129618120917892,0.0118221899547004,0.0168334448622525,0.0112920615740092,0.012753787930251,0.0124743169409467,0.0121616785530506,0.0121803333923808,0.0114269929749549,0.0148238164545265,0.0107462243663579,0.0123789532332894,0.0127020752979157,0.0167328367668543,0.0140532448820557,0.0112234892486719,0.0129846845420541,0.0136575589523969,0.0140192392549873,0.0114800556616465,0.0123383341686551,0.0137835433764751,0.0112626858444716,0.0144640735183325,0.0123437149891098,0.0112836830057604,0.011641188096279,0.0108356114499656,0.0130587173549449,0.0149073458845253,0.0112631464093194,0.0115169290444588,0.0134919252841687,0.012911657436946,0.011220370483251,0.011612271662158,0.0113742104557302,0.0111550070206721,0.0108786543227927,0.0134123051028187,0.0111495696097368,0.014415587117519,0.0120430266067136,0.0135116430261722,0.0138361869649692,0.0137174378125026,0.0122706461935513,0.0150679322867212,0.0160069641146956,0.0124637972971938,0.0121314592635177,0.0124416769583048,0.0121615176612752,0.016198225236802,0.0132094544571105,0.011866215286509,0.0122132896633457
"offset_pop",0.00353468202118625,0.00353382232797025,0.00353024435725057,0.00353079335152721,0.00353420216566012,0.00353790572794929,0.00353082000318036,0.00352784904645955,0.00352702896083789,0.00352675453320594,0.00352735585957724,0.00356385045128959,0.00352710064985546,0.00354327453973609,0.00352833580512695,0.00353360936921409,0.00352626047699136,0.00353002696171049,0.00353178681540551,0.00353465744186011,0.00353909717131106,0.00352632458684626,0.00353074882963603,0.00352638778494709,0.00353108742844027,0.00352658210892246,0.00353053230981621,0.00352681237673099,0.00352859854377393,0.00352807664355662,0.00352882969635721,0.00352854895588108,0.00354997714970411,0.00353224976214221,0.00353076547949863,0.00353381352933849,0.00353802520089572,0.00353778165060752,0.00354177607661549,0.00352736206112202,0.00354515903697726,0.00353753184263838,0.00353197231895385,0.00352717185455785,0.00352864859912811,0.00352714036580528,0.00352553863943052,0.00352857895070326,0.00354252937916105,0.003528180001618,0.00353333038143606,0.00353271330812766,0.00353090242415074,0.00352973647162144,0.00353203852096808,0.00354029574611096,0.00353969706538869,0.00352985033931305,0.00353135593936714,0.00353914873156317,0.00353503244681236
"omega_delta1m0",0.0226086298354881,0.0203077730567361,0.0245149840767598,0.0186132199192468,0.0224229992921488,0.0229773541057853,0.0233837041011962,0.0209550389052665,0.021378222299668,0.0215084301929327,0.023004181214502,0.0283971043049863,0.0196645940181549,0.027871301291474,0.0201393563065537,0.0212250697401706,0.019737818779896,0.0268741219187436,0.0269075293056437,0.0201417392743027,0.0257411156723398,0.0202091032826638,0.0258800690424992,0.0209616452644132,0.0213180103320106,0.0225090536781128,0.0187148591958406,0.0227477969627154,0.0204872300672189,0.0208088653789836,0.0202697161353709,0.0203218134288181,0.029420327025614,0.0278850895954559,0.0183745780094408,0.0225801701535061,0.0280762629962649,0.0272955758706912,0.0254650720142306,0.0223852705614511,0.0253376494657431,0.0234355806150465,0.0200558172879433,0.0197785026710363,0.0192208279019781,0.0247719710290142,0.0190842988974913,0.0234525433454256,0.0295876695697664,0.0259391930962827,0.0273280862810934,0.0238207197460982,0.0212941442776956,0.020726266081388,0.0208372529151714,0.0224963064765032,0.0203897014892786,0.0259554932773057,0.0279971361634183,0.0197080773342618,0.0227070310915991
