"X","OFV","AIC","BIC","BICc","chosenDegree","standardError","run"
1,-31932.8357343982,-31890.8357343982,-31850.6832512842,-31793.5607259244,5,12.2945896111747,"1700837927_7115"
2,-29138.1375131399,-29096.1375131399,-29055.9850300259,-28998.8625046661,5,26.034945092165,"1700838576_81659"
3,-26504.6500415033,-26462.6500415033,-26422.4975583894,-26365.3750330296,5,20.3084260878299,"1700839274_03843"
4,-31475.2713029224,-31433.2713029224,-31393.1188198084,-31335.9962944487,5,16.2209092639398,"1700839895_49854"
5,-31149.0424528599,-31107.0424528599,-31066.8899697459,-31009.7674443861,5,9.25414917685111,"1700840500_49418"
6,-29764.1560844114,-29722.1560844114,-29682.0036012974,-29624.8810759376,5,32.519397439587,"1700841128_21939"
7,-31463.2807356395,-31421.2807356395,-31381.1282525255,-31324.0057271657,5,14.6068061711533,"1700841849_27111"
8,-31976.930935516,-31934.930935516,-31894.778452402,-31837.6559270422,5,14.7575666479746,"1700842467_34688"
9,-31659.818360424,-31617.818360424,-31577.66587731,-31520.5433519502,5,20.3671049864209,"1700843028_67965"
10,-31088.6726982614,-31046.6726982614,-31006.5202151474,-30949.3976897876,5,14.3312139450009,"1700843807_7471"
11,-32113.2665691899,-32071.2665691899,-32031.1140860759,-31973.9915607161,5,14.4947941110195,"1700844276_77854"
12,-28276.9827303319,-28234.9827303319,-28194.8302472179,-28137.7077218581,5,32.4720097614876,"1700844852_66883"
13,-30886.0344176926,-30844.0344176926,-30803.8819345786,-30746.7594092188,5,15.4049362861353,"1700846127_3182"
14,-29713.0678343566,-29671.0678343566,-29630.9153512426,-29573.7928258828,5,15.8035300809516,"1700846743_37398"
15,-24716.9089542855,-24674.9089542855,-24634.7564711715,-24577.6339458117,5,13.0438141929464,"1700847429_88777"
16,-26743.7374404462,-26701.7374404462,-26661.5849573322,-26604.4624319724,5,34.5816814083966,"1700848551_46348"
17,-30522.6177404166,-30480.6177404166,-30440.4652573026,-30383.3427319428,5,20.7270770582669,"1700849151_31921"
18,-31732.7040519466,-31690.7040519466,-31650.5515688326,-31593.4290434728,5,24.124160491655,"1700849944_14746"
19,-31098.1621290469,-31056.1621290469,-31016.0096459329,-30958.8871205731,5,53.3956824312624,"1700850461_84745"
20,-32553.8663805749,-32511.8663805749,-32471.713897461,-32414.5913721012,5,11.6124816020745,"1700850855_33249"
21,-31608.6193156082,-31566.6193156082,-31526.4668324942,-31469.3443071344,5,15.7136505507552,"1700851391_49697"
22,-31746.0074312077,-31704.0074312077,-31663.8549480937,-31606.7324227339,5,16.7515659209784,"1700851947_67554"
23,-31363.3944972618,-31321.3944972618,-31281.2420141478,-31224.119488788,5,12.7990546770957,"1700852956_13051"
24,-30574.314452293,-30532.314452293,-30492.1619691791,-30435.0394438193,5,23.9214545766935,"1700853423_52547"
25,-32687.5498447284,-32645.5498447284,-32605.3973616144,-32548.2748362546,5,14.4913207032757,"1700853938_03035"
26,-31162.9033692176,-31120.9033692176,-31080.7508861036,-31023.6283607438,5,25.2187383041599,"1700854459_1202"
27,-21303.3565595125,-21261.3565595125,-21221.2040763985,-21164.0815510387,5,10.25984346601,"1700854904_17699"
28,-29662.6514181078,-29620.6514181078,-29580.4989349938,-29523.376409634,5,10.3980228794975,"1700856130_35368"
29,-32282.9876582403,-32240.9876582403,-32200.8351751263,-32143.7126497665,5,9.87880261432463,"1700856804_06985"
30,-28346.6638761024,-28304.6638761024,-28264.5113929884,-28207.3888676286,5,123.040701453112,"1700857638_52536"
31,-30936.4076104846,-30894.4076104846,-30854.2551273706,-30797.1326020108,5,28.538357121964,"1700858278_47435"
32,-29815.9055045859,-29773.9055045859,-29733.7530214719,-29676.6304961121,5,21.2341343691757,"1700859396_97605"
33,-30006.237084857,-29964.237084857,-29924.084601743,-29866.9620763832,5,11.3625487597538,"1700860190_94527"
34,-32913.0935665554,-32871.0935665554,-32830.9410834414,-32773.8185580816,5,14.3409640943043,"1700860834_59387"
35,-31023.6883830842,-30981.6883830842,-30941.5358999702,-30884.4133746104,5,13.8442247829062,"1700861434_92231"
