id,method,lowerBound,upperBound,distribution,comment
delta1m0_pop,MLE,-1,5,normal, synthetic
delta2_pop,MLE,-1,5,normal, synthetic
e0_m0_pop,MLE,-1,2,normal, synthetic
k2m0scale_pop,MLE,12,1,normal, synthetic
k2_pop,MLE,-1,2,normal, synthetic
k1m0_pop,MLE,1,2,normal, synthetic
r0_m0_pop,MLE,-1,2,normal, synthetic
gamma_pop,MLE,-6,5,normal, synthetic
tBegin_pop,MLE,0,2,normal, synthetic
offset_pop,MLE,0,5,normal, synthetic
omega_delta1m0,MLE,5,5,uniform, synthetic
omega_delta2,MLE,5,5,uniform, synthetic
omega_e0_m0,MLE,2,2,uniform, synthetic
omega_k2m0scale,MLE,1,1,uniform, synthetic
omega_k2,MLE,2,2,uniform, synthetic
omega_k1m0,MLE,2,2,uniform, synthetic
omega_r0_m0,MLE,2,2,uniform, synthetic
omega_gamma,MLE,5,5,uniform, synthetic
omega_tBegin,MLE,2,2,uniform, synthetic
omega_offset,MLE,5,5,uniform, synthetic
a,MLE,1,1,uniform, synthetic
