"X","run_77tADYwVkHPmpfi2bqUZ","run_G6WuKug2WKzc1AYnR1N0","run_YuIHaW8xH0Pxt32JSou5","run_nWpldaeol3zXAHqMeqmU","run_XGWj0JwwzoIxRCIMY012","run_4HTuilV3cNkbecSJLud8","run_cWJhAiv6sKaxGhRmCvc0","run_A2Sa6FqNLtjdYHwgyc5k","run_r3B3Ul4xlsxzTSGrD64z","run_SH3MrLQnqmrD7v1Rcp24","run_klBYKKLqKzFIUPGTUqDz","run_Ut3BKbzfNBh97fJADlmp","run_fn7jhr5Lfy61dCKORCPQ","run_CYkd8GbrDzZAfYaX3Aa3","run_tx381zRidxWOs2useJz5","run_aZOgubZtPjIh1ickLRbd","run_PhJwA3Qw2NjHc3KIVzFn","run_9OnbtZmHTWwWrbGdqqCw","run_qdqEmMtp7F4KbKCAXLjW","run_vZ2fqXwQB6TuugOWNzRC","run_b8lq1m6jwDwRcCyjr45l","run_iSGHiAt0PaD6f9UzqmkS","run_jw4VOqX0vTcs8kmq5Mtf","run_1rEeHSFHTMcYXvdSiXQ1","run_EnRswEb7FBeVc5mRHysJ","run_RwJESUrFQtmN3tePPNaw","run_mc9Ot7VsP1LbgXmlLuta","run_q5BW5BYSp5JG2sxophWU","run_iUC6JiXiU4i2PImHQgNY","run_UjNcaCL8wkxjOJO4THs7","run_mPE01AREsFx9hLlqOVM1","run_QyHgxb9pbZsqhObKru9o","run_uITkL59SNsmghSMDp6CH","run_0LUIq1ZjiUAbAVYVqKSC","run_48HQzPR8EOffc9VmOZFE","run_hQuA1TIFRo6q5xHvdDFv","run_3wlbkI6L1VrLnpCiYJIJ","run_uXZ6P3fF2He8yT1reSAz","run_oinFdBdGAgPfICI0JBsW","run_evdlzEMMG44om3i20oHA","run_28JSf2pBSwPjwclhkBTA","run_jkidIKQRUnQCqAtMxQrM","run_fDSnw29Lr2zY9RBN6gXg","run_0dATCyYXzi6T3ydB5enK","run_kD325x6LdgeATkYKjX0q","run_ppGjR4ICEhCzhWKgGNgI","run_bHlN0Y0406LXFOIY0qXL","run_zPHiczy7fmCnwhpazVyy","run_ID4vpd5tNdAPsV7HNZyr","run_zVrGB0g5kaSuUI300GhM","run_lbtSouL643wwVBktAVq8","run_zkkJVactfQzmmf5Cg6FX","run_no5Jyu4iCQKHZ3hDGcD5","run_Fg9VlUy8mMQ2QW5aL5EG","run_Frx55gIPWJL127ALN7HH","run_M9RUdJi97O6kNWBLrCwS","run_T0WbMy3gt7fk84XkzUEE","run_8nand6wPOUoNzolCXofj","run_GKiwZDi9CU5Hsld9L8Zz","run_IacByfIH6dxgYnXQIvQI","run_d3QGkjTycpm48wpNRpmN","run_csR1Pji9W706S4EwS5vK","run_nI2J5eRYId1Qf5XeeSqs","run_X5HZFFtehUcz58VzEQ4W","run_mis2poXrUQbHBq050Ah2","run_qgj7OVC5VBy8Q0INZkdZ","run_eZ4d1TDQH8AIkVhPKISN","run_1j8JmvEvqy2zxc8fX0LP","run_bXH2EVhCvkZlatMEqcfR","run_fJRZa0WqFe5ZyUPXCjax","run_fMnOHJVlHESMi9MHLt2g","run_Zq3pr1468E3kmSeXLRtT","run_arANAIrCd0s3aC6cCvNl","run_sKScjaazfc7LL444C2l9","run_IwD57s3G4E9jvGRFHQuV","run_veQlzFNTI4VAC3osccnI","run_4o5ZYgNXffA6CVAxgjxS","run_jkPQZVfnKOnjiRuPlrSD","run_9fC6xghVnmfyE9pfHJgK","run_CVNAsbRTGj653iPZxKkE","run_iKoFkhvx0dR31ksgo3My","run_NQpZ98bj4CdeFOTokDwh","run_smqHN5KfiijLhDxkhhL5","run_IFa9V0SqCtSCgJGe0U0s","run_jjVlw2bqWFrot1RJO9OZ","run_PJTUWmeHvL4ANUJLwH1L","run_ktfcD0MUZH6RoVzcEyy3","run_eN79Bv3NHfh4BP13UZ2C","run_lGKuEpwDI0kcT9XEvBAQ","run_MtqP8haJHSwiSxNKXmPH","run_2wOL8I51h1ZlZkiUVa6j","run_GQHdgSNFqu3E9cyLvVgZ","run_KY4grxD9bLtb3pv5AmQc","run_cSbMs9fvz7R12Y93JmK5","run_l9IMIbLrpBqrrb1wLEPx","run_nfcdClqpmUQG5v5I3Jtr","run_T5gynIlowgezBqpSp73n","run_oSokNEuMeTXxZTEt9Rdy","run_BxpHjxcmgEgBh1IpqFKy","run_XOinsXJTYWq51dGL6095"
"delta_pop",-1.46543003623311,-1.91115916066686,-0.704709674251477,-0.891809014705759,-3.98099648109337,-3.55072551654875,-3.29805286494186,-6.97608110418602,-0.904289459625619,-2.43407555278886,-6.1501454818423,-3.58349553818295,-2.61831564663886,-1.17240279242976,-0.714669008575855,-2.44854963438879,-6.27750853550383,-1.31759955773114,-1.59343397711723,-6.10339526896625,-0.980856643579687,-1.10450504256028,-1.48777697845829,-1.84573169450947,-4.08574483861483,-0.976179030796303,-6.28262848294587,-4.75792152024365,-6.08043042118958,-0.727645081394221,-6.33186993689433,-0.657126976307446,-0.720408146343708,-2.91839358194205,-3.14192814183114,-5.17085042436169,-1.38204788814072,-5.90274831861475,-1.67125550515598,-1.0321608246284,-3.19357122627204,-4.97827850148784,-1.70355151509876,-1.24069680273581,-0.981022196552362,-4.4417439471231,-2.04954558468333,-4.70130836778902,-6.32903467802265,-6.78545412994137,-0.703900531025495,-2.6944875270585,-3.1158101811409,-5.0331737101743,-6.46424801933608,-3.47806370052026,-1.10618756227889,-2.96105679645038,-6.46424211238619,-4.61411578635036,-5.40234560859181,-7.0223004229157,-4.81629898296088,-0.700585598101901,-1.94513665996038,-7.10911678166914,-5.58649043912173,-5.00998168856791,-1.5473187590246,-1.74757346533582,-1.52416283758546,-1.55301716489694,-1.50192319978976,-3.83094704641063,-0.957025567289849,-6.74511512983489,-1.15833017309711,-2.00121671672143,-4.74250364567029,-3.21127716162971,-6.48256783102049,-2.65142644291675,-6.99605673963701,-5.36617044097355,-1.76693525458673,-3.12440703562301,-3.29464849658328,-0.882900056786682,-0.825477443951561,-5.57755348258296,-2.98642228011381,-1.43918356290498,-5.5982835634425,-3.35600060655555,-0.906804685944353,-5.37604494258806,-2.6840376559101,-1.17247686093542,-4.60563955926075,-2.23867432266007
"gamma_pop",-6.48174165677516,-5.91226991508543,-7.1338527837123,-7.04999048429551,-3.85781351122254,-4.26268416622254,-4.54623116637802,-0.970480104324084,-7.10521335733827,-5.40324015071014,-1.83001793216788,-4.2446638710993,-5.20577689226645,-6.82029636550511,-7.13993524934299,-5.39749646375416,-1.698185241588,-6.65786528955366,-6.35551027405125,-1.87941136273344,-6.92895808998499,-6.86356926459172,-6.43580761010509,-6.12001040972917,-3.73571276247151,-6.97447061818316,-1.65471770596601,-3.16771399834894,-1.87316201943732,-7.1813646789301,-1.66770808872396,-7.20724014953874,-7.16294986194827,-4.86751724002787,-4.77517035907474,-2.69210498990144,-6.60677412859227,-2.05027238580585,-6.19139994669211,-6.93139200274446,-4.62525187760899,-2.90561415149985,-6.21013574070398,-6.68930681872526,-6.91352634694464,-3.38022081158787,-5.95627365433759,-3.13500808297741,-1.64466396771032,-1.22346229156065,-7.20849468129323,-5.11992089082927,-4.74358706385794,-2.84639490958924,-1.64232538870524,-4.31611471847817,-6.87459918976341,-4.84462214310248,-1.45286365913362,-3.24713529286985,-2.44902096464632,-0.96603336889019,-2.99667011079832,-7.20111652553764,-5.90222179834043,-0.87714725999559,-2.36486255683592,-2.84950974734507,-6.39725848739168,-6.11787008057205,-6.33058288204122,-6.43336693895576,-6.35908906039696,-3.99742419618492,-7.00310539268983,-1.20902068402508,-6.8368994503773,-5.84069747387437,-3.09541468244882,-4.62186480511808,-1.52966726723875,-5.25538090656248,-1.04599596276342,-2.46271376828538,-6.22702085930552,-4.76523617298202,-4.52003839712993,-7.03574189169477,-7.09309314711108,-2.31148777448246,-4.86181455361464,-6.61140586124122,-2.30189516808557,-4.4889017137745,-7.02493603518413,-2.47695559981883,-5.09193540935958,-6.7232606856048,-3.28064692505511,-5.54188935767414
"km0scale_pop",6.21745210026807,6.21541224505133,6.21625375750834,6.21704615417766,6.21556301977669,6.21630611905341,6.21927659423464,6.22741621242319,6.22748108270417,6.21939330051794,6.21591771072256,6.21845046684904,6.21567691809806,6.21588565899003,6.21639829585826,6.21954796280775,6.22963723300127,6.21641077336944,6.23126086582865,6.22841212083277,6.21651777092901,6.21571289153067,6.21564015405909,6.21890464304622,6.21767398191014,6.21606058731915,6.21589966899702,6.2526146187107,6.21576504061083,6.2252449493471,6.22694486263339,6.2545818121982,6.21980715705749,6.21574120472752,6.2222578362517,6.21575341774925,6.2241806869792,6.21554222743249,6.21653341060727,6.24029594555018,6.21549628921593,6.21597964222362,6.21572498704254,6.21660887082096,6.21524382142449,6.21773994191382,6.22641155216007,6.22825698822784,6.21806226736744,6.22790301125129,6.2170614951064,6.21866046664225,6.21657256734387,6.21893664275016,6.25618634292909,6.21492276514484,6.21597056900371,6.21638980640235,6.21570852362697,6.21907711867201,6.21593934451778,6.22916282947776,6.22850368139849,6.24075363590333,6.21653339570258,6.27480230039199,6.23081880811786,6.23142071936039,6.22566016205526,6.21617238617073,6.21443662398208,6.21576245007313,6.21574792328969,6.21568456506982,6.2171400220624,6.21561737779509,6.21563682129703,6.21524978807577,6.2773100104041,6.24307485985072,6.22902691403627,6.23973606523846,6.21926284609217,6.2160380422974,6.21612611691911,6.24629211968623,6.21597314456115,6.23126940511456,6.21526138756922,6.21868533246622,6.21597242322524,6.22135133627326,6.21637819418633,6.21765631438087,6.22274199589334,6.21713472240013,6.214945307225,6.21569649652943,6.21576333994844,6.2153480195192
"tBegin_pop",-0.172246720032477,-0.17241755367648,-0.172290625548253,-0.172179155395731,-0.172368445431818,-0.172264438475794,-0.172206971389855,-0.171849721835229,-0.171611089856919,-0.171999088081763,-0.172356663882002,-0.172285588581344,-0.172373318864376,-0.172336325434844,-0.172249337360011,-0.171964453987697,-0.17179190112784,-0.17226238207677,-0.171769465207337,-0.170987540796984,-0.172207476470699,-0.172355155893589,-0.172372250036299,-0.172006978239277,-0.172333632197799,-0.172325000415991,-0.172354489388927,-0.170427024771398,-0.172373172635177,-0.171771854028783,-0.171925721037636,-0.170502557514031,-0.172006558408285,-0.172304268224135,-0.171996607175007,-0.172365265214785,-0.171845967152243,-0.172369942362674,-0.172298111013699,-0.170987711929816,-0.172391516118571,-0.172353909784067,-0.172362651871213,-0.172260091878705,-0.172420329838685,-0.172326872698723,-0.171566794333294,-0.171868423891315,-0.17215236419674,-0.171613999248228,-0.172167783311459,-0.17206613298236,-0.172260754097384,-0.172323874242519,-0.170561646115456,-0.172421676441381,-0.172334059408292,-0.17225664465,-0.172380578144034,-0.172068893246129,-0.172370015069887,-0.17177448966393,-0.171740875951585,-0.17117860261538,-0.172236545232662,-0.170223108582957,-0.171433941838155,-0.17156783741943,-0.171677292465785,-0.172362536038082,-0.172521535646015,-0.172334745709738,-0.172380157955173,-0.172382165087551,-0.172194750041029,-0.172406118310202,-0.172351869680695,-0.172436167280383,-0.170005477686115,-0.170968795997963,-0.171653748111466,-0.170864529776171,-0.172100128641261,-0.1723919837635,-0.172268924391066,-0.170691058013285,-0.17235490426775,-0.171371238344142,-0.172431232404413,-0.172112198262423,-0.172332398753552,-0.171768038265897,-0.172313785450363,-0.172256348972448,-0.171840455331668,-0.172250178224418,-0.172397310486811,-0.172327963771116,-0.172397089703114,-0.172419940805493
"offset_pop",2.07914532680932,2.0793440704416,2.07967668323146,2.07957677219669,2.07933715219784,2.07936860223444,2.07971326032069,2.07942348375113,2.07925523525998,2.07959111789967,2.07935236584614,2.07932755295575,2.07930278484445,2.07947202128183,2.07939840650297,2.07972192748363,2.07996161082836,2.07926435512114,2.07942555660447,2.08025901361021,2.07943829106618,2.07959773153672,2.07942024039945,2.07941100942774,2.07945896343333,2.0793071867221,2.07913325888765,2.08029795950767,2.07909504034378,2.07947990900836,2.07978493266367,2.07926987307698,2.07952765570054,2.07943083880942,2.07915147646379,2.07937240598979,2.07946848334087,2.07960309733385,2.07963020197639,2.07945731518482,2.07939253641344,2.0792891871967,2.07916386643129,2.07951499350717,2.07989700491064,2.07901511686492,2.07932976848083,2.07947995039001,2.07992143745082,2.07990226451529,2.07969307824638,2.07967083731032,2.07975510481425,2.07952140658106,2.07988167727693,2.07919058648802,2.079443399667,2.07921783139264,2.07945268648373,2.07997470245798,2.07952115247903,2.0792540881718,2.0799126669541,2.07975298544506,2.07982668942183,2.07949459256409,2.07989917927751,2.0797976954729,2.07921381525677,2.07953920785729,2.07981705018732,2.07914363143535,2.07940166537392,2.07967379444754,2.07929915854227,2.07906289232934,2.07975413676002,2.0793837037625,2.07944918632282,2.08002843133756,2.07938689229802,2.0799869755471,2.07919244507778,2.07930773711631,2.07995705374815,2.07982367313582,2.07983958537234,2.07914783516713,2.07988033094812,2.07950425039356,2.07950798795491,2.07982034814983,2.07937196740355,2.07946383221761,2.07930703137515,2.07903632347683,2.07931284360688,2.07995853402164,2.07957083436014,2.0795633353883
"omega_delta",2.19909736621476,2.62076090647997,0.976711006118215,1.40114836741993,3.88767355665938,3.70553043668067,3.60634997485261,3.10384506330702,1.45218816331411,3.04492967191034,3.90449854790386,3.72112494155835,3.07073114822452,1.81878007146622,1.01266652940781,3.09897652597978,3.86881812584488,2.02301875083404,2.37597870748576,3.8714170615541,1.57313091574148,1.73678717984319,2.19644727810631,2.63590102954549,3.87101970995222,1.52156191963385,3.76352403691854,4.05717565172262,3.92103973229749,1.08985117821497,3.81740224928937,1.06089185595415,1.03079711192962,3.35112305990709,3.58123197810895,4.01092548503809,2.17162753680055,4.02877614642322,2.45854397295817,1.75116282088719,3.46188538942181,4.14719165606219,2.40989676811698,1.9713055883436,1.53697529276152,3.87987859248903,2.8557796259348,3.92295408292827,3.74983632763893,3.45045308180226,0.970985836171292,3.18420762317908,3.47851695925481,4.01460653445523,3.94898973672853,3.69549244534292,1.74582600183236,3.41492940464523,3.5929814450311,3.99442178594,3.98642374985645,3.15757978358285,3.86960853322959,1.09410049875622,2.68410644486442,3.1461143123187,4.03097004018062,4.05495616466365,2.34550376607357,2.48668687747045,2.23330784997001,2.23862350401275,2.27347522889531,3.8923310877335,1.52502257128859,3.3807572167883,1.78191197150552,2.65233993838754,4.02015436255137,3.59798645921254,3.72472747326812,3.19369609204939,3.31087272781649,3.91412498086514,2.46436673645442,3.48964195754684,3.56106915253127,1.45754067068147,1.24945588934682,3.91959958180762,3.45183772313333,2.16102810389823,3.96008257894361,3.52285882943813,1.43598566227072,3.9709707158999,3.08937862350895,1.87110483301026,4.02279699029736,2.86255254774862
"omega_gamma",3.61351839394305,3.76360756329394,2.56849297212459,2.98428827944553,3.70555671761563,3.81044493903539,3.90079618856461,1.60437116120395,3.1101952674261,3.92482295765239,2.53846494254184,3.83254369289464,4.00999062249838,3.41244841152808,2.61993287316327,3.90467967021098,2.4323994502476,3.52441297099195,3.727837572365,2.69498724927205,3.06322454319149,3.28890647621391,3.63275091853894,3.82974349638969,3.69544307534912,3.13418926275454,2.38664177522605,3.62865449797542,2.57214139126619,2.71682564002533,2.44584103277254,2.61846218512252,2.66270105859159,3.88634586393705,3.97846564985218,3.19926748060164,3.55680226367654,2.67235327832671,3.63803358459911,3.23165522228348,3.95037147661043,3.20971625543563,3.77752628653946,3.37296460733136,3.08774041686573,3.60145253332984,3.93871501541786,3.52839001079142,2.43090099499198,1.96753823756505,2.65555978023917,3.96619791500895,3.95922546334892,3.31726185431523,2.49680518159318,3.78842422416035,3.30941590343431,3.87421618110493,2.17449485246918,3.51639911623452,3.0182710568709,1.58342854070112,3.48814253532638,2.70594622729446,3.77481287544473,1.59073041904356,3.0737997728566,3.30095915037693,3.65004302517519,3.70543225215719,3.59406775450833,3.768174049288,3.5304638157909,3.67095253414585,3.09492573588316,1.89948645892557,3.42242422306248,3.8545551595486,3.58116045771003,3.93725193857517,2.32827126084973,4.10942570373615,1.66223391695855,3.0697616733154,3.88919089372659,4.09489098576617,3.87674592431359,2.9803932643819,2.86028745996563,3.01064352942279,3.90815292125526,3.72120654177766,2.95301936719328,3.99044771523386,3.01093061266969,3.05036461352883,3.98781022251549,3.27667655012043,3.51593983791778,3.85058360463244
"omega_km0scale",0.0800370456253507,0.0627346555800528,0.0645092544354819,0.066015111792986,0.0626459823261004,0.0626563365469417,0.0991550038757524,0.179978229806639,0.168760238461643,0.101408280602891,0.0630228119451471,0.0978029776942935,0.0624401786486926,0.0628865213655116,0.0632738343125301,0.096215993520976,0.228553855018532,0.0640226502287463,0.245853178937299,0.175740826529308,0.0664091715152327,0.062695913357808,0.0632144848756363,0.0879629308884306,0.0997604077953057,0.0627432183155386,0.0626171521380045,0.366191554376486,0.0630488697565743,0.157455046067398,0.183647805761972,0.325019868795737,0.106165294614314,0.0637555143323285,0.115149512655151,0.0625789872947219,0.133532012582237,0.0632741612114575,0.0648289841621748,0.290834333575966,0.0629967693861796,0.0623429607684363,0.0634546390528515,0.0653151657902756,0.0628166569087355,0.0888215599333204,0.149832422074595,0.218443011333453,0.0851642952870368,0.171455587728218,0.0642664413919132,0.120758331708296,0.065287967762225,0.111366569087172,0.359606970351635,0.0627681088994201,0.0624596895430983,0.0648647980220756,0.0627542793636282,0.0988992496117459,0.0638455627396007,0.201051349597164,0.195966350114039,0.270256750107362,0.0679672622181919,0.463825010634166,0.223032614464108,0.233734843027525,0.164355661193916,0.0627098437395648,0.0633733885603673,0.0628379400724601,0.0626367644829106,0.062955648847212,0.0702182801214716,0.062191658316669,0.0626678582498222,0.0625592345105426,0.484225228188839,0.293369878358687,0.205682078727,0.283742038118776,0.115351548611128,0.0745234469123095,0.0629208930078637,0.291979224729701,0.0625352936621225,0.211997901576922,0.0649190702704143,0.107535006116158,0.0625672078457887,0.125480371623931,0.0663863209911605,0.0806362040733799,0.154884562364185,0.0733049183069572,0.0632264389630157,0.063384447142333,0.0624423245350112,0.0628013830426757
"omega_tBegin",0.335514081056006,0.33539848655853,0.335275179857543,0.335377968759971,0.335309808452854,0.335357192459195,0.335533060800549,0.335891384367391,0.335627292947142,0.335416095745818,0.335349221499578,0.335585090453623,0.335381615502962,0.335308611429989,0.335301244175459,0.335504880561658,0.336005184002767,0.335337687012293,0.335656673891261,0.334113194784729,0.335233944789151,0.335324764431169,0.335345237513621,0.335499139703836,0.335299502189994,0.335354249691443,0.335346654794389,0.335140213760995,0.335429354560865,0.335316969571663,0.335535645269933,0.335906894415132,0.335161849520334,0.335339132188809,0.335557291700162,0.33539903782597,0.335433115014204,0.335394347650387,0.335367898170216,0.335272156422341,0.335389501594964,0.335418415056169,0.335330753566592,0.335384561737374,0.335302055991991,0.335421987784308,0.335397489077862,0.33524682399215,0.335608248369701,0.336085476870724,0.3352466500238,0.335009372968451,0.33538160455119,0.335489653009141,0.335073513700069,0.335231727737477,0.335346042921245,0.335310053550763,0.335360074557113,0.335520070810539,0.335457719902845,0.335505164094564,0.335945819647265,0.335627285888642,0.335325308999725,0.336903304993217,0.33460720633474,0.335803351288603,0.335314182895672,0.335445427193694,0.335324962957324,0.335266288209188,0.335391382172767,0.335392665249865,0.335309991431159,0.335387879504238,0.335250074229821,0.335385882009306,0.33496928410946,0.335458381091069,0.335349058445076,0.334971532892278,0.335223512935164,0.335480140304985,0.33536079093873,0.335481862028967,0.335470091625305,0.335648742130158,0.335189953274802,0.335392439345647,0.335403571870352,0.335081066091944,0.335484951701512,0.335367869611497,0.335431660542605,0.33540863741587,0.335262767345138,0.335289550223683,0.335506678031964,0.335316604545897
"omega_offset",0.00854360769153405,0.00254882152695351,0.00700463142419861,0.00535745029792392,0.00256760821946238,0.00358374698704094,0.00129096009523559,0.00347057995386611,0.0100204153116866,0.00445127918893898,0.00187650963945519,0.00377272453334233,0.0022473295453572,0.00321550360611651,0.00418799594419777,0.00540988145005053,0.00936777284849776,0.00228078031162714,0.0074310449451143,0.012306109222379,0.00373875433267172,0.00270272640114408,0.00323979626760644,0.00289337434297098,0.00227587360985426,0.00333821602769012,0.00131030342429253,0.0141452024568717,0.00136149262515818,0.00372990677465518,0.0018540268939379,0.0125636485005995,0.00268807206523953,0.00262578914006538,0.00216807760462253,0.00220738820177742,0.00324064031249953,0.00242170972293441,0.00301605773649135,0.0104566113074236,0.00124361606728311,0.00111008842184829,0.00217140664165675,0.00290213300225992,0.00235490558800717,0.00279380835502868,0.00923658714928021,0.00238836111250993,0.00571113854241863,0.00442100911050955,0.00457033032471373,0.00264630049283979,0.00125451611536233,0.00375952645539516,0.00977210596471711,0.00245781955840709,0.00120324995075147,0.00374684929029618,0.00213479684747151,0.00837000507510672,0.00381656328734162,0.0117721354054403,0.00936741343588994,0.0096105757452418,0.00493753819703755,0.0109135795844172,0.0104120034959843,0.00703245647427313,0.00945019991319512,0.00262501599669352,0.00458809379198792,0.00199435379322341,0.00190433058919269,0.000832792656285369,0.00287953421216641,0.00166192277442898,0.00202583808479207,0.00241716642996672,0.00822489861,0.0128491112890736,0.00634206040868252,0.00638437349999359,0.00904294484936245,0.00929823324041176,0.00443438851970461,0.00919338539244567,0.00184616120207826,0.008002449252541,0.00982872408281838,0.00550455769982024,0.00192080016584897,0.00595677123951129,0.00256942855003672,0.0043796823107306,0.00821009839127225,0.00290500751505023,0.00283191553839073,0.0045044899996028,0.00263220628943986,0.00197163201035635
