"X","run_77tADYwVkHPmpfi2bqUZ","run_G6WuKug2WKzc1AYnR1N0","run_YuIHaW8xH0Pxt32JSou5","run_nWpldaeol3zXAHqMeqmU","run_XGWj0JwwzoIxRCIMY012","run_4HTuilV3cNkbecSJLud8","run_cWJhAiv6sKaxGhRmCvc0","run_A2Sa6FqNLtjdYHwgyc5k","run_r3B3Ul4xlsxzTSGrD64z","run_SH3MrLQnqmrD7v1Rcp24","run_klBYKKLqKzFIUPGTUqDz","run_Ut3BKbzfNBh97fJADlmp","run_fn7jhr5Lfy61dCKORCPQ","run_CYkd8GbrDzZAfYaX3Aa3","run_tx381zRidxWOs2useJz5","run_aZOgubZtPjIh1ickLRbd","run_PhJwA3Qw2NjHc3KIVzFn","run_9OnbtZmHTWwWrbGdqqCw","run_qdqEmMtp7F4KbKCAXLjW","run_vZ2fqXwQB6TuugOWNzRC","run_b8lq1m6jwDwRcCyjr45l","run_iSGHiAt0PaD6f9UzqmkS","run_jw4VOqX0vTcs8kmq5Mtf","run_1rEeHSFHTMcYXvdSiXQ1","run_EnRswEb7FBeVc5mRHysJ","run_RwJESUrFQtmN3tePPNaw","run_mc9Ot7VsP1LbgXmlLuta","run_q5BW5BYSp5JG2sxophWU","run_iUC6JiXiU4i2PImHQgNY","run_UjNcaCL8wkxjOJO4THs7","run_mPE01AREsFx9hLlqOVM1","run_QyHgxb9pbZsqhObKru9o","run_uITkL59SNsmghSMDp6CH","run_0LUIq1ZjiUAbAVYVqKSC","run_48HQzPR8EOffc9VmOZFE","run_hQuA1TIFRo6q5xHvdDFv","run_3wlbkI6L1VrLnpCiYJIJ","run_uXZ6P3fF2He8yT1reSAz","run_oinFdBdGAgPfICI0JBsW","run_evdlzEMMG44om3i20oHA","run_28JSf2pBSwPjwclhkBTA","run_jkidIKQRUnQCqAtMxQrM","run_fDSnw29Lr2zY9RBN6gXg","run_0dATCyYXzi6T3ydB5enK","run_kD325x6LdgeATkYKjX0q","run_ppGjR4ICEhCzhWKgGNgI","run_bHlN0Y0406LXFOIY0qXL","run_zPHiczy7fmCnwhpazVyy","run_ID4vpd5tNdAPsV7HNZyr","run_zVrGB0g5kaSuUI300GhM","run_lbtSouL643wwVBktAVq8","run_zkkJVactfQzmmf5Cg6FX","run_no5Jyu4iCQKHZ3hDGcD5","run_Fg9VlUy8mMQ2QW5aL5EG","run_Frx55gIPWJL127ALN7HH","run_M9RUdJi97O6kNWBLrCwS","run_T0WbMy3gt7fk84XkzUEE","run_8nand6wPOUoNzolCXofj","run_GKiwZDi9CU5Hsld9L8Zz","run_IacByfIH6dxgYnXQIvQI","run_d3QGkjTycpm48wpNRpmN","run_csR1Pji9W706S4EwS5vK","run_nI2J5eRYId1Qf5XeeSqs","run_X5HZFFtehUcz58VzEQ4W","run_mis2poXrUQbHBq050Ah2","run_qgj7OVC5VBy8Q0INZkdZ","run_eZ4d1TDQH8AIkVhPKISN","run_1j8JmvEvqy2zxc8fX0LP","run_bXH2EVhCvkZlatMEqcfR","run_fJRZa0WqFe5ZyUPXCjax","run_fMnOHJVlHESMi9MHLt2g","run_Zq3pr1468E3kmSeXLRtT","run_arANAIrCd0s3aC6cCvNl","run_sKScjaazfc7LL444C2l9","run_IwD57s3G4E9jvGRFHQuV","run_veQlzFNTI4VAC3osccnI","run_4o5ZYgNXffA6CVAxgjxS","run_jkPQZVfnKOnjiRuPlrSD","run_9fC6xghVnmfyE9pfHJgK","run_CVNAsbRTGj653iPZxKkE","run_iKoFkhvx0dR31ksgo3My","run_NQpZ98bj4CdeFOTokDwh","run_smqHN5KfiijLhDxkhhL5","run_IFa9V0SqCtSCgJGe0U0s","run_jjVlw2bqWFrot1RJO9OZ","run_PJTUWmeHvL4ANUJLwH1L","run_ktfcD0MUZH6RoVzcEyy3","run_eN79Bv3NHfh4BP13UZ2C","run_lGKuEpwDI0kcT9XEvBAQ","run_MtqP8haJHSwiSxNKXmPH","run_2wOL8I51h1ZlZkiUVa6j","run_GQHdgSNFqu3E9cyLvVgZ","run_KY4grxD9bLtb3pv5AmQc","run_cSbMs9fvz7R12Y93JmK5","run_l9IMIbLrpBqrrb1wLEPx","run_nfcdClqpmUQG5v5I3Jtr","run_T5gynIlowgezBqpSp73n","run_oSokNEuMeTXxZTEt9Rdy","run_BxpHjxcmgEgBh1IpqFKy","run_XOinsXJTYWq51dGL6095"
"delta_pop",-4.77352907454019,-4.38547862498756,-4.3847392451127,-4.9765326676255,-3.33384707460281,-3.48993323434394,-3.636410971397,-1.73108692697115,-5.08746428670481,-4.05165578930284,-2.39796953521878,-3.47328068307178,-3.7990690925454,-4.9192545280068,-4.4845208477654,-4.11866073810008,-2.32868498877851,-4.87912122911659,-4.76073110309204,-2.36267817902927,-5.0846117976453,-4.98716983701106,-4.69713839956149,-4.58403267526103,-3.22643532756471,-4.94017514412204,-2.24776008143012,-3.01436238620716,-2.41125963357919,-4.74117292193001,-2.28754720800925,-5.10914734819348,-4.5272186429129,-3.76291004254045,-3.77230779704838,-2.75411985035552,-5.01459186427281,-2.53408857548126,-4.69799930131264,-5.3856892138394,-3.57522021772631,-2.96895984621286,-4.5105233837296,-5.04761771783627,-4.96255293365417,-3.01806639769645,-4.49545544187751,-2.92435068988127,-2.22798061051297,-1.95946723231978,-4.36399637909211,-3.83692315675999,-3.67060571858138,-2.84168819749064,-2.36341271119367,-3.54781761277436,-5.00684577546168,-3.78995809681077,-2.08873202502538,-3.0332483675729,-2.66113406140773,-1.76334695618474,-2.81156935211964,-4.94388547740246,-4.42543530855945,-1.75237880505004,-2.63828069243252,-2.88721141163188,-4.84318126789621,-4.54159225016518,-4.65406221368974,-4.58340331916109,-4.81635777881433,-3.43997527218496,-5.05151117957203,-1.91894300239155,-4.87744775355198,-4.23902306241997,-2.98386136259026,-3.72184613777448,-2.18668426293307,-3.91910494635891,-1.8542328285064,-2.62846101684967,-4.4530895233019,-3.68660745313742,-3.57962381786493,-5.23169819572861,-4.79423794495258,-2.54784614631777,-3.81276036900144,-4.77648278228486,-2.58266874992867,-3.46118972737711,-5.01655433357258,-2.67406652547246,-3.72178482739462,-5.06771284219483,-3.04897767707939,-4.10200592135077
"gamma_pop",-2.14249776116319,-2.37143617535399,-1.41699691709706,-1.67168478769532,-3.24253418562158,-3.0629468043381,-2.99122481334604,-5.24362090043161,-1.74467238765603,-2.6425656467863,-4.43778787524416,-3.11376401979069,-2.79771025973885,-1.9649206598723,-1.45035971547206,-2.60560862868145,-4.56819932349956,-2.037958850542,-2.2364742244029,-4.61075917094174,-1.72625936876119,-1.86953216029403,-2.16068304708949,-2.35897567433158,-3.33443314874625,-1.75978698238233,-4.59681990504532,-3.80109171071881,-4.38702207045911,-1.5009230361985,-4.68448199972369,-1.46006300369967,-1.48729610292385,-2.80635641074327,-2.94659527155406,-3.87474084302185,-2.07339012067264,-4.17296176574695,-2.2069638926386,-1.84685127868453,-2.99971895107082,-3.61473809715964,-2.3003832924986,-1.93945408975268,-1.74081517389501,-3.55209797769339,-2.48883980030233,-3.7166807158884,-4.72678822611564,-5.12232215139081,-1.46585447364783,-2.79302330502006,-2.95465836318868,-3.82039688518819,-4.87199817089526,-3.01209251481297,-1.88304346651163,-2.81813495690609,-4.76227091391908,-3.5832776278254,-3.99065588681199,-5.19758356069861,-3.83690041301342,-1.49204507135135,-2.3748213919482,-5.75026155989103,-4.21926615936623,-3.79669379526586,-2.17195607682927,-2.25965214278601,-2.14580067253129,-2.2553766714734,-2.09459869605378,-3.10436820271947,-1.73352815540351,-4.98801942184827,-1.96951463109509,-2.45913264199039,-3.83885966231165,-3.0006636329331,-4.85512900598375,-2.86113038389918,-5.03912597876673,-4.04215771752378,-2.37496998453866,-3.05953546283034,-2.97924602761096,-1.67634923359139,-1.59318565639449,-4.22271249745411,-2.8462500595271,-2.18735958557373,-4.14998439464624,-3.12087517689039,-1.68998891474632,-3.98068955798262,-2.79755137606445,-1.88255355852175,-3.55331329446991,-2.53636126245754
"km0scale_pop",0.0417426942912109,0.0330194228582235,0.0341210352767443,0.0347911237296323,0.0327015030764852,0.0327680020097247,0.0510542787380366,0.0915709238128269,0.0864076827410698,0.0523409757822805,0.0326544694256723,0.0504058869572083,0.0327718908199012,0.0332150322874294,0.0334875434900188,0.0497011193792085,0.116265410895812,0.0337578696951413,0.125256793169749,0.0894693701252848,0.0350009772827851,0.0331449185117816,0.0332959510949554,0.0456309123300578,0.0513005161956407,0.0331530939666665,0.0323825839174463,0.185508116010615,0.0326310520864293,0.0807614710798444,0.0935005715432548,0.165271321333435,0.0548556082478014,0.033431350487419,0.059127788154899,0.0325279590257686,0.0685332150943198,0.032828773639809,0.0341420314237894,0.147982723953631,0.0329763094333242,0.0324416399596943,0.0334478302392442,0.0344154109107307,0.0332395122408289,0.0457608005171243,0.0766955841187866,0.111159751188847,0.0437501011780924,0.0872647327514229,0.0339445740000372,0.0620665196485992,0.0341880658680098,0.0570734769385427,0.181904550210527,0.0328739425563088,0.0330295467961587,0.0339898425527315,0.032473505286873,0.0508788615740694,0.0330684854056027,0.102238969349699,0.0997957706177072,0.137748696589344,0.0356397538693492,0.233954255693624,0.113437098725665,0.118957158490179,0.0841073884993707,0.0330591716161996,0.0333933615291751,0.0331505461954941,0.0330605750769843,0.0329165350072958,0.0368573703690638,0.0321317864256544,0.0330876847866366,0.0328979180592566,0.244445640264886,0.149075306713744,0.104604309377451,0.144152202861706,0.0589371491641984,0.0385005719999897,0.03315385618523,0.148274013235722,0.0327615050603889,0.10821092633084,0.0343169771687277,0.0551012947428738,0.032821436857178,0.0645026012299045,0.0343806194979395,0.0417982270602128,0.0793713819249151,0.0378917848692344,0.0331796276285757,0.0335028050531422,0.0325592328462707,0.0330272984719241
"tBegin_pop",-6.16044431157501,-6.15207056260314,-6.15452385381213,-6.16035056056826,-6.15206424316875,-6.15667139964366,-6.16204747426083,-6.18110280973187,-6.18544984438437,-6.16739458868485,-6.15305685522593,-6.16014056978497,-6.15333682668129,-6.15347674349388,-6.15646821165712,-6.17028910899107,-6.185396810881,-6.15663053669751,-6.1801770711063,-6.17950977375974,-6.15670213622302,-6.15309552837906,-6.15277267674205,-6.16866295808755,-6.15314149937887,-6.154683878277,-6.15304002667108,-6.21902686913936,-6.15396225571328,-6.17396730266295,-6.17194458606922,-6.23092892546861,-6.16261231042238,-6.15501006049171,-6.17003567963679,-6.15374289181926,-6.17334871597391,-6.15344134524057,-6.15585480281064,-6.20156737785447,-6.15278155370628,-6.15452994453196,-6.15287378095912,-6.15758457192778,-6.15035041584305,-6.15561245349691,-6.18270532576234,-6.16876574293659,-6.16509104892882,-6.19320092114002,-6.15837152875701,-6.15748245314801,-6.15733960972678,-6.15689681274159,-6.21274464410567,-6.14878514530471,-6.15423229344044,-6.1561918035751,-6.15235920045089,-6.16667577163223,-6.15461264127267,-6.17672025440037,-6.18625820554287,-6.20109213830016,-6.15725914443396,-6.25902306079762,-6.17255439417706,-6.18983757398591,-6.17719908830943,-6.15496597606907,-6.14709228563925,-6.15268889904927,-6.15338894482602,-6.15313733968495,-6.15853071339265,-6.15192941735732,-6.15181853210476,-6.15121408904,-6.23130871310111,-6.20541277399792,-6.1782566245211,-6.20010717263107,-6.1598359374108,-6.15427299433746,-6.15674682746246,-6.21584234595261,-6.15557522262311,-6.19454110283704,-6.14793006902074,-6.16265620357372,-6.15515856299485,-6.16961117170843,-6.15712412426588,-6.15719572789769,-6.17357990759452,-6.15802459943175,-6.15028650874624,-6.15340525532203,-6.15462891259518,-6.15050144702321
"offset_pop",0.0257165529141995,0.0212876352021627,0.0242422725410406,0.0229924742308656,0.021247359255102,0.0217928938141166,0.020753062978372,0.0218361018411944,0.027104053122226,0.0223842824595463,0.0209536741536848,0.0220001410701375,0.0211263838841298,0.0216817020114397,0.0222377826077108,0.023012769029608,0.0268108425788113,0.0212197573799135,0.0245837434568955,0.0291562402906696,0.0220042382680199,0.0213686991533911,0.0216650753343103,0.0215103031462983,0.0211218798973014,0.0217205007831242,0.0206934572724602,0.0315297597034948,0.0207281588020975,0.0220809085475287,0.0210775631082468,0.0305030875603621,0.0213978443808939,0.0213439314015876,0.0211317692931918,0.021057569799839,0.0217635364361585,0.0211420583472755,0.021533888036739,0.0281285453754512,0.0207081935610087,0.0206177173795353,0.0211322770697097,0.0214931366397521,0.0212594657067869,0.0213862039743795,0.0262525597244277,0.0212313284703651,0.0232664306450421,0.0225688737430894,0.0224634254372073,0.0213680972360658,0.0207493696869694,0.0220052180771788,0.0274595515905704,0.021232005747486,0.0207132966391119,0.0219490086818019,0.0210300517384592,0.0254759463781091,0.0219056591634151,0.0289976110167636,0.026430336694608,0.0266794882099758,0.0226815226516491,0.0293238723464072,0.027462081634932,0.024466899677976,0.0265092527609244,0.0213195358622364,0.0224629820327589,0.0210829173097844,0.0210492259761751,0.0205823273449381,0.0214474289671794,0.0208265352338834,0.0210760700526081,0.0212908209662683,0.0261276578349177,0.0309269945695171,0.0237694305250275,0.0238586042198295,0.0259830700681756,0.0260578232505175,0.0223964842457529,0.0264618010871883,0.0209354703502702,0.0255894201627791,0.0266831652441081,0.0229966108920906,0.0209600664590077,0.0234204909798449,0.0212408337726477,0.022376640419247,0.025482898952296,0.0214071281193672,0.0214237437273941,0.0224273831151462,0.0212896897143044,0.0209727557178771
"omega_delta",2.25928821990542,2.27721406153032,2.23785605878535,2.24273237929788,2.46512526432669,2.39775189448162,2.38865726719358,2.90481440580294,2.24351848256668,2.31415425970887,2.77066729756271,2.40748573200384,2.31671272366127,2.24682310125639,2.23937308828557,2.32546790825707,2.77995051648653,2.25437549885862,2.26843229304353,2.7329265991982,2.24624829585596,2.2474490871186,2.25926653058574,2.283809294093,2.46502794564145,2.24459126272147,2.76086165456246,2.57330947533295,2.74166510670161,2.24006537709865,2.79033952607082,2.23927825394005,2.23838055653768,2.34413288228339,2.37016646810106,2.58251408119723,2.26710247626679,2.71505517169958,2.27229650040204,2.25072252526197,2.36225620623879,2.59514517004585,2.26559747490463,2.25364962690183,2.24289328373781,2.50290028017644,2.29764312545646,2.55028580628221,2.76422570971633,2.85754027602111,2.23780674749267,2.32195232123705,2.35890041184673,2.59362586940642,2.84599093328776,2.40132418251233,2.2491334713712,2.35384122298441,2.77287809513413,2.54502876496083,2.63607032566045,2.92996597998206,2.54802490941058,2.24049107689137,2.28351102777038,2.95918166253335,2.67433208480276,2.60245759999806,2.27190666647067,2.27065153598347,2.25356169063678,2.25735962295417,2.26046958060459,2.44152056896946,2.24584644816168,2.83825792596273,2.24706748716366,2.27764776770641,2.55988062482944,2.38585629347109,2.80347339890466,2.32442306478313,2.91962695528921,2.63179157691792,2.26990912705971,2.36829627446714,2.37542049702144,2.24458055967458,2.24248120116175,2.65231714741059,2.36271236907189,2.25783253999742,2.67290936417888,2.36978544542209,2.243284340553,2.64923490521779,2.31204181983863,2.25219210337145,2.53058958733875,2.28940630236123
"omega_gamma",2.83686602874367,2.74537169223933,2.97119323367552,2.95892507269278,2.43854509572231,2.481202239093,2.53613428098616,2.24704332903372,2.97237907787137,2.66025895788621,2.27720618917563,2.50030327127007,2.65290921621254,2.91185495956063,2.98162744006428,2.62821652972655,2.26738602205403,2.8438332448004,2.80651402491025,2.28881398633279,2.91596152259287,2.90715120560815,2.8231031929056,2.76855050203484,2.43255786454492,2.92038088999921,2.26612090821302,2.38292829868783,2.27422981150584,2.99094615325863,2.27181337364125,3.04696843804222,3.02309432338547,2.55705039691834,2.56966976266963,2.33417569083695,2.84821478123441,2.27953650173997,2.7656039781732,2.95665112953128,2.5540022362492,2.34713131804903,2.77934652018059,2.84670140593581,2.91169741525575,2.40358082385889,2.75995426390143,2.3703392069966,2.27537807853589,2.26098166112552,2.99974122975138,2.63016901106841,2.5726851004263,2.34795231563909,2.27781666599813,2.48389791951117,2.90402823715599,2.56443114956801,2.26043685823074,2.37640960226863,2.31608088265476,2.24687651588298,2.3644865590115,2.98805913629425,2.72784479358644,2.24633249757831,2.32022881146429,2.35055840391038,2.80766362200263,2.7465969140449,2.79003879626698,2.83745448094531,2.78630848426755,2.44147371822568,2.92549781529892,2.25165779610143,2.92004074096063,2.7400991929961,2.38290379942897,2.55846047086767,2.26653624533084,2.66887555894057,2.24685538015086,2.32116980875649,2.78857473110972,2.58698068872762,2.52292689856321,2.96391515032233,2.96755880840936,2.31652819053309,2.57473335781122,2.86426129975875,2.30896775897026,2.54351920174037,2.95307198409376,2.3111961185637,2.59426554235951,2.8708327764459,2.37887072901364,2.67510162689302
"omega_km0scale",2.34345329589704,2.38040310351159,2.40077385633416,2.38664735351538,2.34694890711662,2.35475922725338,2.2906170735557,2.2447263806156,2.26973546329233,2.29934716043221,2.31663000617479,2.2925368751694,2.36960301569621,2.39621354361645,2.40385003504791,2.30348677316195,2.24466832289464,2.38938287729476,2.25125261561533,2.24806323258124,2.3872582324342,2.40008926089641,2.38564028426554,2.32127331764249,2.28338641160802,2.39904008058182,2.30859638939307,2.24261703278708,2.31129612227306,2.27529948892162,2.2472426971902,2.25482692282605,2.30482034176135,2.36535456485674,2.28008734132082,2.32902870446585,2.27928243200921,2.3205901106795,2.38254105004176,2.25160904233803,2.35809271246302,2.33385915140566,2.38696175022278,2.38609871278988,2.40230775023172,2.29176734122803,2.26947890387099,2.24596723871616,2.28063030421348,2.24654571741325,2.39676539970287,2.28021018519942,2.35904927508719,2.27025891030937,2.23939553106601,2.36000146210576,2.4015332259921,2.36289152592444,2.3103427879896,2.2862350427977,2.31513362768134,2.24361545899934,2.24918441891495,2.25642026667773,2.36507583056774,2.2389700583278,2.24502849949733,2.24722476179574,2.26731254789819,2.38738908668214,2.38645399060689,2.39058714136651,2.39361143379018,2.35329921905899,2.37125597482018,2.30381988708248,2.3952598989211,2.37683642032261,2.24253047179666,2.24791827954027,2.24394671984025,2.24581177510058,2.25757112924094,2.30271992950542,2.38550367721274,2.24716303780559,2.36211355496251,2.25958272658352,2.39763628107572,2.26942173485471,2.36710189222078,2.28341959746164,2.31351235415474,2.3173301218272,2.2723003278254,2.30596150184584,2.3679910565791,2.39823560818764,2.34228903434084,2.37834506166043
"omega_tBegin",2.23659667616656,2.23648882942384,2.23661705609529,2.23658594380633,2.23639726572087,2.23641300783839,2.23648096748473,2.23623175633156,2.23667471870555,2.23651598351596,2.23629006019052,2.23644472421606,2.23648752970366,2.23659770539373,2.23661006006662,2.23652965129644,2.23631742370151,2.23658340636171,2.23659688971501,2.23632340045748,2.23659276264507,2.23659334848796,2.23653294018428,2.23653216111402,2.23641594500793,2.23657314071311,2.23625609191182,2.23642091835228,2.23630785825207,2.23668842609694,2.23631666372652,2.23673158710243,2.23662991002892,2.23647847127768,2.23648571648414,2.23634625244156,2.23662159175216,2.23631174441581,2.23654559435181,2.23677255811618,2.23645245203284,2.23636474425794,2.23654905900804,2.23659146113222,2.23659139478936,2.23639780060742,2.23659945501345,2.23637285576799,2.23627164808995,2.23625429805468,2.23660361470824,2.23649321187605,2.23647536231192,2.23635684001242,2.23632268765913,2.23643379166463,2.23658870152411,2.2364884641835,2.23626404341673,2.23642546157347,2.23631995179342,2.23624674539613,2.23640145703821,2.23668654777976,2.23653696158027,2.23627153978435,2.23633968786723,2.23637720839481,2.23660513216955,2.23653798940489,2.23654336556813,2.23655045426186,2.23656863388541,2.23642704994216,2.23657772820036,2.2362386552507,2.23657735067083,2.23651636124785,2.23645021580621,2.23656966729071,2.23629551965718,2.23651126290617,2.23623097916418,2.23634413858893,2.23653167013904,2.23649615048459,2.23645742321101,2.2367026455743,2.23660891141127,2.2363378433515,2.23645777369356,2.23658087702766,2.2363229623285,2.23644201997901,2.23666478274687,2.23634253562478,2.23647794357246,2.2365828587777,2.23637967910669,2.2365017865641
"omega_offset",8.30046984754822,50.8369975138066,10.7493448547687,15.9393754776997,49.8343695075125,29.1493089537854,163.34662653218,30.7489048431454,6.77922232973075,21.0785689103156,84.8123961670373,27.0793963669244,61.858050357825,35.0711333029656,23.3032894473558,15.6157371971856,7.53274854072444,62.1787947477765,9.88973165767142,5.280532774307,27.9808674666637,45.8843398270005,34.3233986506625,41.4840947493726,60.4276293675517,32.9340619712735,158.730045042311,4.69936986876698,148.436382544134,27.9617596633549,87.5324893186398,5.52650581265828,46.5213038651576,48.4000616387756,66.3736531967875,63.4978936800453,34.748094511475,54.4110179568923,38.8307217991292,6.71263178231554,175.58467169988,212.95457530996,66.6418098894175,41.4192806674152,58.5832809439308,43.0212701817577,7.44570736723049,56.152583917837,14.4587560033064,21.5614222500028,20.3322566990302,48.0970353410121,173.848364002944,27.2608215040836,7.28880174784629,53.7341946537013,187.484008879392,27.53863788306,67.6916339102868,8.47405161790117,26.3375645110525,5.67962959242602,7.34687827838716,7.1254455587019,17.9733460991179,6.69886562854074,6.47051001953683,10.8486529922191,7.2632647396227,47.9618006008034,20.0662303703945,78.4883501392851,83.3381100978224,369.148499544246,41.4319582544521,104.409604273947,74.394347055585,56.3871034339214,9.18175318521725,5.43972480307609,12.4157950407494,12.3764325091265,7.59853241585303,7.24440251760889,21.3166766326608,7.63315782091138,86.1664467397002,9.29569417455254,6.83138725148418,15.0952859941066,80.5788009520764,13.5835727788531,50.0171325063975,21.7079124100839,8.79332963931488,40.6456369715149,42.4970414372098,20.7054835008899,48.0965746333917,76.6723239058867
