"X","run","convergenceIndicator","exploratoryNumber","smoothingNumber"
1,"1674321588_78123",-7335346.33039065,3595,1000
2,"1674364158_94625",-7344317.83368121,2044,305
3,"1674386008_97938",-7316338.02756985,5357,478
4,"1674439803_93208",-7262910.20444357,2687,1000
5,"1674473875_15618",-7256291.87494496,3266,1000
6,"1674513616_87977",-7279043.03193503,4686,1000
7,"1674566470_66582",-7204937.4898269,4378,1000
8,"1674616592_76218",-7340647.27701501,1981,1000
1,"1674321592_00733",-7315658.45878848,1706,1000
2,"1674348672_35229",-7290742.44891256,2280,1000
1,"1674406328_34794",-7355231.57598495,2301,1000
2,"1674439623_63654",-7348141.07736544,3126,252
3,"1674472933_96635",-7346407.45990999,3948,338
4,"1674515001_27996",-7347231.63679159,2364,1000
5,"1674548312_3243",-7351504.17560774,2290,831
6,"1674579319_25959",-7338144.3375586,4847,1000
7,"1674637313_87468",-7331781.26136207,2248,1000
8,"1674669643_25911",-7341951.69048015,1440,1000
9,"1674694255_03453",-7341676.73383953,2755,1000
10,"1674731677_48785",-7369944.69000917,4399,636
11,"1674782044_40446",-7348067.55146507,1501,1000
12,"1674807652_68649",-7347664.14695036,2437,692
13,"1674838083_93864",-7340770.08280944,1160,1000
14,"1674859146_24891",-7349734.0700695,5622,543
15,"1674918685_35203",-7315770.91170566,2357,1000
16,"1674950943_09985",-7346202.77302351,2422,690
17,"1674981148_09058",-7337702.5502238,1666,907
1,"1706299680_49581",-7335339.42942336,1493,1000
1,"1706315437_23838",-7329422.74054909,1443,1000
1,"1706331193_98604",-7345178.68451094,1445,1000
1,"1706368528_85787",-7366600.56404027,5161,673
1,"1706407322_50787",-7320496.54355641,2074,396
1,"1706425611_22949",-7343256.29738098,1482,1000
1,"1706425611_47518",-7337755.58086291,2261,635
1,"1706425612_02369",-7359507.83381125,4101,419
1,"1706444622_73645",-7288972.56224867,2763,1000
1,"1706456144_43029",-7342818.3470436,2157,527
1,"1706462594_60838",-7315556.98114894,2727,1000
1,"1706463056_49297",-7314722.70126967,1457,1000
1,"1706467614_70277",-7351546.33169981,1438,1000
1,"1706472854_18117",-7326286.79509151,4311,1000
1,"1706478322_82753",-7333048.87194104,1503,1000
1,"1706482991_08017",-7357983.36386503,3211,342
1,"1706494013_08131",-7308712.11652085,4284,322
1,"1706504435_60608",-7336342.39014744,1452,1000
1,"1706504983_75048",-7344175.78007351,4708,480
1,"1706516148_56497",-7355318.85873033,1470,1000
1,"1706521020_88189",-7351349.97983456,4708,737
1,"1706531632_58348",-7322877.81019989,4110,654
1,"1706536633_28573",-7325235.89174568,3245,1000
1,"1706542337_00222",-7349920.26520002,1211,1000
1,"1706557016_95952",-7337355.06815515,1482,857
1,"1706557450_34878",-7347113.75855262,1474,1000
1,"1706560453_9273",-7353920.47594074,1471,1000
1,"1706562716_29695",-7337438.34887222,2617,1000
1,"1706572596_51801",-7338658.38201916,1507,1000
1,"1706573780_4423",-7343149.57913954,1460,1000
1,"1706575857_81426",-7152032.871464,4110,1000
1,"1706584718_96569",-7337632.77766499,1523,757
1,"1706589002_65885",-7374500.38484836,3971,286
1,"1706589799_64608",-7356200.20097815,2291,690
1,"1706598826_74496",-7282567.88286827,2731,1000
1,"1706608717_38652",-7338370.2777007,1500,1000
1,"1706616401_26774",-7282852.20121865,4326,1000
1,"1706621812_63998",-7313526.21195542,3911,1000
1,"1706624843_97914",-7334663.44645597,1448,1000
1,"1706631970_43639",-7217061.04358254,5287,1000
1,"1706640446_26091",-7345864.67602034,1450,1000
1,"1706649605_33633",-7287571.12078188,2781,1000
1,"1706651037_40856",-7337032.92640135,1444,448
1,"1706663604_00555",-7345061.44488392,2129,749
1,"1706668287_54853",-7334961.75909576,3581,153
1,"1706670289_70201",-7344686.48386822,4111,709
1,"1706673792_61094",-7314962.2698746,2677,1000
1,"1706681191_84557",-7342733.37872169,2592,1000
1,"1706694534_76433",-7337829.46945885,1268,1000
1,"1706697414_30694",-7346471.07617829,1231,1000
1,"1706699423_46296",-7354500.10151856,2454,855
1,"1706703135_44262",-7333569.64907303,1442,902
1,"1706710783_94599",-7312488.97298672,2250,1000
1,"1706712060_32011",-7249695.44577508,2676,1000
1,"1706717185_87019",-7294383.9034194,2147,1000
1,"1706733272_50145",-7364863.93309229,2364,143
1,"1706735100_99052",-7347644.83103501,1468,1000
1,"1706750962_25162",-7342213.61473234,1445,1000
1,"1706755795_17026",-7336607.97728457,1444,1000
1,"1706758097_89082",-7327801.15981955,2770,1000
1,"1706766658_83643",-7347230.40973407,1433,1000
1,"1706771170_54956",-7333738.4838671,3258,392
1,"1706781416_23304",-7254698.948546,6341,1000
1,"1706782318_65628",-7334586.58859297,1433,1000
