"X","OFV","AIC","BIC","BICc","run"
1,-349784.395365756,-349762.395365756,-349716.034676673,-349684.876935568,"1674484870_99951"
2,-341008.307396592,-340986.307396592,-340939.94670751,-340908.788966404,"1674485528_82355"
3,-337909.673361072,-337887.673361072,-337841.31267199,-337810.154930884,"1674486889_02231"
4,-351985.035089415,-351963.035089415,-351916.674400333,-351885.516659227,"1674488194_94653"
5,-351324.494659442,-351302.494659442,-351256.13397036,-351224.976229254,"1674488872_20646"
6,-349417.406127721,-349395.406127721,-349349.045438639,-349317.887697533,"1674490061_54081"
7,-348960.12398743,-348938.12398743,-348891.763298348,-348860.605557242,"1674491332_81665"
8,-351597.937807197,-351575.937807197,-351529.577118115,-351498.419377009,"1674492253_75516"
9,-349825.241349406,-349803.241349406,-349756.880660323,-349725.722919218,"1674493695_23343"
10,-351015.069222326,-350993.069222326,-350946.708533244,-350915.550792138,"1674494577_82354"
11,-338552.108749641,-338530.108749641,-338483.748060559,-338452.590319453,"1674495410_96398"
12,-350454.904162064,-350432.904162064,-350386.543472982,-350355.385731876,"1674497214_60516"
13,-349468.137732741,-349446.137732741,-349399.777043658,-349368.619302553,"1674498245_46329"
14,-350298.159930578,-350276.159930578,-350229.799241496,-350198.64150039,"1674499289_81742"
15,-349660.296087755,-349638.296087755,-349591.935398672,-349560.777657567,"1674500078_42039"
16,-350553.333983038,-350531.333983038,-350484.973293956,-350453.81555285,"1674501162_88077"
17,-350375.725584589,-350353.725584589,-350307.364895507,-350276.207154401,"1674502095_96592"
18,-348826.7568641,-348804.7568641,-348758.396175017,-348727.238433912,"1674503345_06224"
19,-350598.904085304,-350576.904085304,-350530.543396222,-350499.385655116,"1674504125_85932"
20,-349295.811663015,-349273.811663015,-349227.450973932,-349196.293232827,"1674504829_80942"
21,-349866.795623994,-349844.795623994,-349798.434934911,-349767.277193806,"1674506254_41252"
22,-350231.204101507,-350209.204101507,-350162.843412424,-350131.685671319,"1674506992_63224"
23,-344096.465573353,-344074.465573353,-344028.10488427,-343996.947143165,"1674508032_84322"
24,-350229.000240818,-350207.000240818,-350160.639551735,-350129.48181063,"1674509546_92437"
25,-351503.245843896,-351481.245843896,-351434.885154813,-351403.727413708,"1674510748_26557"
26,-350422.205088011,-350400.205088011,-350353.844398928,-350322.686657823,"1674511587_81307"
27,-345518.07333791,-345496.07333791,-345449.712648827,-345418.554907722,"1674512566_04896"
28,-350982.10248933,-350960.10248933,-350913.741800247,-350882.584059142,"1674513926_8013"
29,-351335.310756039,-351313.310756039,-351266.950066956,-351235.792325851,"1674514827_22141"
30,-349567.6505627,-349545.6505627,-349499.289873617,-349468.132132512,"1674515572_07221"
31,-350128.656137344,-350106.656137344,-350060.295448262,-350029.137707156,"1674516258_03131"
32,-349736.161382546,-349714.161382546,-349667.800693463,-349636.642952358,"1674517706_51489"
33,-349481.70246975,-349459.70246975,-349413.341780668,-349382.184039562,"1674518633_15397"
34,-350564.390215887,-350542.390215887,-350496.029526805,-350464.871785699,"1674519714_45454"
35,-333804.200409532,-333782.200409532,-333735.839720449,-333704.681979344,"1674520937_24318"
36,-351735.852285251,-351713.852285251,-351667.491596169,-351636.333855063,"1674522537_03728"
37,-351097.238446621,-351075.238446621,-351028.877757538,-350997.720016433,"1674523457_76651"
38,-350883.952650896,-350861.952650896,-350815.591961813,-350784.434220708,"1674525491_29972"
39,-349681.069101563,-349659.069101563,-349612.708412481,-349581.550671375,"1674526450_6201"
40,-350614.995667359,-350592.995667359,-350546.634978276,-350515.477237171,"1674527348_48316"
41,-351067.760346408,-351045.760346408,-350999.399657325,-350968.24191622,"1674528068_75298"
42,-347620.423482462,-347598.423482462,-347552.06279338,-347520.905052274,"1674529368_01142"
43,-350362.081754071,-350340.081754071,-350293.721064988,-350262.563323883,"1674530420_46026"
44,-336013.310027481,-335991.310027481,-335944.949338399,-335913.791597293,"1674531459_81187"
45,-349270.71395955,-349248.71395955,-349202.353270468,-349171.195529362,"1674532888_73192"
46,-350895.904183834,-350873.904183834,-350827.543494752,-350796.385753646,"1674534229_10589"
47,-350950.087883466,-350928.087883466,-350881.727194384,-350850.569453278,"1674535282_57849"
48,-349631.525192098,-349609.525192098,-349563.164503015,-349532.00676191,"1674536603_47268"
49,-345448.045489999,-345426.045489999,-345379.684800917,-345348.527059811,"1674537505_39316"
50,-350596.456919387,-350574.456919387,-350528.096230305,-350496.938489199,"1674538684_3497"
51,-349672.476664618,-349650.476664618,-349604.115975536,-349572.95823443,"1674539894_59162"
52,-350347.772357487,-350325.772357487,-350279.411668404,-350248.253927299,"1674540571_11412"
53,-349826.578030881,-349804.578030881,-349758.217341798,-349727.059600693,"1674541706_02128"
54,-345592.921136311,-345570.921136311,-345524.560447229,-345493.402706123,"1674542891_21034"
55,-348199.971794239,-348177.971794239,-348131.611105156,-348100.453364051,"1674544091_47111"
56,-348966.053862617,-348944.053862617,-348897.693173534,-348866.535432429,"1674545195_27573"
57,-350163.818464112,-350141.818464112,-350095.45777503,-350064.300033924,"1674546162_34963"
58,-350440.214619293,-350418.214619293,-350371.85393021,-350340.696189105,"1674546906_04294"
59,-336460.709856281,-336438.709856281,-336392.349167199,-336361.191426093,"1674548040_59253"
60,-343794.64584767,-343772.64584767,-343726.285158587,-343695.127417482,"1674549635_69596"
61,-350615.588152427,-350593.588152427,-350547.227463344,-350516.069722239,"1674550954_22292"
62,-346962.442209394,-346940.442209394,-346894.081520311,-346862.923779206,"1674551856_97299"
