2023-11-24 06:25:57.223075: I tensorflow/core/platform/cpu_feature_guard.cc:193] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2023-11-24 06:25:58.256811: W tensorflow/compiler/xla/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libnvinfer.so.7'; dlerror: libnvinfer.so.7: cannot open shared object file: No such file or directory
2023-11-24 06:25:58.256966: W tensorflow/compiler/xla/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libnvinfer_plugin.so.7'; dlerror: libnvinfer_plugin.so.7: cannot open shared object file: No such file or directory
2023-11-24 06:25:58.256972: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Cannot dlopen some TensorRT libraries. If you would like to use Nvidia GPU with TensorRT, please make sure the missing libraries mentioned above are installed properly.
2023-11-24 06:26:25.816518: I tensorflow/core/platform/cpu_feature_guard.cc:193] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2023-11-24 06:26:26.211499: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1613] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 78936 MB memory:  -> device: 0, name: NVIDIA A100 80GB PCIe, pci bus id: 0000:81:00.0, compute capability: 8.0
INFO:root:Performing 2 pilot runs with the DetailedFroehlichModel model...
INFO:root:Shape of parameter batch after 2 pilot simulations: (batch_size = 2, 11)
INFO:root:Shape of simulation batch after 2 pilot simulations: (batch_size = 2, 180, 1)
INFO:root:No optional prior non-batchable context provided.
INFO:root:No optional prior batchable context provided.
INFO:root:No optional simulation non-batchable context provided.
INFO:root:No optional simulation batchable context provided.
INFO:root:Initialized empty loss history.
INFO:root:Initialized networks from scratch.
INFO:root:Performing a consistency check with provided components...
2023-11-24 06:26:40.156056: I tensorflow/compiler/xla/stream_executor/cuda/cuda_blas.cc:630] TensorFloat-32 will be used for the matrix multiplication. This will only be logged once.
2023-11-24 06:26:40.255578: I tensorflow/compiler/xla/stream_executor/cuda/cuda_dnn.cc:428] Loaded cuDNN version 8303
INFO:root:Done.
[PhysicalDevice(name='/physical_device:CPU:0', device_type='CPU'), PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
training on gpu
using 2 layers of MultiConv1D, a bidirectional LSTM with 256 units and a dense layer with output dimension 22 as summary network
using a 8-layer cINN as inference network with 3 layers of design spline
prior mean: [-1. -1. -1. 12. -1.  1. -1. -6.  0.  0. -1.]
prior covariance diagonal: [5. 5. 2. 1. 2. 2. 2. 5. 2. 5. 2.]
Using the model DetailedFroehlichModel
amortizer-detailed-fro-sequence-summary-Bi-LSTM-8layers-3coupling-spline-500epochs
max epochs 500
Model: "amortized_posterior"
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 invertible_network (Inverti  multiple                 1143352   
 bleNetwork)                                                     
                                                                 
 sequence_network (SequenceN  multiple                 610614    
 etwork)                                                         
                                                                 
=================================================================
Total params: 1,753,966
Trainable params: 1,753,790
Non-trainable params: 176
_________________________________________________________________
INFO:root:Generated 1000 simulations for validation.
2023-11-24 06:27:33.479689: I tensorflow/compiler/xla/service/service.cc:173] XLA service 0x7f2fa2f7c070 initialized for platform CUDA (this does not guarantee that XLA will be used). Devices:
2023-11-24 06:27:33.479841: I tensorflow/compiler/xla/service/service.cc:181]   StreamExecutor device (0): NVIDIA A100 80GB PCIe, Compute Capability 8.0
2023-11-24 06:27:33.483074: I tensorflow/compiler/mlir/tensorflow/utils/dump_mlir_util.cc:268] disabling MLIR crash reproducer, set env var `MLIR_CRASH_REPRODUCER_DIRECTORY` to enable.
2023-11-24 06:27:33.574218: I tensorflow/compiler/jit/xla_compilation_cache.cc:477] Compiled cluster using XLA!  This line is logged at most once for the lifetime of the process.
INFO:root:Validation, Epoch: 1, Loss: 10.136
INFO:root:Validation, Epoch: 2, Loss: 7.615
INFO:root:Validation, Epoch: 3, Loss: 6.513
INFO:root:Validation, Epoch: 4, Loss: 5.347
INFO:root:Validation, Epoch: 5, Loss: 4.600
INFO:root:Validation, Epoch: 6, Loss: 4.408
INFO:root:Validation, Epoch: 7, Loss: 4.185
INFO:root:Validation, Epoch: 8, Loss: 4.469
INFO:root:Validation, Epoch: 9, Loss: 4.635
INFO:root:Validation, Epoch: 10, Loss: 4.207
INFO:root:Validation, Epoch: 11, Loss: 3.620
INFO:root:Validation, Epoch: 12, Loss: 3.265
INFO:root:Validation, Epoch: 13, Loss: 3.496
INFO:root:Validation, Epoch: 14, Loss: 4.189
INFO:root:Validation, Epoch: 15, Loss: 4.109
INFO:root:Validation, Epoch: 16, Loss: 3.135
INFO:root:Validation, Epoch: 17, Loss: 2.833
INFO:root:Validation, Epoch: 18, Loss: 3.803
INFO:root:Validation, Epoch: 19, Loss: 3.174
INFO:root:Validation, Epoch: 20, Loss: 3.364
INFO:root:Validation, Epoch: 21, Loss: 2.784
INFO:root:Validation, Epoch: 22, Loss: 3.136
INFO:root:Validation, Epoch: 23, Loss: 2.604
INFO:root:Validation, Epoch: 24, Loss: 3.290
INFO:root:Validation, Epoch: 25, Loss: 2.782
INFO:root:Validation, Epoch: 26, Loss: 3.021
INFO:root:Validation, Epoch: 27, Loss: 2.897
INFO:root:Validation, Epoch: 28, Loss: 2.915
INFO:root:Validation, Epoch: 29, Loss: 4.003
INFO:root:Validation, Epoch: 30, Loss: 2.226
INFO:root:Validation, Epoch: 31, Loss: 3.165
INFO:root:Validation, Epoch: 32, Loss: 2.420
INFO:root:Validation, Epoch: 33, Loss: 3.350
INFO:root:Validation, Epoch: 34, Loss: 2.682
INFO:root:Validation, Epoch: 35, Loss: 2.495
INFO:root:Validation, Epoch: 36, Loss: 2.618
INFO:root:Validation, Epoch: 37, Loss: 3.200
INFO:root:Validation, Epoch: 38, Loss: 2.399
INFO:root:Validation, Epoch: 39, Loss: 2.631
INFO:root:Validation, Epoch: 40, Loss: 2.675
INFO:root:Validation, Epoch: 41, Loss: 2.627
INFO:root:Validation, Epoch: 42, Loss: 2.371
INFO:root:Validation, Epoch: 43, Loss: 2.383
INFO:root:Validation, Epoch: 44, Loss: 1.894
INFO:root:Validation, Epoch: 45, Loss: 2.062
INFO:root:Validation, Epoch: 46, Loss: 2.073
INFO:root:Validation, Epoch: 47, Loss: 1.754
INFO:root:Validation, Epoch: 48, Loss: 1.787
