2023-11-24 04:17:47.203554: I tensorflow/core/platform/cpu_feature_guard.cc:193] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2023-11-24 04:17:48.108160: W tensorflow/compiler/xla/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libnvinfer.so.7'; dlerror: libnvinfer.so.7: cannot open shared object file: No such file or directory
2023-11-24 04:17:48.108309: W tensorflow/compiler/xla/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libnvinfer_plugin.so.7'; dlerror: libnvinfer_plugin.so.7: cannot open shared object file: No such file or directory
2023-11-24 04:17:48.108316: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Cannot dlopen some TensorRT libraries. If you would like to use Nvidia GPU with TensorRT, please make sure the missing libraries mentioned above are installed properly.
2023-11-24 04:18:13.696146: I tensorflow/core/platform/cpu_feature_guard.cc:193] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2023-11-24 04:18:14.092081: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1613] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 78936 MB memory:  -> device: 0, name: NVIDIA A100 80GB PCIe, pci bus id: 0000:81:00.0, compute capability: 8.0
INFO:root:Performing 2 pilot runs with the DetailedFroehlichModel model...
INFO:root:Shape of parameter batch after 2 pilot simulations: (batch_size = 2, 11)
INFO:root:Shape of simulation batch after 2 pilot simulations: (batch_size = 2, 180, 1)
INFO:root:No optional prior non-batchable context provided.
INFO:root:No optional prior batchable context provided.
INFO:root:No optional simulation non-batchable context provided.
INFO:root:No optional simulation batchable context provided.
INFO:root:Initialized empty loss history.
INFO:root:Initialized networks from scratch.
INFO:root:Performing a consistency check with provided components...
2023-11-24 04:18:28.139936: I tensorflow/compiler/xla/stream_executor/cuda/cuda_blas.cc:630] TensorFloat-32 will be used for the matrix multiplication. This will only be logged once.
2023-11-24 04:18:28.238745: I tensorflow/compiler/xla/stream_executor/cuda/cuda_dnn.cc:428] Loaded cuDNN version 8303
INFO:root:Done.
[PhysicalDevice(name='/physical_device:CPU:0', device_type='CPU'), PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
training on gpu
using 2 layers of MultiConv1D, a bidirectional LSTM with 256 units and a dense layer with output dimension 22 as summary network
using a 8-layer cINN as inference network with 2 layers of design affine
prior mean: [-1. -1. -1. 12. -1.  1. -1. -6.  0.  0. -1.]
prior covariance diagonal: [5. 5. 2. 1. 2. 2. 2. 5. 2. 5. 2.]
Using the model DetailedFroehlichModel
amortizer-detailed-fro-sequence-summary-Bi-LSTM-8layers-2coupling-affine-500epochs
max epochs 500
Model: "amortized_posterior"
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 invertible_network (Inverti  multiple                 668176    
 bleNetwork)                                                     
                                                                 
 sequence_network (SequenceN  multiple                 610614    
 etwork)                                                         
                                                                 
=================================================================
Total params: 1,278,790
Trainable params: 1,278,614
Non-trainable params: 176
_________________________________________________________________
INFO:root:Generated 1000 simulations for validation.
2023-11-24 04:18:56.107350: I tensorflow/compiler/xla/service/service.cc:173] XLA service 0x7ee8b4ed1630 initialized for platform CUDA (this does not guarantee that XLA will be used). Devices:
2023-11-24 04:18:56.107386: I tensorflow/compiler/xla/service/service.cc:181]   StreamExecutor device (0): NVIDIA A100 80GB PCIe, Compute Capability 8.0
2023-11-24 04:18:56.110588: I tensorflow/compiler/mlir/tensorflow/utils/dump_mlir_util.cc:268] disabling MLIR crash reproducer, set env var `MLIR_CRASH_REPRODUCER_DIRECTORY` to enable.
2023-11-24 04:18:56.198764: I tensorflow/compiler/jit/xla_compilation_cache.cc:477] Compiled cluster using XLA!  This line is logged at most once for the lifetime of the process.
INFO:root:Validation, Epoch: 1, Loss: 7.532
INFO:root:Validation, Epoch: 2, Loss: 6.002
INFO:root:Validation, Epoch: 3, Loss: 5.265
INFO:root:Validation, Epoch: 4, Loss: 5.558
INFO:root:Validation, Epoch: 5, Loss: 4.961
INFO:root:Validation, Epoch: 6, Loss: 4.506
INFO:root:Validation, Epoch: 7, Loss: 3.279
INFO:root:Validation, Epoch: 8, Loss: 3.788
INFO:root:Validation, Epoch: 9, Loss: 3.539
INFO:root:Validation, Epoch: 10, Loss: 3.398
INFO:root:Validation, Epoch: 11, Loss: 2.829
INFO:root:Validation, Epoch: 12, Loss: 3.920
INFO:root:Validation, Epoch: 13, Loss: 3.013
INFO:root:Validation, Epoch: 14, Loss: 2.586
INFO:root:Validation, Epoch: 15, Loss: 2.772
INFO:root:Validation, Epoch: 16, Loss: 2.372
INFO:root:Validation, Epoch: 17, Loss: 3.450
INFO:root:Validation, Epoch: 18, Loss: 2.835
INFO:root:Validation, Epoch: 19, Loss: 2.013
INFO:root:Validation, Epoch: 20, Loss: 2.795
INFO:root:Validation, Epoch: 21, Loss: 3.663
INFO:root:Validation, Epoch: 22, Loss: 2.310
INFO:root:Validation, Epoch: 23, Loss: 2.404
INFO:root:Validation, Epoch: 24, Loss: 2.039
INFO:root:Validation, Epoch: 25, Loss: 2.827
INFO:root:Validation, Epoch: 26, Loss: 2.178
INFO:root:Validation, Epoch: 27, Loss: 2.458
INFO:root:Validation, Epoch: 28, Loss: 2.701
INFO:root:Validation, Epoch: 29, Loss: 3.392
INFO:root:Validation, Epoch: 30, Loss: 2.077
INFO:root:Validation, Epoch: 31, Loss: 1.547
INFO:root:Validation, Epoch: 32, Loss: 2.698
INFO:root:Validation, Epoch: 33, Loss: 2.017
INFO:root:Validation, Epoch: 34, Loss: 1.600
INFO:root:Validation, Epoch: 35, Loss: 2.735
INFO:root:Validation, Epoch: 36, Loss: 1.909
INFO:root:Validation, Epoch: 37, Loss: 1.884
INFO:root:Validation, Epoch: 38, Loss: 2.094
INFO:root:Validation, Epoch: 39, Loss: 1.766
INFO:root:Validation, Epoch: 40, Loss: 1.432
INFO:root:Validation, Epoch: 41, Loss: 1.783
INFO:root:Validation, Epoch: 42, Loss: 1.555
INFO:root:Validation, Epoch: 43, Loss: 1.934
INFO:root:Validation, Epoch: 44, Loss: 2.417
INFO:root:Validation, Epoch: 45, Loss: 1.580
INFO:root:Validation, Epoch: 46, Loss: 1.559
INFO:root:Validation, Epoch: 47, Loss: 1.599
INFO:root:Validation, Epoch: 48, Loss: 2.307
