2023-11-24 04:30:10.495741: I tensorflow/core/platform/cpu_feature_guard.cc:193] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2023-11-24 04:30:11.398385: W tensorflow/compiler/xla/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libnvinfer.so.7'; dlerror: libnvinfer.so.7: cannot open shared object file: No such file or directory
2023-11-24 04:30:11.398532: W tensorflow/compiler/xla/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libnvinfer_plugin.so.7'; dlerror: libnvinfer_plugin.so.7: cannot open shared object file: No such file or directory
2023-11-24 04:30:11.398539: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Cannot dlopen some TensorRT libraries. If you would like to use Nvidia GPU with TensorRT, please make sure the missing libraries mentioned above are installed properly.
2023-11-24 04:30:36.695770: I tensorflow/core/platform/cpu_feature_guard.cc:193] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2023-11-24 04:30:37.087958: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1613] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 78936 MB memory:  -> device: 0, name: NVIDIA A100 80GB PCIe, pci bus id: 0000:e2:00.0, compute capability: 8.0
INFO:root:Performing 2 pilot runs with the DetailedFroehlichModel model...
INFO:root:Shape of parameter batch after 2 pilot simulations: (batch_size = 2, 11)
INFO:root:Shape of simulation batch after 2 pilot simulations: (batch_size = 2, 180, 1)
INFO:root:No optional prior non-batchable context provided.
INFO:root:No optional prior batchable context provided.
INFO:root:No optional simulation non-batchable context provided.
INFO:root:No optional simulation batchable context provided.
INFO:root:Initialized empty loss history.
INFO:root:Initialized networks from scratch.
INFO:root:Performing a consistency check with provided components...
2023-11-24 04:30:50.878802: I tensorflow/compiler/xla/stream_executor/cuda/cuda_blas.cc:630] TensorFloat-32 will be used for the matrix multiplication. This will only be logged once.
2023-11-24 04:30:50.978015: I tensorflow/compiler/xla/stream_executor/cuda/cuda_dnn.cc:428] Loaded cuDNN version 8303
INFO:root:Done.
[PhysicalDevice(name='/physical_device:CPU:0', device_type='CPU'), PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
training on gpu
using 2 layers of MultiConv1D, a bidirectional LSTM with 256 units and a dense layer with output dimension 22 as summary network
using a 8-layer cINN as inference network with 2 layers of design spline
prior mean: [-1. -1. -1. 12. -1.  1. -1. -6.  0.  0. -1.]
prior covariance diagonal: [5. 5. 2. 1. 2. 2. 2. 5. 2. 5. 2.]
Using the model DetailedFroehlichModel
amortizer-detailed-fro-sequence-summary-Bi-LSTM-8layers-2coupling-spline-500epochs
max epochs 500
Model: "amortized_posterior"
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 invertible_network (Inverti  multiple                 879160    
 bleNetwork)                                                     
                                                                 
 sequence_network (SequenceN  multiple                 610614    
 etwork)                                                         
                                                                 
=================================================================
Total params: 1,489,774
Trainable params: 1,489,598
Non-trainable params: 176
_________________________________________________________________
INFO:root:Generated 1000 simulations for validation.
2023-11-24 04:31:42.000799: I tensorflow/compiler/xla/service/service.cc:173] XLA service 0x7fda5e9a9190 initialized for platform CUDA (this does not guarantee that XLA will be used). Devices:
2023-11-24 04:31:42.000976: I tensorflow/compiler/xla/service/service.cc:181]   StreamExecutor device (0): NVIDIA A100 80GB PCIe, Compute Capability 8.0
2023-11-24 04:31:42.004131: I tensorflow/compiler/mlir/tensorflow/utils/dump_mlir_util.cc:268] disabling MLIR crash reproducer, set env var `MLIR_CRASH_REPRODUCER_DIRECTORY` to enable.
2023-11-24 04:31:42.091397: I tensorflow/compiler/jit/xla_compilation_cache.cc:477] Compiled cluster using XLA!  This line is logged at most once for the lifetime of the process.
INFO:root:Validation, Epoch: 1, Loss: 8.412
INFO:root:Validation, Epoch: 2, Loss: 6.326
INFO:root:Validation, Epoch: 3, Loss: 6.721
INFO:root:Validation, Epoch: 4, Loss: 5.168
INFO:root:Validation, Epoch: 5, Loss: 4.600
INFO:root:Validation, Epoch: 6, Loss: 5.311
INFO:root:Validation, Epoch: 7, Loss: 4.494
INFO:root:Validation, Epoch: 8, Loss: 3.850
INFO:root:Validation, Epoch: 9, Loss: 3.367
INFO:root:Validation, Epoch: 10, Loss: 3.393
INFO:root:Validation, Epoch: 11, Loss: 3.512
INFO:root:Validation, Epoch: 12, Loss: 3.521
INFO:root:Validation, Epoch: 13, Loss: 3.944
INFO:root:Validation, Epoch: 14, Loss: 2.949
INFO:root:Validation, Epoch: 15, Loss: 3.041
INFO:root:Validation, Epoch: 16, Loss: 3.182
INFO:root:Validation, Epoch: 17, Loss: 3.295
INFO:root:Validation, Epoch: 18, Loss: 2.881
INFO:root:Validation, Epoch: 19, Loss: 2.995
INFO:root:Validation, Epoch: 20, Loss: 2.917
INFO:root:Validation, Epoch: 21, Loss: 3.176
INFO:root:Validation, Epoch: 22, Loss: 2.942
INFO:root:Validation, Epoch: 23, Loss: 3.656
INFO:root:Validation, Epoch: 24, Loss: 2.855
INFO:root:Validation, Epoch: 25, Loss: 2.306
INFO:root:Validation, Epoch: 26, Loss: 2.825
INFO:root:Validation, Epoch: 27, Loss: 3.407
INFO:root:Validation, Epoch: 28, Loss: 2.450
INFO:root:Validation, Epoch: 29, Loss: 2.351
INFO:root:Validation, Epoch: 30, Loss: 1.936
INFO:root:Validation, Epoch: 31, Loss: 2.685
INFO:root:Validation, Epoch: 32, Loss: 2.843
INFO:root:Validation, Epoch: 33, Loss: 2.358
INFO:root:Validation, Epoch: 34, Loss: 2.252
INFO:root:Validation, Epoch: 35, Loss: 2.152
INFO:root:Validation, Epoch: 36, Loss: 1.975
INFO:root:Validation, Epoch: 37, Loss: 2.162
INFO:root:Validation, Epoch: 38, Loss: 2.577
INFO:root:Validation, Epoch: 39, Loss: 2.405
INFO:root:Validation, Epoch: 40, Loss: 2.294
INFO:root:Validation, Epoch: 41, Loss: 1.905
INFO:root:Validation, Epoch: 42, Loss: 1.893
INFO:root:Validation, Epoch: 43, Loss: 2.407
INFO:root:Validation, Epoch: 44, Loss: 1.944
INFO:root:Validation, Epoch: 45, Loss: 2.385
INFO:root:Validation, Epoch: 46, Loss: 2.508
INFO:root:Validation, Epoch: 47, Loss: 1.955
INFO:root:Validation, Epoch: 48, Loss: 1.471
INFO:root:Validation, Epoch: 49, Loss: 1.638
