2023-11-17 00:02:59.157513: I tensorflow/core/platform/cpu_feature_guard.cc:193] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2023-11-17 00:03:00.067037: W tensorflow/compiler/xla/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libnvinfer.so.7'; dlerror: libnvinfer.so.7: cannot open shared object file: No such file or directory
2023-11-17 00:03:00.067086: W tensorflow/compiler/xla/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libnvinfer_plugin.so.7'; dlerror: libnvinfer_plugin.so.7: cannot open shared object file: No such file or directory
2023-11-17 00:03:00.067092: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Cannot dlopen some TensorRT libraries. If you would like to use Nvidia GPU with TensorRT, please make sure the missing libraries mentioned above are installed properly.
2023-11-17 00:03:03.799337: I tensorflow/core/platform/cpu_feature_guard.cc:193] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2023-11-17 00:03:04.242493: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1613] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 78936 MB memory:  -> device: 0, name: NVIDIA A100 80GB PCIe, pci bus id: 0000:21:00.0, compute capability: 8.0
INFO:root:Performing 2 pilot runs with the SimpleFroehlichModel model...
INFO:root:Shape of parameter batch after 2 pilot simulations: (batch_size = 2, 6)
INFO:root:Shape of simulation batch after 2 pilot simulations: (batch_size = 2, 180, 1)
INFO:root:No optional prior non-batchable context provided.
INFO:root:No optional prior batchable context provided.
INFO:root:No optional simulation non-batchable context provided.
INFO:root:No optional simulation batchable context provided.
INFO:root:Initialized empty loss history.
INFO:root:Initialized networks from scratch.
INFO:root:Performing a consistency check with provided components...
2023-11-17 00:03:05.698095: I tensorflow/compiler/xla/stream_executor/cuda/cuda_blas.cc:630] TensorFloat-32 will be used for the matrix multiplication. This will only be logged once.
2023-11-17 00:03:05.810174: I tensorflow/compiler/xla/stream_executor/cuda/cuda_dnn.cc:428] Loaded cuDNN version 8303
INFO:root:Done.
[PhysicalDevice(name='/physical_device:CPU:0', device_type='CPU'), PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
training on gpu
using 2 layers of MultiConv1D, a bidirectional LSTM with 256 units and a dense layer with output dimension 12 as summary network
using a 6-layer cINN as inference network with 2 layers of design affine
prior mean: [-3. -3.  5.  0.  0. -1.]
prior covariance diagonal: [ 5.  5. 11.  2.  6.  2.]
Using the model SimpleFroehlichModel
amortizer-simple-fro-sequence-summary-Bi-LSTM-6layers-2coupling-affine-500epochs
max epochs 500
Model: "amortized_posterior"
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 invertible_network (Inverti  multiple                 454872    
 bleNetwork)                                                     
                                                                 
 sequence_network (SequenceN  multiple                 605484    
 etwork)                                                         
                                                                 
=================================================================
Total params: 1,060,356
Trainable params: 1,060,284
Non-trainable params: 72
_________________________________________________________________
INFO:root:Generated 1000 simulations for validation.
2023-11-17 00:03:20.129471: I tensorflow/compiler/xla/service/service.cc:173] XLA service 0x7fe48cf7f1e0 initialized for platform CUDA (this does not guarantee that XLA will be used). Devices:
2023-11-17 00:03:20.129613: I tensorflow/compiler/xla/service/service.cc:181]   StreamExecutor device (0): NVIDIA A100 80GB PCIe, Compute Capability 8.0
2023-11-17 00:03:20.133031: I tensorflow/compiler/mlir/tensorflow/utils/dump_mlir_util.cc:268] disabling MLIR crash reproducer, set env var `MLIR_CRASH_REPRODUCER_DIRECTORY` to enable.
2023-11-17 00:03:20.288537: I tensorflow/compiler/jit/xla_compilation_cache.cc:477] Compiled cluster using XLA!  This line is logged at most once for the lifetime of the process.
/home/jonas/Amortized_NLME/models/froehlich_model_simple.py:44: RuntimeWarning: overflow encountered in exp
  m = np.exp(-delta * (t - t_0))
/home/jonas/Amortized_NLME/models/froehlich_model_simple.py:46: RuntimeWarning: overflow encountered in exp
  p = k_m0_scale / (delta - gamma) * (np.exp(-gamma * (t - t_0)) - m)
/home/jonas/Amortized_NLME/models/froehlich_model_simple.py:46: RuntimeWarning: overflow encountered in multiply
  p = k_m0_scale / (delta - gamma) * (np.exp(-gamma * (t - t_0)) - m)
INFO:root:Validation, Epoch: 1, Loss: -0.129
INFO:root:Validation, Epoch: 2, Loss: -1.846
INFO:root:Validation, Epoch: 3, Loss: -2.637
INFO:root:Validation, Epoch: 4, Loss: -3.187
INFO:root:Validation, Epoch: 5, Loss: -2.710
INFO:root:Validation, Epoch: 6, Loss: -3.759
INFO:root:Validation, Epoch: 7, Loss: -4.153
INFO:root:Validation, Epoch: 8, Loss: -4.472
INFO:root:Validation, Epoch: 9, Loss: -4.179
INFO:root:Validation, Epoch: 10, Loss: -4.668
INFO:root:Validation, Epoch: 11, Loss: -4.683
INFO:root:Validation, Epoch: 12, Loss: -4.504
INFO:root:Validation, Epoch: 13, Loss: -4.914
INFO:root:Validation, Epoch: 14, Loss: -4.679
INFO:root:Validation, Epoch: 15, Loss: -4.707
INFO:root:Validation, Epoch: 16, Loss: -4.996
INFO:root:Validation, Epoch: 17, Loss: -4.670
INFO:root:Validation, Epoch: 18, Loss: -5.195
INFO:root:Validation, Epoch: 19, Loss: -4.701
INFO:root:Validation, Epoch: 20, Loss: -5.285
INFO:root:Validation, Epoch: 21, Loss: -5.401
INFO:root:Validation, Epoch: 22, Loss: -4.981
INFO:root:Validation, Epoch: 23, Loss: -5.204
INFO:root:Validation, Epoch: 24, Loss: -5.528
INFO:root:Validation, Epoch: 25, Loss: -5.574
INFO:root:Validation, Epoch: 26, Loss: -5.260
INFO:root:Validation, Epoch: 27, Loss: -5.724
INFO:root:Validation, Epoch: 28, Loss: -5.489
INFO:root:Validation, Epoch: 29, Loss: -5.637
INFO:root:Validation, Epoch: 30, Loss: -5.510
INFO:root:Validation, Epoch: 31, Loss: -5.476
INFO:root:Validation, Epoch: 32, Loss: -5.259
INFO:root:Validation, Epoch: 33, Loss: -5.354
INFO:root:Validation, Epoch: 34, Loss: -5.589
INFO:root:Validation, Epoch: 35, Loss: -5.891
INFO:root:Validation, Epoch: 36, Loss: -5.750
INFO:root:Validation, Epoch: 37, Loss: -5.414
INFO:root:Validation, Epoch: 38, Loss: -5.838
INFO:root:Validation, Epoch: 39, Loss: -5.920
INFO:root:Validation, Epoch: 40, Loss: -5.787
INFO:root:Validation, Epoch: 41, Loss: -5.209
INFO:root:Validation, Epoch: 42, Loss: -5.587
INFO:root:Validation, Epoch: 43, Loss: -5.871
INFO:root:Validation, Epoch: 44, Loss: -5.723
INFO:root:Validation, Epoch: 45, Loss: -5.715
INFO:root:Validation, Epoch: 46, Loss: -5.785
INFO:root:Validation, Epoch: 47, Loss: -5.926
INFO:root:Validation, Epoch: 48, Loss: -5.719
INFO:root:Validation, Epoch: 49, Loss: -5.930
INFO:root:Validation, Epoch: 50, Loss: -5.383
INFO:root:Validation, Epoch: 51, Loss: -5.186
INFO:root:Validation, Epoch: 52, Loss: -5.848
INFO:root:Validation, Epoch: 53, Loss: -5.927
INFO:root:Validation, Epoch: 54, Loss: -5.218
INFO:root:Validation, Epoch: 55, Loss: -5.944
INFO:root:Validation, Epoch: 56, Loss: -6.108
INFO:root:Validation, Epoch: 57, Loss: -5.623
INFO:root:Validation, Epoch: 58, Loss: -6.039
INFO:root:Validation, Epoch: 59, Loss: -5.709
INFO:root:Validation, Epoch: 60, Loss: -6.367
INFO:root:Validation, Epoch: 61, Loss: -6.250
INFO:root:Validation, Epoch: 62, Loss: -6.299
INFO:root:Validation, Epoch: 63, Loss: -5.986
INFO:root:Validation, Epoch: 64, Loss: -6.104
INFO:root:Validation, Epoch: 65, Loss: -5.986
INFO:root:Validation, Epoch: 66, Loss: -5.954
INFO:root:Validation, Epoch: 67, Loss: -5.690
INFO:root:Validation, Epoch: 68, Loss: -6.209
INFO:root:Validation, Epoch: 69, Loss: -6.004
INFO:root:Validation, Epoch: 70, Loss: -6.301
INFO:root:Validation, Epoch: 71, Loss: -5.724
INFO:root:Validation, Epoch: 72, Loss: -6.209
INFO:root:Validation, Epoch: 73, Loss: -6.243
INFO:root:Validation, Epoch: 74, Loss: -6.108
INFO:root:Validation, Epoch: 75, Loss: -6.342
INFO:root:Validation, Epoch: 76, Loss: -6.134
INFO:root:Validation, Epoch: 77, Loss: -6.425
INFO:root:Validation, Epoch: 78, Loss: -6.297
INFO:root:Validation, Epoch: 79, Loss: -6.327
INFO:root:Validation, Epoch: 80, Loss: -6.057
