2023-11-17 05:24:23.473548: I tensorflow/core/platform/cpu_feature_guard.cc:193] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2023-11-17 05:24:24.461973: W tensorflow/compiler/xla/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libnvinfer.so.7'; dlerror: libnvinfer.so.7: cannot open shared object file: No such file or directory
2023-11-17 05:24:24.462035: W tensorflow/compiler/xla/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libnvinfer_plugin.so.7'; dlerror: libnvinfer_plugin.so.7: cannot open shared object file: No such file or directory
2023-11-17 05:24:24.462041: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Cannot dlopen some TensorRT libraries. If you would like to use Nvidia GPU with TensorRT, please make sure the missing libraries mentioned above are installed properly.
2023-11-17 05:24:27.340613: I tensorflow/core/platform/cpu_feature_guard.cc:193] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2023-11-17 05:24:27.735501: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1613] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 38402 MB memory:  -> device: 0, name: NVIDIA A100-PCIE-40GB, pci bus id: 0000:81:00.0, compute capability: 8.0
INFO:root:Performing 2 pilot runs with the SimpleFroehlichModel model...
INFO:root:Shape of parameter batch after 2 pilot simulations: (batch_size = 2, 6)
INFO:root:Shape of simulation batch after 2 pilot simulations: (batch_size = 2, 180, 1)
INFO:root:No optional prior non-batchable context provided.
INFO:root:No optional prior batchable context provided.
INFO:root:No optional simulation non-batchable context provided.
INFO:root:No optional simulation batchable context provided.
INFO:root:Initialized empty loss history.
INFO:root:Initialized networks from scratch.
INFO:root:Performing a consistency check with provided components...
2023-11-17 05:24:29.175391: I tensorflow/compiler/xla/stream_executor/cuda/cuda_blas.cc:630] TensorFloat-32 will be used for the matrix multiplication. This will only be logged once.
2023-11-17 05:24:29.291198: I tensorflow/compiler/xla/stream_executor/cuda/cuda_dnn.cc:428] Loaded cuDNN version 8303
INFO:root:Done.
[PhysicalDevice(name='/physical_device:CPU:0', device_type='CPU'), PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
training on gpu
using 2 layers of MultiConv1D, a bidirectional LSTM with 256 units and a dense layer with output dimension 12 as summary network
using a 7-layer cINN as inference network with 2 layers of design affine
prior mean: [-3. -3.  5.  0.  0. -1.]
prior covariance diagonal: [ 5.  5. 11.  2.  6.  2.]
Using the model SimpleFroehlichModel
amortizer-simple-fro-sequence-summary-Bi-LSTM-7layers-2coupling-affine-500epochs
max epochs 500
Model: "amortized_posterior"
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 invertible_network (Inverti  multiple                 530684    
 bleNetwork)                                                     
                                                                 
 sequence_network (SequenceN  multiple                 605484    
 etwork)                                                         
                                                                 
=================================================================
Total params: 1,136,168
Trainable params: 1,136,084
Non-trainable params: 84
_________________________________________________________________
INFO:root:Generated 1000 simulations for validation.
2023-11-17 05:24:48.850501: I tensorflow/compiler/xla/service/service.cc:173] XLA service 0x7fe48c189540 initialized for platform CUDA (this does not guarantee that XLA will be used). Devices:
2023-11-17 05:24:48.850664: I tensorflow/compiler/xla/service/service.cc:181]   StreamExecutor device (0): NVIDIA A100-PCIE-40GB, Compute Capability 8.0
2023-11-17 05:24:48.854570: I tensorflow/compiler/mlir/tensorflow/utils/dump_mlir_util.cc:268] disabling MLIR crash reproducer, set env var `MLIR_CRASH_REPRODUCER_DIRECTORY` to enable.
2023-11-17 05:24:48.954644: I tensorflow/compiler/jit/xla_compilation_cache.cc:477] Compiled cluster using XLA!  This line is logged at most once for the lifetime of the process.
/home/jonas/Amortized_NLME/models/froehlich_model_simple.py:44: RuntimeWarning: overflow encountered in exp
  m = np.exp(-delta * (t - t_0))
/home/jonas/Amortized_NLME/models/froehlich_model_simple.py:46: RuntimeWarning: overflow encountered in exp
  p = k_m0_scale / (delta - gamma) * (np.exp(-gamma * (t - t_0)) - m)
/home/jonas/Amortized_NLME/models/froehlich_model_simple.py:46: RuntimeWarning: overflow encountered in multiply
  p = k_m0_scale / (delta - gamma) * (np.exp(-gamma * (t - t_0)) - m)
INFO:root:Validation, Epoch: 1, Loss: 0.064
INFO:root:Validation, Epoch: 2, Loss: -1.680
INFO:root:Validation, Epoch: 3, Loss: -2.193
INFO:root:Validation, Epoch: 4, Loss: -2.175
INFO:root:Validation, Epoch: 5, Loss: -3.130
INFO:root:Validation, Epoch: 6, Loss: -3.284
INFO:root:Validation, Epoch: 7, Loss: -3.832
INFO:root:Validation, Epoch: 8, Loss: -3.589
INFO:root:Validation, Epoch: 9, Loss: -2.392
INFO:root:Validation, Epoch: 10, Loss: -4.162
INFO:root:Validation, Epoch: 11, Loss: -4.271
INFO:root:Validation, Epoch: 12, Loss: -4.332
INFO:root:Validation, Epoch: 13, Loss: -4.361
INFO:root:Validation, Epoch: 14, Loss: -4.549
INFO:root:Validation, Epoch: 15, Loss: -4.369
INFO:root:Validation, Epoch: 16, Loss: -4.897
INFO:root:Validation, Epoch: 17, Loss: -4.414
INFO:root:Validation, Epoch: 18, Loss: -4.857
INFO:root:Validation, Epoch: 19, Loss: -4.926
INFO:root:Validation, Epoch: 20, Loss: -4.692
INFO:root:Validation, Epoch: 21, Loss: -4.926
INFO:root:Validation, Epoch: 22, Loss: -5.258
INFO:root:Validation, Epoch: 23, Loss: -4.709
INFO:root:Validation, Epoch: 24, Loss: -5.243
INFO:root:Validation, Epoch: 25, Loss: -4.956
INFO:root:Validation, Epoch: 26, Loss: -5.394
INFO:root:Validation, Epoch: 27, Loss: -4.785
INFO:root:Validation, Epoch: 28, Loss: -5.270
INFO:root:Validation, Epoch: 29, Loss: -5.392
INFO:root:Validation, Epoch: 30, Loss: -4.998
INFO:root:Validation, Epoch: 31, Loss: -5.358
INFO:root:Validation, Epoch: 32, Loss: -5.221
INFO:root:Validation, Epoch: 33, Loss: -5.275
INFO:root:Validation, Epoch: 34, Loss: -5.214
INFO:root:Validation, Epoch: 35, Loss: -5.340
INFO:root:Validation, Epoch: 36, Loss: -5.708
INFO:root:Validation, Epoch: 37, Loss: -5.534
INFO:root:Validation, Epoch: 38, Loss: -5.352
