2023-11-18 20:52:30.349353: I tensorflow/core/platform/cpu_feature_guard.cc:193] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2023-11-18 20:52:31.226221: W tensorflow/compiler/xla/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libnvinfer.so.7'; dlerror: libnvinfer.so.7: cannot open shared object file: No such file or directory
2023-11-18 20:52:31.226272: W tensorflow/compiler/xla/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libnvinfer_plugin.so.7'; dlerror: libnvinfer_plugin.so.7: cannot open shared object file: No such file or directory
2023-11-18 20:52:31.226278: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Cannot dlopen some TensorRT libraries. If you would like to use Nvidia GPU with TensorRT, please make sure the missing libraries mentioned above are installed properly.
2023-11-18 20:52:55.615446: I tensorflow/core/platform/cpu_feature_guard.cc:193] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2023-11-18 20:52:56.037621: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1613] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 78936 MB memory:  -> device: 0, name: NVIDIA A100 80GB PCIe, pci bus id: 0000:81:00.0, compute capability: 8.0
INFO:root:Performing 2 pilot runs with the PharmacokineticModel model...
INFO:root:Shape of parameter batch after 2 pilot simulations: (batch_size = 2, 11)
INFO:root:Shape of simulation batch after 2 pilot simulations: (batch_size = 2, 11, 4)
INFO:root:No optional prior non-batchable context provided.
INFO:root:No optional prior batchable context provided.
INFO:root:No optional simulation non-batchable context provided.
INFO:root:No optional simulation batchable context provided.
INFO:root:Initialized empty loss history.
INFO:root:Initialized networks from scratch.
INFO:root:Performing a consistency check with provided components...
2023-11-18 20:53:11.628538: I tensorflow/compiler/xla/stream_executor/cuda/cuda_blas.cc:630] TensorFloat-32 will be used for the matrix multiplication. This will only be logged once.
2023-11-18 20:53:11.725417: I tensorflow/compiler/xla/stream_executor/cuda/cuda_dnn.cc:428] Loaded cuDNN version 8303
INFO:root:Done.
[PhysicalDevice(name='/physical_device:CPU:0', device_type='CPU'), PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
training on gpu
using a split network with 2 splits, in each 2 layers of MultiConv1D, a bidirectional LSTM with 256 units and a dense layer with output dimension 22 as summary network
using a 7-layer cINN as inference network with 2 layers of design spline
prior mean: [-5.   6.5  2.5  2.5  6.5  0.   6.5 -3.  -1.  -1.   0. ]
prior covariance diagonal: [4.5 1.  1.  1.  1.  1.  1.  4.5 2.  2.  1. ]
Using the PharmacokineticModel
amortizer-pharma-split-sequence-summary-Bi-LSTM-7layers-2coupling-spline-750epochs
max epochs 750
Model: "amortized_posterior"
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 invertible_network (Inverti  multiple                 808689    
 bleNetwork)                                                     
                                                                 
 split_network (SplitNetwork  multiple                 1221804   
 )                                                               
                                                                 
=================================================================
Total params: 2,030,493
Trainable params: 2,030,339
Non-trainable params: 154
_________________________________________________________________
INFO:root:Generated 1000 simulations for validation.
2023-11-18 20:53:54.127686: I tensorflow/compiler/xla/service/service.cc:173] XLA service 0x7f2e18326460 initialized for platform CUDA (this does not guarantee that XLA will be used). Devices:
2023-11-18 20:53:54.127722: I tensorflow/compiler/xla/service/service.cc:181]   StreamExecutor device (0): NVIDIA A100 80GB PCIe, Compute Capability 8.0
2023-11-18 20:53:54.130801: I tensorflow/compiler/mlir/tensorflow/utils/dump_mlir_util.cc:268] disabling MLIR crash reproducer, set env var `MLIR_CRASH_REPRODUCER_DIRECTORY` to enable.
2023-11-18 20:53:54.212314: I tensorflow/compiler/jit/xla_compilation_cache.cc:477] Compiled cluster using XLA!  This line is logged at most once for the lifetime of the process.
INFO:root:Validation, Epoch: 1, Loss: 13.608
INFO:root:Validation, Epoch: 2, Loss: 14.135
INFO:root:Validation, Epoch: 3, Loss: 13.951
INFO:root:Validation, Epoch: 4, Loss: 14.698
INFO:root:Validation, Epoch: 5, Loss: 13.735
INFO:root:Validation, Epoch: 6, Loss: 13.406
INFO:root:Validation, Epoch: 7, Loss: 14.238
INFO:root:Validation, Epoch: 8, Loss: 14.674
INFO:root:Validation, Epoch: 9, Loss: 14.399
INFO:root:Validation, Epoch: 10, Loss: 12.642
INFO:root:Validation, Epoch: 11, Loss: 14.107
INFO:root:Validation, Epoch: 12, Loss: 13.831
INFO:root:Validation, Epoch: 13, Loss: 12.956
INFO:root:Validation, Epoch: 14, Loss: 13.539
INFO:root:Validation, Epoch: 15, Loss: 11.915
INFO:root:Validation, Epoch: 16, Loss: 14.979
INFO:root:Validation, Epoch: 17, Loss: 13.472
INFO:root:Validation, Epoch: 18, Loss: 12.404
INFO:root:Validation, Epoch: 19, Loss: 11.550
INFO:root:Validation, Epoch: 20, Loss: 12.528
INFO:root:Validation, Epoch: 21, Loss: 12.832
INFO:root:Validation, Epoch: 22, Loss: 10.641
INFO:root:Validation, Epoch: 23, Loss: 11.315
INFO:root:Validation, Epoch: 24, Loss: 11.335
INFO:root:Validation, Epoch: 25, Loss: 11.031
INFO:root:Validation, Epoch: 26, Loss: 12.663
INFO:root:Validation, Epoch: 27, Loss: 11.115
INFO:root:Validation, Epoch: 28, Loss: 10.583
INFO:root:Validation, Epoch: 29, Loss: 10.932
INFO:root:Validation, Epoch: 30, Loss: 10.232
INFO:root:Validation, Epoch: 31, Loss: 10.296
INFO:root:Validation, Epoch: 32, Loss: 10.319
INFO:root:Validation, Epoch: 33, Loss: 11.026
INFO:root:Validation, Epoch: 34, Loss: 11.193
INFO:root:Validation, Epoch: 35, Loss: 10.384
INFO:root:Validation, Epoch: 36, Loss: 9.646
INFO:root:Validation, Epoch: 37, Loss: 10.521
INFO:root:Validation, Epoch: 38, Loss: 10.203
INFO:root:Validation, Epoch: 39, Loss: 11.369
INFO:root:Validation, Epoch: 40, Loss: 9.529
INFO:root:Validation, Epoch: 41, Loss: 9.949
INFO:root:Validation, Epoch: 42, Loss: 10.572
INFO:root:Validation, Epoch: 43, Loss: 9.923
INFO:root:Validation, Epoch: 44, Loss: 10.280
INFO:root:Validation, Epoch: 45, Loss: 9.596
INFO:root:Validation, Epoch: 46, Loss: 10.193
INFO:root:Validation, Epoch: 47, Loss: 9.961
INFO:root:Validation, Epoch: 48, Loss: 9.395
INFO:root:Validation, Epoch: 49, Loss: 9.275
