2023-11-18 20:52:20.547716: I tensorflow/core/platform/cpu_feature_guard.cc:193] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2023-11-18 20:52:21.427309: W tensorflow/compiler/xla/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libnvinfer.so.7'; dlerror: libnvinfer.so.7: cannot open shared object file: No such file or directory
2023-11-18 20:52:21.427361: W tensorflow/compiler/xla/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libnvinfer_plugin.so.7'; dlerror: libnvinfer_plugin.so.7: cannot open shared object file: No such file or directory
2023-11-18 20:52:21.427367: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Cannot dlopen some TensorRT libraries. If you would like to use Nvidia GPU with TensorRT, please make sure the missing libraries mentioned above are installed properly.
2023-11-18 20:52:45.040691: I tensorflow/core/platform/cpu_feature_guard.cc:193] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2023-11-18 20:52:45.427828: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1613] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 78936 MB memory:  -> device: 0, name: NVIDIA A100 80GB PCIe, pci bus id: 0000:e2:00.0, compute capability: 8.0
INFO:root:Performing 2 pilot runs with the PharmacokineticModel model...
INFO:root:Shape of parameter batch after 2 pilot simulations: (batch_size = 2, 11)
INFO:root:Shape of simulation batch after 2 pilot simulations: (batch_size = 2, 70, 4)
INFO:root:No optional prior non-batchable context provided.
INFO:root:No optional prior batchable context provided.
INFO:root:No optional simulation non-batchable context provided.
INFO:root:No optional simulation batchable context provided.
INFO:root:Initialized empty loss history.
INFO:root:Initialized networks from scratch.
INFO:root:Performing a consistency check with provided components...
2023-11-18 20:53:01.200499: I tensorflow/compiler/xla/stream_executor/cuda/cuda_blas.cc:630] TensorFloat-32 will be used for the matrix multiplication. This will only be logged once.
2023-11-18 20:53:01.299057: I tensorflow/compiler/xla/stream_executor/cuda/cuda_dnn.cc:428] Loaded cuDNN version 8303
INFO:root:Done.
[PhysicalDevice(name='/physical_device:CPU:0', device_type='CPU'), PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
training on gpu
using 2 layers of MultiConv1D, a bidirectional LSTM with 256 units and a dense layer with output dimension 22 as summary network
using a 7-layer cINN as inference network with 3 layers of design spline
prior mean: [-5.   6.5  2.5  2.5  6.5  0.   6.5 -3.  -1.  -1.   0. ]
prior covariance diagonal: [4.5 1.  1.  1.  1.  1.  1.  4.5 2.  2.  1. ]
Using the PharmacokineticModel
amortizer-pharma-sequence-summary-Bi-LSTM-7layers-3coupling-spline-750epochs
max epochs 750
Model: "amortized_posterior"
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 invertible_network (Inverti  multiple                 1000433   
 bleNetwork)                                                     
                                                                 
 sequence_network (SequenceN  multiple                 610902    
 etwork)                                                         
                                                                 
=================================================================
Total params: 1,611,335
Trainable params: 1,611,181
Non-trainable params: 154
_________________________________________________________________
INFO:root:Generated 1000 simulations for validation.
2023-11-18 20:53:42.972823: I tensorflow/compiler/xla/service/service.cc:173] XLA service 0x7f5a48883680 initialized for platform CUDA (this does not guarantee that XLA will be used). Devices:
2023-11-18 20:53:42.972863: I tensorflow/compiler/xla/service/service.cc:181]   StreamExecutor device (0): NVIDIA A100 80GB PCIe, Compute Capability 8.0
2023-11-18 20:53:42.975953: I tensorflow/compiler/mlir/tensorflow/utils/dump_mlir_util.cc:268] disabling MLIR crash reproducer, set env var `MLIR_CRASH_REPRODUCER_DIRECTORY` to enable.
2023-11-18 20:53:43.057299: I tensorflow/compiler/jit/xla_compilation_cache.cc:477] Compiled cluster using XLA!  This line is logged at most once for the lifetime of the process.
INFO:root:Validation, Epoch: 1, Loss: 12.506
INFO:root:Validation, Epoch: 2, Loss: 11.481
INFO:root:Validation, Epoch: 3, Loss: 11.808
INFO:root:Validation, Epoch: 4, Loss: 11.407
INFO:root:Validation, Epoch: 5, Loss: 10.639
INFO:root:Validation, Epoch: 6, Loss: 10.544
INFO:root:Validation, Epoch: 7, Loss: 9.954
INFO:root:Validation, Epoch: 8, Loss: 10.513
INFO:root:Validation, Epoch: 9, Loss: 11.399
INFO:root:Validation, Epoch: 10, Loss: 9.750
INFO:root:Validation, Epoch: 11, Loss: 9.467
INFO:root:Validation, Epoch: 12, Loss: 9.237
INFO:root:Validation, Epoch: 13, Loss: 9.499
INFO:root:Validation, Epoch: 14, Loss: 9.803
INFO:root:Validation, Epoch: 15, Loss: 9.849
INFO:root:Validation, Epoch: 16, Loss: 9.399
INFO:root:Validation, Epoch: 17, Loss: 9.109
INFO:root:Validation, Epoch: 18, Loss: 8.642
INFO:root:Validation, Epoch: 19, Loss: 8.920
INFO:root:Validation, Epoch: 20, Loss: 9.323
INFO:root:Validation, Epoch: 21, Loss: 9.145
INFO:root:Validation, Epoch: 22, Loss: 8.192
INFO:root:Validation, Epoch: 23, Loss: 8.209
INFO:root:Validation, Epoch: 24, Loss: 8.503
INFO:root:Validation, Epoch: 25, Loss: 8.307
INFO:root:Validation, Epoch: 26, Loss: 8.985
INFO:root:Validation, Epoch: 27, Loss: 8.342
INFO:root:Validation, Epoch: 28, Loss: 7.906
INFO:root:Validation, Epoch: 29, Loss: 8.119
INFO:root:Validation, Epoch: 30, Loss: 7.884
INFO:root:Validation, Epoch: 31, Loss: 7.829
INFO:root:Validation, Epoch: 32, Loss: 7.929
INFO:root:Validation, Epoch: 33, Loss: 7.970
INFO:root:Validation, Epoch: 34, Loss: 7.956
INFO:root:Validation, Epoch: 35, Loss: 7.673
INFO:root:Validation, Epoch: 36, Loss: 7.951
INFO:root:Validation, Epoch: 37, Loss: 7.994
INFO:root:Validation, Epoch: 38, Loss: 7.607
INFO:root:Validation, Epoch: 39, Loss: 8.098
INFO:root:Validation, Epoch: 40, Loss: 7.683
INFO:root:Validation, Epoch: 41, Loss: 7.985
INFO:root:Validation, Epoch: 42, Loss: 7.747
INFO:root:Validation, Epoch: 43, Loss: 7.534
INFO:root:Validation, Epoch: 44, Loss: 7.828
INFO:root:Validation, Epoch: 45, Loss: 7.407
INFO:root:Validation, Epoch: 46, Loss: 7.428
INFO:root:Validation, Epoch: 47, Loss: 8.170
INFO:root:Validation, Epoch: 48, Loss: 7.532
INFO:root:Validation, Epoch: 49, Loss: 7.554
