2023-11-18 20:52:00.270488: I tensorflow/core/platform/cpu_feature_guard.cc:193] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2023-11-18 20:52:01.132625: W tensorflow/compiler/xla/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libnvinfer.so.7'; dlerror: libnvinfer.so.7: cannot open shared object file: No such file or directory
2023-11-18 20:52:01.132681: W tensorflow/compiler/xla/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libnvinfer_plugin.so.7'; dlerror: libnvinfer_plugin.so.7: cannot open shared object file: No such file or directory
2023-11-18 20:52:01.132687: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Cannot dlopen some TensorRT libraries. If you would like to use Nvidia GPU with TensorRT, please make sure the missing libraries mentioned above are installed properly.
2023-11-18 20:52:24.891058: I tensorflow/core/platform/cpu_feature_guard.cc:193] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2023-11-18 20:52:25.287696: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1613] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 78936 MB memory:  -> device: 0, name: NVIDIA A100 80GB PCIe, pci bus id: 0000:e2:00.0, compute capability: 8.0
INFO:root:Performing 2 pilot runs with the PharmacokineticModel model...
INFO:root:Shape of parameter batch after 2 pilot simulations: (batch_size = 2, 11)
INFO:root:Shape of simulation batch after 2 pilot simulations: (batch_size = 2, 57, 4)
INFO:root:No optional prior non-batchable context provided.
INFO:root:No optional prior batchable context provided.
INFO:root:No optional simulation non-batchable context provided.
INFO:root:No optional simulation batchable context provided.
INFO:root:Initialized empty loss history.
INFO:root:Initialized networks from scratch.
INFO:root:Performing a consistency check with provided components...
2023-11-18 20:52:40.900690: I tensorflow/compiler/xla/stream_executor/cuda/cuda_blas.cc:630] TensorFloat-32 will be used for the matrix multiplication. This will only be logged once.
2023-11-18 20:52:40.997556: I tensorflow/compiler/xla/stream_executor/cuda/cuda_dnn.cc:428] Loaded cuDNN version 8303
INFO:root:Done.
[PhysicalDevice(name='/physical_device:CPU:0', device_type='CPU'), PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
training on gpu
using a split network with 2 splits, in each 2 layers of MultiConv1D, a bidirectional LSTM with 256 units and a dense layer with output dimension 22 as summary network
using a 8-layer cINN as inference network with 2 layers of design spline
prior mean: [-5.   6.5  2.5  2.5  6.5  0.   6.5 -3.  -1.  -1.   0. ]
prior covariance diagonal: [4.5 1.  1.  1.  1.  1.  1.  4.5 2.  2.  1. ]
Using the PharmacokineticModel
amortizer-pharma-split-sequence-summary-Bi-LSTM-8layers-2coupling-spline-750epochs
max epochs 750
Model: "amortized_posterior"
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 invertible_network (Inverti  multiple                 924216    
 bleNetwork)                                                     
                                                                 
 split_network (SplitNetwork  multiple                 1221804   
 )                                                               
                                                                 
=================================================================
Total params: 2,146,020
Trainable params: 2,145,844
Non-trainable params: 176
_________________________________________________________________
INFO:root:Generated 1000 simulations for validation.
2023-11-18 20:53:27.942733: I tensorflow/compiler/xla/service/service.cc:173] XLA service 0x7f01f8350d20 initialized for platform CUDA (this does not guarantee that XLA will be used). Devices:
2023-11-18 20:53:27.942773: I tensorflow/compiler/xla/service/service.cc:181]   StreamExecutor device (0): NVIDIA A100 80GB PCIe, Compute Capability 8.0
2023-11-18 20:53:27.945907: I tensorflow/compiler/mlir/tensorflow/utils/dump_mlir_util.cc:268] disabling MLIR crash reproducer, set env var `MLIR_CRASH_REPRODUCER_DIRECTORY` to enable.
2023-11-18 20:53:28.028017: I tensorflow/compiler/jit/xla_compilation_cache.cc:477] Compiled cluster using XLA!  This line is logged at most once for the lifetime of the process.
INFO:root:Validation, Epoch: 1, Loss: 12.141
INFO:root:Validation, Epoch: 2, Loss: 11.895
INFO:root:Validation, Epoch: 3, Loss: 11.043
INFO:root:Validation, Epoch: 4, Loss: 10.823
INFO:root:Validation, Epoch: 5, Loss: 10.178
INFO:root:Validation, Epoch: 6, Loss: 9.815
INFO:root:Validation, Epoch: 7, Loss: 9.699
INFO:root:Validation, Epoch: 8, Loss: 9.251
INFO:root:Validation, Epoch: 9, Loss: 10.779
INFO:root:Validation, Epoch: 10, Loss: 8.823
INFO:root:Validation, Epoch: 11, Loss: 8.896
INFO:root:Validation, Epoch: 12, Loss: 8.283
INFO:root:Validation, Epoch: 13, Loss: 9.805
INFO:root:Validation, Epoch: 14, Loss: 9.206
INFO:root:Validation, Epoch: 15, Loss: 9.230
INFO:root:Validation, Epoch: 16, Loss: 8.347
INFO:root:Validation, Epoch: 17, Loss: 8.287
INFO:root:Validation, Epoch: 18, Loss: 8.569
INFO:root:Validation, Epoch: 19, Loss: 8.153
INFO:root:Validation, Epoch: 20, Loss: 7.428
INFO:root:Validation, Epoch: 21, Loss: 7.621
INFO:root:Validation, Epoch: 22, Loss: 7.663
INFO:root:Validation, Epoch: 23, Loss: 7.722
INFO:root:Validation, Epoch: 24, Loss: 7.624
INFO:root:Validation, Epoch: 25, Loss: 7.968
INFO:root:Validation, Epoch: 26, Loss: 7.699
INFO:root:Validation, Epoch: 27, Loss: 7.130
INFO:root:Validation, Epoch: 28, Loss: 7.815
INFO:root:Validation, Epoch: 29, Loss: 6.933
INFO:root:Validation, Epoch: 30, Loss: 6.729
INFO:root:Validation, Epoch: 31, Loss: 7.094
INFO:root:Validation, Epoch: 32, Loss: 6.881
INFO:root:Validation, Epoch: 33, Loss: 7.383
INFO:root:Validation, Epoch: 34, Loss: 7.241
INFO:root:Validation, Epoch: 35, Loss: 7.114
INFO:root:Validation, Epoch: 36, Loss: 7.102
INFO:root:Validation, Epoch: 37, Loss: 7.188
INFO:root:Validation, Epoch: 38, Loss: 6.698
INFO:root:Validation, Epoch: 39, Loss: 7.246
INFO:root:Validation, Epoch: 40, Loss: 6.811
INFO:root:Validation, Epoch: 41, Loss: 7.408
INFO:root:Validation, Epoch: 42, Loss: 6.444
INFO:root:Validation, Epoch: 43, Loss: 6.892
INFO:root:Validation, Epoch: 44, Loss: 6.860
INFO:root:Validation, Epoch: 45, Loss: 6.565
INFO:root:Validation, Epoch: 46, Loss: 6.636
INFO:root:Validation, Epoch: 47, Loss: 6.866
INFO:root:Validation, Epoch: 48, Loss: 6.495
INFO:root:Validation, Epoch: 49, Loss: 6.430
INFO:root:Validation, Epoch: 50, Loss: 6.679
INFO:root:Validation, Epoch: 51, Loss: 6.705
INFO:root:Validation, Epoch: 52, Loss: 6.484
INFO:root:Validation, Epoch: 53, Loss: 6.537
INFO:root:Validation, Epoch: 54, Loss: 6.095
INFO:root:Validation, Epoch: 55, Loss: 6.663
INFO:root:Validation, Epoch: 56, Loss: 6.389
INFO:root:Validation, Epoch: 57, Loss: 6.721
INFO:root:Validation, Epoch: 58, Loss: 6.290
INFO:root:Validation, Epoch: 59, Loss: 7.296
INFO:root:Validation, Epoch: 60, Loss: 6.149
INFO:root:Validation, Epoch: 61, Loss: 7.564
INFO:root:Validation, Epoch: 62, Loss: 6.342
INFO:root:Validation, Epoch: 63, Loss: 7.406
INFO:root:Validation, Epoch: 64, Loss: 6.248
INFO:root:Validation, Epoch: 65, Loss: 6.371
INFO:root:Validation, Epoch: 66, Loss: 6.903
INFO:root:Validation, Epoch: 67, Loss: 5.899
INFO:root:Validation, Epoch: 68, Loss: 6.163
INFO:root:Validation, Epoch: 69, Loss: 5.952
INFO:root:Validation, Epoch: 70, Loss: 6.546
INFO:root:Validation, Epoch: 71, Loss: 5.863
INFO:root:Validation, Epoch: 72, Loss: 6.237
INFO:root:Validation, Epoch: 73, Loss: 5.721
INFO:root:Validation, Epoch: 74, Loss: 6.460
INFO:root:Validation, Epoch: 75, Loss: 6.077
INFO:root:Validation, Epoch: 76, Loss: 6.008
INFO:root:Validation, Epoch: 77, Loss: 5.933
INFO:root:Validation, Epoch: 78, Loss: 5.987
INFO:root:Validation, Epoch: 79, Loss: 6.101
INFO:root:Validation, Epoch: 80, Loss: 5.877
INFO:root:Validation, Epoch: 81, Loss: 6.031
INFO:root:Validation, Epoch: 82, Loss: 6.299
INFO:root:Validation, Epoch: 83, Loss: 5.763
INFO:root:Validation, Epoch: 84, Loss: 6.195
INFO:root:Validation, Epoch: 85, Loss: 6.825
INFO:root:Validation, Epoch: 86, Loss: 6.241
INFO:root:Validation, Epoch: 87, Loss: 5.839
INFO:root:Validation, Epoch: 88, Loss: 5.696
INFO:root:Validation, Epoch: 89, Loss: 5.954
INFO:root:Validation, Epoch: 90, Loss: 6.631
INFO:root:Validation, Epoch: 91, Loss: 5.755
INFO:root:Validation, Epoch: 92, Loss: 5.835
INFO:root:Validation, Epoch: 93, Loss: 5.741
INFO:root:Validation, Epoch: 94, Loss: 5.594
INFO:root:Validation, Epoch: 95, Loss: 5.936
INFO:root:Validation, Epoch: 96, Loss: 6.042
INFO:root:Validation, Epoch: 97, Loss: 5.592
INFO:root:Validation, Epoch: 98, Loss: 6.130
INFO:root:Validation, Epoch: 99, Loss: 5.808
INFO:root:Validation, Epoch: 100, Loss: 6.475
INFO:root:Validation, Epoch: 101, Loss: 5.603
INFO:root:Validation, Epoch: 102, Loss: 5.567
INFO:root:Validation, Epoch: 103, Loss: 5.666
INFO:root:Validation, Epoch: 104, Loss: 5.434
INFO:root:Validation, Epoch: 105, Loss: 5.348
INFO:root:Validation, Epoch: 106, Loss: 5.902
INFO:root:Validation, Epoch: 107, Loss: 5.606
INFO:root:Validation, Epoch: 108, Loss: 6.048
INFO:root:Validation, Epoch: 109, Loss: 5.815
INFO:root:Validation, Epoch: 110, Loss: 5.643
INFO:root:Validation, Epoch: 111, Loss: 6.191
INFO:root:Validation, Epoch: 112, Loss: 5.434
INFO:root:Validation, Epoch: 113, Loss: 5.480
INFO:root:Validation, Epoch: 114, Loss: 5.641
INFO:root:Validation, Epoch: 115, Loss: 5.380
INFO:root:Validation, Epoch: 116, Loss: 5.646
INFO:root:Validation, Epoch: 117, Loss: 5.304
INFO:root:Validation, Epoch: 118, Loss: 5.686
INFO:root:Validation, Epoch: 119, Loss: 5.552
INFO:root:Validation, Epoch: 120, Loss: 5.347
INFO:root:Validation, Epoch: 121, Loss: 5.647
INFO:root:Validation, Epoch: 122, Loss: 5.982
INFO:root:Validation, Epoch: 123, Loss: 5.247
INFO:root:Validation, Epoch: 124, Loss: 5.513
INFO:root:Validation, Epoch: 125, Loss: 5.634
INFO:root:Validation, Epoch: 126, Loss: 5.422
INFO:root:Validation, Epoch: 127, Loss: 5.770
INFO:root:Validation, Epoch: 128, Loss: 5.238
INFO:root:Validation, Epoch: 129, Loss: 5.738
INFO:root:Validation, Epoch: 130, Loss: 5.135
INFO:root:Validation, Epoch: 131, Loss: 5.754
INFO:root:Validation, Epoch: 132, Loss: 6.290
INFO:root:Validation, Epoch: 133, Loss: 5.799
INFO:root:Validation, Epoch: 134, Loss: 5.112
INFO:root:Validation, Epoch: 135, Loss: 5.434
INFO:root:Validation, Epoch: 136, Loss: 5.139
INFO:root:Validation, Epoch: 137, Loss: 5.280
INFO:root:Validation, Epoch: 138, Loss: 5.108
INFO:root:Validation, Epoch: 139, Loss: 5.081
INFO:root:Validation, Epoch: 140, Loss: 5.106
INFO:root:Validation, Epoch: 141, Loss: 5.660
INFO:root:Validation, Epoch: 142, Loss: 4.943
INFO:root:Validation, Epoch: 143, Loss: 5.547
INFO:root:Validation, Epoch: 144, Loss: 5.353
INFO:root:Validation, Epoch: 145, Loss: 6.405
INFO:root:Validation, Epoch: 146, Loss: 5.302
INFO:root:Validation, Epoch: 147, Loss: 5.165
INFO:root:Validation, Epoch: 148, Loss: 5.075
INFO:root:Validation, Epoch: 149, Loss: 5.223
INFO:root:Validation, Epoch: 150, Loss: 5.096
INFO:root:Validation, Epoch: 151, Loss: 5.814
INFO:root:Validation, Epoch: 152, Loss: 5.108
INFO:root:Validation, Epoch: 153, Loss: 5.218
INFO:root:Validation, Epoch: 154, Loss: 5.556
INFO:root:Validation, Epoch: 155, Loss: 5.108
INFO:root:Validation, Epoch: 156, Loss: 5.074
INFO:root:Validation, Epoch: 157, Loss: 4.905
INFO:root:Validation, Epoch: 158, Loss: 5.473
INFO:root:Validation, Epoch: 159, Loss: 5.005
INFO:root:Validation, Epoch: 160, Loss: 5.349
INFO:root:Validation, Epoch: 161, Loss: 5.166
INFO:root:Validation, Epoch: 162, Loss: 5.033
INFO:root:Validation, Epoch: 163, Loss: 5.357
INFO:root:Validation, Epoch: 164, Loss: 5.427
INFO:root:Validation, Epoch: 165, Loss: 5.245
INFO:root:Validation, Epoch: 166, Loss: 5.249
INFO:root:Validation, Epoch: 167, Loss: 5.064
INFO:root:Validation, Epoch: 168, Loss: 5.197
INFO:root:Validation, Epoch: 169, Loss: 5.000
INFO:root:Validation, Epoch: 170, Loss: 5.152
INFO:root:Validation, Epoch: 171, Loss: 5.817
INFO:root:Validation, Epoch: 172, Loss: 4.936
INFO:root:Validation, Epoch: 173, Loss: 5.129
INFO:root:Validation, Epoch: 174, Loss: 5.298
INFO:root:Validation, Epoch: 175, Loss: 5.367
INFO:root:Validation, Epoch: 176, Loss: 5.476
INFO:root:Validation, Epoch: 177, Loss: 4.881
INFO:root:Validation, Epoch: 178, Loss: 5.030
INFO:root:Validation, Epoch: 179, Loss: 4.795
INFO:root:Validation, Epoch: 180, Loss: 5.067
INFO:root:Validation, Epoch: 181, Loss: 4.962
INFO:root:Validation, Epoch: 182, Loss: 4.711
INFO:root:Validation, Epoch: 183, Loss: 4.889
INFO:root:Validation, Epoch: 184, Loss: 5.207
INFO:root:Validation, Epoch: 185, Loss: 5.236
INFO:root:Validation, Epoch: 186, Loss: 5.059
INFO:root:Validation, Epoch: 187, Loss: 5.147
INFO:root:Validation, Epoch: 188, Loss: 5.148
INFO:root:Validation, Epoch: 189, Loss: 4.943
INFO:root:Validation, Epoch: 190, Loss: 5.178
INFO:root:Validation, Epoch: 191, Loss: 4.933
INFO:root:Validation, Epoch: 192, Loss: 4.833
INFO:root:Validation, Epoch: 193, Loss: 4.794
INFO:root:Validation, Epoch: 194, Loss: 5.106
INFO:root:Validation, Epoch: 195, Loss: 4.636
INFO:root:Validation, Epoch: 196, Loss: 4.944
INFO:root:Validation, Epoch: 197, Loss: 4.563
INFO:root:Validation, Epoch: 198, Loss: 4.571
INFO:root:Validation, Epoch: 199, Loss: 5.100
INFO:root:Validation, Epoch: 200, Loss: 5.037
INFO:root:Validation, Epoch: 201, Loss: 4.783
INFO:root:Validation, Epoch: 202, Loss: 5.379
INFO:root:Validation, Epoch: 203, Loss: 4.944
INFO:root:Validation, Epoch: 204, Loss: 5.017
INFO:root:Validation, Epoch: 205, Loss: 5.463
INFO:root:Validation, Epoch: 206, Loss: 4.958
INFO:root:Validation, Epoch: 207, Loss: 4.750
INFO:root:Validation, Epoch: 208, Loss: 5.235
INFO:root:Validation, Epoch: 209, Loss: 4.807
INFO:root:Validation, Epoch: 210, Loss: 5.260
INFO:root:Validation, Epoch: 211, Loss: 4.774
INFO:root:Validation, Epoch: 212, Loss: 4.578
INFO:root:Validation, Epoch: 213, Loss: 4.671
INFO:root:Validation, Epoch: 214, Loss: 4.798
INFO:root:Validation, Epoch: 215, Loss: 4.734
INFO:root:Validation, Epoch: 216, Loss: 4.693
INFO:root:Validation, Epoch: 217, Loss: 4.516
INFO:root:Validation, Epoch: 218, Loss: 4.747
INFO:root:Validation, Epoch: 219, Loss: 4.601
INFO:root:Validation, Epoch: 220, Loss: 4.740
INFO:root:Validation, Epoch: 221, Loss: 4.677
INFO:root:Validation, Epoch: 222, Loss: 4.769
INFO:root:Validation, Epoch: 223, Loss: 4.965
INFO:root:Validation, Epoch: 224, Loss: 4.765
INFO:root:Validation, Epoch: 225, Loss: 4.835
INFO:root:Validation, Epoch: 226, Loss: 5.432
INFO:root:Validation, Epoch: 227, Loss: 4.591
INFO:root:Validation, Epoch: 228, Loss: 5.196
INFO:root:Validation, Epoch: 229, Loss: 4.482
INFO:root:Validation, Epoch: 230, Loss: 4.802
INFO:root:Validation, Epoch: 231, Loss: 4.658
INFO:root:Validation, Epoch: 232, Loss: 4.854
INFO:root:Validation, Epoch: 233, Loss: 4.435
INFO:root:Validation, Epoch: 234, Loss: 4.690
INFO:root:Validation, Epoch: 235, Loss: 4.753
INFO:root:Validation, Epoch: 236, Loss: 4.686
INFO:root:Validation, Epoch: 237, Loss: 6.740
INFO:root:Validation, Epoch: 238, Loss: 4.506
INFO:root:Validation, Epoch: 239, Loss: 4.773
INFO:root:Validation, Epoch: 240, Loss: 4.822
INFO:root:Validation, Epoch: 241, Loss: 5.172
INFO:root:Validation, Epoch: 242, Loss: 5.213
INFO:root:Validation, Epoch: 243, Loss: 4.387
INFO:root:Validation, Epoch: 244, Loss: 4.850
INFO:root:Validation, Epoch: 245, Loss: 4.440
INFO:root:Validation, Epoch: 246, Loss: 4.733
INFO:root:Validation, Epoch: 247, Loss: 4.340
INFO:root:Validation, Epoch: 248, Loss: 4.406
INFO:root:Validation, Epoch: 249, Loss: 4.447
INFO:root:Validation, Epoch: 250, Loss: 4.367
INFO:root:Validation, Epoch: 251, Loss: 4.318
INFO:root:Validation, Epoch: 252, Loss: 4.624
INFO:root:Validation, Epoch: 253, Loss: 4.667
INFO:root:Validation, Epoch: 254, Loss: 4.992
INFO:root:Validation, Epoch: 255, Loss: 6.089
INFO:root:Validation, Epoch: 256, Loss: 4.775
INFO:root:Validation, Epoch: 257, Loss: 4.283
INFO:root:Validation, Epoch: 258, Loss: 4.369
INFO:root:Validation, Epoch: 259, Loss: 4.679
INFO:root:Validation, Epoch: 260, Loss: 4.344
INFO:root:Validation, Epoch: 261, Loss: 4.570
INFO:root:Validation, Epoch: 262, Loss: 4.832
INFO:root:Validation, Epoch: 263, Loss: 4.749
INFO:root:Validation, Epoch: 264, Loss: 4.402
INFO:root:Validation, Epoch: 265, Loss: 4.253
INFO:root:Validation, Epoch: 266, Loss: 5.062
INFO:root:Validation, Epoch: 267, Loss: 4.488
INFO:root:Validation, Epoch: 268, Loss: 4.348
INFO:root:Validation, Epoch: 269, Loss: 4.548
INFO:root:Validation, Epoch: 270, Loss: 4.337
INFO:root:Validation, Epoch: 271, Loss: 4.239
INFO:root:Validation, Epoch: 272, Loss: 4.379
INFO:root:Validation, Epoch: 273, Loss: 4.512
INFO:root:Validation, Epoch: 274, Loss: 4.554
INFO:root:Validation, Epoch: 275, Loss: 4.465
INFO:root:Validation, Epoch: 276, Loss: 4.138
