2023-11-18 20:52:00.227316: I tensorflow/core/platform/cpu_feature_guard.cc:193] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2023-11-18 20:52:01.252301: W tensorflow/compiler/xla/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libnvinfer.so.7'; dlerror: libnvinfer.so.7: cannot open shared object file: No such file or directory
2023-11-18 20:52:01.252366: W tensorflow/compiler/xla/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libnvinfer_plugin.so.7'; dlerror: libnvinfer_plugin.so.7: cannot open shared object file: No such file or directory
2023-11-18 20:52:01.252371: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Cannot dlopen some TensorRT libraries. If you would like to use Nvidia GPU with TensorRT, please make sure the missing libraries mentioned above are installed properly.
2023-11-18 20:52:29.941879: I tensorflow/core/platform/cpu_feature_guard.cc:193] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2023-11-18 20:52:30.330900: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1613] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 38402 MB memory:  -> device: 0, name: NVIDIA A100-PCIE-40GB, pci bus id: 0000:21:00.0, compute capability: 8.0
INFO:root:Performing 2 pilot runs with the PharmacokineticModel model...
INFO:root:Shape of parameter batch after 2 pilot simulations: (batch_size = 2, 11)
INFO:root:Shape of simulation batch after 2 pilot simulations: (batch_size = 2, 16, 4)
INFO:root:No optional prior non-batchable context provided.
INFO:root:No optional prior batchable context provided.
INFO:root:No optional simulation non-batchable context provided.
INFO:root:No optional simulation batchable context provided.
INFO:root:Initialized empty loss history.
INFO:root:Initialized networks from scratch.
INFO:root:Performing a consistency check with provided components...
2023-11-18 20:52:46.747585: I tensorflow/compiler/xla/stream_executor/cuda/cuda_blas.cc:630] TensorFloat-32 will be used for the matrix multiplication. This will only be logged once.
2023-11-18 20:52:46.860598: I tensorflow/compiler/xla/stream_executor/cuda/cuda_dnn.cc:428] Loaded cuDNN version 8303
INFO:root:Done.
[PhysicalDevice(name='/physical_device:CPU:0', device_type='CPU'), PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
training on gpu
using 2 layers of MultiConv1D, a bidirectional LSTM with 256 units and a dense layer with output dimension 22 as summary network
using a 8-layer cINN as inference network with 3 layers of design spline
prior mean: [-5.   6.5  2.5  2.5  6.5  0.   6.5 -3.  -1.  -1.   0. ]
prior covariance diagonal: [4.5 1.  1.  1.  1.  1.  1.  4.5 2.  2.  1. ]
Using the PharmacokineticModel
amortizer-pharma-sequence-summary-Bi-LSTM-8layers-3coupling-spline-750epochs
max epochs 750
Model: "amortized_posterior"
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 invertible_network (Inverti  multiple                 1143352   
 bleNetwork)                                                     
                                                                 
 sequence_network (SequenceN  multiple                 610902    
 etwork)                                                         
                                                                 
=================================================================
Total params: 1,754,254
Trainable params: 1,754,078
Non-trainable params: 176
_________________________________________________________________
INFO:root:Generated 1000 simulations for validation.
2023-11-18 20:53:42.597461: I tensorflow/compiler/xla/service/service.cc:173] XLA service 0x7fd10e863680 initialized for platform CUDA (this does not guarantee that XLA will be used). Devices:
2023-11-18 20:53:42.597650: I tensorflow/compiler/xla/service/service.cc:181]   StreamExecutor device (0): NVIDIA A100-PCIE-40GB, Compute Capability 8.0
2023-11-18 20:53:42.601600: I tensorflow/compiler/mlir/tensorflow/utils/dump_mlir_util.cc:268] disabling MLIR crash reproducer, set env var `MLIR_CRASH_REPRODUCER_DIRECTORY` to enable.
2023-11-18 20:53:42.702562: I tensorflow/compiler/jit/xla_compilation_cache.cc:477] Compiled cluster using XLA!  This line is logged at most once for the lifetime of the process.
INFO:root:Validation, Epoch: 1, Loss: 13.558
INFO:root:Validation, Epoch: 2, Loss: 12.189
INFO:root:Validation, Epoch: 3, Loss: 12.015
INFO:root:Validation, Epoch: 4, Loss: 11.618
INFO:root:Validation, Epoch: 5, Loss: 11.327
INFO:root:Validation, Epoch: 6, Loss: 10.905
INFO:root:Validation, Epoch: 7, Loss: 10.548
INFO:root:Validation, Epoch: 8, Loss: 10.747
INFO:root:Validation, Epoch: 9, Loss: 10.578
INFO:root:Validation, Epoch: 10, Loss: 10.381
INFO:root:Validation, Epoch: 11, Loss: 10.475
INFO:root:Validation, Epoch: 12, Loss: 10.593
INFO:root:Validation, Epoch: 13, Loss: 10.409
INFO:root:Validation, Epoch: 14, Loss: 10.014
INFO:root:Validation, Epoch: 15, Loss: 10.396
INFO:root:Validation, Epoch: 16, Loss: 9.893
INFO:root:Validation, Epoch: 17, Loss: 9.866
INFO:root:Validation, Epoch: 18, Loss: 9.837
INFO:root:Validation, Epoch: 19, Loss: 9.916
INFO:root:Validation, Epoch: 20, Loss: 9.737
INFO:root:Validation, Epoch: 21, Loss: 9.976
INFO:root:Validation, Epoch: 22, Loss: 10.025
INFO:root:Validation, Epoch: 23, Loss: 9.669
INFO:root:Validation, Epoch: 24, Loss: 9.608
INFO:root:Validation, Epoch: 25, Loss: 9.888
INFO:root:Validation, Epoch: 26, Loss: 9.738
INFO:root:Validation, Epoch: 27, Loss: 10.238
INFO:root:Validation, Epoch: 28, Loss: 9.465
INFO:root:Validation, Epoch: 29, Loss: 9.354
INFO:root:Validation, Epoch: 30, Loss: 9.473
INFO:root:Validation, Epoch: 31, Loss: 9.653
INFO:root:Validation, Epoch: 32, Loss: 9.739
INFO:root:Validation, Epoch: 33, Loss: 9.573
INFO:root:Validation, Epoch: 34, Loss: 9.474
INFO:root:Validation, Epoch: 35, Loss: 9.285
INFO:root:Validation, Epoch: 36, Loss: 9.660
INFO:root:Validation, Epoch: 37, Loss: 9.694
INFO:root:Validation, Epoch: 38, Loss: 9.297
INFO:root:Validation, Epoch: 39, Loss: 9.677
INFO:root:Validation, Epoch: 40, Loss: 9.312
INFO:root:Validation, Epoch: 41, Loss: 9.237
INFO:root:Validation, Epoch: 42, Loss: 9.575
INFO:root:Validation, Epoch: 43, Loss: 9.216
INFO:root:Validation, Epoch: 44, Loss: 9.111
INFO:root:Validation, Epoch: 45, Loss: 9.278
INFO:root:Validation, Epoch: 46, Loss: 9.151
INFO:root:Validation, Epoch: 47, Loss: 9.053
INFO:root:Validation, Epoch: 48, Loss: 9.043
INFO:root:Validation, Epoch: 49, Loss: 9.597
