2023-11-18 20:51:50.445106: I tensorflow/core/platform/cpu_feature_guard.cc:193] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2023-11-18 20:51:51.418529: W tensorflow/compiler/xla/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libnvinfer.so.7'; dlerror: libnvinfer.so.7: cannot open shared object file: No such file or directory
2023-11-18 20:51:51.418584: W tensorflow/compiler/xla/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libnvinfer_plugin.so.7'; dlerror: libnvinfer_plugin.so.7: cannot open shared object file: No such file or directory
2023-11-18 20:51:51.418590: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Cannot dlopen some TensorRT libraries. If you would like to use Nvidia GPU with TensorRT, please make sure the missing libraries mentioned above are installed properly.
2023-11-18 20:52:18.695198: I tensorflow/core/platform/cpu_feature_guard.cc:193] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2023-11-18 20:52:19.075033: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1613] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 38402 MB memory:  -> device: 0, name: NVIDIA A100-PCIE-40GB, pci bus id: 0000:e2:00.0, compute capability: 8.0
INFO:root:Performing 2 pilot runs with the PharmacokineticModel model...
INFO:root:Shape of parameter batch after 2 pilot simulations: (batch_size = 2, 11)
INFO:root:Shape of simulation batch after 2 pilot simulations: (batch_size = 2, 2, 4)
INFO:root:No optional prior non-batchable context provided.
INFO:root:No optional prior batchable context provided.
INFO:root:No optional simulation non-batchable context provided.
INFO:root:No optional simulation batchable context provided.
INFO:root:Initialized empty loss history.
INFO:root:Initialized networks from scratch.
INFO:root:Performing a consistency check with provided components...
2023-11-18 20:52:34.633288: I tensorflow/compiler/xla/stream_executor/cuda/cuda_blas.cc:630] TensorFloat-32 will be used for the matrix multiplication. This will only be logged once.
2023-11-18 20:52:34.746170: I tensorflow/compiler/xla/stream_executor/cuda/cuda_dnn.cc:428] Loaded cuDNN version 8303
INFO:root:Done.
[PhysicalDevice(name='/physical_device:CPU:0', device_type='CPU'), PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
training on gpu
using 2 layers of MultiConv1D, a  LSTM with 256 units and a dense layer with output dimension 22 as summary network
using a 7-layer cINN as inference network with 2 layers of design spline
prior mean: [-5.   6.5  2.5  2.5  6.5  0.   6.5 -3.  -1.  -1.   0. ]
prior covariance diagonal: [4.5 1.  1.  1.  1.  1.  1.  4.5 2.  2.  1. ]
Using the PharmacokineticModel
amortizer-pharma-sequence-summary-LSTM-7layers-2coupling-spline-750epochs
max epochs 750
Model: "amortized_posterior"
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 invertible_network (Inverti  multiple                 769265    
 bleNetwork)                                                     
                                                                 
 sequence_network (SequenceN  multiple                 309334    
 etwork)                                                         
                                                                 
=================================================================
Total params: 1,078,599
Trainable params: 1,078,445
Non-trainable params: 154
_________________________________________________________________
INFO:root:Generated 1000 simulations for validation.
2023-11-18 20:53:20.669369: I tensorflow/compiler/xla/service/service.cc:173] XLA service 0x7fc4b84ce5e0 initialized for platform CUDA (this does not guarantee that XLA will be used). Devices:
2023-11-18 20:53:20.669577: I tensorflow/compiler/xla/service/service.cc:181]   StreamExecutor device (0): NVIDIA A100-PCIE-40GB, Compute Capability 8.0
2023-11-18 20:53:20.689430: I tensorflow/compiler/mlir/tensorflow/utils/dump_mlir_util.cc:268] disabling MLIR crash reproducer, set env var `MLIR_CRASH_REPRODUCER_DIRECTORY` to enable.
2023-11-18 20:53:20.889839: I tensorflow/compiler/jit/xla_compilation_cache.cc:477] Compiled cluster using XLA!  This line is logged at most once for the lifetime of the process.
INFO:root:Validation, Epoch: 1, Loss: 13.846
INFO:root:Validation, Epoch: 2, Loss: 13.324
INFO:root:Validation, Epoch: 3, Loss: 13.223
INFO:root:Validation, Epoch: 4, Loss: 12.444
INFO:root:Validation, Epoch: 5, Loss: 12.386
INFO:root:Validation, Epoch: 6, Loss: 12.869
INFO:root:Validation, Epoch: 7, Loss: 12.353
INFO:root:Validation, Epoch: 8, Loss: 11.818
INFO:root:Validation, Epoch: 9, Loss: 11.988
INFO:root:Validation, Epoch: 10, Loss: 11.726
INFO:root:Validation, Epoch: 11, Loss: 11.685
INFO:root:Validation, Epoch: 12, Loss: 11.561
INFO:root:Validation, Epoch: 13, Loss: 11.540
INFO:root:Validation, Epoch: 14, Loss: 11.421
INFO:root:Validation, Epoch: 15, Loss: 11.170
INFO:root:Validation, Epoch: 16, Loss: 11.254
INFO:root:Validation, Epoch: 17, Loss: 11.474
INFO:root:Validation, Epoch: 18, Loss: 11.131
INFO:root:Validation, Epoch: 19, Loss: 11.109
INFO:root:Validation, Epoch: 20, Loss: 11.025
INFO:root:Validation, Epoch: 21, Loss: 11.243
INFO:root:Validation, Epoch: 22, Loss: 10.878
INFO:root:Validation, Epoch: 23, Loss: 10.873
INFO:root:Validation, Epoch: 24, Loss: 10.653
INFO:root:Validation, Epoch: 25, Loss: 10.686
INFO:root:Validation, Epoch: 26, Loss: 10.767
INFO:root:Validation, Epoch: 27, Loss: 10.849
INFO:root:Validation, Epoch: 28, Loss: 10.933
INFO:root:Validation, Epoch: 29, Loss: 10.666
INFO:root:Validation, Epoch: 30, Loss: 10.689
INFO:root:Validation, Epoch: 31, Loss: 10.344
INFO:root:Validation, Epoch: 32, Loss: 10.377
INFO:root:Validation, Epoch: 33, Loss: 10.679
INFO:root:Validation, Epoch: 34, Loss: 10.513
INFO:root:Validation, Epoch: 35, Loss: 10.606
INFO:root:Validation, Epoch: 36, Loss: 10.266
INFO:root:Validation, Epoch: 37, Loss: 10.260
INFO:root:Validation, Epoch: 38, Loss: 10.615
INFO:root:Validation, Epoch: 39, Loss: 10.387
INFO:root:Validation, Epoch: 40, Loss: 10.500
INFO:root:Validation, Epoch: 41, Loss: 10.824
INFO:root:Validation, Epoch: 42, Loss: 10.218
INFO:root:Validation, Epoch: 43, Loss: 10.230
INFO:root:Validation, Epoch: 44, Loss: 10.264
INFO:root:Validation, Epoch: 45, Loss: 11.079
INFO:root:Validation, Epoch: 46, Loss: 10.388
INFO:root:Validation, Epoch: 47, Loss: 10.331
INFO:root:Validation, Epoch: 48, Loss: 10.523
